creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-10 03:59:45+00:00,2025-09-06 09:40:39+00:00,C D H｜林淑芬,0_shufen,894684720405347,894684720405347,180,8370.0,856892.0,啊淦就真的⋯挺舒服的啊🤣🤭,18.5,,2025-01-10 11:59:45+08:00,2025-09-06 17:40:39+08:00,,Yes,MetaTool
2025-01-11 08:41:54+00:00,2025-11-22 20:00:36+00:00,C D H｜林淑芬,0_shufen,1165134668817062,1165134668817062,186,5489.0,550593.0,"不用謝，只能幫你們到這裡了😘

這是台灣地區粉絲限定，馬來西亞/新加坡的粉絲麻煩去找我另一個影片🎦🤭",14.9,,2025-01-11 16:41:54+08:00,2025-11-23 04:00:36+08:00,,No,
2025-01-11 08:43:08+00:00,2026-01-08 08:26:29+00:00,C D H｜林淑芬,0_shufen,1291469292822937,1291469292822937,245,9011.0,879131.0,"拿去吧，只能幫你們到這裡了😘
這是馬來西亞/新加坡地區限定 哈哈哈哈哈",15.14,,2025-01-11 16:43:08+08:00,2026-01-08 16:26:29+08:00,,Yes,MetaTool
2025-01-13 16:11:41+00:00,2025-09-06 05:21:24+00:00,C D H｜林淑芬,0_shufen,657432210765866,657432210765866,155,7117.0,691078.0,懂事的女朋友,3.97,,2025-01-14 00:11:41+08:00,2025-09-06 13:21:24+08:00,,Yes,MetaTool
2025-01-17 04:02:27+00:00,2025-07-05 08:57:29+00:00,C D H｜林淑芬,0_shufen,1393655405202276,1393655405202276,246,10507.0,600466.0,淦 逼太緊不好嗎🥲,15.0,,2025-01-17 12:02:27+08:00,2025-07-05 16:57:29+08:00,,Yes,MetaTool
2025-01-18 04:08:04+00:00,2025-09-04 06:04:10+00:00,C D H｜林淑芬,0_shufen,1447376430235569,1447376430235569,235,6695.0,624937.0,口傳最快,8.75,,2025-01-18 12:08:04+08:00,2025-09-04 14:04:10+08:00,,Yes,MetaTool
2025-01-23 13:09:35+00:00,2025-10-04 16:47:04+00:00,C D H｜林淑芬,0_shufen,1312076044286364,1312076044286364,144,4297.0,413138.0,淦 感冒的聲音真好聽,4.62,,2025-01-23 21:09:35+08:00,2025-10-05 00:47:04+08:00,,Yes,MetaTool
2025-01-26 04:31:47+00:00,2025-03-04 22:40:36+00:00,C D H｜林淑芬,0_shufen,766487259340008,766487259340008,78,3816.0,457462.0,淦我笑死,9.47,,2025-01-26 12:31:47+08:00,2025-03-05 06:40:36+08:00,,Yes,MetaTool
2025-01-26 13:22:51+00:00,2025-09-11 00:40:48+00:00,C D H｜林淑芬,0_shufen,896432156127037,896432156127037,147,4380.0,496888.0,你們說不要字幕的，拿去用吧～不用客氣😉新年快樂🧧,13.58,,2025-01-26 21:22:51+08:00,2025-09-11 08:40:48+08:00,,Yes,MetaTool
2025-01-27 04:17:25+00:00,2025-09-12 07:11:59+00:00,C D H｜林淑芬,0_shufen,1969397717344780,1969397717344780,372,9329.0,876741.0,淦 感冒聲音好猥瑣😆,6.47,,2025-01-27 12:17:25+08:00,2025-09-12 15:11:59+08:00,,Yes,MetaTool
2025-01-28 13:32:22+00:00,2025-09-11 01:59:03+00:00,C D H｜林淑芬,0_shufen,4260731734242856,4260731734242856,86,5307.0,687920.0,灌我 灌滿我,9.27,,2025-01-28 21:32:22+08:00,2025-09-11 09:59:03+08:00,,Yes,MetaTool
2025-01-29 02:20:40+00:00,2025-12-10 14:30:53+00:00,C D H｜林淑芬,0_shufen,1221132536826852,1221132536826852,107,3241.0,521238.0,聽君一席話 如聽一席話😆,7.33,,2025-01-29 10:20:40+08:00,2025-12-10 22:30:53+08:00,,Yes,MetaTool
2025-02-06 12:58:57+00:00,2025-09-09 15:16:24+00:00,C D H｜林淑芬,0_shufen,918933700645823,918933700645823,133,5214.0,549296.0,來，柑你拿🍊見者有份😆,15.02,,2025-02-06 20:58:57+08:00,2025-09-09 23:16:24+08:00,,Yes,MetaTool
2025-02-15 05:06:57+00:00,2025-09-29 17:36:42+00:00,C D H｜林淑芬,0_shufen,1674118730414498,1674118730414498,43,1567.0,274344.0,你們都入坑了嗎？,9.3,,2025-02-15 13:06:57+08:00,2025-09-30 01:36:42+08:00,,Yes,MetaTool
2025-02-16 09:56:58+00:00,2025-03-04 22:40:36+00:00,C D H｜林淑芬,0_shufen,1430336078496526,1430336078496526,126,4586.0,453338.0,如果是你們在車廂內，看到一個彎著腰 捂著肚子的女生，還會叫她起來讓位嗎？,39.03,,2025-02-16 17:56:58+08:00,2025-03-05 06:40:36+08:00,,Yes,MetaTool
2025-02-17 05:21:34+00:00,2025-09-10 10:19:06+00:00,C D H｜林淑芬,0_shufen,1712588466381954,1712588466381954,94,4196.0,350173.0,我膽小不敢摸 我怕手會不自覺往下😳,11.47,,2025-02-17 13:21:34+08:00,2025-09-10 18:19:06+08:00,,Yes,MetaTool
2025-02-21 06:17:55+00:00,2025-04-27 23:19:51+00:00,C D H｜林淑芬,0_shufen,1947389076163325,1947389076163325,134,3351.0,298734.0,老公，你要多出來走走～不然我找不到你🥹,6.45,,2025-02-21 14:17:55+08:00,2025-04-28 07:19:51+08:00,,Yes,MetaTool
2025-02-24 03:25:08+00:00,2025-09-04 23:04:50+00:00,C D H｜林淑芬,0_shufen,1461416632060937,1461416632060937,123,3570.0,282899.0,😘Morning Blue？？no no🍑💨,6.43,,2025-02-24 11:25:08+08:00,2025-09-05 07:04:50+08:00,,Yes,MetaTool
2025-02-25 10:13:29+00:00,2025-09-10 14:19:00+00:00,C D H｜林淑芬,0_shufen,1827059617975966,1827059617975966,216,10104.0,821566.0,此時此刻，我明白了姐夫的重要性,18.67,,2025-02-25 18:13:29+08:00,2025-09-10 22:19:00+08:00,,Yes,MetaTool
2025-02-26 09:45:47+00:00,2025-09-06 21:26:18+00:00,C D H｜林淑芬,0_shufen,917708198102607,917708198102607,148,3509.0,288364.0,幫我看一下，哪張照片相親的成功率比較高？,5.63,,2025-02-26 17:45:47+08:00,2025-09-07 05:26:18+08:00,,Yes,MetaTool
2025-03-01 07:50:46+00:00,2025-09-12 09:15:59+00:00,C D H｜林淑芬,0_shufen,4295381947399091,4295381947399091,275,8564.0,590267.0,男人的嘴，騙人的鬼🥹,13.27,,2025-03-01 15:50:46+08:00,2025-09-12 17:15:59+08:00,,Yes,MetaTool
2025-03-03 07:54:39+00:00,2025-09-03 07:28:47+00:00,C D H｜林淑芬,0_shufen,2677577962592428,2677577962592428,150,3667.0,268524.0,你們有什麼好推薦？,9.67,,2025-03-03 15:54:39+08:00,2025-09-03 15:28:47+08:00,,Yes,MetaTool
