creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-09 09:27:06+00:00,2026-01-04 23:29:12+00:00,林瑄 SHIUAN,1_shiuan_0,2695879590779963,2695879590779963,71,5053.0,184371.0,"🌍地球真的是圓的！！
真的是鵝美景amazing 然後也看了很多美景💪🏼🤤

充當第一個跳下來的人 興奮又期待
大家會問那一刻在想什麼？？
其實沒辦法想什麼，可是真的期待太久了！
所以我好好感受在雲上飛的這一刻～～

從國小開始會跟爸媽說：我要跳飛機✈️
結果就變成我的人生清單之一
然後⋯在2025我完成了☑️
（當作這個月送給自己的生日禮物🎁）

這是澳洲🇦🇺第一支vlog
本來沒有要拍片 所以素材可能不夠 我也不知道會不會有下集ʕ •ᴥ•ʔ
祝福大家：我們來一起設立今年想突破的目標吧～～～",67.01,,2025-01-09 17:27:06+08:00,2026-01-05 07:29:12+08:00,DEmWhdovUS2,Yes,Instaloader
2025-01-13 16:00:00+00:00,2025-12-11 02:49:27+00:00,林瑄 SHIUAN,1_shiuan_0,905647892207621,905647892207621,161,4775.0,211146.0,"Happy Birthday to me, 30.
Keep shining for myself ✨

給自己最好的祝福：
放膽去做！繼續為自己閃耀！
01/14生日快樂🎂

Film by @ytzuu",46.58,,2025-01-14 00:00:00+08:00,2025-12-11 10:49:27+08:00,DExY1d1vTbO,Yes,Instaloader
2025-01-21 13:54:45+00:00,2025-05-14 15:03:35+00:00,林瑄 SHIUAN,1_shiuan_0,1240091294259615,1240091294259615,24,,242221.0,"欸！2025的Pantone色是什麼🤎？
沒錯～～～
我只是換了不同外套而已◉‿◉

好久沒拍穿搭影片 有點快樂😍
#瑄のlookbook 

沒變過的內穿，如下：
上衣：我前年的聯名，自己設計的 有夠愛穿 #airspaceladyxshiuan 
褲子： @yangi.official 這是男生的褲子，我穿最小碼哈哈哈
鞋子：之前分享過的NB鞋，剛好摩卡慕斯！今年穿爆它👟",28.19,,2025-01-21 21:54:45+08:00,2025-05-14 23:03:35+08:00,DFFwcPrPXEJ,Yes,Instaloader
2025-02-07 05:25:51+00:00,2025-03-06 03:29:22+00:00,林瑄 SHIUAN,1_shiuan_0,1616047336094765,1616047336094765,66,,173388.0,"在古代，如何尋找對象？？？
當然是從畫像找囉！不喜歡？那就滑掉😍😍

變身酈家六娘 酈家第六個女兒（自己講）
希望酈娘子趕緊幫我尋覓良緣嫁出去...謝謝娘～～～
這幾天追劇《五福臨門》好看~不小心入戲太深...

Netflix《五福臨門》現正熱播！
即日起至2/16 新北燈會 《五福臨門》展區
有手寫天燈祈福、假日限定的猜燈謎和宋代漢服穿越體驗
可以感受不同時代的風格 
拍照打卡，並追蹤官方YT ，就能獲得限量隨機的演員簽名小卡唷！

#Netflixtw #五福臨門 #新北燈會
@netflixtw",37.85,{'0': '524300206629920'},2025-02-07 13:25:51+08:00,2025-03-06 11:29:22+08:00,DFwn3DMv1_f,Yes,Instaloader
2025-02-10 13:01:22+00:00,2025-02-10 14:01:27+00:00,林瑄 SHIUAN,1_shiuan_0,1342837684338867,1342837684338867,24,1647.0,117718.0,"我的每天早晨就是⋯起床？再躺回去😍
Get ready with me!
Be a Red Camellia Girl❤️

迎接每一天早晨對我來說是超級開心的事
每天起床都要照鏡子好久 跟自己信心喊話、讚美自己
另外我真的好喜歡香奈兒1號紅色山茶花系列❣️
我的1號青春解方！已經用完兩罐了！！！
讓我最近常常分享素顏～因為非常認真保養啦～
所以這就來分享3+1保養步驟囉✨

💡我的保養撇步：
Step1- 紅色山茶花活能精萃，上完全臉
Step2- 紅色山茶花活能凝霜
（這瓶超不黏膩 很輕透！擦完會嚇到的那種舒服）
趁這時候，搭配按摩版讓肌膚好好吸收
Step3- 最後，紅色山茶花活能亮眼萃
補充眼周保養！因為我眼周細紋超乾！

以上就是我用了半年下來的保養步驟❤️❤️❤️
#CHANELSkincare
#N1DECHANEL
#紅色山茶花保養日常
@chanel.beauty",49.13,,2025-02-10 21:01:22+08:00,2025-02-10 22:01:27+08:00,DF5I9gavySL,Yes,Instaloader
2025-02-20 11:32:03+00:00,2025-06-20 06:25:26+00:00,林瑄 SHIUAN,1_shiuan_0,1239879777580553,1239879777580553,11,3718.0,282468.0,"純分享 非合作 快速の妝😍
原相機拍攝 無後置調色 無美肌 這顆腮紅就這麼好看啦🔥🔥

這個是去年夏天買的，每天使用。
（沒錯！就是這麼愛！愛到今天拍完馬上來剪🤣）
哈哈哈哈哈哈哈分享好東西就很快樂～～～
blush @chanel.beauty 色號3號",43.07,{'0': '3138167172989593'},2025-02-20 19:32:03+08:00,2025-06-20 14:25:26+08:00,DGSu0upvWbY,Yes,Instaloader
2025-02-28 05:56:27+00:00,2025-08-01 15:20:45+00:00,林瑄 SHIUAN,1_shiuan_0,945531841465081,945531841465081,28,8268.0,350505.0,"原來，搭經濟艙也可以躺平😍
只有搭過經濟艙のme⋯
只能好好評比經濟艙囉✈️

最近剛榮獲2025年最安全航空第一名✈️紐西蘭航空🇳🇿
以下幾點滿意👍🏼
1.晚上出發 一落地就是早上 可以直接開玩（超級優勢）
2.吃到飽 喝到飽 有夠開心（雖然我不喝酒 但媽媽倒是喝白酒紅酒喝到飽）
3.全程免費WiFi 可以使用 一直在空中傳訊息
4.費用實在比商務艙便宜太多 還可以兩個人睡（兩個人分擔費用更便宜）
5.東西都很好吃很新鮮

如果有機會一定要試試✨✨✨✈️
#紐西蘭 #空中沙發 #紐西蘭航空唯一台北直飛#skycouch

-
紐西蘭航空榮獲2025「全球最安全航空公司」
唯一直飛紐西蘭機票只要 $26,900 起
 
📅 活動期間：2025/3/3 – 2025/4/2
📅 旅遊期間：2025/4/3 – 2025/12/17
📍 最低票價：經濟艙$26,900 / 豪華經濟艙$55,900 / 豪華商務艙$95,900
👉 優惠詳情點這裡：https://pse.is/79fjjf",42.14,,2025-02-28 13:56:27+08:00,2025-08-01 23:20:45+08:00,DGmvvvdPG4L,Yes,Instaloader
2025-03-04 12:03:02+00:00,2025-03-06 03:56:38+00:00,林瑄 SHIUAN,1_shiuan_0,1207448171158988,1207448171158988,34,5827.0,291079.0,"騙媽媽出國去紐西蘭🇳🇿
才發現紐西蘭大自然 美到過分療癒
以防萬一 跟長輩出國都會吵架 最後還是要捉弄一下媽媽🤣🤣🤣

紐西蘭自駕必去，趕快收藏！
更多行程都在：最新YouTube影片中🎬（已上片）
這次紐西蘭觀光局安排超多秘境行程 真的大堆～～～😍
#完整版影片請至個人首頁連結🔗
Youtube🔍林瑄Hey!Shiuan

📍霍比屯電影外景地
《魔戒》與《哈比人》電影系列的取景地

📍蒂普亞Te Puia 地熱谷& 毛利文化之旅

📍塔拉威拉山水上飛機

📍生態溜索探險 EcoZip Adventures - Kaikōura

📍奧德賽海鮮巡遊 Seafood Odyssea Cruise

@purenewzealand #紐西蘭 #紐西蘭奇遇",13.35,{'0': '7895461110543850'},2025-03-04 20:03:02+08:00,2025-03-06 11:56:38+08:00,DGxszKyPzvH,Yes,Instaloader
2025-03-08 04:31:27+00:00,2025-04-29 19:27:24+00:00,林瑄 SHIUAN,1_shiuan_0,1440046200497385,1440046200497385,12,,113253.0,"終究回到自己 無論好與不好 enjoy it!

厭惡 藏匿 害怕 挖掘 真實 渴望 擁抱
無數個內心深處的詞彙 都成就現在的我
我，還是我，這才是我。

Let’s me！
Still expressing the voice of my heart through art.
「只是預告：期待成品與你們相見✨」

Photo by @lucas__visual 
Thank you, Lucas, for inviting me to create new and fun things together 📷",12.6,{'0': '857315423379085'},2025-03-08 12:31:27+08:00,2025-04-30 03:27:24+08:00,DG7MHO_vfgK,Yes,Instaloader
2025-03-12 10:22:15+00:00,2025-06-10 20:04:51+00:00,林瑄 SHIUAN,1_shiuan_0,1315058573837729,1315058573837729,23,3668.0,206117.0,"Jennie- like JENNIE❤️❤️❤️

No one can be like Jennie—she’s too unique✨
好喜歡這首

（從舞癡練到現在終於有點不一樣😂😂）
#還是好難",24.87,,2025-03-12 18:22:15+08:00,2025-06-11 04:04:51+08:00,DHGGAZ2PnBQ,Yes,Instaloader
2025-03-20 14:20:44+00:00,2025-03-22 15:20:49+00:00,林瑄 SHIUAN,1_shiuan_0,1465494418538272,1465494418538272,21,5798.0,313524.0,現在拍照跟健身一樣 還要非常不害臊😌（難）,19.41,,2025-03-20 22:20:44+08:00,2025-03-22 23:20:49+08:00,DHbJN6cP1dM,Yes,Instaloader
2025-03-26 14:22:14+00:00,2025-04-21 12:26:29+00:00,林瑄 SHIUAN,1_shiuan_0,2687315468296859,2687315468296859,28,,136358.0,"我的獨旅日記，試著變成⋯短影音（？）

我只能說：「我真的很討厭寫生。」
然後，我愛我的家鄉！
還有，完美主義的摩羯座😮‍💨 受不鳥！！",77.79,,2025-03-26 22:22:14+08:00,2025-04-21 20:26:29+08:00,DHqmeVkvezZ,Yes,Instaloader
2025-03-30 04:41:50+00:00,2025-05-01 05:18:04+00:00,林瑄 SHIUAN,1_shiuan_0,1274924217894861,1274924217894861,24,9818.0,516743.0,"POV 當兩個INFP魔羯女出遊的時候⋯
有以下情況：
1.自嗨
2.超廢
3.超ㄎㄧㄤ
4.怪+怪
⋯還有很多^_^

我們其實認識了七八年⋯但都很宅⋯⋯
初次合體，請等候我們的YT影片🎬🤣🤣🤣",15.6,{'0': '906335582138207'},2025-03-30 12:41:50+08:00,2025-05-01 13:18:04+08:00,DHz2xPCvUtZ,Yes,Instaloader
