creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 09:01:08+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,939289909034385,939289909034385,0,165.0,18858.0,"想跳槽用摺疊機的趁現在！
最多省近一萬五超划算～

📱買手機到米可 🛒  @miko3c168 
https://s.miko3c.com/mikowb

miko米可手機館～手機市場天天突破新低價！攜碼續約超殺折扣，舊機回收高價返現，五星服務好評見證。挑手機，選米可，您通訊生活的好鄰居！
💖手機新低價格：https://s.miko3c.com/quotation
💖舊機高價回收：https://s.miko3c.com/recycling
💖門市據點查詢：https://s.miko3c.com/locations

#摺疊機 #折疊機 #三星 #moto #折疊機優惠 #折疊機推薦",55.06,,2025-01-02 17:01:08+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
2025-01-04 08:01:25+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,1446065200228979,1446065200228979,6,384.0,28869.0,"避免容貌焦慮所以禁用濾鏡！你們怎麼想？

#容貌焦慮 #濾鏡 #社群平台 #禁用濾鏡 #instagram  #facebook #tiktok",35.01,,2025-01-04 16:01:25+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
2025-01-05 08:01:30+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,25997989476476232,25997989476476227,4,301.0,28985.0,"薯條姐 @bella_chiu_qq 帶我吃最好吃的便當！

#薯條姐 #bmw #新莊美食 #美食推薦 #新莊bmw #推薦",46.36,,2025-01-05 16:01:30+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
2025-01-07 09:01:40+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,2873351462850420,2873351462850420,10,801.0,56035.0,"睡前千萬不要滑手機！居然會產生XXX

📱買手機到米可 🛒 @miko3c168 
https://www.miko3c.com

#滑手機 #睡前滑手機 #手機 #手機小知識 #睡前",49.96,,2025-01-07 17:01:40+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
2025-01-09 09:01:24+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,2271401573685683,2271401573685683,2,232.0,17290.0,"電動車可以用無線充電！

📱買手機到米可 🛒  @miko3c168 
https://s.miko3c.com/mikowb

miko米可手機館～手機市場天天突破新低價！攜碼續約超殺折扣，舊機回收高價返現，五星服務好評見證。挑手機，選米可，您通訊生活的好鄰居！
💖手機新低價格：https://s.miko3c.com/quotation
💖舊機高價回收：https://s.miko3c.com/recycling
💖門市據點查詢：https://s.miko3c.com/locations

#電動車 #無線充電 #電動車無線充電 #電動車充電 #電動車新聞 #電動車充電樁",38.83,,2025-01-09 17:01:24+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
2025-01-11 08:01:07+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,1449066426911182,1449066426911182,17,2732.0,251356.0,"護照過期？現在線上申辦更換超方便

#護照過期 #更換護照 #申請護照 #線上更換護照 #護照線上申請 #護照",35.14,,2025-01-11 16:01:07+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
2025-01-12 08:00:57+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,1432890131814645,1432890131814645,2,216.0,15622.0,"Aston martin終極超跑！

#超跑 #跑車 #AstonMartin #終極超跑 #car #supercars",48.55,,2025-01-12 16:00:57+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
2025-01-14 09:00:45+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,1817270235621275,1817270235621275,1,170.0,18251.0,"一口吃掉價值兩億的香蕉！

📱買手機到米可 🛒  @miko3c168 
https://s.miko3c.com/mikowb

miko米可手機館～手機市場天天突破新低價！攜碼續約超殺折扣，舊機回收高價返現，五星服務好評見證。挑手機，選米可，您通訊生活的好鄰居！
💖手機新低價格：https://s.miko3c.com/quotation
💖舊機高價回收：https://s.miko3c.com/recycling
💖門市據點查詢：https://s.miko3c.com/locations

#兩億香蕉 #卡特蘭 #拍賣 #香蕉 #義大利藝術家 #藝術品",41.45,,2025-01-14 17:00:45+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
2025-01-16 09:01:14+00:00,2025-04-03 14:32:47+00:00,Tim哥,3ctim,768562132594678,768562132594678,0,233.0,20218.0,"遇到這些問題ChatGPT會拒絕回答！

📱買手機到米可 🛒 @miko3c168 
https://s.miko3c.com/mikowb

miko米可手機館～手機市場天天突破新低價！攜碼續約超殺折扣，舊機回收高價返現，五星服務好評見證。挑手機，選米可，您通訊生活的好鄰居！
💖手機新低價格：https://s.miko3c.com/quotation
💖舊機高價回收：https://s.miko3c.com/recycling
💖門市據點查詢：https://s.miko3c.com/locations

#ai #chatgpt #chatgpt4o #ChatGPTPro #ai指令 #openai",41.32,,2025-01-16 17:01:14+08:00,2025-04-03 22:32:47+08:00,,Yes,MetaTool
2025-01-18 08:00:58+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,25772003975826000,25772003975825997,2,459.0,35252.0,"你用AirDrop畫質怪怪的嗎？一定是因為沒有做這個設定！

#airdrop #iphone #airdrop傳檔 #airdrop畫質 #蘋果小技巧 #蘋果技巧",17.49,,2025-01-18 16:00:58+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
2025-01-19 08:01:15+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,1157873572946622,1157873572946622,1,215.0,18883.0,"特斯拉執行長馬斯克要跨足AI遊戲產業！

#特斯拉 #tesla #執行長 #ai #ai遊戲 #game",36.18,,2025-01-19 16:01:15+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
2025-01-21 09:07:27+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,1466065781599985,1466065781599985,0,341.0,22310.0,"果迷一定知道的Apple Day！
一年只有一次
一家購買全台服務
舊換新加碼折抵25%
Apple 專員轉移備份一條龍服務

@tk3c_taiwan 
@tkappleshop
#AppleDay #tk3c #appleshop",83.22,,2025-01-21 17:07:27+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
2025-01-22 18:02:42+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,1965299684085347,1965299684085347,4,428.0,24036.0,"Samsung Galaxy S25 Series全色系一次看！還有獨家限定色

 #galaxyai #withgalaxy #galaxyunpacked",85.93,,2025-01-23 02:02:42+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
2025-01-23 02:16:50+00:00,2025-02-18 05:17:07+00:00,Tim哥,3ctim,1272390101503609,1272390101503609,25,1442.0,68729.0,"挑戰台灣第二個拿到S25 Ultra的人？
對！我就是跟在 @joemanweng 後面！
接下來會有開箱實測！想看什麼歡迎留言！

（留言抓出我影片搞笑的是哪一段）

#GalaxyS25 #GalaxyS25Ultra #GalaxyAI #AI神隊友說了算",64.3,,2025-01-23 10:16:50+08:00,2025-02-18 13:17:07+08:00,,Yes,MetaTool
