creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-26 02:51:13+00:00,2025-05-21 23:13:46+00:00,阿啾小劇場,achusan0817,1427164119064164,1427164119064164,19,4435.0,165014.0,"雅婷生日禮物竟然要看XX?
神秘的家教數字，你推誰（x
完整影片在yt🤡",59.63,,2025-01-26 10:51:13+08:00,2025-05-22 07:13:46+08:00,,Yes,MetaTool
2025-01-28 05:32:37+00:00,2025-02-04 09:26:45+00:00,阿啾小劇場,achusan0817,1588158132412448,1588158132412448,34,4068.0,126949.0,"叛逆仙子祝大家新年快樂😈🫶🧧
紅包拿滿滿🧧
分享按讚ㄉ人2025賺大錢💰💰",32.16,,2025-01-28 13:32:37+08:00,2025-02-04 17:26:45+08:00,,Yes,MetaTool
2025-01-30 01:30:00+00:00,2025-08-02 10:13:12+00:00,阿啾小劇場,achusan0817,1930533867546917,1930533867546917,51,5146.0,416702.0,"阿啾小劇場第一組有聲LINE貼圖登場啦！
搜尋🔍 阿啾小劇場 經典名言有聲貼圖
貼圖連結➤ https://line.me/S/sticker/33673
—————
獎勵資訊：
這組新貼圖有參加 貼圖的活動
2.2前，購買、傳送、互動，都可以拿獎！
活動詳情看這邊➤ https://lin.ee/RNsELF7/crtw

買就抽，人人有獎！10萬元豪華郵輪旅遊金、代幣等你拿
傳我的貼圖給親朋好友，再賺LINE POINTS 888點
每晚8點-10點，去「LINE貼圖最前線」官方帳號玩戳紅包，最高再拿免費LINE POINTS 66點",59.64,,2025-01-30 09:30:00+08:00,2025-08-02 18:13:12+08:00,,Yes,MetaTool
2025-02-10 12:51:33+00:00,2025-08-03 00:00:20+00:00,阿啾小劇場,achusan0817,25716524344622648,25716524344622646,27,4912.0,134690.0,"最近一直被洗版的全家哆啦貓貓帽終於買到惹😍
但是全部都不戴😍
#全家便利商店",67.47,,2025-02-10 20:51:33+08:00,2025-08-03 08:00:20+08:00,,Yes,MetaTool
2025-02-15 05:26:26+00:00,2025-02-17 11:46:30+00:00,阿啾小劇場,achusan0817,1227889482773274,1227889482773274,7,3201.0,162828.0,媽媽自發性學日文 好感動喔😍,33.3,,2025-02-15 13:26:26+08:00,2025-02-17 19:46:30+08:00,,Yes,MetaTool
2025-04-03 13:00:22+00:00,2025-04-04 04:20:27+00:00,阿啾小劇場,achusan0817,25659963616959712,25659963616959712,17,1984.0,162172.0,"錄到後面詞窮的畫博宣傳影片
連假快來找我們玩吧😈",28.42,,2025-04-03 21:00:22+08:00,2025-04-04 12:20:27+08:00,,Yes,MetaTool
2025-04-17 06:22:47+00:00,2025-09-05 14:06:23+00:00,阿啾小劇場,achusan0817,679764201820887,679764201820887,9,2317.0,198941.0,你身邊，也有抖M仙子嗎🧚‍♀️,62.7,,2025-04-17 14:22:47+08:00,2025-09-05 22:06:23+08:00,,Yes,MetaTool
2025-04-30 05:40:15+00:00,2025-07-24 08:02:15+00:00,阿啾小劇場,achusan0817,1527634674965258,1527634674965258,9,2872.0,269319.0,"小時候玩楓之谷第一次發現免費的最貴的瞬間
完整影片在yt",60.3,,2025-04-30 13:40:15+08:00,2025-07-24 16:02:15+08:00,,Yes,MetaTool
2025-04-30 11:13:12+00:00,2025-07-17 02:58:20+00:00,阿啾小劇場,achusan0817,836789582667721,836789582667721,21,2257.0,265315.0,"一起來喝珍奶叛逆叛逆
#國際珍奶日",8.26,,2025-04-30 19:13:12+08:00,2025-07-17 10:58:20+08:00,,Yes,MetaTool
2025-05-31 04:04:43+00:00,2025-08-06 07:54:03+00:00,阿啾小劇場,achusan0817,882627378029897,882627378029897,41,7590.0,278166.0,"早安，端午節快樂
你今天立蛋了嗎端午端午",42.73,,2025-05-31 12:04:43+08:00,2025-08-06 15:54:03+08:00,,Yes,MetaTool
2025-06-01 11:35:26+00:00,2025-08-04 10:55:10+00:00,阿啾小劇場,achusan0817,775133925642645,775133925642645,51,3097.0,355987.0,"學長約學弟早餐局淪陷　
網封：口嫌體正直大師
（謎之新聞下標）",33.9,,2025-06-01 19:35:26+08:00,2025-08-04 18:55:10+08:00,,Yes,MetaTool
2025-06-11 12:12:29+00:00,2025-07-02 00:07:21+00:00,阿啾小劇場,achusan0817,33631434833138912,33631434833138912,17,5701.0,201873.0,"當兵時不僅海爾斯離開我，也因為流汗憂鬱而爆長痘痘==
這時選對淨痘產品真的很重要！在裡面也要好好保養自己的臉~

推薦大家用 #PAIR淨痘調理洗面乳​ 清潔肌膚，再用 #PAIR皮脂調理化妝水​ 補水保濕，「先清潔、後保濕」的簡單双對策，臉就能估溜估溜欸‼️

#日本專業淨痘品牌 #PAIR沛醫亞 哪裡買🛒
這裡👉 各⼤藥妝、量販店、超市及藥局，都買的到哦~
跟這裡👉 獅王官網、momo、PChome、蝦皮全都有！
還有這裡👉 https://reurl.cc/QY5ax2 (限時優惠中…)

#日本熱銷台灣買得到  @lion_tw",59.73,{'0': '2302232763591258'},2025-06-11 20:12:29+08:00,2025-07-02 08:07:21+08:00,,Yes,MetaTool
2025-06-15 02:12:34+00:00,2025-08-03 17:41:39+00:00,阿啾小劇場,achusan0817,1702890164455275,1702890164455275,31,17639.0,351552.0,疑惑了13年的笑容之謎☺️☺️😡🤬,45.33,,2025-06-15 10:12:34+08:00,2025-08-04 01:41:39+08:00,,Yes,MetaTool
2025-06-18 06:39:20+00:00,2025-08-03 01:30:20+00:00,阿啾小劇場,achusan0817,2787484758266371,2787484758266371,103,17196.0,367692.0,"開箱啾啾妹神秘包裹😱
@chuchumei__",80.77,{'0': '1081312296942686'},2025-06-18 14:39:20+08:00,2025-08-03 09:30:20+08:00,,Yes,MetaTool
2025-06-29 04:19:05+00:00,2026-01-21 03:09:32+00:00,阿啾小劇場,achusan0817,1449050630347015,1449050630347015,80,30606.0,452259.0,"第一次交往不知道要做什麼
只好求助網路的男人。",83.6,,2025-06-29 12:19:05+08:00,2026-01-21 11:09:32+08:00,,Yes,MetaTool
2025-07-05 10:29:11+00:00,2026-01-07 14:34:23+00:00,阿啾小劇場,achusan0817,1208897204751598,1208897204751598,15,7226.0,211014.0,"第一次跟學長私會，
學長竟中邪。",98.73,,2025-07-05 18:29:11+08:00,2026-01-07 22:34:23+08:00,,Yes,MetaTool
2025-07-10 03:22:20+00:00,2025-07-24 20:41:05+00:00,阿啾小劇場,achusan0817,1408172037450523,1408172037450523,4,3988.0,159770.0,"去泰國玩恐怖密室
小天使直接開心到大爆笑==
完整版在yt唷！",71.9,,2025-07-10 11:22:20+08:00,2025-07-25 04:41:05+08:00,,Yes,MetaTool
2025-07-16 03:32:10+00:00,2025-08-06 17:08:22+00:00,阿啾小劇場,achusan0817,771372086008052,771372086008052,55,9589.0,236877.0,"新楓之谷20週年x紅葉蛋糕，超喔伊細的杯子蛋糕再加上可以互動的盒子，不管是吃的，還是玩的
都 阿娜答🫶（？
#新楓之谷 #20週年 #Maple20紅葉蛋糕
@maplestory_tw",83.87,{'0': '1221915689405063'},2025-07-16 11:32:10+08:00,2025-08-07 01:08:22+08:00,,Yes,MetaTool
2025-07-20 06:39:30+00:00,2025-07-21 14:59:35+00:00,阿啾小劇場,achusan0817,1090147769904319,1090147769904319,0,76.0,1733.0,"拉補仙子的三種型態
與對熱戀期感到噁心的老人。",56.08,,2025-07-20 14:39:30+08:00,2025-07-21 22:59:35+08:00,,Yes,MetaTool
2025-07-24 07:26:02+00:00,2025-08-05 16:47:14+00:00,阿啾小劇場,achusan0817,1228257948703376,1228257948703376,57,15090.0,266136.0,不小心跟朋友大出櫃，結果結局麵疙瘩。,65.27,,2025-07-24 15:26:02+08:00,2025-08-06 00:47:14+08:00,,Yes,MetaTool
2025-07-25 05:34:35+00:00,2025-09-14 02:34:07+00:00,阿啾小劇場,achusan0817,1656415559010516,1656415559010516,48,6477.0,182119.0,僅存於回憶中的學長情話🤡,58.7,,2025-07-25 13:34:35+08:00,2025-09-14 10:34:07+08:00,,Yes,MetaTool
2025-07-29 04:24:30+00:00,2025-08-03 11:14:06+00:00,阿啾小劇場,achusan0817,1231461265598463,1231461265598463,28,4397.0,163044.0,熱戀期吃醋ㄉ阿啾，好青春R。,95.3,,2025-07-29 12:24:30+08:00,2025-08-03 19:14:06+08:00,,Yes,MetaTool
2025-08-03 04:08:27+00:00,2025-08-06 18:29:36+00:00,阿啾小劇場,achusan0817,1430880395294793,1430880395294793,18,4414.0,188942.0,"阿啾學長默契測驗精華
學長起床的第一件事：把屁股抬高",66.0,,2025-08-03 12:08:27+08:00,2025-08-07 02:29:36+08:00,,Yes,MetaTool
2025-08-05 13:14:14+00:00,2025-08-11 04:34:19+00:00,阿啾小劇場,achusan0817,1349577523605812,1349577523605812,77,15924.0,278887.0,"叛逆仙子帶你搶先逛文博會阿啾攤位！
但一直被霸凌。
8/7-11一定要來找我們唷❤️",83.48,,2025-08-05 21:14:14+08:00,2025-08-11 12:34:19+08:00,,Yes,MetaTool
2025-08-06 13:38:43+00:00,2025-08-06 20:16:55+00:00,阿啾小劇場,achusan0817,895116943103300,895116943103300,64,18428.0,339029.0,叛逆仙子施展恢復笑容的魔法😍,22.92,,2025-08-06 21:38:43+08:00,2025-08-07 04:16:55+08:00,,Yes,MetaTool
2025-08-09 14:11:20+00:00,2025-08-10 03:21:26+00:00,阿啾小劇場,achusan0817,795646443566937,795646443566937,53,20096.0,339607.0,過動ㄉ叛逆仙子上班小碎片🤣,53.03,,2025-08-09 22:11:20+08:00,2025-08-10 11:21:26+08:00,,Yes,MetaTool
2025-08-15 08:51:07+00:00,2025-08-15 10:11:12+00:00,阿啾小劇場,achusan0817,2389904224795173,2389904224795173,14,4982.0,159136.0,說好的校園戀愛呢我就問,73.54,,2025-08-15 16:51:07+08:00,2025-08-15 18:11:12+08:00,,Yes,MetaTool
2025-08-18 08:21:43+00:00,2025-08-18 13:41:49+00:00,阿啾小劇場,achusan0817,1239658971602443,1239658971602443,37,9888.0,225319.0,"帶學長初見雅婷
兩人的第一印象⚠️",21.83,,2025-08-18 16:21:43+08:00,2025-08-18 21:41:49+08:00,,Yes,MetaTool
2025-08-26 04:02:06+00:00,2025-08-26 07:12:40+00:00,阿啾小劇場,achusan0817,1605862287318959,1605862287318959,16,3833.0,107600.0,內心小劇場很多ㄉme,59.47,,2025-08-26 12:02:06+08:00,2025-08-26 15:12:40+08:00,,Yes,MetaTool
2025-08-30 09:18:48+00:00,2025-09-01 11:29:23+00:00,阿啾小劇場,achusan0817,1600821540942041,1600821540942041,17,4646.0,137299.0,剛跟學長在一起時，想要手作教材ㄉme,48.8,,2025-08-30 17:18:48+08:00,2025-09-01 19:29:23+08:00,,Yes,MetaTool
2025-09-05 05:12:32+00:00,2025-09-20 12:12:47+00:00,阿啾小劇場,achusan0817,1439062357802345,1439062357802345,75,24485.0,467109.0,"第一次住學長家
以為有那個結果那個",64.7,,2025-09-05 13:12:32+08:00,2025-09-20 20:12:47+08:00,,Yes,MetaTool
2025-09-16 03:55:18+00:00,2025-09-18 05:55:36+00:00,阿啾小劇場,achusan0817,1330587915773020,1330587915773020,9,3645.0,112882.0,當朋友想說你胖但又不明說,45.47,,2025-09-16 11:55:18+08:00,2025-09-18 13:55:36+08:00,,Yes,MetaTool
2025-09-19 04:55:24+00:00,2025-09-21 07:35:59+00:00,阿啾小劇場,achusan0817,1381876039900474,1381876039900474,9,4059.0,117755.0,以為哭得很像偶像劇殊不知就是個怪人,66.27,,2025-09-19 12:55:24+08:00,2025-09-21 15:35:59+08:00,,Yes,MetaTool
2025-09-19 12:36:08+00:00,2025-09-25 05:36:54+00:00,阿啾小劇場,achusan0817,922015633603430,922015633603430,118,31564.0,450177.0,"😈我的叛逆叛逆故事-黃明志篇
叛逆叛逆殊不知是正義正義的小故事🧚‍♀️
《兩個好朋友》 MV:https://youtu.be/zOnn4ZwSkVI?si=u56lpMErUG12AyQE
@namewee",101.97,{'0': '7408042202624582'},2025-09-19 20:36:08+08:00,2025-09-25 13:36:54+08:00,,Yes,MetaTool
2025-09-28 11:02:45+00:00,2025-09-30 13:03:12+00:00,阿啾小劇場,achusan0817,1876911423014804,1876911423014804,12,3404.0,106290.0,"第一次被朋友帶去新竹以為可以去很多景點的me:
也不是不好啦⋯（？）",46.43,,2025-09-28 19:02:45+08:00,2025-09-30 21:03:12+08:00,,Yes,MetaTool
2025-10-03 04:13:06+00:00,2025-10-05 08:53:30+00:00,阿啾小劇場,achusan0817,1371097751458784,1371097751458784,6,2136.0,87158.0,"小時候想當yoyo台葛格
長大後發現已來不及（？）",42.8,,2025-10-03 12:13:06+08:00,2025-10-05 16:53:30+08:00,,Yes,MetaTool
2025-10-13 05:40:26+00:00,2025-10-16 10:11:00+00:00,阿啾小劇場,achusan0817,1527070421734299,1527070421734299,12,2163.0,78603.0,高中時把交友網站當作英文學習工具的我們,67.27,,2025-10-13 13:40:26+08:00,2025-10-16 18:11:00+08:00,,Yes,MetaTool
2025-10-16 04:10:55+00:00,2025-10-19 20:11:27+00:00,阿啾小劇場,achusan0817,1416078949964131,1416078949964131,4,1599.0,61501.0,J人的夢想是把行程表放進美術館展覽,59.1,,2025-10-16 12:10:55+08:00,2025-10-20 04:11:27+08:00,,Yes,MetaTool
2025-10-16 10:00:00+00:00,2025-10-18 11:00:31+00:00,阿啾小劇場,achusan0817,25647401174887432,25647401174887427,18,4345.0,88507.0,"三十歲的叛逆仙子-01
現正負債中。
-
阿啾小賣店正式開張✨
詳情🔍阿啾小賣店或IG主頁連結",45.35,,2025-10-16 18:00:00+08:00,2025-10-18 19:00:31+08:00,,Yes,MetaTool
2025-10-18 09:00:00+00:00,2025-10-21 12:50:11+00:00,阿啾小劇場,achusan0817,929267202828667,929267202828667,14,4411.0,104225.0,"三十歲的叛逆仙子
健康出了一點問題😭",26.12,,2025-10-18 17:00:00+08:00,2025-10-21 20:50:11+08:00,,Yes,MetaTool
2025-10-22 08:56:58+00:00,2026-01-18 11:05:14+00:00,阿啾小劇場,achusan0817,829402533445981,829402533445981,21,4084.0,54112.0,被健身房制裁的三十歲叛逆仙子,50.78,,2025-10-22 16:56:58+08:00,2026-01-18 19:05:14+08:00,,Yes,MetaTool
2025-10-24 10:00:00+00:00,2025-10-31 09:40:07+00:00,阿啾小劇場,achusan0817,1428620308957643,1428620308957643,37,11104.0,66107.0,"雜毛亂噴真的會嚇鼠人==
馬上使用Alisha男仕淨除霜，
五分鐘快速收服雜毛！
快速擺脫雜毛仙子🧚‍♀️

#日日美鋪 #AliSHA #淨除霜 #除毛 #理毛 #淨毛 #男仕淨毛領導品牌",50.16,,2025-10-24 18:00:00+08:00,2025-10-31 17:40:07+08:00,,Yes,MetaTool
2025-10-30 04:10:37+00:00,2025-11-03 11:41:17+00:00,阿啾小劇場,achusan0817,1290363346481779,1290363346481779,9,1559.0,63804.0,小孩半夜哭鬧，自尊一直受創的阿啾,62.5,,2025-10-30 12:10:37+08:00,2025-11-03 19:41:17+08:00,,Yes,MetaTool
2025-10-31 05:11:47+00:00,2025-11-03 10:02:33+00:00,阿啾小劇場,achusan0817,2073119686811894,2073119686811894,4,2047.0,75382.0,國中的我 眼睛有神秘黑暗的力量。,61.73,,2025-10-31 13:11:47+08:00,2025-11-03 18:02:33+08:00,,Yes,MetaTool
2025-11-06 02:32:06+00:00,2025-11-14 13:45:52+00:00,阿啾小劇場,achusan0817,1208312338051365,1208312338051365,5,1591.0,50065.0,"叛逆仙子首款有聲動態貼圖上架啦！
讓你的聊天室充滿了叛逆叛逆的叫聲⚡️
💚Line貼圖小舖搜尋🔍叛逆仙子大聲叛逆叛逆！有聲貼圖
https://line.me/S/sticker/36089",54.47,,2025-11-06 10:32:06+08:00,2025-11-14 21:45:52+08:00,,Yes,MetaTool
2025-11-14 12:00:00+00:00,2025-11-21 10:10:06+00:00,阿啾小劇場,achusan0817,1291112863068477,1291112863068477,38,13968.0,203022.0,"最近動畫越畫越慢⋯
就在聖誕節這天發現加速畫畫的方式！

芙菲小圓餅聖誕限定新包裝
小小杯一口一個分享都方便❤️
上市時間：11/15(六)
任選三入芙菲MINI隨手杯即贈
聖誕帽造型提袋一個，
贈品數量有限，贈完為止！

#小熊菓子
#芙菲小圓餅",81.34,,2025-11-14 20:00:00+08:00,2025-11-21 18:10:06+08:00,,Yes,MetaTool
2025-11-18 05:03:34+00:00,2025-11-20 18:03:53+00:00,阿啾小劇場,achusan0817,1166937888848855,1166937888848855,13,2861.0,86230.0,初老症狀 你中幾個（也才三個）,54.43,,2025-11-18 13:03:34+08:00,2025-11-21 02:03:53+08:00,,Yes,MetaTool
2025-11-19 12:49:41+00:00,2025-11-22 12:29:47+00:00,阿啾小劇場,achusan0817,1550447156212193,1550447156212193,19,2850.0,54464.0,轉學生的技能是一秒脫衣服。,90.42,,2025-11-19 20:49:41+08:00,2025-11-22 20:29:47+08:00,,Yes,MetaTool
2025-11-28 07:07:09+00:00,2025-12-01 14:27:53+00:00,阿啾小劇場,achusan0817,1522640228811404,1522640228811404,12,2166.0,72481.0,"身為一個超級迷路人
只要地標消失
就會立刻迷路。",48.27,,2025-11-28 15:07:09+08:00,2025-12-01 22:27:53+08:00,,Yes,MetaTool
2025-12-04 06:25:06+00:00,2025-12-07 23:55:47+00:00,阿啾小劇場,achusan0817,1514350370109742,1514350370109742,6,2388.0,64508.0,當朋友知道你痛風不能亂吃東西時：,44.93,,2025-12-04 14:25:06+08:00,2025-12-08 07:55:47+08:00,,Yes,MetaTool
2025-12-08 05:47:22+00:00,2025-12-10 11:48:00+00:00,阿啾小劇場,achusan0817,1194464255774484,1194464255774484,7,2961.0,87971.0,學長跟各位報告2025台灣必追新聞。,44.93,,2025-12-08 13:47:22+08:00,2025-12-10 19:48:00+08:00,,Yes,MetaTool
