creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-03 02:08:00+00:00,2025-07-01 14:35:02+00:00,超級熱狗王 林敬傑  IFBB PRO,ackj0301_ifbbpro,1276996967613488,1276996967613488,89,19224.0,657978.0,"把這影片傳給你那不愛練腿的朋友
-
Video @1997.5.25 
-
@gopower_tw
<redacted_mention>
@teamjoined
@stepx.fitness
@guard.tw
@itsonion.co 
-
#迷因熱狗 #熱狗王 #ifbbpro
#ifbbproleague #線上課程 #備賽
#健美 #muscle #legday #workoutmotivation",26.61,{'0': '975302085468289'},2025-01-03 10:08:00+08:00,2025-07-01 22:35:02+08:00,,Yes,MetaTool
2025-01-05 04:47:12+00:00,2025-10-08 22:35:09+00:00,超級熱狗王 林敬傑  IFBB PRO,ackj0301_ifbbpro,758824207282803,758824207282803,124,12747.0,434076.0,"句句不提人，句句都是人
-
@green_father_bj 
-
Video @1997.5.25 
-
@gopower_tw
<redacted_mention>
@teamjoined
@stepx.fitness
@guard.tw
@itsonion.co 
-
#迷因熱狗 #熱狗王 #ifbbpro
#ifbbproleague #線上課程 #備賽
#健美 #muscle #legday #workoutmotivation",89.79,"{'0': '975302085468289', '1': '2902304436602628'}",2025-01-05 12:47:12+08:00,2025-10-09 06:35:09+08:00,,Yes,MetaTool
2025-01-07 07:22:04+00:00,2025-02-09 12:49:34+00:00,超級熱狗王 林敬傑  IFBB PRO,ackj0301_ifbbpro,926926990015418,926926990015418,60,9595.0,387703.0,"健身房之高蛋白狗徒
-
@green_father_bj 
-
Video @1997.5.25 
-
@gopower_tw
<redacted_mention>
@teamjoined
@stepx.fitness
@guard.tw
@itsonion.co 
-
#迷因熱狗 #熱狗王 #ifbbpro
#ifbbproleague #線上課程 #備賽
#健美 #muscle #legday #workoutmotivation",86.4,"{'0': '975302085468289', '1': '2902304436602628'}",2025-01-07 15:22:04+08:00,2025-02-09 20:49:34+08:00,,Yes,MetaTool
2025-01-10 09:29:35+00:00,2025-07-08 02:33:11+00:00,超級熱狗王 林敬傑  IFBB PRO,ackj0301_ifbbpro,1675071656685869,1675071656685869,67,6308.0,270731.0,"天氣就算回溫了，她也不會對你回溫喔！
-
@green_father_bj 
-
Video @1997.5.25 
-
@gopower_tw
<redacted_mention>
@teamjoined
@stepx.fitness
@guard.tw
@itsonion.co 
-
#迷因熱狗 #熱狗王 #ifbbpro
#ifbbproleague #線上課程 #備賽
#健美 #muscle #legday #workoutmotivation",35.73,"{'0': '975302085468289', '1': '2902304436602628'}",2025-01-10 17:29:35+08:00,2025-07-08 10:33:11+08:00,,Yes,MetaTool
2025-01-12 06:03:41+00:00,2025-07-11 01:04:35+00:00,超級熱狗王 林敬傑  IFBB PRO,ackj0301_ifbbpro,898550106439230,898550106439230,99,13216.0,475203.0,"無論如何都要記住你的背後是你的背後
-
@green_father_bj 
-
Video @1997.5.25 
-
@gopower_tw
<redacted_mention>
@teamjoined
@stepx.fitness
@guard.tw
@itsonion.co 
-
#迷因熱狗 #熱狗王 #ifbbpro
#ifbbproleague #線上課程 #備賽
#健美 #muscle #legday #workoutmotivation",54.31,"{'0': '975302085468289', '1': '2902304436602628'}",2025-01-12 14:03:41+08:00,2025-07-11 09:04:35+08:00,,Yes,MetaTool
2025-01-14 11:39:16+00:00,2025-07-07 13:19:03+00:00,超級熱狗王 林敬傑  IFBB PRO,ackj0301_ifbbpro,896573786431700,896573786431700,28,5872.0,310805.0,"說話的藝術懂不懂？
-
@green_father_bj 
-
Video @1997.5.25 
-
@gopower_tw
<redacted_mention>
@teamjoined
@stepx.fitness
@guard.tw
@itsonion.co 
-
#迷因熱狗 #熱狗王 #ifbbpro
#ifbbproleague #線上課程 #備賽
#健美 #muscle #legday #workoutmotivation",34.69,"{'0': '975302085468289', '1': '2902304436602628'}",2025-01-14 19:39:16+08:00,2025-07-07 21:19:03+08:00,,Yes,MetaTool
2025-01-16 03:32:56+00:00,2025-11-19 20:10:49+00:00,超級熱狗王 林敬傑  IFBB PRO,ackj0301_ifbbpro,795329636928337,795329636928337,76,7567.0,278590.0,"所以愛會消失嗎？
-
@green_father_bj 
-
Video @1997.5.25 
-
@gopower_tw
<redacted_mention>
@teamjoined
@stepx.fitness
@guard.tw
@itsonion.co 
-
#迷因熱狗 #熱狗王 #ifbbpro
#ifbbproleague #線上課程 #備賽
#健美 #muscle #legday #workoutmotivation",53.1,"{'0': '975302085468289', '1': '2902304436602628'}",2025-01-16 11:32:56+08:00,2025-11-20 04:10:49+08:00,,Yes,MetaTool
2025-01-19 07:42:40+00:00,2025-02-09 12:49:34+00:00,超級熱狗王 林敬傑  IFBB PRO,ackj0301_ifbbpro,1733521424273268,1733521424273268,21,5693.0,334000.0,"肌肉是給人看的，不是拿來分享的！
-
@green_father_bj 
-
Video @1997.5.25 
-
@gopower_tw
<redacted_mention>
@teamjoined
@stepx.fitness
@guard.tw
@itsonion.co 
-
#迷因熱狗 #熱狗王 #ifbbpro
#ifbbproleague #線上課程 #備賽
#健美 #muscle #legday #workoutmotivation",59.3,"{'0': '975302085468289', '1': '2902304436602628'}",2025-01-19 15:42:40+08:00,2025-02-09 20:49:34+08:00,,Yes,MetaTool
2025-01-21 05:39:49+00:00,2025-08-02 03:38:04+00:00,超級熱狗王 林敬傑  IFBB PRO,ackj0301_ifbbpro,2362073634238613,2362073634238613,49,8586.0,363249.0,"問題來了，甲在哪？
-
Video @1997.5.25 
-
@gopower_tw
<redacted_mention>
@teamjoined
@stepx.fitness
@guard.tw
@itsonion.co 
-
#迷因熱狗 #熱狗王 #ifbbpro
#ifbbproleague #線上課程 #備賽
#健美 #muscle #legday #workoutmotivation",25.5,{'0': '975302085468289'},2025-01-21 13:39:49+08:00,2025-08-02 11:38:04+08:00,,Yes,MetaTool
2025-01-24 01:11:19+00:00,2025-02-18 11:00:22+00:00,超級熱狗王 林敬傑  IFBB PRO,ackj0301_ifbbpro,2327174494435485,2327174494435485,127,10978.0,407120.0,"把眼鏡拿掉的我原來那麼帥
-
@green_father_bj 
-
Video @1997.5.25 
-
@gopower_tw
<redacted_mention>
@teamjoined
@stepx.fitness
@guard.tw
@itsonion.co 
-
#迷因熱狗 #熱狗王 #ifbbpro
#ifbbproleague #線上課程 #備賽
#健美 #muscle #legday #workoutmotivation",17.6,"{'0': '975302085468289', '1': '2902304436602628'}",2025-01-24 09:11:19+08:00,2025-02-18 19:00:22+08:00,,Yes,MetaTool
