creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 09:12:42+00:00,2025-06-28 05:01:52+00:00,電獺少女,aottergirls,1446241307055222,1446241307055222,122,23186.0,770925.0,"吉伊卡哇「訊息通知聲」太吸睛！
怎麼更換喜歡的 iPhone 訊息通知聲？
學起來，一起擁有新潮的可愛鈴聲吧～
（需要一點耐心的魔法🪄）

#iPhone #通知聲 #吉伊卡哇 #科技 #電獺少女 #aottergirls",66.13,,2025-01-01 17:12:42+08:00,2025-06-28 13:01:52+08:00,,Yes,MetaTool
2025-01-02 10:01:29+00:00,2025-02-18 03:05:15+00:00,電獺少女,aottergirls,1455354519328843,1455354519328843,20,400.0,36788.0,"不是廢物！實測關燈神器，結尾還有意外用法～

#關燈神器 #開箱 #冬天 #小廢物 #科技 #電獺少女 #aottergirls",49.15,,2025-01-02 18:01:29+08:00,2025-02-18 11:05:15+08:00,,Yes,MetaTool
2025-01-03 10:01:05+00:00,2025-02-18 03:05:15+00:00,電獺少女,aottergirls,1420257939632261,1420257939632261,32,1370.0,194796.0,"怎麼只有滑動接聽？iPhone 怎麼掛電話？
明明方法很簡單 卻常常忘記...

#Apple #iPhone #掛電話 #科技 #電獺少女 #aottergirls",40.67,,2025-01-03 18:01:05+08:00,2025-02-18 11:05:15+08:00,,Yes,MetaTool
2025-01-04 04:01:47+00:00,2025-12-02 14:22:21+00:00,電獺少女,aottergirls,1247717903448476,1247717903448476,19,578.0,46952.0,"實測流言！「平板夾」開紅酒是真的嗎？！
※ 本影片在安全防護下拍攝，請勿模仿

#開紅酒 #平板夾 #流言 #實測 #電獺少女 #aottergirls",56.23,,2025-01-04 12:01:47+08:00,2025-12-02 22:22:21+08:00,,Yes,MetaTool
2025-01-05 10:01:10+00:00,2025-02-18 03:05:15+00:00,電獺少女,aottergirls,1812320296122788,1812320296122788,98,1254.0,86094.0,"「呼叫器」Emoji 上的數字是真的電話號碼？
#emoji #呼叫器 #冷知識 #手機 #科技 #電獺少女 #aottergirls",53.07,,2025-01-05 18:01:10+08:00,2025-02-18 11:05:15+08:00,,Yes,MetaTool
2025-01-07 04:31:23+00:00,2025-02-18 03:05:15+00:00,電獺少女,aottergirls,1535678914210229,1535678914210229,12,1831.0,114266.0,"ROG 新品快速帶看！CES 2025 玩出什麼新花樣？
超炫電競外觀越來越...？！你最喜歡哪個呢～？
先聽完一遍再決定🙌

#CES #2025CES #ROG #筆電 #電競 #科技 #電獺少女 #aottergirls",70.5,,2025-01-07 12:31:23+08:00,2025-02-18 11:05:15+08:00,,Yes,MetaTool
2025-01-07 17:31:18+00:00,2025-02-18 03:05:15+00:00,電獺少女,aottergirls,1202940375336638,1202940375336638,8,496.0,41944.0,"CES 2025 最輕 AI 筆電是它嗎？
ASUS Zenbook A14 的魅力一次看懂！ 
💻筆電越做越輕薄～
當然美觀跟性能也不能少！

🌷自體帶香的香氛滑鼠
你聽說過了嗎？

#CES #ASUS #超輕筆電 #香氛滑鼠 #科技 #電獺少女 #aottergirls",51.3,,2025-01-08 01:31:18+08:00,2025-02-18 11:05:15+08:00,,Yes,MetaTool
2025-01-08 10:01:29+00:00,2025-02-18 03:05:15+00:00,電獺少女,aottergirls,2383155882109589,2383155882109589,15,1217.0,70198.0,"居然有一款好用的 APP 可以讓你逃離社交?
I 人的好朋友-「ESC 逃跑神器」APP

#i人神器 #i人 #app #社恐 #科技 #電獺少女 #aottergirls",50.73,,2025-01-08 18:01:29+08:00,2025-02-18 11:05:15+08:00,,Yes,MetaTool
2025-01-09 10:01:50+00:00,2025-04-09 08:43:07+00:00,電獺少女,aottergirls,26879877731600660,26879877731600662,0,302.0,22628.0,"出國 eSIM 怎麼選？DJB 有備援線路跟 24 小時真人客服更有保障
購買跟教學看這裡→ https://supr.link/Kyp8L

#eSIM #漫遊 #出國上網 #設定",57.43,,2025-01-09 18:01:50+08:00,2025-04-09 16:43:07+08:00,,Yes,MetaTool
2025-01-10 10:01:34+00:00,2025-02-18 03:05:15+00:00,電獺少女,aottergirls,2461286474290970,2461286474290970,20,879.0,59922.0,"3C 到底是哪 3 個 C ？80% 的人都不知道！
這到底是冷知識還是常識！
#3C #冷知識 #常識 #科技 #電獺少女 #aottergirls",58.77,,2025-01-10 18:01:34+08:00,2025-02-18 11:05:15+08:00,,Yes,MetaTool
