creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-06 10:16:55+00:00,2025-02-10 19:10:28+00:00,欸你這週要幹嘛,arielsvlog_816,1434556064713431,1434556064713431,127,22002.0,1052824.0,"「戰學校囉！」
開玩笑的！沒有人要戰！

身為一個世新大學畢業的大學姐
就算畢業十幾年了
還是幾乎每一兩個月就回景美夜市報到

吃的也不外乎就是那幾個
Mint義大利麵、楊家水餃、口吅品、麻醬麵
啊！還會搭配一個甘梅薯條(但它常常不開)

如果景美夜市新增了什麼新鮮貨值得試試的
歡迎告訴我這個大學姐！

下次來去輔大
讓大學長帶個路

#AK探店",125.0,,2025-01-06 18:16:55+08:00,2025-02-11 03:10:28+08:00,,Yes,MetaTool
2025-01-10 07:50:37+00:00,2025-06-16 17:22:51+00:00,欸你這週要幹嘛,arielsvlog_816,1362538325675148,1362538325675148,36,15986.0,906723.0,"「搖蚊捲」
以後如果想要燙像崇崇的捲髮
可以跟設計師說：「我要燙搖蚊捲！」

然後搖蚊就會在你頭上開繁殖趴哈哈哈哈

以下轉載自網路資料：
1.牠們是「搖蚊」。
2.沒有口器，也不會叮咬人或動物、吸血
3.成蟲不需要進食
4.每年11月至12月是搖蚊繁殖期
5.不僅趨光，還喜歡群聚飛行
6.在頭上飛舞的牠們其實是在開聯誼趴
7.專業術語叫作「婚飛」（群體繁殖行為）
8. 偏好深色（例如黑髮），
加上人類的體溫也吸引牠們，就聚集在頭頂上！

#老闆來一份搖蚊捲",32.78,{'0': '1137889307899308'},2025-01-10 15:50:37+08:00,2025-06-17 01:22:51+08:00,,Yes,MetaTool
2025-01-16 11:27:09+00:00,2025-02-10 19:10:28+00:00,欸你這週要幹嘛,arielsvlog_816,25694314713571300,25694314713571306,107,26274.0,1190895.0,"「婚禮歌手」
我人沒有在現場
當我收到粉絲傳來的影片
我真的完全不意外…
我媽就是一個拿到麥克風就信手拈來

我只是沒想到
原來在她「朋友的小孩的婚禮上」
也可以這麼的怡然自得
這大概是一種天生的超能力
我不敢想像如果哪一天我要是辦了婚禮..

如果有人尾牙或婚禮要找的話
我不反對，但不建議！

#這算是一種高手藏在民間嗎",68.78,,2025-01-16 19:27:09+08:00,2025-02-11 03:10:28+08:00,,Yes,MetaTool
2025-01-21 06:29:52+00:00,2025-07-15 11:04:52+00:00,欸你這週要幹嘛,arielsvlog_816,790147240768372,790147240768372,30,19062.0,1120232.0,"「滾、出、去」
很抱歉讓大家看到這麼火爆的場面哈哈哈哈哈哈

昨天舉辦了
「欸你這週要幹嘛 x @nininono.co  2024尾牙大會」
玩了幾個遊戲讓大家過年參考跟家人朋友玩
看起來大家有吃的開心、玩的開心！

謝謝每個員工、家人、朋友
2024完成很多不容易的活動、旅程
謝謝你們都在！也謝謝持續觀看的你們！
2025一定會更好玩的！！！

準備放假囉！！！！",110.65,,2025-01-21 14:29:52+08:00,2025-07-15 19:04:52+08:00,,Yes,MetaTool
2025-01-24 10:21:31+00:00,2025-08-05 18:43:43+00:00,欸你這週要幹嘛,arielsvlog_816,1535070380909500,1535070380909500,403,83503.0,1924342.0,"「搗蛋鬼別搗蛋！」
（片尾有彩蛋）
連搗蛋鬼都想要來搶走的凹豆皮！
凹豆人絕對是要來一張的！ @sleepytofu_tw 

眠豆腐的凹豆皮是一張戶外版的「眠豆皮睡墊」
重量輕到一個女生搬下樓也沒問題
不管是你要在車宿露營、躺在草皮看星星、
放在帳篷裡舒適睡一覺都適合

整張凹豆皮都是帥氣沙色
質感拉滿以外也耐髒！
附有抗潮地墊可以隔絕地面的濕氣跟灰塵
也附草用透氣防水膜的保潔墊床包跟防潑水收納袋
即使帶出去戶外也能有完整的防護

把家裡的床墊更小、更薄、更輕的帶出戶外
在外面也能有睡在家裡的享受啦！

最後問一句：有人想要揍阿勳的嗎？
以下留言開放報名！

演員：@syundidi 、 @shinemeimei 

#眠豆腐 #凹豆皮 #車上比家裡好睡",163.43,,2025-01-24 18:21:31+08:00,2025-08-06 02:43:43+08:00,,Yes,MetaTool
2025-01-26 15:05:27+00:00,2025-07-21 03:04:17+00:00,欸你這週要幹嘛,arielsvlog_816,1244119194270646,1244119194270646,58,31692.0,1620510.0,"「Dora激凸了啦」
認真的看待這個工作好不好！！！！
旁邊憋笑的也很辛苦欸！！！！

感謝大家這麼喜愛這個系列！
所以特地剪了一個幕後畫面～
之後Dora一定會時不時跟大家見面！

Dora： @syundidi 
Boots：@shinemeimei",61.27,,2025-01-26 23:05:27+08:00,2025-07-21 11:04:17+08:00,,Yes,MetaTool
2025-01-31 02:54:21+00:00,2025-07-24 11:24:18+00:00,欸你這週要幹嘛,arielsvlog_816,1779326029412853,1779326029412853,40,37387.0,1532922.0,"「一年一度開運出頭」
今年幹話阿姨準備的是：大、鑽、豹！！！！

昨天太晚才抵達通霄
今天才是大戰的開始

而且今天嘉義幫也要北上來通霄大戰
所以通霄幫今年的主題是：團結大鑽豹！

究竟鑽豹有沒有比蟾蜍有用？
我們影片見真章！

#通霄戰嘉義
#通霄戰通宵",15.37,,2025-01-31 10:54:21+08:00,2025-07-24 19:24:18+08:00,,Yes,MetaTool
2025-02-04 11:42:33+00:00,2025-02-10 19:10:28+00:00,欸你這週要幹嘛,arielsvlog_816,839808979018629,839808979018629,36,11897.0,712428.0,"「誰來幫幫我們啊」
讓 Uber Eats @ubereats_tw 來幫你！！

Edison後製又進階到一個出神入化的階段了
他就好像我的 Uber Eats 一樣
就算再荒謬的腳本他都能接住
還能接得天衣無縫，拍案叫絕！ 

從美食到生鮮雜貨
所有你想要的，Uber Eats 都幫你搞定！ 
別再拜神求佛了，直接動手點擊
把生活所需一鍵送到家，比開天眼還靈驗！ 
不管是天馬行空的願望還是日常瑣事
Uber Eats 就是你最強的後援團！
 
#UberEats #(應該)都點得到",45.4,{'0': '8931859326943415'},2025-02-04 19:42:33+08:00,2025-02-11 03:10:28+08:00,,Yes,MetaTool
2025-02-14 15:49:06+00:00,2025-08-01 05:48:23+00:00,欸你這週要幹嘛,arielsvlog_816,882635828001412,882635828001412,46,36565.0,1759969.0,"「二選一」
情人節快樂 @ken11122013 ❤️
看在Mini這麼愛你的份上
要不你考慮一下吧

可以把兩個男的嚇到抱在一起真的不容易
哈哈哈哈哈哈哈哈
#一直被騷擾的Ken桑",13.83,"{'0': '932023709247635', '1': '905412628517858', '2': '875787295262982'}",2025-02-14 23:49:06+08:00,2025-08-01 13:48:23+08:00,,Yes,MetaTool
2025-02-21 09:29:16+00:00,2025-08-05 08:04:51+00:00,欸你這週要幹嘛,arielsvlog_816,2014313369137512,2014313369137512,72,36781.0,1611956.0,"「15破！」
祝大家逼Gy C購物愉快❤️",47.39,,2025-02-21 17:29:16+08:00,2025-08-05 16:04:51+08:00,,Yes,MetaTool
