creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-04 12:45:55+00:00,2025-04-29 23:51:47+00:00,Aries艾瑞絲,aries_8248,893834959671915,893834959671915,21,,348329.0,"每次搬家我都找《浩斯house搬家》
搬兩次找兩次了👍🏻
速度快又有效率，家具也都保護得很好
拆裝快細節也都很認真對待
還幫我丟不要的傢俱真的很棒😽

專業又準時的一群小鮮肉
我覺得我大型傢俱算多的
能在一天搬完真的很厲害👍🏻👍🏻
我的粉絲需要服務 私訊他立馬折扣
Line跟電話 0900783776
@yu.persevering
@houseltd0808
@prisonerdog",84.9,"{'0': '1479390230384794', '1': '1228827655929422', '2': '1432779974869241'}",2025-01-04 20:45:55+08:00,2025-04-30 07:51:47+08:00,DEZ3NSvyG0F,Yes,Instaloader
2025-01-05 10:03:55+00:00,2025-04-29 19:40:27+00:00,Aries艾瑞絲,aries_8248,1897819524459922,1897819524459922,176,,596151.0,禮貌性開車窗，開罵也要貼心,17.5,{'0': '914022871597355'},2025-01-05 18:03:55+08:00,2025-04-30 03:40:27+08:00,DEcJfpjyjyb,Yes,Instaloader
2025-01-07 11:01:26+00:00,2025-02-05 06:09:01+00:00,Aries艾瑞絲,aries_8248,728696986783211,728696986783211,289,46430.0,1652746.0,"我去隆乳手術，接下來兩週上的全是之前拍好的囤片
我現在很痛很虛弱，沒有那個力氣拍這種",11.6,,2025-01-07 19:01:26+08:00,2025-02-05 14:09:01+08:00,DEhZxXMSLd4,Yes,Instaloader
2025-01-08 10:40:36+00:00,2025-04-30 02:10:30+00:00,Aries艾瑞絲,aries_8248,2047609089148831,2047609089148831,89,,457859.0,"9:00關門，8:58就該識相的離開，聊到10:00還不走
我通常不用講的，我用行為表達",12.23,"{'0': '657655350736914', '1': '914022871597355'}",2025-01-08 18:40:36+08:00,2025-04-30 10:10:30+08:00,DEj8IxryP_E,Yes,Instaloader
2025-01-10 10:23:40+00:00,2025-05-01 18:54:10+00:00,Aries艾瑞絲,aries_8248,25964794263155752,25964794263155751,54,,288494.0,"《防水十合一門鎖》
對於常常忘記拿鑰匙的人😓
這門鎖真的太方便了😍
不但有常見的密碼跟磁扣指紋
還多了臉部辨識 掃一下臉就能開門了
一堆防盜解鎖功能 這下再也不怕忘了帶鑰匙了吧
常常忘記帶鑰匙的人🔑不用爬窗戶了 
快來買⬇️
@fammix_tw 
連結： https://lihi2.com/pc5cH
#FAMMIX菲米斯 #防水3D人臉十合一電子鎖 #SAFER-F4",89.8,{'0': '1364425075730412'},2025-01-10 18:23:40+08:00,2025-05-02 02:54:10+08:00,DEpD1DbSoit,Yes,Instaloader
2025-01-12 10:03:56+00:00,2025-12-23 13:08:37+00:00,Aries艾瑞絲,aries_8248,33549580157989700,33549580157989699,116,,638361.0,不愛了就分手，而不是出軌,18.83,{'0': '914022871597355'},2025-01-12 18:03:56+08:00,2025-12-23 21:08:37+08:00,DEuLKBySsCa,Yes,Instaloader
2025-01-15 10:06:52+00:00,2025-05-03 03:35:35+00:00,Aries艾瑞絲,aries_8248,2564545867278069,2564545867278069,42,,439399.0,不行✋我連蹲下起立都會貧血頭暈😵‍💫,9.7,{'0': '914022871597355'},2025-01-15 18:06:52+08:00,2025-05-03 11:35:35+08:00,DE15-fkSGp1,Yes,Instaloader
2025-01-16 09:59:36+00:00,2025-05-01 23:00:56+00:00,Aries艾瑞絲,aries_8248,1491083706350454,1491083706350454,51,,530520.0,不要給我耍任性,15.73,{'0': '914022871597355'},2025-01-16 17:59:36+08:00,2025-05-02 07:00:56+08:00,DE4d3uTyfE6,Yes,Instaloader
2025-01-19 10:19:39+00:00,2025-05-01 15:34:53+00:00,Aries艾瑞絲,aries_8248,1656340498858644,1656340498858644,24,,353170.0,有蜘蛛🕷️,9.87,{'0': '914022871597355'},2025-01-19 18:19:39+08:00,2025-05-01 23:34:53+08:00,DFAOoHNyJeE,Yes,Instaloader
2025-01-23 10:08:51+00:00,2025-10-26 09:37:11+00:00,Aries艾瑞絲,aries_8248,894067700253193,894067700253193,211,14203.0,720485.0,"完美肉體，我全身上下那麼貴，誰配得上我
奶頭粉嫩術找她 @kiki.studio @kiki.studio.pmu",59.43,"{'0': '885702400926927', '1': '1615693672950274'}",2025-01-23 18:08:51+08:00,2025-10-26 17:37:11+08:00,DFKggwNy27U,Yes,Instaloader
