creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-03 09:20:13+00:00,2025-05-01 07:26:16+00:00,崔咪Tramy,b2btramy888888,2410565552705760,2410565552705760,22,,134550.0,"還有人去日本不知道要買這個嗎？
#必收藏但怕你搶不到

號稱按摩神器的大猩猩握，
給朋友們實測的結果是？

我個人心得，
段位有分三段，
我只能用到第二段不然真的會有捏爆感，
但是捏完腿好輕好舒服喔！

不要買另一款腳底按摩那個，
那個很雷🥺

🇯🇵猩猩握想要問 @back2british 

#日本  #日本直送  #日本旅行",67.03,"{'0': '1452740993119030', '1': '1424221669171081', '2': '26001416349498562'}",2025-01-03 17:20:13+08:00,2025-05-01 15:26:16+08:00,,Yes,MetaTool
2025-01-08 12:00:00+00:00,2025-02-16 02:30:02+00:00,崔咪Tramy,b2btramy888888,1456064369456078,1456064369456078,18,1593.0,27826.0,"年末是不是很多人要進廠保養🙌🏻
但我也有遇到姐妹問我，
有沒有平時保養就有差不多的效果，
還不能讓荷包瘦太多的～ 

大家可以看影片，
#巴黎萊雅A醇PRO小臉霜  一陣子後的臉，
是不是和醫美效果差不多! 

👉🏻一罐就加了A醇 PRO、
👉🏻維他命C精華和緊緻胜肽! 
三大醫美級成分加在一起就像打電波一樣，
由內而外把皺紋、
鬆弛部位全都撐起來，
再來是A醇PRO很有感縮短耐受期，
比起一般A醇肌膚緊緻、改善皺紋效果更強
尤其是又加上維他命C精華跟緊緻胜肽
可以延長緊緻抗皺效果，
臉的亮度、緊度也更up up！
而且一瓶就搞定早C晚A，超方便了啦！

這罐的質地水潤輕盈好推開💦

之前用過很多抗老霜太悶黏反而長痘
這瓶完全不黏膩而且吸收速度很快～！

重點是還千元有找CP值高到不行，
想要加強即時效果我就會睡前搭配簡單的按摩手法，
嘴邊肉啊、法令紋啊，改善超有感，
如果換季皮膚很不穩的話，
再搭配 #修護奇蹟露 使用，
👉🏻92%高濃度積雪草，
可以提高保水度，對舒緩泛紅、痘痘也蠻有感的
如果需要急救時拿來濕敷可以快速鎮定泛紅敏感

這樣的組合搭配真的是開架緊緻抗老王，
不敢做醫美或是想要維持緊緻狀態的，
用這個可以很捨得擦臉擦身體！

限時優惠🔗這裡給你們喔
@b2btramy888888 限動

#巴黎萊雅 #A醇PRO小臉霜
 #擦的電音波 #臉小１號7天減齡 #修護奇蹟露",89.6,,2025-01-08 20:00:00+08:00,2025-02-16 10:30:02+08:00,,Yes,MetaTool
2025-01-15 03:27:00+00:00,2025-02-16 02:30:02+00:00,崔咪Tramy,b2btramy888888,903011985664896,903011985664896,21,1658.0,24958.0,"不用去韓國做水氧機了，最近肌膚狀況真的超好！每次卸妝洗臉後，肌膚不僅乾淨，
還透亮得不得了，完全是大放光芒！

今天要跟大家分享，
我最近愛上的兩款簡單卸妝保養好物，
所有膚質年齡都適合，每天都會用到
讓我肌膚好到讓人忍不住摸！

🔥限時團推三件組（卸妝2+精華水1）🔥
加碼10包旅行組
https://pse.is/6yw957
（看 @b2btramy888888  限動精選）

———————————————————————-
推薦原因❤️💛

這瓶算是我用過最好用的卸妝產品，
完全不用乳化，一次卸妝+洗臉
⚠️卸妝是基本保養的第一步驟
用錯產品就是痘痘粉刺/紋路/暗沉/找上你

#茶覺金萱植萃保濕卸妝凝露
這款卸妝凝露我超愛，因為它不僅能卸妝，
還能洗臉和養膚，真的是一瓶搞定！
茶覺是全台唯一以茶為基底的護膚品牌，
真的很有特色。它的成分超乾淨，
讓我用起來超放心

✅金萱茶多酚：強效抗氧化，幫助清潔肌膚，同時滋養
✅積雪草：加強肌膚保護屏障，抗老抗污染。
✅APG溫和型界面活性劑：溫和卸妝，不刺激眼睛，適合敏感肌

我眼妝比較濃時會先在化妝棉上點幾滴，
稍微敷一下，再輕輕擦掉眼妝，
完全不會掉睫毛，
眼睛也不會有刺痛感！
而且它不用乳化，直接清水沖掉就好，
超級方便！卸得很乾淨，
不會緊繃，臉摸起來嫩嫩的，
感覺整個肌膚變水嫩！

#東方美人潤澤修護凝露
卸完妝後，我會擦上這款修護凝露，
真的是超愛！它的質地比化妝水濃一點，
有淡淡的茶香，質感超棒

✅東方美人茶多酚：溫和抗老、亮白，讓肌膚更透亮
✅專櫃級保養冰河海醣蛋白（5%高濃度）：
超級保濕，增強肌膚屏障
✅日本清酒酒粕：
加強鎖水，修護提亮

換季或熬夜後皮膚容易暗沉、
乾裂，這時候用這款潤澤修護凝露，
皮膚立刻恢復光澤，保濕效果超強！
脖子也別忘了擦上，效果更好！
我甚至會用化妝棉濕敷3-5分鐘，
當作急救精華水來用，
效果超快！這款真的讓我覺得，
肌膚亮白、細緻感超強，
像是做了水氧機一樣，瞬間回春！

兩款搭配使用，
讓我一整天都保持水潤亮白，
肌膚變得超級柔嫩，
簡直是懶人保養的最佳選擇！
如果你也想輕鬆擁有透亮肌，
這兩款一定要試試💯

@chaj_tw 

#茶覺",88.65,{'0': '947638931028350'},2025-01-15 11:27:00+08:00,2025-02-16 10:30:02+08:00,,Yes,MetaTool
2025-01-21 13:19:37+00:00,2025-07-03 14:15:43+00:00,崔咪Tramy,b2btramy888888,1651902965966663,1651902965966663,10,,95822.0,"今天帶大家去西班牙巴塞隆納的超夯精品Outlet，
這裡簡直是購物天堂！想買到最便宜的精品？

秘密來囉！首先，要做這件事情（看影片）
這時候最高能打到50% off！
而且，記得拿上你的護照，
還能享有額外的退稅優惠，等於買得更多！

有些品牌還會舉辦限時特賣，
便宜得你想哭！

你們看完想去嗎，和我分享囉

#西班牙 #巴塞隆納  #精品",59.84,,2025-01-21 21:19:37+08:00,2025-07-03 22:15:43+08:00,,Yes,MetaTool
2025-01-29 09:42:57+00:00,2025-02-16 02:30:02+00:00,崔咪Tramy,b2btramy888888,1622996602230397,1622996602230397,8,,33184.0,"春節不知道去哪裡，直接去Netflix 國色芳華，
裡面牡丹園的場景吧！
#此篇必收藏 

姐妹們，
最近追《國色芳華》有沒有被劇中的牡丹美得不行？
那一朵朵盛放的牡丹，
真的是美得讓人心動啊！

如果你也愛牡丹花，
苗栗的花露農場也有超美的牡丹花喔！
不僅花海美得讓你心情大好，
還能在這裡拍出像劇中那樣的仙氣照片，
完全是牡丹愛好者的天堂！🌸

花露農場 @annflowerhome 
還有住宿，可以一早就先拍賞花照！

你們也在追這部嗎？
我等更新等的好心急啊🫣

#臺灣  #臺灣旅遊  #苗栗景點  #苗栗旅遊  #牡丹  #國色芳華",70.33,{'0': '819195590688098'},2025-01-29 17:42:57+08:00,2025-02-16 10:30:02+08:00,,Yes,MetaTool
2025-02-01 12:02:12+00:00,2025-09-03 04:38:02+00:00,崔咪Tramy,b2btramy888888,964799799555982,964799799555982,10,,46751.0,"來日本第一次做這件事情🫣

在日本做這件事情的價格蠻高的，
但是如果逛街逛到累，
是可以考慮啦！

你們會想來日本做這件事情嗎？

#日本東京  #日本  #東京",70.1,,2025-02-01 20:02:12+08:00,2025-09-03 12:38:02+08:00,,Yes,MetaTool
2025-02-03 12:59:33+00:00,2025-09-06 01:37:06+00:00,崔咪Tramy,b2btramy888888,2079634616148172,2079634616148172,12,1597.0,27228.0,"過年一追劇，眼睛就一直吃不消對吧？
別以為隨便處理就沒事了，
這樣下去真的是會出大問題的！
所以，葉黃素真的要早點補充，
因為這東西是人體自己沒辦法製造的，
必須透過外部補充才行⋯

很多人問我怎麼選葉黃素，
我的選擇很簡單，
就是挑最好的！

我現在用的就是日安專科專利游離型葉黃素，
這是美國專利的葉黃素黃金比例，
吸收超級好。它有游離型的小分子，
能快速被身體吸收，效果才會明顯。
而且，
它還加了很多其他牌子不願意加的成分：
像是比黃金還貴的蝦紅素和透明質酸鈉，
讓有感度是其他產品的1000倍以上，
靈魂之窗真的會變亮又有神！
還有加入很多專利植物萃取加乘效果，
完全是一個懶人包的概念！

對我這種天天用手機、電腦，
還長時間看電視的人來說，
這就是救命神器。
畢竟眼睛是心靈的窗戶，
眼周的亮晶晶才是健康和精氣神的象徵，對吧？

現在加入會員即享100元購物金
透過專屬連結下單再贈天然海藻鈣鎂錠1包
如果你也常看手機、用電腦，就趕快試試看吧！
https://daywel.co/tramy

#日安專科 #daywel #日常保健 #安全健康有感 
#專利游離型葉黃素",78.27,,2025-02-03 20:59:33+08:00,2025-09-06 09:37:06+08:00,,Yes,MetaTool
2025-02-09 10:52:17+00:00,2025-06-20 01:57:06+00:00,崔咪Tramy,b2btramy888888,1147603790676414,1147603790676414,2,,21563.0,"大家去泰國買美妝都買什麼？
很推薦大家買「防水」產品，
因為天氣熱超容易脫妝，
他們很多像是眉筆眼線都會更持久！

來實測我新買的百元泰國品牌眉筆，
看完你們想要嗎？😝

你們去泰國都買什麼呢

#泰國  #美妝  #眉筆",62.37,,2025-02-09 18:52:17+08:00,2025-06-20 09:57:06+08:00,,Yes,MetaTool
2025-02-10 14:14:37+00:00,2025-05-29 20:21:50+00:00,崔咪Tramy,b2btramy888888,1465636514957054,1465636514957054,12,,18688.0,"朋友問我怎麼臉又變小，輪廓變緊了，
用巴黎萊雅 #全新膠原小蜜罐 ，
補充5D寶寶膠原，就像幫肌膚充電，
彈性up 緊緻up 年輕 up !
限時優惠連結🔗看限動，
最推 買2贈7 （還有迷你旅行化妝箱）",3996.22,,2025-02-10 22:14:37+08:00,2025-05-30 04:21:50+08:00,,Yes,MetaTool
2025-02-16 12:29:26+00:00,2025-02-20 14:40:51+00:00,崔咪Tramy,b2btramy888888,2086900968519709,2086900968519709,3,,31942.0,"泰國銅板價美妝保養選物店！
最便宜才29元，
真的甜到蛀牙價！

去曼谷記得要去逛喔

#eveandboy #曼谷",61.25,,2025-02-16 20:29:26+08:00,2025-02-20 22:40:51+08:00,,Yes,MetaTool
