creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-06 09:41:12+00:00,2025-02-18 19:48:32+00:00,77老大,basil_77777,2087567935418637,2087567935418637,37,1744.0,166279.0,"你老了嗎？超準初老測試…
一起來看，你中幾個😂😂

心可以老，但臉絕對不行～
韓國爆紅INNISFREE水光小藍瓶，
A醇+綠茶PDRN 雙效成分，
讓你不用飛韓國打水光針，
皮膚一樣Q彈有光澤～～

#innisfreetaiwan #水光小藍瓶 #1%A醇PDRN水光安瓶
@innisfreetaiwan",89.89,,2025-01-06 17:41:12+08:00,2025-02-19 03:48:32+08:00,,Yes,MetaTool
2025-01-07 09:11:36+00:00,2025-02-18 19:48:32+00:00,77老大,basil_77777,904563019217818,904563019217818,63,3142.0,185949.0,"抗皺、撫紋，這條要多吃～～
非常強大！！

茄子，含有茄黃銅苷，能抑制會在臉上形成紋路的活性氧，
撫平細紋、減緩皺紋生成，讓你同學會裡最年輕🎉🎉

#抗老 #撫紋 #提拉 #緊緻 #魚尾紋 #法令紋",33.87,,2025-01-07 17:11:36+08:00,2025-02-19 03:48:32+08:00,,Yes,MetaTool
2025-01-14 11:26:16+00:00,2025-02-18 19:48:32+00:00,77老大,basil_77777,1667836840883787,1667836840883787,60,5816.0,302228.0,"女生太主動，很掉價？！
你是石器時代的人嗎

愛跪著的若綺 @12_jochiqy14",53.15,,2025-01-14 19:26:16+08:00,2025-02-19 03:48:32+08:00,,Yes,MetaTool
2025-01-15 11:47:24+00:00,2025-07-14 11:05:08+00:00,77老大,basil_77777,1234955378744256,1234955378744256,298,18462.0,1100500.0,"先別管我的捲毛了，提神飲料不要太常喝！
比咖啡更提神的飲料是「它」 ~~",38.61,,2025-01-15 19:47:24+08:00,2025-07-14 19:05:08+08:00,,Yes,MetaTool
2025-01-20 10:21:28+00:00,2025-02-18 19:48:32+00:00,77老大,basil_77777,1465983804914110,1465983804914110,80,6873.0,316949.0,"想要勇猛，一夜七次，
男生快把這個小秘訣學起來，
真的有效！😈😈

快點@你最虛弱的朋友👍👍👍",47.25,,2025-01-20 18:21:28+08:00,2025-02-19 03:48:32+08:00,,Yes,MetaTool
2025-01-23 10:45:30+00:00,2026-02-04 21:57:45+00:00,77老大,basil_77777,2015124792401398,2015124792401398,212,18698.0,778960.0,"不要結婚，除非你們已經想清楚這3件事情！
不然結了也等於離了….",67.03,,2025-01-23 18:45:30+08:00,2026-02-05 05:57:45+08:00,,Yes,MetaTool
2025-02-04 10:27:58+00:00,2025-09-29 12:37:46+00:00,77老大,basil_77777,905292205681514,905292205681514,130,8051.0,347336.0,男生這幾個瞬間，女生最愛看！？,85.72,,2025-02-04 18:27:58+08:00,2025-09-29 20:37:46+08:00,,Yes,MetaTool
2025-02-05 10:36:19+00:00,2025-02-18 19:48:32+00:00,77老大,basil_77777,3714412205401400,3714412205401400,13,1654.0,217646.0,"家裡有小孩，就不能用香氛？
真的假的！！
讓老大來打破迷思吧～～

老大推薦的產品在這裡！
蘭諾衣物芳香豆，
我自己用了兩個月，衣服隨時乾淨清新像剛洗好，
再也不怕悶臭啦～推薦給你們!

#Lenor #蘭諾衣物芳香豆 #清新系列",59.79,,2025-02-05 18:36:19+08:00,2025-02-19 03:48:32+08:00,,Yes,MetaTool
2025-02-11 11:17:11+00:00,2025-02-18 19:48:32+00:00,77老大,basil_77777,1235507145462223,1235507145462223,53,2484.0,173011.0,"綠茶婊最愛說的3句話，
一秒識破，她就是「綠茶」～～！！",89.72,,2025-02-11 19:17:11+08:00,2025-02-19 03:48:32+08:00,,Yes,MetaTool
2025-02-14 10:43:15+00:00,2025-03-23 02:34:41+00:00,77老大,basil_77777,897471206381408,897471206381408,110,9015.0,337649.0,"送花給女生，真的是笨蛋嗎？
原來女生收到花是這樣想的….

#情人節 #送花 #禮物",71.34,,2025-02-14 18:43:15+08:00,2025-03-23 10:34:41+08:00,,Yes,MetaTool
