creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-04 12:01:10+00:00,2025-05-01 04:26:01+00:00,見習網美小吳,beauty___wu,1425682982582725,1425682982582725,53,16071.0,826116.0,"七週年見面會小紀錄🗒️

謝謝家緯幫忙記錄珍貴畫面🩷
謝謝來得每一位，還有眾工作人員力挺
大家的出席令我感動萬分
能聚在一起真的幸福滿滿。
超罩的總招聖元規劃的很讚👍🏻

最後餐廳我們是吃 @sportsnation_tw 
原來辦見面會是這種感覺呀！
太！幸！福！了！！

🩷🩷🩷有機會繼續辦好不好！！？",81.07,"{'0': '1629401465151023', '1': '24411688888529770'}",2025-01-04 20:01:10+08:00,2025-05-01 12:26:01+08:00,DEZyLfMS7ix,Yes,Instaloader
2025-01-15 12:57:20+00:00,2025-11-19 17:29:05+00:00,見習網美小吳,beauty___wu,889158893758933,889158893758933,149,32274.0,1321284.0,"台版的魷魚遊戲😂
每一關我都直接放棄^_^//

#오징어게임 #魷魚遊戲 #squidgame",53.97,"{'0': '2258439357847297', '1': '1494920767854055'}",2025-01-15 20:57:20+08:00,2025-11-20 01:29:05+08:00,DE2NZgBy7Qq,Yes,Instaloader
2025-01-18 07:04:21+00:00,2025-04-29 18:57:00+00:00,見習網美小吳,beauty___wu,914606471252038,914606471252038,55,38682.0,2626038.0,"我們也來跳啦！！！
BKK🇹🇭

#괜찮아",11.7,{'0': '3976203512621077'},2025-01-18 15:04:21+08:00,2025-04-30 02:57:00+08:00,DE9TNlgyIEl,Yes,Instaloader
2025-01-24 11:05:11+00:00,2025-02-04 11:32:10+00:00,見習網美小吳,beauty___wu,1107915674722112,1107915674722112,219,12864.0,1106830.0,"Lucky girl在哪裡❤️
新年要到了準備換新衣了嗎！？
推薦大家來50PERCENT門市逛起來

「全館買三送一！！」
「全館買三送一！！」
「全館買三送一！！」
太狂了吧！我從高中就開始買這家
可以說是資深老粉了吧

現在在「留言處」留任意留言
就抽三位購物金，消費滿599即可現折100
(限官網使用喔！！）

新年換新衣就來50PERCENT
#全台門市買3送1
#50PERCENT
#新年開運穿搭
#超值年節優惠
#秋冬穿搭",56.03,,2025-01-24 19:05:11+08:00,2025-02-04 19:32:10+08:00,DFNLk5YySWZ,Yes,Instaloader
2025-01-25 12:46:02+00:00,2026-01-21 09:39:29+00:00,見習網美小吳,beauty___wu,747339195094602,747339195094602,78,100417.0,5289959.0,婚禮休息室都在幹嘛？？😂💃,16.7,"{'0': 'non_public_1606652073709769', '1': '1394427425449632', '2': '3976203512621077', '3': '919438180600203'}",2025-01-25 20:46:02+08:00,2026-01-21 17:39:29+08:00,DFP7-5fyLNs,Yes,Instaloader
2025-01-27 12:01:09+00:00,2025-05-17 04:03:13+00:00,見習網美小吳,beauty___wu,1471463224322504,1471463224322504,88,36473.0,1416404.0,"我真的會笑死
大家新年快樂🧧🧧！！",39.1,"{'0': '2258439357847297', '1': '906335582138207'}",2025-01-27 20:01:09+08:00,2025-05-17 12:03:13+08:00,DFVAhjHShF2,Yes,Instaloader
2025-01-28 11:01:29+00:00,2025-07-19 16:38:22+00:00,見習網美小吳,beauty___wu,1444089543729206,1444089543729206,646,188660.0,2247518.0,"「限時24小時⏰」
第四屆”媽媽的紅包”
💰1讚=1元 💰1分享=5元

真的太瘋狂了請大家手下留情🧧
2025.1.29 pm7:00截止。",22.37,,2025-01-28 19:01:29+08:00,2025-07-20 00:38:22+08:00,DFXebMvSs8p,Yes,Instaloader
2025-02-03 11:23:55+00:00,2025-04-30 01:31:21+00:00,見習網美小吳,beauty___wu,1436213401533293,1436213401533293,43,8570.0,575984.0,"「救命啊快給我來點涼快🧊～」
到底怎樣才可以讓我降降火氣啊！！！！

來個冰桶還不夠，想涼爽就到 7-ELEVEN
霜淇淋居然推出「藍莓起司口味🫐+🧀」
選自奧地利的藍莓酸甜好滋味，一口一口停不下來

另外還有經典必喝「思樂冰」
推出「魅力莓法擋🍓」草莓乳酸風味思樂冰，濃郁的草莓香氣撲鼻而來
期間限定不喝不行（這些我全部都要喝！！）

☀️2月5日到3月4日 每週五六日☀️
霜淇淋全口味憑 iCash 2.0 / iCash Pay 支付
就能享有第2件半價！！

思樂冰則是全品項第2杯5折！！
趕快揪朋友一起來喝爆吧😎

#思樂冰 #霜淇淋 #7ELEVEN #雪淋霜",71.2,{'0': '1531516694409268'},2025-02-03 19:23:55+08:00,2025-04-30 09:31:21+08:00,DFm9u-yymzb,Yes,Instaloader
2025-02-10 13:23:56+00:00,2025-09-10 13:55:34+00:00,見習網美小吳,beauty___wu,4335650966753436,4335650966753436,53,27255.0,1546649.0,好….好…..好難…..,12.07,{'0': '880328708250829'},2025-02-10 21:23:56+08:00,2025-09-10 21:55:34+08:00,DF5NLSFSoRE,Yes,Instaloader
2025-02-18 12:37:37+00:00,2025-07-25 17:47:54+00:00,見習網美小吳,beauty___wu,874959572112349,874959572112349,51,50989.0,2102597.0,"幸福直到永遠！Happy Ever After💌❤️

#wedding #weddingday #happywedding",12.83,"{'0': 'non_public_1606652073709769', '1': '1394427425449632'}",2025-02-18 20:37:37+08:00,2025-07-26 01:47:54+08:00,DGNuFr8yYYY,Yes,Instaloader
2025-02-27 10:32:54+00:00,2025-02-27 18:40:17+00:00,見習網美小吳,beauty___wu,1538562584069898,1538562584069898,149,13305.0,444725.0,"你身邊有這樣的閨蜜嗎？？
明明是好朋友但問題一大堆….😵‍💫😵‍💫
要怎麼樣才能照顧好團體中的小公主呢？！

交給Samsung Galaxy S25 Ultra 就對了！
超多厲害的功能，再難搞都能一一化解
跨APP秒到位超方便，一個口令手機就幫你搞定
音訊橡皮擦功能太強大了，救活了好多素材😍

透過AI 再複雜的難題都大事化小
不用再花很多時間處理閨蜜啦！！

#GalaxyAI
#GalaxyS25Ultra
#AI神隊友說了算",90.0,,2025-02-27 18:32:54+08:00,2025-02-28 02:40:17+08:00,DGkq6d4SImX,Yes,Instaloader
2025-03-02 11:03:52+00:00,2025-08-02 09:25:44+00:00,見習網美小吳,beauty___wu,900190236277243,900190236277243,60,22903.0,1162150.0,"來韓國當然要JISOO一下～～💃

#jisoo #earthquake #jisooearthquake",17.64,{'0': '1451540903041512'},2025-03-02 19:03:52+08:00,2025-08-02 17:25:44+08:00,DGsc6INS4Ut,Yes,Instaloader
2025-03-18 11:14:59+00:00,2025-04-03 10:28:01+00:00,見習網美小吳,beauty___wu,888336553788030,888336553788030,175,19800.0,662244.0,"中山Karina來了😂😂😂
（這次造型也是非常用心xDDDD)
 
大家知道小吳跟Karina同一天生日嗎？
雖然只有生日一樣，其他都差很多哈哈哈
身為人間AI，可是從頭到腳都要保養
 
全身都要香香的是基本的
最近超愛用的「SABON綠野尋蹤系列🍃」
一系列從沐浴油、磨砂膏、乳液都超好聞
綠意柑橘調彷彿一秒走到SABON法式小後院
 
滑滑嫩嫩的中山Karina
請問各位我可以出道了嗎？？（欠扁）

提醒大家~母親節檔期又快到了！！
快到專櫃預約不能錯過的SABON預購會
首四日還有滿額加贈禮
拜託大家拿好拿滿🤩
 
@SABONTAIWAN
#SABON #KARINA #綠野尋蹤限量系列",80.16,,2025-03-18 19:14:59+08:00,2025-04-03 18:28:01+08:00,DHVq9I-SDj4,Yes,Instaloader
