creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-10 12:30:03+00:00,2025-04-13 07:32:32+00:00,鼻妹 Bimay,bimay_nagging,1406191520675847,1406191520675847,10,1725.0,97032.0,"爛腳人今年秋天又去了群馬, 上次是去草津、伊香保溫泉
這次去的是四萬溫泉,從頭到尾都沒什麼動到腳
做陶藝:做了一個超美味的老闆大拇哥碗(給貓咪用)
騎電動腳踏車:挾持群馬縣吉祥物逃走中
第一次吃無菜單法式料理:怕被主廚罵吃了生魚片
參觀奧四萬湖的「洩洪」

完整版影片請至我YT收看

本次影片與群馬縣合作
#visitgunma #群馬県 #群馬 #群馬縣",18.57,,2025-01-10 20:30:03+08:00,2025-04-13 15:32:32+08:00,,Yes,MetaTool
2025-01-11 12:56:02+00:00,2025-01-31 20:22:17+00:00,鼻妹 Bimay,bimay_nagging,1325048706191275,1325048706191275,10,1303.0,75832.0,"新動畫 ［那些我愛/害過的包跟人］
收錄了同學課本掉河裡的經典故事
完整影片請至我YT收看",11.47,,2025-01-11 20:56:02+08:00,2025-02-01 04:22:17+08:00,,Yes,MetaTool
2025-01-17 12:35:25+00:00,2025-10-01 19:28:16+00:00,鼻妹 Bimay,bimay_nagging,888144387318897,888144387318897,14,1758.0,102592.0,"現在有兩個廢物了
一個可以給廢物交流協會成員 @_window7",10.9,,2025-01-17 20:35:25+08:00,2025-10-02 03:28:16+08:00,,Yes,MetaTool
2025-01-21 12:59:39+00:00,2025-07-15 11:37:34+00:00,鼻妹 Bimay,bimay_nagging,1220415253542769,1220415253542769,55,10066.0,177416.0,動畫DJ好難當,8.23,,2025-01-21 20:59:39+08:00,2025-07-15 19:37:34+08:00,,Yes,MetaTool
2025-01-25 08:01:08+00:00,2025-10-04 16:37:45+00:00,鼻妹 Bimay,bimay_nagging,931960369323796,931960369323796,40,3241.0,108527.0,視覺與味覺的饗宴,32.62,,2025-01-25 16:01:08+08:00,2025-10-05 00:37:45+08:00,,Yes,MetaTool
2025-01-28 19:22:47+00:00,2025-01-31 20:22:17+00:00,鼻妹 Bimay,bimay_nagging,875502102150882,875502102150882,34,1638.0,98916.0,"跑步機就如拍攝那樣，真的是無動力
摩擦力還很大跑起來很費勁
購入者我二舅很自豪的說「這樣才有運動的感覺」",15.81,,2025-01-29 03:22:47+08:00,2025-02-01 04:22:17+08:00,,Yes,MetaTool
2025-01-29 06:31:47+00:00,2025-01-31 20:22:17+00:00,鼻妹 Bimay,bimay_nagging,1891935888112903,1891935888112903,6,1238.0,70568.0,"棠老鴨倒回收
#非營利",13.83,,2025-01-29 14:31:47+08:00,2025-02-01 04:22:17+08:00,,Yes,MetaTool
2025-01-30 04:24:20+00:00,2025-07-01 16:51:15+00:00,鼻妹 Bimay,bimay_nagging,1248616440560430,1248616440560430,84,8042.0,201956.0,"法國鼻妹祝大家蛇年行大運
#新年快樂 #法式料理 #鼻妹手作",19.09,,2025-01-30 12:24:20+08:00,2025-07-02 00:51:15+08:00,,Yes,MetaTool
2025-02-11 18:38:28+00:00,2025-07-07 16:02:21+00:00,鼻妹 Bimay,bimay_nagging,1281023407226889,1281023407226889,10,1266.0,82267.0,"霍華中學Poscast第五集來了
這次還有認真的樂團來，連我都覺得很荒謬
恐龍的皮 @thedinosaursskin 
邊緣聽團仔眼肉芽 @yanrouya 
完整請至我YT收看",29.95,,2025-02-12 02:38:28+08:00,2025-07-08 00:02:21+08:00,,Yes,MetaTool
2025-02-15 06:02:23+00:00,2025-02-18 04:22:32+00:00,鼻妹 Bimay,bimay_nagging,854830430909238,854830430909238,28,2966.0,86083.0,愛心 注入！💗💗💗,7.17,,2025-02-15 14:02:23+08:00,2025-02-18 12:22:32+08:00,,Yes,MetaTool
