creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 12:51:07+00:00,2025-04-30 02:51:41+00:00,BoBo TV,bobo_kira,928025982955160,928025982955160,2,534.0,32896.0,"2024的聖誕節禮物🎁
沒想到是Molly史迪奇～
這隻一直放在我購物車沒下手的🥺

#史迪奇 #molly #泡泡瑪特 #stitch #400% #molly史迪奇 #mollystitch",40.77,{'0': '947732797830007'},2025-01-01 20:51:07+08:00,2025-04-30 10:51:41+08:00,,Yes,MetaTool
2025-01-05 04:37:38+00:00,2025-04-29 09:56:44+00:00,BoBo TV,bobo_kira,1241887894155937,1241887894155937,4,1801.0,98694.0,"開箱Molly史迪奇～～～
怎麼這麼可愛阿

#史迪奇 #molly #mollystitch #泡泡瑪特",44.0,{'0': '947732797830007'},2025-01-05 12:37:38+08:00,2025-04-29 17:56:44+08:00,,Yes,MetaTool
2025-01-06 12:23:30+00:00,2025-04-29 17:14:36+00:00,BoBo TV,bobo_kira,922355933500097,922355933500097,2,791.0,46564.0,"帶兩兄妹去7-11
看到可愛的小熊維尼一番賞
一人一抽！！三抽直接中大獎

#一番賞 #小熊維尼 #711 #抽抽樂",41.27,{'0': '947732797830007'},2025-01-06 20:23:30+08:00,2025-04-30 01:14:36+08:00,,Yes,MetaTool
2025-01-14 08:55:06+00:00,2025-06-12 23:09:50+00:00,BoBo TV,bobo_kira,913320974997286,913320974997286,15,1311.0,51155.0,"鼠來寶的第一次英語說故事比賽～
平常膽小如鼠的他跟我們說要參加時真的嚇到了（你認真？！）想說也好～當作訓練他的膽量！！
一個月前決定要參加 平常就開始準備練習，但他一直處於不好意思也不太敢念給我們聽，我們也沒有強迫他，很怕硬要他練習會有反效果～
他想參加我們已經覺得很棒，勇敢的跨出一大步了！
直到當天看到他勇敢的站上台真的覺得好感動～～～突然覺得兒子長大了！！

我們跟老師都覺得他當天跟平常不太一樣，在學校練習時也都扭扭捏捏的，但一上台就變勇敢了
我問：你當下會緊張嗎？
🐭：不會呀！我想趕快唸完下來 
哈哈哈哈🤣

現在每天都吵著要看自己的說故事影片，媽媽馬上幫他上了字幕～",90.02,{'0': '947732797830007'},2025-01-14 16:55:06+08:00,2025-06-13 07:09:50+08:00,,Yes,MetaTool
2025-01-18 10:39:22+00:00,2025-04-30 04:29:05+00:00,BoBo TV,bobo_kira,677286852113719,677286852113719,11,1903.0,83888.0,"爸爸媽媽好壞～～～
在小孩面前吃巧克力蛋糕
他們的反應卻是….🤣",48.93,{'0': '947732797830007'},2025-01-18 18:39:22+08:00,2025-04-30 12:29:05+08:00,,Yes,MetaTool
2025-01-24 12:19:03+00:00,2025-05-01 23:24:45+00:00,BoBo TV,bobo_kira,921767877385870,921767877385870,10,927.0,50936.0,"最近一直收到我老公送的史迪奇
是不是該注意什麼呢😆
是說每年史迪奇出的生肖款都好帥喔～
看來要收集12隻了！！",58.28,{'0': '947732797830007'},2025-01-24 20:19:03+08:00,2025-05-02 07:24:45+08:00,,Yes,MetaTool
2025-01-25 11:10:23+00:00,2025-08-29 04:03:18+00:00,BoBo TV,bobo_kira,902323785891820,902323785891820,6,1613.0,317711.0,"過年帶生肖屬老鼠的來買刮刮卡
竟然直接翻5倍！！

#過年 #刮刮卡 #刮刮樂",43.67,"{'0': '2166204197452575', '1': '947732797830007'}",2025-01-25 19:10:23+08:00,2025-08-29 12:03:18+08:00,,Yes,MetaTool
2025-01-31 03:11:46+00:00,2025-04-29 06:02:15+00:00,BoBo TV,bobo_kira,2369145966885600,2369145966885600,0,508.0,32922.0,"每年過年或重要日子我們都會來天公廟拜拜
還可以吃到傳統小吃甜點～～～

#天公廟 #拜拜 #過年 #傳統美食 #傳統小吃",35.73,{'0': '947732797830007'},2025-01-31 11:11:46+08:00,2025-04-29 14:02:15+08:00,,Yes,MetaTool
2025-02-01 08:46:34+00:00,2025-05-02 07:21:36+00:00,BoBo TV,bobo_kira,1993475421603587,1993475421603587,9,721.0,47100.0,"開箱全聯限量福袋
大家覺得划算嗎～

原來那隻福利熊娃娃是一隻蛇的造型
一開始以為是顆高麗菜😆",90.03,{'0': '947732797830007'},2025-02-01 16:46:34+08:00,2025-05-02 15:21:36+08:00,,Yes,MetaTool
2025-02-03 11:01:24+00:00,2025-05-02 19:33:24+00:00,BoBo TV,bobo_kira,26586182910999192,26586182910999187,0,866.0,69535.0,"AI幫我們挑了一整本2000元刮刮卡
總共19張$38000
結果回了這些！！

#youtube搜尋bobotv 
#刮刮卡",28.47,{'0': '947732797830007'},2025-02-03 19:01:24+08:00,2025-05-03 03:33:24+08:00,,Yes,MetaTool
