creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 10:38:07+00:00,2025-06-19 20:39:25+00:00,Campfire 營火部落 - 達哥,campfire_tw,1440856367481196,1440856367481196,9,339.0,24239.0,可以氣密，防水，壓縮，排氣的衣物收納袋,59.0,,2025-01-02 18:38:07+08:00,2025-06-20 04:39:25+08:00,,Yes,MetaTool
2025-01-07 11:52:58+00:00,2025-02-17 17:48:00+00:00,Campfire 營火部落 - 達哥,campfire_tw,922385890441857,922385890441857,1,116.0,12819.0,開箱西濱快速道路第二座休息站，新豐休息站（靠近永安漁港）,56.67,,2025-01-07 19:52:58+08:00,2025-02-18 01:48:00+08:00,,Yes,MetaTool
2025-01-08 04:40:29+00:00,2025-02-17 17:48:00+00:00,Campfire 營火部落 - 達哥,campfire_tw,1568707704428897,1568707704428897,6,220.0,16985.0,如何快速辨別木柴是否乾燥適合燃燒,57.4,,2025-01-08 12:40:29+08:00,2025-02-18 01:48:00+08:00,,Yes,MetaTool
2025-01-09 09:29:22+00:00,2025-05-24 01:05:25+00:00,Campfire 營火部落 - 達哥,campfire_tw,1671299333866050,1671299333866050,4,617.0,25225.0,武嶺1/9 現況，都白頭，但是停車場不知道為何不能進場了,57.7,,2025-01-09 17:29:22+08:00,2025-05-24 09:05:25+08:00,,Yes,MetaTool
2025-01-11 05:35:53+00:00,2025-02-17 17:48:00+00:00,Campfire 營火部落 - 達哥,campfire_tw,1274606571232709,1274606571232709,36,2727.0,112785.0,臺灣最高的公廁，雪季都結冰沒辦法用了,26.54,,2025-01-11 13:35:53+08:00,2025-02-18 01:48:00+08:00,,Yes,MetaTool
2025-01-12 04:24:47+00:00,2025-02-17 17:48:00+00:00,Campfire 營火部落 - 達哥,campfire_tw,1300991611935202,1300991611935202,83,17763.0,334970.0,這是在台灣？！合歡山無敵雪景,48.83,,2025-01-12 12:24:47+08:00,2025-02-18 01:48:00+08:00,,Yes,MetaTool
2025-01-13 10:49:18+00:00,2025-02-17 17:48:00+00:00,Campfire 營火部落 - 達哥,campfire_tw,789374203664915,789374203664915,15,514.0,20930.0,今天來挑戰乾式熟成肋眼牛排,58.47,,2025-01-13 18:49:18+08:00,2025-02-18 01:48:00+08:00,,Yes,MetaTool
2025-01-14 06:12:37+00:00,2025-02-17 17:48:00+00:00,Campfire 營火部落 - 達哥,campfire_tw,1233468758960980,1233468758960980,5,269.0,18279.0,如果沒有這種耳機，你摩托車旅行很難交到新朋友,59.17,{'0': '851604637888262'},2025-01-14 14:12:37+08:00,2025-02-18 01:48:00+08:00,,Yes,MetaTool
2025-01-19 05:34:17+00:00,2025-02-17 17:48:00+00:00,Campfire 營火部落 - 達哥,campfire_tw,2015597922384362,2015597922384362,5,91.0,10159.0,包貓咪包圍的體驗，台北的貓咖啡#cat,59.27,,2025-01-19 13:34:17+08:00,2025-02-18 01:48:00+08:00,,Yes,MetaTool
2025-01-20 04:25:10+00:00,2025-05-05 18:57:23+00:00,Campfire 營火部落 - 達哥,campfire_tw,1671366774298512,1671366774298512,7,345.0,20832.0,BMW F750 GS重機一萬公里保養要花多少錢,59.4,,2025-01-20 12:25:10+08:00,2025-05-06 02:57:23+08:00,,Yes,MetaTool
