creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-14 12:34:42+00:00,2025-07-10 18:55:54+00:00,✨High咖-邱志恒✨嗨咖,children0704,1216721426860768,1216721426860768,196,33800.0,725491.0,"像我這種純樸男 鐵定是最棒的～
大家都愛我！可惜我已經有女友品妤baby了！

去Omi找看看 其他好男人吧！

#omi",43.61,,2025-01-14 20:34:42+08:00,2025-07-11 02:55:54+08:00,,Yes,MetaTool
2025-01-16 11:53:15+00:00,2025-01-19 18:57:51+00:00,✨High咖-邱志恒✨嗨咖,children0704,1967918227478186,1967918227478186,28,2645.0,175514.0,"🧨每年過年都這樣！

想倒就吃【卡迪那小德薯】 
@cadinatw

「濃厚茄汁」和「湖鹽海苔」兩種口味都好吃倒不行！過年大家吃起來！

#卡迪那小德薯
#想倒就吃隨食不喊卡
#卡迪那好吃不喊卡
#小德薯",65.57,{'0': '1358331329401090'},2025-01-16 19:53:15+08:00,2025-01-20 02:57:51+08:00,,Yes,MetaTool
2025-01-20 13:50:36+00:00,2025-01-22 15:50:42+00:00,✨High咖-邱志恒✨嗨咖,children0704,1247464080923891,1247464080923891,36,2792.0,196680.0,"🔅情人節之戰🔅
 
情侶到最後都是在吵誰的口氣差
這時候就需要 李施德霖#噴的漱口水 速效口腔清新噴霧
小巧好收納，掛身上或放包包隨時可使用！（女友的小廢包也放得下）
情人節約會隨時噴，戀愛氣氛隨時跟
 
有效幫助對抗99%*引起口臭的細菌
有兩種口味 舒涼薄荷/沁涼薄荷
一起吃完大餐也絕對要記得帶，約會時刻保持清新口氣！
噴完再大聲對他喊出 我～愛～你～～～～🫶
讓兩人的濃情蜜意心動綻放💕
 
1/21-2/19 於全省屈臣氏門市買速效口腔清新噴霧，就送隨身帶掛繩，掛在身上或包包上都好方便，時尚更加分
 
噴的漱口水#：係形容本產品依照正確用法同樣可幫助清新口氣，本產品並非漱口水或化粧品類別
幫助對抗99%*引起口臭的細菌：配合正確刷牙習慣，經體外實驗證實
 
@listerine_tw
#李施德霖 #李施德霖速效口腔清新噴霧 #噴的漱口水 #噴然心動的瞬間 #約會隨時噴，戀愛氣氛隨時跟",62.96,{'0': '1234387424689975'},2025-01-20 21:50:36+08:00,2025-01-22 23:50:42+08:00,,Yes,MetaTool
2025-02-21 08:12:47+00:00,2025-08-28 09:54:22+00:00,✨High咖-邱志恒✨嗨咖,children0704,2846680559000008,2846680559000008,53,3768.0,255079.0,"【影片1】

2025.02.07 

我在我的限動po出我在【B.P.Y 220 新北三重館】
@bpy_220sc 的糟糕體驗 （限動我已放精選）

內容隻字未提店名，及任何誘導觀眾搜尋的影射字眼，但【B.P.Y 220 新北三重館】竟用我的客戶資料打電話給我，用「威脅」的語氣，叫我下架影片

通話一共兩通，此為第一通：影片1，由於IG規範影片最長只能3分鐘，完整影片可以看我的YouTube （影片中我在上大號請見諒)

❌2025.02.21 更 

目前此公司已經開始做內部調查，試圖找出與我聯繫的離職教練，行徑極其可惡，請【B.P.Y 220】面對自己的問題，不要找無辜的教練開刀

🔸皮拉提斯是很棒的運動，我親身體驗過五家，對身體真的很有幫助，只有【B.P.Y 220 新北三重館】給我如此糟糕的體驗

🔸此文可能會影響到轉讓課程學員的權益，對此我深感抱歉，於是我決定在我的YT的影片下開超級感謝，所有金額我會拿去幫助那些退不了錢的學員，同時我這支片的營收也會全部捐出 

🔸如果你也是受害者 可以填我留言區的表單（或我IG自介連結，帳號：children0704)所有個資皆用於向店家索賠，絕無不法用途，我一定盡力協助各位

期望大家都有健康的身體，讓不良的店家負起責任，感謝大家",179.98,{'0': '949006630888732'},2025-02-21 16:12:47+08:00,2025-08-28 17:54:22+08:00,,Yes,MetaTool
2025-02-21 08:17:07+00:00,2025-07-08 14:59:20+00:00,✨High咖-邱志恒✨嗨咖,children0704,1906111873347553,1906111873347553,30,2596.0,248296.0,"【 影片2 】

2025.02.07 

我在我的限動po出我在【B.P.Y 220 新北三重館】
@bpy_220sc 的糟糕體驗 （限動我已放精選）

內容隻字未提店名，及任何誘導觀眾搜尋的影射字眼，但【B.P.Y 220 新北三重館】竟用我的客戶資料打電話給我，用「威脅」的語氣，叫我下架影片

通話一共兩通，此為第二通：影片2，由於IG規範影片最長只能3分鐘，完整影片可以看我的YouTube

❌2025.02.21 更 

目前此公司已經開始做內部調查，試圖找出與我聯繫的離職教練，行徑極其可惡，請【B.P.Y 220】面對自己的問題，不要找無辜的教練開刀

🔸皮拉提斯是很棒的運動，我親身體驗過五家，對身體真的很有幫助，只有【B.P.Y 220 新北三重館】給我如此糟糕的體驗

🔸此文可能會影響到轉讓課程學員的權益，對此我深感抱歉，於是我決定在我的YT的影片下開超級感謝，所有金額我會拿去幫助那些退不了錢的學員，同時我這支片的營收也會全部捐出 

🔸如果你也是受害者 可以填我留言區的表單（或我IG自介連結，帳號：children0704)所有個資皆用於向店家索賠，絕無不法用途，我一定盡力協助各位

期望大家都有健康的身體，讓不良的店家負起責任，感謝大家",155.17,{'0': '949006630888732'},2025-02-21 16:17:07+08:00,2025-07-08 22:59:20+08:00,,Yes,MetaTool
2025-02-22 17:24:00+00:00,2025-02-22 18:41:36+00:00,✨High咖-邱志恒✨嗨咖,children0704,787432630552340,787432630552340,27,1459.0,224956.0,直播了一下,4116.97,,2025-02-23 01:24:00+08:00,2025-02-23 02:41:36+08:00,,Yes,MetaTool
2025-03-06 12:25:39+00:00,2025-04-29 10:37:24+00:00,✨High咖-邱志恒✨嗨咖,children0704,1515852096565002,1515852096565002,4,960.0,232608.0,"紐西蘭皇后鎮 最強行程這樣排！

📍Skyline Queenstown 
紐西蘭直接排個半天給這裡！必來！
搭纜車、玩卡丁車，山上還直接有超美景觀餐廳！
全家大小都可以玩很開心的地方🙌🏻超好玩超推！

📍景觀餐廳Stratosfare Restaurant & Bar
我們晚餐晚上八點開始吃，自助式景觀餐廳！
紐西蘭春天晚上八九點才天黑，所以我們一路看著太陽下山，超級美超享受！
可以說是我吃過景觀最美的景觀餐廳🍴
吃完搭纜車下山欣賞夜景，比白天的美添加了一些浪漫感！

📍紐西蘭皇后鎮昂森高端溫泉 Onsen Hot pools

很高級的私人溫泉♨️
光是大廳的裝潢擺設，就讓人很放鬆沉靜～
湯屋也很漂亮，而且我們泡的時候居然 滿滿星空！！！！超扯的！
很多時候在網路上看到一些滿天星星的影片照片，都覺得應該有修圖吧！？怎麼可能這麼多？
你去過紐西蘭你就知道「那是真的」！！🤪
而且肉眼看更美唷！

另外，紐西蘭8天的旅程
我們的網路都是用Klook 的eSIM
超級方便而且比電信漫遊便宜很多！
能選的方案也很靈活！
重點是，我們這次用的網路超級穩，推薦🙌🏻
@klooktw 

@Klookkreator @purenewzealand @mauimotorhomes
#NZMustDo #Klookkreator #KreatorsinNZ #紐西蘭旅遊 #紐西蘭 #newzealand",48.15,"{'0': '1477795402882103', '1': '439169462380581'}",2025-03-06 20:25:39+08:00,2025-04-29 18:37:24+08:00,,Yes,MetaTool
2025-03-13 14:00:00+00:00,2025-09-09 03:34:00+00:00,✨High咖-邱志恒✨嗨咖,children0704,1960329348175075,1960329348175075,531,26622.0,532925.0,"🔥勿忘【 B.P.Y220 】🔥

自我2/20日PO出知名皮拉提斯健身房【B.P.Y220】的醜聞之後，已經過了整整兩個禮拜

這期間【B.P.Y220】發表聲明，說他們會妥善處理，但他們不但關閉了留言，當時被網友質疑的貼文也一同消失，就連【B.P.Y220三重店】的google地標也無法搜尋

更遑論這篇聲明是完完全全的公然說謊！

這兩個禮拜期間，我看了超過130則具名投訴、親自致電給受害者、親自審閱相關證據，發現他們的惡行遠遠不止我影片中所述，非常可怕（細節目前無法公開）我可以很肯定的說【B.P.Y220】的聲明完全是在掩蓋真相

1. 【B.P.Y220】與教練的合約「絕對不是定型化契約」！不然你憑什麼與教練索討30萬？甚至100萬？還威脅教練不得公開？
2. 【B.P.Y220】教練的培訓「絕對有問題」不然為什麼零基礎的新人可以在幾個禮拜後教課？更可惡的是他們之前「#零基礎」徵人圖文也已被他們刪除
3. 【B.P.Y220】「絕對有故意不讓學員退費」，並且「逼迫教練賠錢」他們積欠教練與學員的費用非常龐大

我也知道【B.P.Y220】根本不想正面處理問題，只想等風波過去，我也深怕當我蒐證齊全後，這件事早已被大眾遺忘

所以希望大家還記得這幾百位受害者，可以繼續抵制惡質店家，我也跟大家保證，等我統整完畢，我會出一支影片把所有他們的惡形惡狀與大眾公佈",90.03,,2025-03-13 22:00:00+08:00,2025-09-09 11:34:00+08:00,,Yes,MetaTool
2025-04-01 14:09:35+00:00,2025-08-05 13:45:54+00:00,✨High咖-邱志恒✨嗨咖,children0704,1828978284456412,1828978284456412,325,11753.0,325020.0,"【假漢子女】

奇怪？為什麼男生都會莫名其妙喜歡上我啊？我只是想跟他們一起玩《全明星街球派對》啊！

3月30日《全明星街球派對》一周年啦！滿滿大禮整整37天不間斷

完成任務，就可以用超低價，穿上紀念時裝「一片珍心」！

快跟我一起玩 @dunkcitydynastyhmt 吧❤️

#全明星街球派對
#派對加冕一片珍心
#全明星街球派對週年慶
#佛心公司",82.82,{'0': '2388896871555434'},2025-04-01 22:09:35+08:00,2025-08-05 21:45:54+08:00,,Yes,MetaTool
2025-04-29 12:02:09+00:00,2025-04-29 12:33:02+00:00,✨High咖-邱志恒✨嗨咖,children0704,25891802407150360,25891802407150362,64,4871.0,224394.0,"不要再假鬼假怪了!

4/28-5/18 在PChome下單ACER DA321QK 4K智慧型螢幕💰加碼送你1000P幣

🔥商品連結:https://24h.pchome.com.tw/prod/DSABEL-A900IE0AH

#PChome #Acer #螢幕",45.85,{'0': '2014095958994005'},2025-04-29 20:02:09+08:00,2025-04-29 20:33:02+08:00,,Yes,MetaTool
