creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-02-19 01:15:06+00:00,2025-02-23 00:04:13+00:00,ᴄɪᴀᴏ! ᴋɪᴛᴄʜᴇɴ 巧兒灶咖,ciao_kitchen,1456514556126342,1456514556126342,41,4935.0,195935.0,"🎶迷你果醬司康吃好康 🎶 一口完食的大小，吃起來超方便又沒罪惡感！

夾的果醬是只用栃木縣Skyberry和白草莓製成的天然草莓果醬，可以吃到草莓果肉跟甜甜草莓香，極品美味💕

司康食譜：
（可作20顆迷你司康/3cm直徑）
中筋麵粉 200g 
泡打粉 5g 
鹽 2g 
二砂糖 40g  
無鹽奶油 50g 
鮮奶油 80g 
全蛋 30g 

❮ 2/18-2/25 限時七天日本小農食材開團 ❯
這次開團的日本食材各個都是當地名物，真的會非常考驗大家的腦波，每一款的美味程度都達到了「必須擁有」的等級，廠商給我的數量滿少的，有喜歡的要快點下手。

團購連結在我的簡介或是私訊「團購」我會寄給你～

❶ 小農特製 栃木縣草莓果醬
❷日本水產真鯛高湯鹽
❸日本津輕直火燒 「蘋果咖哩粉」
❹日本津輕直火燒「奶油白醬粉」",66.36,,2025-02-19 09:15:06+08:00,2025-02-23 08:04:13+08:00,,Yes,MetaTool
2025-02-23 00:03:17+00:00,2025-02-28 09:43:22+00:00,ᴄɪᴀᴏ! ᴋɪᴛᴄʜᴇɴ 巧兒灶咖,ciao_kitchen,1593862028316096,1593862028316096,48,14079.0,356160.0,"飯糰的高級吃法！煎飯糰+茶泡飯一次搞定🤝

飯糰：
4杯白飯
2小匙真鯛高湯鹽
2小匙拌飯香鬆
味噌醬：
* 1 大匙 黃味噌 
* 2 小匙 味醂 
* 2 小匙 醬油 
* 1 小匙 砂糖

❮ 2/18-2/25 限時七天日本小農食材開團 ❯
團購連結在我的簡介或是私訊「團購」我會寄給你～

❶ 小農特製 栃木縣草莓果醬
❷日本水產真鯛高湯鹽
❸日本津輕直火燒 「蘋果咖哩粉」
❹日本津輕直火燒「奶油白醬粉」",64.23,,2025-02-23 08:03:17+08:00,2025-02-28 17:43:22+08:00,,Yes,MetaTool
2025-04-18 03:49:32+00:00,2025-07-06 05:56:49+00:00,ᴄɪᴀᴏ! ᴋɪᴛᴄʜᴇɴ 巧兒灶咖,ciao_kitchen,1430685988544467,1430685988544467,58,7461.0,236025.0,"為忙碌生活設計的「萬用冷凍麵團」🥐

有時候雖然想吃現烤麵包，
想到揉麵、發酵、整形一搞就是好幾個小時，還不包括秤料...我心就累了。 不是我懶，是麵團真的太磨人了（抱頭）。

直到我發現——冷！凍！麵！團！
這根本是懶人福音。

有空的時候先打一批麵團，直接冷凍讓它進入冬眠模式。 想吃的時候，前一晚挖幾顆出來退冰，隔天整形、發酵、烘烤一氣呵成，彷彿有個麵包小精靈在幫我開工。

流程也很easy： 
打完麵團→ 分割冷凍（不用基礎發酵） → 前晚退冰 → 回溫、最後發酵 → 烤出香氣逼人的麵包！ 我自己都一次做十幾顆起跳，當成麵包庫存。
烤出來的口感鬆軟濕潤，濃郁奶香味，連我自己都忘了它曾經在冷凍庫待過。 
喜歡現烤麵包的幸福感，但不想每天從零開始揉麵，可以試試這招！
有試過冷凍麵團的巧手們舉個手✋

我特別設計的「萬用冷凍麵團」影片這幾天就會上 YouTube，記得鎖定～

——年度山崎烘焙家電團購中，限時85折——
山崎42L & 60L微電腦烤箱是我心中理想的「烘焙專用烤箱」
容量大，一次烤多顆麵包也不怕擠，還有上下火獨立控溫、預熱快、穩定性高。
最加分的是它擁有市面上最完整的發酵功能：28～38°C 每一度都能微調，還能加水補濕，一年四季發酵都穩定方便！

本團還有靜音攪拌機、烤箱專用石板、壓麵器、均質機等烘焙工具同步開團，限時85折，售完為止。

📅 團購時間：即日起～4/27止
🛒 下單連結：在我的簡介內
🚚 免運 / 可分三期 / 原廠保固一年#",58.96,,2025-04-18 11:49:32+08:00,2025-07-06 13:56:49+08:00,,Yes,MetaTool
2025-04-28 01:46:27+00:00,2025-08-06 00:45:57+00:00,ᴄɪᴀᴏ! ᴋɪᴛᴄʜᴇɴ 巧兒灶咖,ciao_kitchen,1616947059757761,1616947059757761,322,6010.0,262741.0,"烘焙人的困擾，你中了幾個？#復古標籤機

【精臣B21 Pro復古標籤機】 收納、標記、包裝，一次到位，連生活的節奏都變得好溫柔✨
這台超有質感奶茶標籤機，不只是打字， 還能列印 QR Code、自己的Logo、小插圖，甚至小照片！ 
做完麵包想送人的話， 一鍵列印自己的品牌標籤，成分表、回烤方式通通貼好， 不只收納整齊，連貼心度、專業度都大大加分🎖️

而且，貼紙材質超多選擇：
* ❄️ 冷凍貼紙：抗凍抗濕，冷凍室一樣牢牢貼好 
* ✨ 透明貼紙：低調質感，搭配包裝美到不行 
* 🎠 卡通貼紙：適合手作禮物、小孩用品標記 
✅ 300dpi超高清列印，細節超銳利 ✅ 標籤尺寸8-200mm彈性搭配，小罐大盒都能輕鬆搞定 ✅ 開機自動回紙，列印穩又快，首張也不浪費！

這次團購是標籤機＋貼紙組的超特價組合，也可以單買標籤紙～
⏰時間: 即日起～5/6止
🔗團購連結：私訊「標籤機」就會寄給你喔

#精臣  #NIIMBOT #NIIMBOTB21Pro",63.74,,2025-04-28 09:46:27+08:00,2025-08-06 08:45:57+08:00,,Yes,MetaTool
2025-05-23 01:14:21+00:00,2025-07-17 15:33:07+00:00,ᴄɪᴀᴏ! ᴋɪᴛᴄʜᴇɴ 巧兒灶咖,ciao_kitchen,1428387495688399,1428387495688399,210,5962.0,460176.0,"最近早上在熬的巫婆藥水❌ 冷壓果汁✅ 
成功收服討厭綠拿鐵的小當家捧場陪我天天喝。 羽衣甘藍和芹菜都變得沒有苦味不用捏著鼻子喝覺得很有成就感😆 

一杯清爽順腸的綠汁： 羽衣甘藍🥬小黃瓜🥒奇異果🥝蘋果🍎 

一杯顧眼睛+免疫力的橘汁： 紅蘿蔔🥕薑、薑黃、檸檬🍋

慢磨機的團購連結在簡介裡
或私訊我「慢磨機」",56.72,,2025-05-23 09:14:21+08:00,2025-07-17 23:33:07+08:00,,Yes,MetaTool
2025-07-17 01:13:05+00:00,2025-09-29 21:22:30+00:00,ᴄɪᴀᴏ! ᴋɪᴛᴄʜᴇɴ 巧兒灶咖,ciao_kitchen,25921167550875480,25921167550875476,164,1687.0,102603.0,"🍵 茶粉不是只能做甜點，運動前我都這樣喝！

以前買茶粉，都是做司康或餅乾那類的。 開始運動後，發現茶粉加進蛋白飲超可以欸！

乳清＋一匙舞間茶心的紅茶粉，
搖一搖就是天然無糖的「茶香高蛋白飲」
 跟市售那種香精奶茶口味乳清比起來，
茶香完全是不同層次的， 而且蛋白質要補充夠，才不會容易餓！
這杯喝起來剛剛好有飽足感又不厚重。
我喝完這杯再出門慢跑～

✔️ 1000目超細茶粉，不用過篩，冷水就能沖開 ✔️ 無糖無香精，搭豆漿、牛奶、乳清都好喝 ✔️ 特別是女生，吃完蛋白質再運動會提升代謝率與燃脂效率（研究新發現）

我這次買了好幾種口味，紅茶、烏龍、四季春…
搭不同奶類，變化新風味，完全不會膩。
茶控一定懂這種小確幸！

懶得自己調？他們家有新出「厚茶蛋白飲」～
小包裝也很適合放包包隨時想喝都可以。 喝起來順口、有飽足感，蛋白質夠、
還有膳食纖維加持。

\ 6種口味 \ 
綠茶系：日式玄米 紅茶系：蜜香紅茶、伯爵可可 純素系＆無咖啡因：黑豆、芝麻、羽衣甘藍 (使用大豆蛋白）

很多調味的蛋白飲加糖就算了，連添加物都有夠多，
他們家材料超級乾淨，味道真的好喝，喝過會回不去！

📣 團購資訊
甜點店指定品牌「舞間茶心」茶粉、茶蛋白飲 團購開跑～ 限時特價、免運，再贈電動攪拌杯
🛒 活動連結請私訊我「茶粉」就會寄給妳囉！ 📅 團購期間｜即日起～7/24（四）截止",54.54,,2025-07-17 09:13:05+08:00,2025-09-30 05:22:30+08:00,,Yes,MetaTool
2025-07-24 01:15:05+00:00,2025-07-29 12:38:10+00:00,ᴄɪᴀᴏ! ᴋɪᴛᴄʜᴇɴ 巧兒灶咖,ciao_kitchen,2616133462093120,2616133462093120,46,4033.0,125871.0,"「LeTAO 如果出台灣限定口味?」🍪
復刻我每次去日本都會買的紅茶巧克力餅乾！

外層是薄薄酥脆的茶香餅乾，
中間夾著濃濃茶味的巧克力片，
咬下去紅茶的香氣有夠濃的🤤

製作不到5分鐘完成，
只要蛋白、奶油、巧克力，
再加一點紅茶粉就能還原那個味道✨ 用台灣的紅玉或蜜香紅茶粉，茶香甚至更細緻🌱

如果你也愛 LeTAO、或只是單純熱愛紅茶甜點，
這款真的很推喔！❤️

為什麼選擇舞間茶心的茶粉？
因為它是用整片茶葉低溫慢磨，
細度高達 1000 目，比一般市售的還要細緻許多，
不用過篩、不會結塊，茶香也特別乾淨明亮。
 他們家有很多款台灣茶，這次選的是台灣的紅玉紅茶粉，香氣清爽又有深度，做甜點非常適合。

食譜材料：

餅乾部分（約 20 片，夾心後約 10 組）
無鹽奶油（室溫） 40g 糖粉 35g 鹽 一小撮 紅玉紅茶粉（或蜜香紅茶粉，舞間茶心）4g 低筋麵粉 38g 蛋白（室溫） 37g 
紅茶巧克力夾心
牛奶巧克力 50g 紅玉紅茶粉或蜜香紅茶粉 1.5 小匙 *建議使用牛奶巧克力，
苦甜巧克力會掩蓋紅茶香氣，吃不出茶味。

甜點店指定品牌「舞間茶心」茶粉、
茶蛋白飲 團購開跑中～ 限時5折特價、免運，再贈電動攪拌杯
團購連結在我的簡介裡喔☝️☝️☝️
私訊我也可以～",65.9,,2025-07-24 09:15:05+08:00,2025-07-29 20:38:10+08:00,,Yes,MetaTool
2025-08-09 02:05:39+00:00,2025-08-09 05:55:44+00:00,ᴄɪᴀᴏ! ᴋɪᴛᴄʜᴇɴ 巧兒灶咖,ciao_kitchen,1624952741981268,1624952741981268,30,4360.0,191827.0,"萬用的開心果神醬💚
開心果品項的秘密武器就是它！
完整影片在Youtube上
『一整天只吃開心果?!』
有更多開心果品項可以看～

開心果奶油：
生開心果 90g
橄欖油 1 大匙  糖粉 50g 奶粉　1½ 大匙  融化白巧克力 20g 鮮奶油 30ml 水（依照濃稠度調整）1~2 大匙 

*精臣B21 Pro標籤機限時特價中，
私訊我 「標籤機」收活動連結🫡

#pistachio",51.43,,2025-08-09 10:05:39+08:00,2025-08-09 13:55:44+08:00,,Yes,MetaTool
2025-08-21 01:41:58+00:00,2025-08-23 12:12:02+00:00,ᴄɪᴀᴏ! ᴋɪᴛᴄʜᴇɴ 巧兒灶咖,ciao_kitchen,907870998953296,907870998953296,59,3456.0,115285.0,"不用鮮奶油、也不用中種的厲害吐司配方（請收藏）
加上Vermicular鑄鐵吐司模助攻～ 烤出有棉花般的柔軟質地、充滿奶香，
直逼生吐司的高級質感。

烘焙人的日常其實常常是驚嚇，
好險偶爾也會有驚喜 :) 

日式鮮奶吐司配方 
（適用Vermicular 帶蓋鑄鐵吐司模 x 1 條）

* 262 g 高筋麵粉 
* 26 g 砂糖
* 5 g 鹽 
* 4 g 速發酵母 
* 90 ml 冰牛奶
* 110 ml 常溫水 (先保留5ml水分，依據麵團狀況再加入）
* 26 g 無鹽奶油 

烤溫：上下火 170℃ / 210 ℃，放最下層，烤27分鐘
*非鑄鐵模，請將烘烤時間增加 3–5 分鐘，確保吐司中心熟透。
詳細食譜在巧兒灶咖網站上

——————
日本直送！Vermicular系列商品團購中：新品上市「鑄鐵珐瑯玉子燒鍋、吐司模」

這次贈品太猛了
* 前 10 名 下單 IH 爐 → 送 Vermicular 筷架組（2入）
* 單筆滿 $15,000 → 送 Vermicular 20cm 烤箱專用平底鍋（市價 $3,500）
* 單筆滿 $30,000 → 送 LAURASTAR IGGI 蒸汽掛燙機（市價 $8,800，不累贈）

團購連結：私訊我「小Ｖ」或「鮮奶吐司」
時間：即日起～8/31底",54.42,,2025-08-21 09:41:58+08:00,2025-08-23 20:12:02+08:00,,Yes,MetaTool
2025-08-24 03:49:52+00:00,2025-08-26 07:59:59+00:00,ᴄɪᴀᴏ! ᴋɪᴛᴄʜᴇɴ 巧兒灶咖,ciao_kitchen,1363425978921996,1363425978921996,20,3659.0,110739.0,"厚片吐司的最美味吃法🍯🧈🥪

妖獸好吃的蜂蜜奶油醬
室溫奶油 40g
黃糖 40g
蜂蜜 20g
少許海鹽

厚片吐司切邊，四面塗上薄薄一層蜂蜜奶油醬
放入烤箱，180度烤18-20分鐘，中途翻面，烤到焦糖色。出爐，稍微放涼10分鐘，享受外脆內軟的黃金口感，吃過才知道有多好吃!！

—————
Vermicular系列商品團購中：新品上市「鑄鐵珐瑯玉子燒鍋、吐司模」

這次贈品太猛了
* 前 10 名 下單 IH 爐 → 送 Vermicular 筷架組（2入）
* 單筆滿 $15,000 → 送 Vermicular 20cm 烤箱專用平底鍋（市價 $3,500）
* 單筆滿 $30,000 → 送 LAURASTAR IGGI 蒸汽掛燙機（市價 $8,800，不累贈）

團購連結：私訊我「小v」或「鮮奶吐司」直接寄給你
時間：即日起～8/31底",43.96,,2025-08-24 11:49:52+08:00,2025-08-26 15:59:59+08:00,,Yes,MetaTool
