creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 04:25:23+00:00,2025-03-23 03:10:10+00:00,Pet Pixels Studio,coffee_time_corgi,769037942557712,769037942557712,21,2303.0,88818.0,"不想去上學
I don't want to go to school.
#pet #ねこ #貓 #cat #klingaicpp",15.2,,2025-01-02 12:25:23+08:00,2025-03-23 11:10:10+08:00,DET0i7Apbpv,Yes,Instaloader
2025-01-06 00:01:09+00:00,2025-05-01 19:07:35+00:00,Pet Pixels Studio,coffee_time_corgi,1415424906234851,1415424906234851,40,5917.0,141136.0,"星期一的不良貓應援團，通通給我動起來
Cheerleading on Monday
#cat #pet #ねこ #貓 #應援  #klingai #klingaicpp",83.6,{'0': 'non_public_506556645847459'},2025-01-06 08:01:09+08:00,2025-05-02 03:07:35+08:00,DEdpdfwNqZ1,Yes,Instaloader
2025-01-07 06:00:08+00:00,2025-03-23 03:10:10+00:00,Pet Pixels Studio,coffee_time_corgi,938532985185771,938532985185771,38,7306.0,200338.0,"企鵝村達人秀評審表示:我要點餐，今天的表演太無聊
Got Talent's cat judge asks: When will the meal be served?
#pet #貓 #ねこ #cat #klingai",13.51,,2025-01-07 14:00:08+08:00,2025-03-23 11:10:10+08:00,DEg3XSrgkHg,Yes,Instaloader
2025-01-08 08:07:09+00:00,2025-09-21 09:22:09+00:00,Pet Pixels Studio,coffee_time_corgi,903252685813452,903252685813452,63,3275.0,125906.0,"那個臉🤣
#pet #cat #貓 #ねこ",19.68,,2025-01-08 16:07:09+08:00,2025-09-21 17:22:09+08:00,DEjqimfyQzO,Yes,Instaloader
2025-01-09 00:01:23+00:00,2025-03-23 03:10:10+00:00,Pet Pixels Studio,coffee_time_corgi,1847111565942373,1847111565942373,31,2782.0,93360.0,"南無多拉A夢
#pet #貓 #ねこ #pet #klingai",27.59,,2025-01-09 08:01:23+08:00,2025-03-23 11:10:10+08:00,DElX5BshC_1,Yes,Instaloader
2025-01-10 00:01:05+00:00,2025-03-23 03:10:10+00:00,Pet Pixels Studio,coffee_time_corgi,1596716911376858,1596716911376858,27,3263.0,95905.0,"又到星期五，迫不急待下班直接走人，連攤位都不收
It's Friday, can't wait to get off work and start the vacation!
#pet #貓 #ねこ #klingai",14.44,,2025-01-10 08:01:05+08:00,2025-03-23 11:10:10+08:00,DEn8qe5srdT,Yes,Instaloader
2025-01-13 00:02:06+00:00,2025-04-11 13:54:26+00:00,Pet Pixels Studio,coffee_time_corgi,1871169243516207,1871169243516207,58,21072.0,499826.0,"天氣冷就是要抱團取暖啊
Cold level up? Hug level up!
#pet #犬 #corgi #dogs #klingai",38.27,,2025-01-13 08:02:06+08:00,2025-04-11 21:54:26+08:00,DEvrINUIEFa,Yes,Instaloader
2025-01-14 00:00:45+00:00,2025-03-23 03:10:10+00:00,Pet Pixels Studio,coffee_time_corgi,3667934310015465,3667934310015465,30,5018.0,178385.0,"一隻天天作夢的貓
A cat that dreams every day.
#cat #pet #貓 #ねこ #klingai",9.1,,2025-01-14 08:00:45+08:00,2025-03-23 11:10:10+08:00,DEyPyrSqbbB,Yes,Instaloader
2025-01-17 00:01:19+00:00,2025-05-02 17:28:56+00:00,Pet Pixels Studio,coffee_time_corgi,3966455596979167,3966455596979167,17,1292.0,68829.0,"企鵝村的稻荷神社吉祥物
#pet #fox #きつね",17.97,,2025-01-17 08:01:19+08:00,2025-05-03 01:28:56+08:00,DE5-RrvoPcr,Yes,Instaloader
2025-01-20 00:00:54+00:00,2025-10-31 02:36:34+00:00,Pet Pixels Studio,coffee_time_corgi,905630091832719,905630091832719,246,49522.0,814804.0,"kling ai新功能元素elements參考功能，你可以上傳片中最多四種元素去創造組合出心目中想要的風格影片，比如狗的樣子與穿著，他騎什麼款式摩托車，在什麼地形表演特技，自動會幫你把這些元素組合起來。
Kling AI's new feature, the Elements Reference Function, allows you to upload up to four elements from your footage to combine and create a video in your desired style. For example, you can specify the appearance and outfit of a dog, the type of motorcycle it rides, and the terrain where it performs stunts. The system will automatically integrate these elements for you.
#pet #AI #dog #klingai",11.68,{'0': 'non_public_506556645847459'},2025-01-20 08:00:54+08:00,2025-10-31 10:36:34+08:00,DFBsmIxMulI,Yes,Instaloader
2025-01-24 00:01:15+00:00,2025-07-07 01:13:38+00:00,Pet Pixels Studio,coffee_time_corgi,715672841629207,715672841629207,90,11554.0,238297.0,"企鵝村的年貨大街，喵喵們各種忙碌，原來阿吉書法寫的不錯，祝大家新年快樂
Spring Festival
#pet #cat #貓 #klingai #ねこ",49.25,{'0': 'non_public_506556645847459'},2025-01-24 08:01:15+08:00,2025-07-07 09:13:38+08:00,DFL_xvipimU,Yes,Instaloader
2025-01-24 10:36:14+00:00,2025-03-23 03:10:10+00:00,Pet Pixels Studio,coffee_time_corgi,1174790671216838,1174790671216838,13,1189.0,88511.0,"放年假了，家裡有準備小熊軟糖嗎?
The holidays are here, and the gummy bear is heading home.",15.57,,2025-01-24 18:36:14+08:00,2025-03-23 11:10:10+08:00,DFNIe8ouw_p,Yes,Instaloader
2025-01-26 00:00:58+00:00,2025-04-30 07:46:29+00:00,Pet Pixels Studio,coffee_time_corgi,921885367684430,921885367684430,43,5570.0,181888.0,"大家喜歡吉伊卡哇還是小八貓呢? 村長本人也好想去看燈會啊
2025 Kaohsiung Wonderland
#ちいかわ  #kaohsiung #吉伊卡哇 #klingai",21.23,,2025-01-26 08:00:58+08:00,2025-04-30 15:46:29+08:00,DFRJWYUiF36,Yes,Instaloader
2025-01-28 09:04:39+00:00,2025-03-23 03:10:10+00:00,Pet Pixels Studio,coffee_time_corgi,885613114354447,885613114354447,43,5323.0,152097.0,"祝大家蛇年行大運，嘶嘶如意
#happynewyear #pet #新年 #klingai",12.97,,2025-01-28 17:04:39+08:00,2025-03-23 11:10:10+08:00,DFXQ-kmy8js,Yes,Instaloader
2025-01-29 07:11:10+00:00,2025-04-09 10:42:52+00:00,Pet Pixels Studio,coffee_time_corgi,1585844589296782,1585844589296782,38,3323.0,115378.0,"四方頭嘎逼祝大家財源廣進
天門開來地門開，四方財神進門來
#pet #happynewyear #corgi #犬 #財神",9.61,,2025-01-29 15:11:10+08:00,2025-04-09 18:42:52+08:00,DFZo0o4S2SQ,Yes,Instaloader
2025-01-30 06:54:02+00:00,2025-03-23 03:10:10+00:00,Pet Pixels Studio,coffee_time_corgi,921861473535833,921861473535833,45,4807.0,120704.0,"逗貓
#pet #cat #貓 #klingai",44.17,,2025-01-30 14:54:02+08:00,2025-03-23 11:10:10+08:00,DFcLpZSyqDp,Yes,Instaloader
2025-02-03 00:01:30+00:00,2025-05-09 10:12:53+00:00,Pet Pixels Studio,coffee_time_corgi,1030541339297936,1030541339297936,101,7522.0,162557.0,"新年過後的開工日，喵喵站長們很忙
Monday，The Daily Life of Meows the Train Station Attendant.
#pet #貓 #ねこ #klingai",38.34,{'0': 'non_public_506556645847459'},2025-02-03 08:01:30+08:00,2025-05-09 18:12:53+08:00,DFlvwkcJcRq,Yes,Instaloader
2025-02-04 10:32:44+00:00,2025-05-29 00:59:32+00:00,Pet Pixels Studio,coffee_time_corgi,951475827214727,951475827214727,123,17043.0,505464.0,"天氣冷出來賣烤香腸已經很可憐了，還有人吃霸王香腸的，都練鐵砂掌膩？
These people are not afraid of burning their hands.
#pet #dog #法鬥  #klingai  #犬",10.82,{'0': 'non_public_506556645847459'},2025-02-04 18:32:44+08:00,2025-05-29 08:59:32+08:00,DFpcqarSVsD,Yes,Instaloader
2025-02-07 00:01:46+00:00,2025-03-23 03:10:10+00:00,Pet Pixels Studio,coffee_time_corgi,1688538718779485,1688538718779485,50,3890.0,137634.0,"唉，怎麼都沒人來打香腸
My belly is so itchy!
#pet #dog #犬 #klingai",37.48,,2025-02-07 08:01:46+08:00,2025-03-23 11:10:10+08:00,DFwC-I-sa2Q,Yes,Instaloader
2025-02-08 04:12:03+00:00,2025-03-24 00:23:43+00:00,Pet Pixels Studio,coffee_time_corgi,851855334536496,851855334536496,8,1029.0,71528.0,"療癒一下，可愛動物立體書
#animal",17.47,,2025-02-08 12:12:03+08:00,2025-03-24 08:23:43+08:00,DFzEPPxyONp,Yes,Instaloader
2025-02-10 00:00:59+00:00,2025-09-01 08:22:48+00:00,Pet Pixels Studio,coffee_time_corgi,1567272447665439,1567272447665439,2,414.0,72968.0,"Mad Koala
影片製作方式又有了新思維，pika可以在任何影片中加入新元素，生活化的家庭影片也能加入天馬行空的創意
#madmax #pika",5.18,{'0': '1213912657203388'},2025-02-10 08:00:59+08:00,2025-09-01 16:22:48+08:00,DF3xS8AoDMU,Yes,Instaloader
2025-02-11 11:03:27+00:00,2025-04-11 13:54:11+00:00,Pet Pixels Studio,coffee_time_corgi,1225990579602083,1225990579602083,22,2828.0,101285.0,"柴大氣粗，下班就是要吃燒肉啊
#pet #貓 #cat #dog #犬 #klingai",33.74,{'0': '2297642664062461'},2025-02-11 19:03:27+08:00,2025-04-11 21:54:11+08:00,DF7huYFSAC-,Yes,Instaloader
2025-02-12 05:01:30+00:00,2025-03-23 03:10:10+00:00,Pet Pixels Studio,coffee_time_corgi,1966857020596285,1966857020596285,18,1313.0,74346.0,"喵喵睡衣派對開趴，最後那隻黑貓 🤣
Cat’s Pajama Party
#pet #cat #貓",27.42,,2025-02-12 13:01:30+08:00,2025-03-23 11:10:10+08:00,DF9dM6tyY5r,Yes,Instaloader
2025-02-14 00:01:29+00:00,2025-03-24 13:33:49+00:00,Pet Pixels Studio,coffee_time_corgi,1706397313675072,1706397313675072,46,3986.0,146436.0,"情人節翹班去湯姆熊玩的單身狗
DATONA USA
#pet #犬 #dog #frenchbulldog #arcade #klingai",26.87,,2025-02-14 08:01:29+08:00,2025-03-24 21:33:49+08:00,DGCEdnrC3ZR,Yes,Instaloader
2025-02-17 10:37:50+00:00,2025-03-23 03:10:10+00:00,Pet Pixels Studio,coffee_time_corgi,1929183407680493,1929183407680493,35,2413.0,95735.0,"歡迎試吃章魚燒，但請不要自己動手拿
Takoyaki
#cat #pet #petpixelstudio #貓 #klingai",18.62,,2025-02-17 18:37:50+08:00,2025-03-23 11:10:10+08:00,DGK7rbeyEW4,Yes,Instaloader
2025-02-19 00:05:07+00:00,2025-08-04 18:22:05+00:00,Pet Pixels Studio,coffee_time_corgi,1551482249246750,1551482249246750,198,19155.0,555106.0,"天之驕犬  哩洗勒靠喔🤣
are you crying?
#dog #pet #犬 #klingai",6.11,,2025-02-19 08:05:07+08:00,2025-08-05 02:22:05+08:00,DGO86cxyTL0,Yes,Instaloader
2025-02-20 05:48:22+00:00,2025-04-16 11:26:14+00:00,Pet Pixels Studio,coffee_time_corgi,1238602011580165,1238602011580165,26,1723.0,82381.0,"0分
Failed posture water entry
#pet #cat #貓",4.37,,2025-02-20 13:48:22+08:00,2025-04-16 19:26:14+08:00,DGSI22Byodd,Yes,Instaloader
2025-02-22 02:24:15+00:00,2025-03-25 10:22:51+00:00,Pet Pixels Studio,coffee_time_corgi,1445583186912323,1445583186912323,42,4159.0,146132.0,"跨啥？還不來餵食
What are you looking at?Bring me food.
#pet #cat #貓 #klingai",10.45,,2025-02-22 10:24:15+08:00,2025-03-25 18:22:51+08:00,DGW7H29SKS6,Yes,Instaloader
2025-02-24 23:36:16+00:00,2025-07-12 02:22:42+00:00,Pet Pixels Studio,coffee_time_corgi,1099388745666197,1099388745666197,105,16299.0,621533.0,"累的像狗，沒事多喝水
#dog #pet #犬  #gym #sport #klingai",17.1,,2025-02-25 07:36:16+08:00,2025-07-12 10:22:42+08:00,DGeWT7YzeF9,Yes,Instaloader
2025-03-02 00:33:53+00:00,2025-03-24 11:30:01+00:00,Pet Pixels Studio,coffee_time_corgi,2452390155193647,2452390155193647,25,2266.0,136260.0,"天氣變熱了，來去找尼莫
#pet #dog #cat #犬 #貓",19.9,,2025-03-02 08:33:53+08:00,2025-03-24 19:30:01+08:00,DGrU1WYSL8D,Yes,Instaloader
2025-03-05 00:25:57+00:00,2025-03-23 03:10:10+00:00,Pet Pixels Studio,coffee_time_corgi,808382114866364,808382114866364,17,1030.0,118863.0,"手搖飲的店狗們，今天大家想點哪一家?
#pet #dog #犬",32.74,,2025-03-05 08:25:57+08:00,2025-03-23 11:10:10+08:00,DGzB8BFyPV-,Yes,Instaloader
