creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 12:35:55+00:00,2025-01-02 18:56:01+00:00,Charlene Liu 查理,coindevanity,2430415274086905,2430415274086905,26,1546.0,278664.0,"我最喜歡做唇膏試色了
這次試
媚比琳新品 泰迪絨霧液態唇泥
真的很喜歡！
而且科技真的是日新月異🤣
以前的霧面唇膏都會又乾又顯唇紋
但媚比琳新的這個完全不會耶！

擦在嘴巴上是保濕的狀態
用手抹開後又會變成霧面的
完全不會乾，也不會變酸梅嘴
也不太沾杯
沒有味道
顏色又好看
真的深得我心❤️❤️❤️

25 蜜桃絨泰迪（主打色）
純欲嫩妹色
適合膚色偏白的人擦
完全就是20歲少女

30 紅絲絨泰迪
偏紅的蜜桃色
白肌和自然膚色的人擦都可以

35 草莓熊泰迪
亮眼的粉色，但好駕馭
擦起來像韓國女團偶像擦的顏色
很亮眼又有活力
適合偏白肌擦
這色我喜歡❤️

60玫瑰茶泰迪（最愛色）
全系列我最愛的顏色
真的是一個完美的玫瑰粉色
擦起來好溫柔好好看
好襯膚色啊😍
適合偏白肌

75 砂糖橘泰迪
橘紅色調
黃肌的人就選這色！
很像經典的辣椒色🌶️
但價錢只要一半😂

1/11、1/12「媚比琳 Teddy Land」台北華山-期間限定快閃
免費玩遊戲、泰迪唇泥全試色、軟萌粉紅熊、眾多明星正貨、超優惠折價券一起帶回家

而且現在到實體通路唇部滿$599或是MOMO/蝦皮買2支
直接再送限量泰迪熊吊飾
帶去快閃活動還可以免費裝飾喔！

#媚比琳 #泰迪絨霧液態唇泥 #一抿水轉霧 #12H持色零唇紋",57.92,,2025-01-02 20:35:55+08:00,2025-01-03 02:56:01+08:00,DEUsk4FBQMB,Yes,Instaloader
2025-01-04 13:05:31+00:00,2025-12-14 07:26:04+00:00,Charlene Liu 查理,coindevanity,1240974724202942,1240974724202942,13,730.0,210748.0,"看看這個高科技感的包裝✨
Dior最新出的
「逆時活氧膠原精華」和
「逆時活氧膠原霜」
 
就是給我這種累老的人擦😭
每天一堆事情要操煩
各種壓力都往身上攬
不就是現代人的通病嗎？
常常覺得鏡子裡的自己又累又老
好久沒有喘口氣 好好深呼吸!
 
唯一的慰藉就是拿起這瓶精華
質地Q潤細膩
剛剛好的花香味不會太濃
內含滿滿的雙肽、聖母百合萃取
採用全新迪奧獨家「活氧膠原調控科技」
主要作用就是幫助肌膚提升呼吸效率 
當肌膚內氧氣傳輸的好，就能促進膠原蛋白增生
這就是讓年輕緊緻澎潤的關鍵!
這瓶擦起來保濕力很夠、又超快吸收
給它兩週的時間
有覺得皮膚變比較澎
 
搭配
迪奧逆時活氧膠原霜
這瓶霜蠻奇妙的
我以為會很油很滋潤
但其實不會
是連油肌混合肌都可以擦的那種
我都是晚上厚擦2層再去睡覺
隔天起床也不會油光滿面

這兩瓶連續擦了一段時間後
覺得對改善皮膚的細緻度有很大幫助
而且臉感覺也沒那麼凹了
 
如果你也想改善一臉疲累、凹陷的缺氧肌，可以試試它們讓肌膚好好深呼吸哦

@DiorBeauty #DiorCapture#DiorSkinCare #迪奧逆時系列#氧生美肌#Collab",38.24,,2025-01-04 21:05:31+08:00,2025-12-14 15:26:04+08:00,DEZ5CsZBdx5,Yes,Instaloader
2025-01-08 12:48:00+00:00,2025-01-08 15:58:09+00:00,Charlene Liu 查理,coindevanity,899552869553460,899552869553460,36,2576.0,252256.0,"因為有洗頭所以要特別拍一下🤣🤣🤣

#難得的洗頭日

今天的小日記
去台北免疫科回診
兩週前的抽血報告出來了
免疫系統的數值比上次好很多
但甲狀腺還是有問題

我跟醫生說我最近3天全身長滿疹子
醫生說可能是藥的副作用
要換另一種更強的藥
我有點抗拒
「會不會是因為我吃了蝦子過敏？」

醫生說也有可能
所以現在維持原來的藥
多吃過敏藥

數值變漂亮應該是每天服藥+早睡早起+戒麩質的成果

像我昨天不到10點就睡了🤣🤣🤣

希望大家都身體健康✨",11.17,,2025-01-08 20:48:00+08:00,2025-01-08 23:58:09+08:00,DEkKs1RBCCT,Yes,Instaloader
2025-01-16 12:17:22+00:00,2025-06-02 10:08:51+00:00,Charlene Liu 查理,coindevanity,1263138409088976,1263138409088976,99,2763.0,401696.0,"和朋友挑戰睫毛放棉花棒😆
最後竟然成功了👏🎉🎊
無論睫毛長短都可以辦得到耶
重點就是要睫毛夠捲翹不塌，而且有夠纖長!

我們擦的是戀愛魔鏡 @majolicamajorcatw 新出的睫毛底膏
#極緻女王翹挺睫毛底膏
無論睫毛長短都可以撐起棉花棒👍🏻
而且到了晚上也不會下垂
捲翹度跟持久度超好
而且妝效超自然就跟原生睫毛一樣 單擦效果就很漂亮，想要淡妝可以單擦他直接出門
刷頭也很好刷，就算是眼頭或下睫毛這種不好刷的地方都能刷到
一邊刷還能一邊幫毛整理睫毛毛流
總之睫毛有陽痿問題的人選它就對了

我自己是喜歡再額外疊擦我最愛的魔束師捲捲翹睫毛膏
讓睫毛更黑更濃密而且完全不會暈
刷上去就像太陽花一樣
這支束感睫毛膏真的是我 2024最常擦的睫毛膏哦💗

真的推薦不喜歡黏假睫毛、不想接睫毛的人入手這次新底膏
無論單擦疊擦都超美 根本細軟短塌睫毛的救星

留言+轉分享給你其他朋友，抽一位也送給他底膏💗
(得獎時需截圖有轉分享給朋友的截圖喔！)",64.93,,2025-01-16 20:17:22+08:00,2025-06-02 18:08:51+08:00,DE4te5tBA4Q,Yes,Instaloader
2025-01-17 10:18:51+00:00,2025-01-17 14:18:58+00:00,Charlene Liu 查理,coindevanity,2364720590660417,2364720590660417,65,5010.0,511114.0,"美妝老牌 YouTuber 是我🤣 
2017 年我就做過 GA 唇萃全試色 
以前就愛到現在
現在繼續試!
(該不會要試到 50 歲?) 

以前還可以全試色啦 
現在試不動了
試 4 色最美的就好🤣

GA 唇萃為了慶祝 25 周年 
把停產的熱賣色復活了! 
而且換上全新包裝
總共 8 色 裸綜、粉棕、橘棕色調都有
嘴上試的 4 個顏色是

#321 經典粉橘 
亮眼又帶點溫柔感的粉紅色 
這色比較適合白肌
薄擦厚擦都可以
是個活潑、有活力的粉色

#214 優雅裸棕 
擦起來知性氣質的裸橘色 
GA 最會做這種溫柔的裸色調了 
當腮紅也適合 集溫柔與高級於一身

#200 不敗粉棕 我超愛的土棕色! 
薄擦可以很日常又知性 
厚擦濃郁秋冬感
暈染後超級時髦!
不挑膚色

#208 不羈橘棕 我很常擦這色 
薄塗超級好看 
很像自己原本的唇色 
有氣色的橘色調
黃肌擦也沒問題👍🏻

2/16 前消費滿五千
包含 25 周年限定商品
就送水慕斯粉底正貨
這次可以選顏色喔!
我自己是用 #2.5
跟我一樣色號的趕快下單
(先下先贏🤣) 

#亞曼尼美妝 #25周年限定唇萃 #經典摯愛優雅不敗",72.93,,2025-01-17 18:18:51+08:00,2025-01-17 22:18:58+08:00,DE7EoAqBfU1,Yes,Instaloader
2025-01-20 13:10:32+00:00,2025-04-07 09:02:36+00:00,Charlene Liu 查理,coindevanity,896064133283746,896064133283746,25,2372.0,300088.0,"很抱歉我又再次被大地色系迷惑
怎麼樣都逃不出大地色的手掌心啊啊啊

這次SUQQU春季彩粧花屏風系列好好看
直接被眼影迷惑了😍
眼影盤共有  兩個顏色
14夕琥箔 -YUUKOHAKU
144花零 -HANAKOBOSHI（限定色）
都很漂亮
但我還是忍不住選了14號大地色上眼😆
是很閃亮又乾淨的溫柔大地色✨

這次也試了4色晶采絲絨唇膏在唇上
這是SUQQU出過最纖細的唇膏
所以上唇描繪唇形更方便
而且是替換式包裝
管身和殼可以分開
用6種蠟製成的質地

我自己是先用護唇膏打底再上唇會更加滑順 
(因為每人唇部條件不同 有人直接塗就很滑順)
顯色度和持久度的表現比一般的保濕型唇膏好

#01薔薇和-BARANAGOMI 
知性的淺裸色，偏暖的肉桂色調

#03沫桜 -AWASAKURA
帶點灰感的粉紅色調

#08靜淑-SEISHUKU
這4色中我最愛的顏色
知性優雅的紅茶色調
什麼膚色的人擦都好看

#09憧彩 -SHOUSAI
膏體看起來是紅棕色
實際上擦起來是帶點紫色的紅色
擦起來有成熟大人味

晶采柔豔頰彩
107夢忘 -YUMEWASURE [限定色]
超漂亮的漸層浮雕腮紅
粉色和膚金色的完美搭配
仔細看會有金箔般的亮片
粉質超級細緻
刷在臉上很有春天花朵的感覺

這次花屏風系列將唇膏設計如同屏風的花朵
眼彩頰彩美美的光澤就像是屏風的金銀箔
這系列上臉真的超美
全系列1/24正式發售
現在櫃上已經有實品大家快去試色
一起來畫春日花朵粧容！

#SUQQU #SUQQU2025SPRINGCOLORCOLLECTION #全新天鵝絨質感唇膏 #花屏風春粧系列
@suqqutaiwan",88.44,,2025-01-20 21:10:32+08:00,2025-04-07 17:02:36+08:00,DFDG1mHhbFw,Yes,Instaloader
2025-01-23 13:09:26+00:00,2026-01-04 02:18:01+00:00,Charlene Liu 查理,coindevanity,1232399792398059,1232399792398059,24,1677.0,306697.0,"我難得愛用的開架粉底液
畢竟專櫃的粉底用久
真的很難回到開架式粉底液
但媚比琳的精緻度和貼膚程度都不輸專櫃👍🏻

媚比琳這款小方胖的妝感很漂亮
是很高級的珍珠裸霧光
擦完以後也不會有厚粉面具感
遮瑕力約8成左右
上起來妝感很淡
但又很好地修飾肌膚暗沉不均泛紅
上完很像是天生皮膚很好的樣子
出席一些重要場合用這瓶都很安心

我混合偏乾肌冬天用會覺得有一咪咪乾
但是妝前保濕做好以後就很貼妝了
帶妝6小時微微出油以後
是我更喜歡的妝效 妝更貼更亮💗
今年又再推出兩個白皙色N10&W10
色號更加齊全 一定選得到適合你的

接下來是它們家的新品淚溝小熨斗
黑眼圈的部分先用N25遮
偏橘的顏色很適合遮黑眼圈
再用N05提亮淚溝
整體眼周看起來就會乾淨又不凹陷
（遮瑕膏的質地是液態狀的
比較偏薄透水感
不是滋潤膏狀的質地）

最後噴上寶雅限定的搖搖定妝膠就完成妝容了
噴完妝面會更服貼有光澤
噴霧也很細緻 是很均勻得噴灑在臉上
以開架噴霧來說，是一瓶沒有缺點的定妝噴霧

媚比琳真的是新品大爆發
寶雅底妝滿$699還再送餃貓聯名刷具組
快去逛逛吧！

#媚比琳 #小方胖粉底 #時刻高光 #珍珠裸霧肌 #30H不暗沉 #淚溝小熨斗 #搖搖定妝膠",68.59,,2025-01-23 21:09:26+08:00,2026-01-04 10:18:01+08:00,DFK1GJLBKpm,Yes,Instaloader
2025-02-17 15:12:23+00:00,2025-02-17 15:42:32+00:00,Charlene Liu 查理,coindevanity,1458021339266738,1458021339266738,16,4959.0,246023.0,"回到瑞典一週了
每天都和另一半一起吃早餐、喝咖啡、煮飯
幫房間油漆
看書
和貓咪一起睡覺
步調很慢很簡單
是我嚮往的生活💕

———
「我們只能在20世紀傳遞物質主義、享樂主義以及自戀的信仰，連帶某些電腦的技能給下一代。這些事物都無法提供救贖，無法提供與大地的連結及其偉大的律動，無法對我們的中年旅程提供深度或意義。」

———中年之路",8.01,,2025-02-17 23:12:23+08:00,2025-02-17 23:42:32+08:00,DGLafHTi9K1,Yes,Instaloader
2025-02-26 14:56:32+00:00,2025-06-14 12:14:43+00:00,Charlene Liu 查理,coindevanity,1319506613347042,1319506613347042,38,3061.0,426035.0,"黛珂vs. Elegance 妝前乳大PK
一直好奇誰比較好用
結果是它勝出（驚❗️",113.18,,2025-02-26 22:56:32+08:00,2025-06-14 20:14:43+08:00,DGij4S_ifUq,Yes,Instaloader
2025-02-27 13:05:52+00:00,2025-04-16 16:01:12+00:00,Charlene Liu 查理,coindevanity,1826735814659463,1826735814659463,36,2849.0,354830.0,"超級神奇的蜜粉餅
我在零下十幾度的天氣用也完全不會乾到卡粉
室內溫度20度左右
整天下來底妝完全服貼不動
定得好好的！
控油、保濕持妝效果兼具真的超強👍🏻
這就是它神奇的地方
 
大部分持妝的蜜粉我用都會乾到卡粉
但是蘭蔻全新 #AI小粉餅 不會耶
因為它有添加角鯊烷和維他命E 保濕成分
所以有一定的保濕力，可以整天保濕又持妝，非常優秀
 
而且它的粉質真的非常細緻
粉壓得很實完全不飛粉
上臉完全看不到顆粒
帶妝6小時後妝感反而更完美了
出油後不脫妝、不暗沉

這次上臉示範2個顏色
00 UNIVERSAL
擦在臉上不會泛白
適合所有膚色的人
上臉瞬間柔焦零毛孔、底妝更勻亮乾淨
還可以修正臉部凹陷、讓輪廓更平整細緻
 
01 OHLALA
這個粉色超好用耶
可以修飾膚色蠟黃、提亮澎潤
有時候懶得化妝，上完防曬直接拿來上全臉
立刻增添粉嫩感，不用腮紅氣色也超好～
 
大家一定不能錯過這個補妝神器✨
優惠分享給大家啦！大家快去填單體驗零粉感吧！
 
📌填單體驗全新升級「零粉感超持久粉底」即可免費獲得蘭蔻明星商品體驗組
📌優惠新品特惠組合
1.買零粉感超持久粉底(正品)
送 零粉感迷你小飛碟 + 輕感持妝美妝蛋
2.買 零粉感全新AI小粉餅(正品)
送 唯我玫瑰裸光潤唇膏精巧版
數量有限送完為止

#LANCOMETW #霸榜NO1零粉感 #24H輕潤持妝 #保濕超貼膚 #無瑕零暗沉 #無懼閃光持妝零死角 #AI小粉餅",64.2,,2025-02-27 21:05:52+08:00,2025-04-17 00:01:12+08:00,DGk8HY_iabA,Yes,Instaloader
