creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-05 12:03:35+00:00,2025-02-23 11:55:00+00:00,黃大謙,da_chien_huang,1564174224642570,1564174224642570,37,14627.0,597636.0,"在台灣交不到朋友
要不要試試看交外國朋友呢？

Speak可以自由設定情境對話
讓你跟AI盡情練習英文口說
這真的是我用過最厲害的英文教學App
練續學習100天後
我已經準備好去國外開發我的新市場了
大家再見～（飛走

點擊我的IG精選限動連結
即可享有年度會員$400折扣
不客氣",99.91,,2025-01-05 20:03:35+08:00,2025-02-23 19:55:00+08:00,DEcT4RXThmK,Yes,Instaloader
2025-01-15 13:19:40+00:00,2025-04-13 12:46:36+00:00,黃大謙,da_chien_huang,1606710217333253,1606710217333253,93,17544.0,530459.0,"專輯首支MV上線！
〈Not that good〉official music video is out now!

Not that good的影像想要呈現的是身為觀眾時對舞台充滿渴望
但是站上舞台時卻又無法承受巨大壓力的矛盾心態

這是我上次拍完〈想要離開你〉後又再度想不開決定自導自演的MV
希望你們會喜歡
不喜歡的話可以去串流平台聽歌就好哈哈",9.09,,2025-01-15 21:19:40+08:00,2025-04-13 20:46:36+08:00,DE2P_ULTej-,Yes,Instaloader
2025-02-01 13:25:26+00:00,2025-07-31 04:03:44+00:00,黃大謙,da_chien_huang,1458802839014815,1458802839014815,519,164239.0,2356076.0,媽媽我愛您,39.93,,2025-02-01 21:25:26+08:00,2025-07-31 12:03:44+08:00,DFiCLIrTTmZ,Yes,Instaloader
2025-02-02 09:00:00+00:00,2025-07-25 18:31:43+00:00,黃大謙,da_chien_huang,816052408190214,816052408190214,66,12410.0,572889.0,"Speak最近在找英文講最爛的代言人

今天就讓我來展現我的台式英文實力
還好！我英文不好！選我選我！

身為已經拍過無數支業配影片
並且連續學習超過100天的資深用戶兼業配前輩
再怎麼想也該選我吧！
 @speak_zh  Look me! I am best!

2/6 前轉發本篇貼文至限動並 tag @speak_zh，就有機會抽中 AirPods 或其他神秘大禮！

*詳細活動辦法請查看 @speak_zh 置頂活動貼文",71.67,{'0': '900124179602163'},2025-02-02 17:00:00+08:00,2025-07-26 02:31:43+08:00,DFkIxSUzFm5,Yes,Instaloader
2025-02-28 03:00:24+00:00,2025-08-06 16:30:12+00:00,黃大謙,da_chien_huang,922749017378792,922749017378792,92,131149.0,2678445.0,"跟美國人分享台灣流行語
上禮拜相當難得有機會飛到美國舊金山
跟頂尖的新創公司老闆們交流創業思維跟AI發展
結果我在跟他們分享M3跟唱一剪梅

感謝 @speak_zh 帶我飛舊金山
舊金山真的好漂亮
#完整版影片在YouTube",39.94,,2025-02-28 11:00:24+08:00,2025-08-07 00:30:12+08:00,DGmZdsuz1ZM,Yes,Instaloader
2025-03-22 10:05:10+00:00,2025-03-28 13:45:18+00:00,黃大謙,da_chien_huang,899400189638477,899400189638477,60,13237.0,527037.0,"全球首創，蚵仔煎米漢堡
希望老協珍看到這部影片可以和我聯名
我可以親自去你們的中央廚房指導製作我的獨家料理

話說這次TOMMI推出的胡椒餅米漢堡真的不錯
裡面肉塊超多而且胡椒很香
配上米飯吃起來非常真材實料
從冷凍庫拿出來微波兩分鐘就可上桌
沒時間吃早餐人的救星

TOMMI新口味 - 胡椒餅風味米漢堡在全聯、家樂福、大潤發、momo、老協珍官網/門市都買得到囉！
@tommi.rice #胡椒餅米堡 #尬出台灣味 #湯米米漢堡",112.63,{'0': '1638885594193268'},2025-03-22 18:05:10+08:00,2025-03-28 21:45:18+08:00,DHf2A-tTTnq,Yes,Instaloader
2025-03-23 09:05:00+00:00,2025-08-02 17:47:55+00:00,黃大謙,da_chien_huang,1596639884872431,1596639884872431,108,20387.0,561940.0,"開箱我自己的實體專輯！
歷經了三個月的製作我終於拿到手了
很喜歡這張實體專輯各種細節的設計
感謝專輯設計師 @sung_cheng_jie 
& 攝影師 <redacted_mention> 

再次感謝大家對於這張專輯的支持
希望之前預購的朋友收到都有喜歡
最近自己做了一支MV希望下禮拜可以發佈

《無處宣洩的鬱悶》實體專輯現在正式上架！",95.23,,2025-03-23 17:05:00+08:00,2025-08-03 01:47:55+08:00,DHiUO67Rn76,Yes,Instaloader
2025-03-31 12:45:09+00:00,2025-08-06 11:48:07+00:00,黃大謙,da_chien_huang,2344971659344670,2344971659344670,161,21236.0,658987.0,"自己的表演自己react

當天表演完朋友都說唱得好棒
導致隔天起床我才真的認真聽一遍，直接大笑出來",134.43,,2025-03-31 20:45:09+08:00,2025-08-06 19:48:07+08:00,DH3SbNLzaPt,Yes,Instaloader
2025-04-11 10:00:00+00:00,2025-04-12 09:40:08+00:00,黃大謙,da_chien_huang,1623640785313924,1623640785313924,97,14969.0,477753.0,"人生好累之歌

每天晚上都不想睡，每天早上都不想醒來
在家的時候想出門，在外面的時候想回家

人生的活力就是被這種矛盾的拉扯消耗殆盡的！
需要找回元氣與活力
就要吃白蘭氏養蔘元氣凍！

想不到人蔘跟蜂蜜可以這樣完美搭在一起
不只口味很搭
還有人蔘帶來的滿滿元氣
無咖啡因而且超級方便攜帶
放在背包裡，隨時都可以來一條

我自己如果知道要忙一整天
我早上就會吃一條
讓我下午的精神可以維持住

除了便利的養蔘元氣凍
還有1瓶3效的養蔘飲

白蘭氏養蔘系列
現在於各大超商、超市及網路商城都買得到囉！

@brands_tw
#白蘭氏 #養蔘系列 #養蔘元氣凍",102.53,,2025-04-11 18:00:00+08:00,2025-04-12 17:40:08+08:00,,Yes,MetaTool
2025-04-20 04:00:00+00:00,2025-09-12 06:12:49+00:00,黃大謙,da_chien_huang,1890157368150076,1890157368150076,242,38990.0,1054033.0,"〈我過得好嗎〉MV上線

在回花蓮的路上拍了一支小MV給你們
〈我過得好嗎〉是一首長達六分鐘的歌
但是我每次聽都沒有覺得它這麼長
不知道為什麼
可能歌詞裡太多問題了
每一個問題都要想好多事情
人生不管站在哪一個時刻回想從前，都覺得時間過得好快

我滿喜歡在火車上聽一些惆悵的歌
聽一些惆悵的歌然後望著窗外的景色
就覺得自己很像某部文青電影的主角
很希望現在趕快有鏡頭來拍我（？",46.2,,2025-04-20 12:00:00+08:00,2025-09-12 14:12:49+08:00,,Yes,MetaTool
