creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 07:32:17+00:00,2025-02-07 10:30:46+00:00,我是老爸，我不要當爸,daddy.iam,2372559623211169,2372559623211169,19,2193.0,138748.0,"兒子跟我

#兒爸日",72.17,,2025-01-02 15:32:17+08:00,2025-02-07 18:30:46+08:00,DEUJ2r8Jfwp,Yes,Instaloader
2025-01-10 04:34:07+00:00,2025-03-15 21:19:22+00:00,我是老爸，我不要當爸,daddy.iam,1525419805219622,1525419805219622,24,1826.0,164821.0,"🛻 全新煥新版ModelY 該怎麼買？

#特斯拉ModelY #煥新版ModelY #全新特斯拉 #電動車推薦 #特斯拉購車流程 #ModelY改款 #純電SUV #電動車新選擇 #特斯拉台灣 #環保科技

#TeslaModelY #NewModelY #RefreshedModelY #ElectricVehicle #TeslaBuyingProcess #SUVRecommendation #GreenTech #TeslaTaiwan #EcoFriendlyCar #EVTrend

@tesla.taiwan 
@tesla_news_tw",70.93,,2025-01-10 12:34:07+08:00,2025-03-16 05:19:22+08:00,DEobaxPS9XB,Yes,Instaloader
2025-01-11 07:17:58+00:00,2025-02-07 10:30:46+00:00,我是老爸，我不要當爸,daddy.iam,835402172868548,835402172868548,2,367.0,62239.0,"全新Model Y割韭菜？該買嗎？

#特斯拉ModelY #煥新版ModelY #全新特斯拉 #電動車推薦 #特斯拉購車流程 #ModelY改款 #純電SUV #電動車新選擇 #特斯拉台灣 #環保科技

#TeslaModelY #NewModelY #RefreshedModelY #ElectricVehicle #TeslaBuyingProcess #SUVRecommendation #GreenTech #TeslaTaiwan #EcoFriendlyCar #EVTrend",84.1,,2025-01-11 15:17:58+08:00,2025-02-07 18:30:46+08:00,DErTSuvJvnC,Yes,Instaloader
2025-01-13 09:02:05+00:00,2025-02-07 10:30:46+00:00,我是老爸，我不要當爸,daddy.iam,810634812031147,810634812031147,1,950.0,99535.0,"🇯🇵💰 實測！日本買 iPhone/iPad便宜多少？退稅？

#日本購買iPad #iPad退稅 #日本購物攻略 #蘋果產品 #日本免稅店 #電子產品購買 #日本旅遊購物 #iPad價格比較 #日本AppleStore #購物省錢技巧

#BuyiPadInJapan #iPadTaxRefund #JapanShoppingGuide #AppleProducts #JapanDutyFree #ElectronicsPurchase #JapanTravelShopping #iPadPriceComparison #JapanAppleStore #ShoppingSavingTips",72.7,,2025-01-13 17:02:05+08:00,2025-02-07 18:30:46+08:00,DEworyWRmxR,Yes,Instaloader
2025-01-25 06:45:45+00:00,2025-05-06 22:18:09+00:00,我是老爸，我不要當爸,daddy.iam,1621196485546440,1621196485546440,0,408.0,64465.0,"🚁好市多DJI NEO值得買嗎？

#DJI #Neo空拍機 #旅拍套裝 #好市多 #Costco #無人機 #Vlog神器 #4K攝影 #AI跟拍 #輕量設計

#DJINeo #TravelCombo #CostcoTaiwan #DronePhotography #VloggingGear #4KVideo #AIFollow #LightweightDrone",57.7,,2025-01-25 14:45:45+08:00,2025-05-07 06:18:09+08:00,DFPR7mBxRtj,Yes,Instaloader
2025-01-28 02:25:01+00:00,2025-02-07 10:30:46+00:00,我是老爸，我不要當爸,daddy.iam,801045729690137,801045729690137,7,919.0,85336.0,"✈️ 幾乎完美，福岡機場貴賓室！Lounge Fukuoka 

#福岡機場 #貴賓室 #LoungeFukuoka #福岡機場貴賓室 #日本機場貴賓室 #PriorityPass #航空公司貴賓室 #JCB貴賓室 #機場休息室 #商務艙體驗

#FukuokaAirport #AirportLounge #LoungeFukuoka #FukuokaAirportLounge #JapanAirportLounge #PriorityPassLounge #BusinessClassLounge #JCBLounge #AirportRelaxation #TravelLuxury",90.03,,2025-01-28 10:25:01+08:00,2025-02-07 18:30:46+08:00,DFWjFUDzuys,Yes,Instaloader
2025-02-03 08:02:56+00:00,2025-02-07 10:30:46+00:00,我是老爸，我不要當爸,daddy.iam,760498693774445,760498693774445,11,1864.0,120487.0,"😭好難過的一天…

#囲炉裏 #高森田樂之里 #熊本必去 #熊本必吃 #日本傳統美食 #囲炉裏燒 #熊本美食 #日本和食 #高森田樂之里美食 #熊本旅遊

#Irori #TakamoriDenrakunomura #KumamotoMustVisit #KumamotoMustEat #TraditionalJapaneseFood #IroriGrill #KumamotoCuisine #JapaneseCuisine #TakamoriDenrakuVillage #KumamotoTravel",65.5,,2025-02-03 16:02:56+08:00,2025-02-07 18:30:46+08:00,DFmmlvvpO7K,Yes,Instaloader
2025-02-10 14:17:22+00:00,2025-02-11 14:37:27+00:00,我是老爸，我不要當爸,daddy.iam,2133243604173836,2133243604173836,3,690.0,54678.0,"😺貓媽媽來了…

#貓媽媽",29.3,,2025-02-10 22:17:22+08:00,2025-02-11 22:37:27+08:00,DF5TNPgSbIe,Yes,Instaloader
2025-02-13 12:14:46+00:00,2025-04-30 15:36:39+00:00,我是老爸，我不要當爸,daddy.iam,1419536646298657,1419536646298657,7,1394.0,175678.0,"🚗 好想買，Volvo EX30 全新電動小型SUV ⚡️

EX30終於在台灣上市啦😀
這個大小的SUV真的沒有對手
之後可以到VOLVO展間賞車🚘

#VolvoEX30 #電動車 #小型SUV #Volvo電動車 #環保汽車 #電動SUV #Volvo新車 #電動車型 #Volvo汽車 #電動車生活

#VolvoEX30 #ElectricVehicle #CompactSUV #VolvoEV #EcoFriendlyCar #ElectricSUV #VolvoNewModel #ElectricCar #VolvoCars #EVLife

@volvocarstaiwan 
@missyiling",175.94,{'0': '544028781870320'},2025-02-13 20:14:46+08:00,2025-04-30 23:36:39+08:00,DGAzIw7JF1I,Yes,Instaloader
2025-02-27 05:02:32+00:00,2025-07-03 19:11:34+00:00,我是老爸，我不要當爸,daddy.iam,1872838023594590,1872838023594590,23,788.0,93785.0,"🐱台幣600…貓咪喝水神奇值得嗎？

#貓咪 #喝水神器 #寵物用品 #貓咪健康 #自動飲水機 #貓咪喝水 #養貓必備 #貓奴推薦 #寵物生活 #貓咪日常

#Cat #WaterDispenser #PetSupplies #CatHealth #AutomaticWaterFountain #CatDrinking #MustHaveForCatOwners #CatLover #PetLife #DailyCat",118.27,,2025-02-27 13:02:32+08:00,2025-07-04 03:11:34+08:00,DGkE_ZaxNDr,Yes,Instaloader
