creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-08 13:04:16+00:00,2025-02-07 08:23:30+00:00,丹妮婊姐星球,dannybeeech,1902792577789275,1902792577789275,94,3062.0,280890.0,"可憐的苦主們，過年大魔王要來了，不知道大家是不是有一場硬仗要打了哈哈哈哈哈阿!我想還有很多是被催交男友結婚的，因為我在我媽那個家族是最老的孫女，那天比我小的三位女性親戚包含我妹就是大罵:你這叛徒先結婚了，現在換們要被追殺了!!!
 
哈哈哈哈哈哈靠我拖到40才嫁人也夠晚了吧!!!!晚到南部親戚看到黑人都無感，
覺得只要有男性娶我就好哈哈哈哈哈哈哈哈
 
我真的中年人了，那天翻到20幾年前跟朋友的照片，妥妥被收好在電腦某一槽，翻啊翻看到我跟友人奇葩照片，我馬上傳給他說:ㄟ你真的凍齡好強(我周遭真的很多不太保養的人但跟高中時期皮膚沒啥差異的天生麗質之人.....)
 
奇葩看了照片後回我:ㄟ但你是逆齡
 
 哈哈哈哈哈哈阿哈哈哈哈哈哈哈!喔對因為我就是以前皮膚很爛(老粉知道)，痘痘長完後又暗又老又垮又油，我拼命保養變成中年了但比年輕時皮膚好~所以我的葉配都真的是來真的!!!中年婦女今天要推薦的是
 
克蘭詩黃金雙萃精華
 
適合誰:最適合乾老型的人，乾老垮的人最適合了!
 
但中性膚質到油田也可以!!只是用量會超少，一罐可以用很~~~~~~~~~~~~~~久哈哈哈哈哈哈!
 
這款抗老精華也是用很久，口碑很好，一代一代更成更加強，現在這一代成分含有哈倫加那葉，被稱為植物界的A醇，只是更加不刺激!
 
一樣是獨家的水油雙質地，把水性保溼跟油性保溼一次補好，基本上就是一次做兩件事，用完瞬間感受到膨潤，認真用一陣子會看到緊緻的效果!!整體氣色會變好~~~
 
如果一天到晚靠北臉太乾妝很裂的，這會讓你妝貼到爆!(我個人在北海道或美國時才會有這問題~~)
 
同時可以搭配 黃金亮眼萃
 
一樣雙管設計，油水混和，獨家高山峨蔘與薑黃配方，植萃的修復力，水感的質不油不膩請放心，是相當舒服的保濕，所以對乾燥細紋會有很棒的改善，熬夜型的黑眼圈會也有感改善!但如果你是鼻子過敏的人真的沒辦法啦!!我還是很老實的!!!
 
大家新年快樂~~~希望過年都能順利下莊
 
@clarinstw 
克蘭詩限時超優惠活動看過來：

1/1-2/28期間，官網輸入婊姐專屬折扣碼【DSDANNY】
購買任一黃金雙萃精華或眼周雙后產品，再加送煥顏緊緻彈力晚霜(價值$1095)，數量有限贈完為止！

一起買新年版【黃金雙萃+亮眼萃】送煥顏晚霜15ML+純淨化妝水 50ML外，再加碼送年曆禮盒1個！(指定櫃點販售、數量有限贈完為止)

即日起，克蘭詩專櫃還有“煥亮輕SPA”活動,只要500元就能享受20分鐘沉浸式法式SPA，可以抵消費再抽正貨福袋~還不快去官網登記搶位子!

一起漂亮過好年~~~

#克蘭詩#黃金雙萃精華#黃金亮眼萃",109.2,{'0': '1938355293720072'},2025-01-08 21:04:16+08:00,2025-02-07 16:23:30+08:00,DEkMSdbTSbQ,Yes,Instaloader
2025-01-10 14:00:31+00:00,2025-02-07 08:23:30+00:00,丹妮婊姐星球,dannybeeech,1582712519518270,1582712519518270,15,387.0,63938.0,"剛剛有買的人記得留言訂單編號有機會帶走全新奢光小金油＋蕊芯啦!!!!!
我超級髮品愛牌自己人生花好幾萬買過的巴黎卡詩有優惠啦! 
我人生爛髮真的很大一部分靠卡詩長年滋養~~ 
這一次明星商品都有組合喔！
另外超熱銷的小金油全新設計成
全球首支填裝式髮油 #奢光小金油
更環保啦!!!!太棒!!!!!省玻璃!! 
長年報新聞對氣候變遷超有感
真的要好好愛護地球啦

幾個這次momo超大牌省錢重點筆記起來：
■ 直接買到$12,000登記有機會帶走$2688mo幣唷(名額有限以momo官網為主)
■ 巴黎卡詩會員辦起來再拿千元護髮療程折價劵，有買奢光小金油＋LINE綁定再拿會員點數2688點啦!!!!
■ 買粉漾頭皮精華這組可以加碼拿200mo幣喔！

記得看回放有更多詳細的優惠資訊，還有我的愛用小撇步啦!!!!

#頭皮秀髮奢養專家 #巴黎卡詩 #粉漾頭皮精華 #黑鑽髮膜 #MOMO超大牌
@kerastase_official @momoshopping_ @momoibeauty",3512.74,,2025-01-10 22:00:31+08:00,2025-02-07 16:23:30+08:00,DEpcuJMPCeo,Yes,Instaloader
2025-01-12 14:05:15+00:00,2025-08-02 01:43:28+00:00,丹妮婊姐星球,dannybeeech,1623944528767138,1623944528767138,69,5566.0,359383.0,苦主是你嗎,83.54,,2025-01-12 22:05:15+08:00,2025-08-02 09:43:28+08:00,DEumx7qvrrJ,Yes,Instaloader
2025-01-15 14:58:16+00:00,2025-02-07 08:23:30+00:00,丹妮婊姐星球,dannybeeech,3211670129018243,3211670129018243,28,581.0,88096.0,"寶雅x媚比琳新春品牌月🍭🧸粉潮遊樂園🎠優惠超多 ！！！！

輸入折扣碼【PMTB520】滿$599折＄50元
🧸媚比琳任兩件商品 贈質感絨毛雙面鏡 
🧸媚比琳滿$1000贈 粉潮絲絨化妝包
EC加碼! 媚比琳滿$1999 贈冰淇淋化妝箱
還有好多滿額贈數不完

媚比琳今年真的是新品大噴發
過年前把整套都上市讓你買了美美過新年

小方胖粉底 那個細緻的珍珠裸霧光澤 一個字：美！

我用w10

開架的價格卻含有專櫃級的成分和質感 推推
今年推出新色N10跟W10
各位白雪公主們買它！

泰迪絨霧液態唇泥 包裝之可愛 
質地也很特別剛抹上是水的 
輕抹開來或是抿開後會轉成絨霧感 

持久力也很夠 也不太需要補妝喔！我一開始用60

淚溝小熨斗堪稱是淚溝、黑眼圈救星
很特別的是它雙面刷頭
2MM細的針對細節填補淚溝
10MM就是大面積撫平瑕疵

最後就是搖搖定妝膠（寶雅限定）
灑在臉上不會有強力水柱感 
是很細緻且均勻地噴灑
用之前記得要搖一搖
這樣你的妝容就會定在臉上啦～

教你怎麼買：

裸霧光持久水粉底+淚溝無痕遮瑕膏，滿$499直接折$50，買就送眼唇卸妝液40ml+質感絨毛雙面鏡+餃貓聯名刷具組+餃貓紅包袋

泰迪絨霧液態唇泥 2入組，優惠$699，買就送眼唇卸妝液40ml x2+質感絨毛雙面鏡+泰迪熊熊吊飾+餃貓紅包袋

搖搖定妝膠 $424 （寶雅限定） 

飛天翹防水睫毛膏任選2入，優惠$669，買就送眼唇卸妝液40ml+質感絨毛雙面鏡 +餃貓紅包袋

曬單禮：1/17前買完記得到訂單查詢找到你的訂單編號並留言，抽2位送媚比琳大禮包喔！

連結：https://www.poyabuy.com.tw/page/loreal

#媚比琳 #裸霧光持久水粉底 #泰迪絨霧液態唇泥 #淚溝小熨斗 #搖搖定妝膠",3424.83,,2025-01-15 22:58:16+08:00,2025-02-07 16:23:30+08:00,DE2bS13P-Wj,Yes,Instaloader
2025-01-17 13:05:39+00:00,2025-09-18 21:10:19+00:00,丹妮婊姐星球,dannybeeech,1787997941884328,1787997941884328,99,2086.0,290060.0,"只能說當女生到底多辛苦，為何男生都可以把屁股歪一邊放屁不會被扣分，但女生萬一放一個臭屁就要被打入地獄!! 
 

我真的問過黑豹，萬一他跟女生曖昧時期，女生不小心放了很臭的屁，他會怎樣? 
 
他說:那看來就是隔天不會聯絡對方了......... 
 
 
氣得我破口大罵!!!!因為這又不是能控制的事情!!!!!也太沒禮貌了吧!!!我狂罵 
 
他連忙解釋:阿你放屁我不也跟你結婚了你為何要罵我?? 
 
靠北，不是啊，要不就我剛開始剛好沒放?? 
 
總之，希望大家約會都很順利!!!!也不要突然身體皮膚哪裡癢，你約會就會徹底被毀~ 
 
 
乾媽適樂膚我真的實測過，止癢超有感。 
 
就我隆乳當時皮膚被撐開，醫生當時只淡淡地交代:多擦乳液~~ 
 
沒想到隆乳根本不痛，是癢死，當時我把這罐乳霜直接擦上去後，瞬間緩解!所以每天猛擦!!!(但綁束帶的地方就無解因為那等於拿鬆緊帶綁就是會過敏) 
 
然後我有一個乾皮朋友有天跟我說，他臉大過敏燃燒，擦任何東西都超痛(包含醫美品牌的修護類型產品哈哈哈哈)，但臉爆炸乾要裂掉，只是他那一周沒空去看皮膚科，我只好問他手邊有什麼? 
 
他講一輪後講到適樂膚但是是擦身體的霜。我說:那你拿這擦臉看看，萬一還是燃燒，就去洗掉。 
 
幾分鐘後他說:不痛ㄟ!!! 
 
後來他拿來擦臉好幾天，臉緩解很多乾癢，撐到去看生!!!!!!(畢竟這不是藥物!) 
 
所以不要看他好像安安穩穩偏無聊，適樂膚3重神經醯胺提供優異修護力 
修護皮膚真的很有感，對於乾燥/脫皮/乾癢/擦什麼都刺痛?/緊繃等皮膚屏障有小受損狀態相當適合，連臉都可以急救。 
 

🎁留言分享你曖昧時期發生過的想使事件? 看誰最悲慘，那抽他好了哈哈哈哈抽2位小祖宗

#CeraVetw #適樂膚 #美國皮膚科醫生推薦第一保濕品牌
#DevelopedwithDerm #MoisturizeLikeADerm",78.81,,2025-01-17 21:05:39+08:00,2025-09-19 05:10:19+08:00,DE7XOTRTOjf,Yes,Instaloader
2025-03-02 14:02:24+00:00,2025-03-02 14:33:18+00:00,丹妮婊姐星球,dannybeeech,923199890171221,923199890171221,1,542.0,76100.0,"巴黎萊雅38女神節 最高回饋30%
小資女們花小錢就能愛自己不買會後悔
快趁這次囤貨紫熨斗家族，秒撫紋 收毛孔，3天緊、彈、亮！

💜#紫熨斗PRO 2入組
買60ml送60ml贈50MO幣
限時限量再加贈「因為我值得 行李束帶」
原價 $5,667
特價 $1,688

💜#撫紋雙熨斗組
買60ml送60ml贈「因為我值得 護照套」
原價 $5,887
特價 $1,899

💜#啵啵晶露 2入組 
買260ml送110ml
原價 $2,703
特價 $1,138

💜#冰熨斗 單入組
買30ml送30ml
原價 $2,835
特價 $1,138

下單前50名，購買時登記就贈，因為我值得旅行小物護照套、行李束帶，兩種有兩色隨機出貨，數量有限送完為止！

消費滿 $1,888就送：編織收納籃+金致臻顏花蜜奢養眼霜 5ml (*不累贈)；消費滿 $2,999 贈復古藍芽手提音箱 (*不累贈)

@momoshopping_ @momoibeauty
#巴黎萊雅 #紫熨斗PRO #冰熨斗 #啵啵晶露 #巴黎萊雅38女神節",3638.44,,2025-03-02 22:02:24+08:00,2025-03-02 22:33:18+08:00,DGsxexFv_R7,Yes,Instaloader
2025-03-04 12:55:58+00:00,2025-04-16 14:20:58+00:00,丹妮婊姐星球,dannybeeech,1206216725024591,1206216725024591,75,1189.0,202488.0,"文末有準備給小祖宗喔！
老娘身為金牛座，摳阿巴星座，湊到免運門檻是我人生教條之一~ 
 
去年在一個看不見的東西上面噴了20幾萬，而且還完全看不到。非常違反我人生的圭臬，我認為錢就是要花在看的到的地方，要是我買名牌包我應該是會買LOGO有夠大的大的那種哈哈哈哈哈哈哈哈哈哈! 
 
那看不到的20萬是啥的?就是我老母楊秋女的牙齒!!!!! 
 
因為她植牙!!我真的老淚綜橫的方式付錢哈哈哈哈哈哈!內心的小丹妮哭的一把鼻涕一把眼淚，多少夜晚淚濕枕頭。一咖香奈兒就這樣沒了~~~~~ 
 
到底為何這麼貴~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~還不是做牙齒貼片這種看的到東西!!! 
 
我知道一定很多人會留言:表姊~~你這還好，誰誰誰嘴巴是一台國產車~~~~ 
 
喔歡迎苦主留言，這樣我心情會稍微好一點哈哈哈哈哈阿哈哈哈哈! 
 
牙齒這種事情真的很大一部分是天生沒錯，我媽天生牙齒就爛，其實我也偏爛 
，真的就是遺傳，就是很容易蛀牙，不管怎麼努力刷，就是還是比一般人容易有可能會蛀嗚嗚嗚嗚~ 
 
我這幾年為了比較不容易蛀牙，我真的多年來都自己挖錢買李施德霖的漱口水!!!!而且我還全系列都買過!!!!且黑豹真的也是用李施德霖漱口水~ 
 
我跟你們說，真的有夠好用，每次刷牙後加上李施德霖，大大降低我蛀牙的頻率!!!我用掉超多空瓶，真的超級有感，現在去洗牙壓力沒這麼大了。 
 
畢竟牙齒貴的要命又看不到，一輩子花錢買的漱口水都不到半顆牙齒的錢吧!!!!!! 
 
 
再來是我有時候牙齦會小發炎，因為牙線用太用力，我只要用李施德霖漱口，牙齦狀況隔天就好很多!!!有一次我人在北海道滑雪時牙齦又發作，我還馬上跑去超商買李施德霖漱口水小罐的保命~~ 
 
牙菌斑真的不是單靠刷牙或牙線可以完全去除，這次影片中的實驗真的超屌，用完之後牙菌斑幾乎被消滅!!!!!! 
 
想想這20萬的血淚，我現在對漱口水的忠誠度高得不得了，天天都用！ 既然補救這麼貴，預防當然不能省！所以今天一定要來推一下我的愛用品——李施德霖全效護理漱口水，用過真的回不去了！ 
 
✔ 比單靠刷牙及牙線幫助5倍去除牙菌斑* ——比單靠刷牙更強效，讓牙齒真正乾淨溜溜！ 
✔ 預防並減少牙齦問題^——減少牙齦發炎機率，讓你的牙齦保持健康穩定。 
✔ 植物精油 無酒精配方——口感溫和，天天使用不怕牙齒染色 
✔ 幫助去除99%口腔細菌” – 深入清潔，減少口臭^ 
 
錢要花在刀口上，更要花在笑口上！ 齒乾淨還不夠，牙齦健康才是真本事！ 你辛辛苦苦刷的牙，千萬不要讓牙菌斑悄悄找上門，搭配李施德霖全效護理漱口水，穩住口腔健康，才是真正的長久投資！ 
 
李施德霖 x momo 全館下殺6折up！刷mo卡再享3%回饋！（每月最高回饋$1000） 
快趁優惠買起來👉https://reurl.cc/G5yXyA 
 

想要人生省錢降低牙齒爛掉花大錢的
3份李施德霖全效護理漱口水 無酒精配方 500ml
給三個小祖宗🥰

#李施德霖 #全效護理漱口水無酒精 #5倍去除牙菌斑 #幫助預防及減少牙齦問題 #口氣清新 
 
*根據美國臨床試驗，配合正確刷牙習慣，40名李施德霖漱口水使用者，2週後牙菌膜指數（牙齦線以上）減少率為單靠刷牙及牙線的5倍以上。Journal of Dental Hygiene, USA, 2022 
^配合正確刷牙習慣，每日使用兩次李施德霖漱口水 
“經美國臨床研究證實，配合正確刷牙習慣，相較使用前，使用李施德霖漱口水後，能幫助降低99.9%口腔中的菌落形成單位及幫助去除引起口氣的細菌, J&J Dental Research Center, USA, 2011",187.56,,2025-03-04 20:55:58+08:00,2025-04-16 22:20:58+08:00,DGxzFDszjsk,Yes,Instaloader
2025-03-11 14:02:37+00:00,2025-08-05 12:29:57+00:00,丹妮婊姐星球,dannybeeech,1404035727918644,1404035727918644,41,4666.0,355309.0,"這三位腮紅都美慘了！

塞尚出的腮紅很多系列

但平替的只有01.02
這一款只出兩色不要買錯款喔

然後我自己上網找代購買鬼畫符跟塞尚01……

@yslbeauty  包裝還是第一
@cezannecosmetics @ririmew_official 
 #腮紅 #美妝 #平替",67.3,,2025-03-11 22:02:37+08:00,2025-08-05 20:29:57+08:00,DHD8M_szcgg,Yes,Instaloader
2025-04-06 13:09:21+00:00,2025-08-02 09:45:34+00:00,丹妮婊姐星球,dannybeeech,890747647160996,890747647160996,88,7459.0,404912.0,"需要英文王
（阿滴要來了嗎？）",42.8,,2025-04-06 21:09:21+08:00,2025-08-02 17:45:34+08:00,DIGzNLOPUV8,Yes,Instaloader
2025-04-08 13:32:55+00:00,2025-04-09 07:23:01+00:00,丹妮婊姐星球,dannybeeech,1948154022721591,1948154022721591,20,2568.0,270491.0,"素描眼線不失敗法
眉液筆@kpalette_jp",74.3,,2025-04-08 21:32:55+08:00,2025-04-09 15:23:01+08:00,DIL-uuDzVzM,Yes,Instaloader
