creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 11:21:14+00:00,2025-03-02 23:19:46+00:00,這群人董仔,donehannah,1555424358882808,1555424358882808,5,357.0,23502.0,,9.7,,2025-01-01 19:21:14+08:00,2025-03-03 07:19:46+08:00,DER_WqLvysB,Yes,Instaloader
2025-01-02 11:32:43+00:00,2025-03-02 23:19:46+00:00,這群人董仔,donehannah,2666517833720492,2666517833720492,45,1312.0,56744.0,"❄️冬天圍巾這樣圍拉高時尚感🧣

趁開始冷，是時候拿出圍巾來了～趕緊分享
奇怪我看別人影片圍起來挺好看的說～🕶️

#冬天 #圍巾 #圍圍巾教學 #時尚圍巾感",52.85,,2025-01-02 19:32:43+08:00,2025-03-03 07:19:46+08:00,DEUkvScvojO,Yes,Instaloader
2025-01-05 10:19:20+00:00,2025-03-02 23:19:46+00:00,這群人董仔,donehannah,1254938726584554,1254938726584554,10,502.0,34579.0,"讚嘆創作者協會尾牙禮物拿好拿滿
🎁🎁🎁
是說那百分之10%沒抽到禮物的創作者們！！！你們今年一定旺在別件事上～ @huangbrotherss  @huang45490  @weiii1008 🤣🤣👍🏻💰

-
辛苦的理事長 @rayduenglish  我敬佩你的耐心！以及這四年的付出貢獻❤️‍🔥謝謝你對我們大家的愛

完整影片請到 #不囉嗦看董仔 #刷起來 

謝謝 <redacted_mention>",85.87,"{'0': '871866027730845', '1': 'non_public_1167765315431570', '2': '1101366351086733', '3': '562372116513371', '4': '1105288091296868', '5': '928884896373386', '6': '632501699508008', '7': '563817662766585', '8': '1266074465487772', '9': '424222770300949', '10': '1574480403162583'}",2025-01-05 18:19:20+08:00,2025-03-03 07:19:46+08:00,DEcKzKMPDmk,Yes,Instaloader
2025-01-05 16:32:09+00:00,2025-05-22 00:10:13+00:00,這群人董仔,donehannah,1684955352490738,1684955352490738,66,1730.0,73066.0,"超級尿急但還是要注意衛生

我們在廁所裡面很忙的～
有酒精的時候，用酒精噴在衛生紙上擦拭坐墊，
有馬桶墊的時候，鋪拋棄式馬桶坐墊，
什麼都沒有的時候我會用衛生紙鋪一個V

以上遇到尿急的時候就會跟影片裡一樣，一直扭一直扭

更厲害的是深蹲上廁所
超級女力👉🏻 深蹲上廁所+換衛生棉 （偶爾會使出這招）

#女生上廁所很繁瑣",12.73,,2025-01-06 00:32:09+08:00,2025-05-22 08:10:13+08:00,DEc1t7pTcL3,Yes,Instaloader
2025-01-06 15:04:19+00:00,2025-04-29 21:47:46+00:00,這群人董仔,donehannah,1616928369621171,1616928369621171,25,1534.0,128534.0,"小心搶到蕭雜某！！
這是誰要搶誰？？

-
看到帥哥頭髮就補染好了還很順呢～
謝謝 @wes_tsao 🧡🧡🧡",23.87,{'0': '2425833684533542'},2025-01-06 23:04:19+08:00,2025-04-30 05:47:46+08:00,DEfQoh8zd_1,Yes,Instaloader
2025-01-09 05:16:43+00:00,2025-06-25 13:25:22+00:00,這群人董仔,donehannah,921516130246026,921516130246026,88,11518.0,291432.0,"可以吃掉的吸管！！

因為在萊爾富福箱裡面一起收到這個吸管，覺得太酷了，我一定要嚐嚐看！
結果～～～～～～～～～餅乾是喜餅裡面會出現的那種餅乾味道，好吃的，
重點是 #很環保 ♻️ 
環保的事情我非常有興趣🥰

祝福你們這個餅吸管大賣
雖然成本高，店家不一定都能進
但消費者我們自己買
飲料喝著，餅乾吃一吃，下午茶剛好直接飽🤣🤣

@greensound_tw",63.69,{'0': '1443003137422594'},2025-01-09 13:16:43+08:00,2025-06-25 21:25:22+08:00,DEl7cYwPwko,Yes,Instaloader
2025-01-11 13:29:08+00:00,2025-07-22 15:57:24+00:00,這群人董仔,donehannah,26261859393505232,26261859393505232,39,5592.0,419305.0,"我得到親筆簽名來炫耀一下～

我知道展榮展瑞茵聲也愛徐懷鈺，所以節目收工之後直接打視訊～先猜造型接著分享我的喜悅😂😂🥰

#國民天后徐懷鈺  #小姐不熙娣 #第一張專輯 #錄音帶 #卡帶 #A面 #B面 
-
終於發布成功，我之前沒注意到，IG短片只能上傳90秒，所以超過90秒影片要到「貼文」發布！",108.44,"{'0': '1122963202771536', '1': '624093933610928', '2': '754517841044881', '3': '1385380866226087'}",2025-01-11 21:29:08+08:00,2025-07-22 23:57:24+08:00,DEr9mmTvwAc,Yes,Instaloader
2025-01-12 08:43:11+00:00,2025-03-02 23:19:46+00:00,這群人董仔,donehannah,909027955259197,909027955259197,12,717.0,44127.0,"出國購物就是不要後悔沒買到💎

去年10月的日本行來到最後一集～
買了好多衣服、鞋子好開心😂😂
也創造跟乾女鵝們的回憶（我也不知道他們記不記得）

#日本 #東京 #購物 #買買買🛍️ #不囉嗦看董仔",60.25,{'0': '1266074465487772'},2025-01-12 16:43:11+08:00,2025-03-03 07:19:46+08:00,DEuBr7ABAhA,Yes,Instaloader
2025-01-12 11:47:21+00:00,2025-07-10 12:22:05+00:00,這群人董仔,donehannah,1621281595561266,1621281595561266,90,14669.0,1372247.0,"新招學起來～
（是的剛剛錯字重發）
網路上學到的，先把所有頭髮往前撥，戴上毛帽，整理好門面的頭髮，你會得到兩片瀏海遮大臉
🧶🧤🧣❄️",19.33,,2025-01-12 19:47:21+08:00,2025-07-10 20:22:05+08:00,DEuW3hGBXKe,Yes,Instaloader
2025-01-15 11:00:00+00:00,2025-03-02 23:19:46+00:00,這群人董仔,donehannah,1667840027555463,1667840027555463,43,769.0,48442.0,"我只能說我嫁對人，真的80%都是海力在打掃、清潔家裡，我是屬於心血來潮派的，以及處女座感覺來了，就會進入私領域的整理時間
（還是要解釋一下維持形象不是不會弄🤣）

相信大家應該都一個疑惑，啊清潔劑可以不要分那麼多種嗎，像以前自己住小雅房的時候清潔劑一瓶一瓶的可能比我卸妝洗臉還多！！

所以citiesocial首度推出的自有品牌『Goodies&co』是台灣第一支咖啡渣環保清潔劑組 ✨ https://citiesocial.co/7r2jQ

神奇萬用環保清潔劑👏🏻👏🏻👏🏻
一瓶抵多瓶，不用選擇障礙了
打掃的時候拿他就可以
當然也要真的好清潔，一些污垢擦的掉、刷的掉
味道的部分，不能難聞噁心的那種，這瓶是有香味好聞，而且還是嚴選調配媲美香氛品牌，擺脫傳統化學藥劑的味道

另外，如果家裡屬於陳年污垢，
就真的來是要針對性的去處理
所以還有👇🏻👇🏻👇🏻
去去水漬走！Goodies&co水垢環保清潔劑
細菌三步殺！Goodies&co免稀釋驅蟲地板環保清潔劑

生活，不外乎就是住的舒服，維持家裡的整潔也是一門功課，而且家裡整潔，運也會開🥰😆

祝福大家家裡都是亮晶晶✨
  @citiesocial 
#Goodies好好照顧你的居家生活品牌 
#everyday讓打掃變成一種享受  
#台灣最美環保清潔劑組 #精緻生活美學",70.0,"{'0': '1833997590677795', '1': '1266074465487772'}",2025-01-15 19:00:00+08:00,2025-03-03 07:19:46+08:00,DE2AKNRz4js,Yes,Instaloader
2025-01-16 10:56:31+00:00,2026-01-09 08:02:02+00:00,這群人董仔,donehannah,1598629568140057,1598629568140057,30,17494.0,615945.0,"你也是超愛吃QQ糖嘛～

大的味道我個人不行，咬好久
一口塞可能還會噎到
喜歡一直咬東西的人應該會愛，但小心咀嚼肌旺盛

#日本 #短影片 #QQ糖 #本集有灑糖 #戴墨鏡觀看 
-
漏掉一隻日本短影片啦😂",80.15,"{'0': '1266074465487772', '1': '2167013757458551'}",2025-01-16 18:56:31+08:00,2026-01-09 16:02:02+08:00,DE4kE_hvYDw,Yes,Instaloader
2025-01-20 07:50:35+00:00,2025-08-09 04:57:20+00:00,這群人董仔,donehannah,1241938110833512,1241938110833512,30,1350.0,101579.0,"長瀏海的剪劉海也叫剪瀏海

妹妹頭的剪瀏海也叫剪瀏海
所以男生們不要以為剪瀏海等於剪妹妹頭

😂😂😂好饒口～
-
女生們剪一些綁頭髮之後會掉下來的溜溜秋秋已經是必備👍🏻

我在這裡剪 @cubexciao 
我都找貝卡剪 @rebecca_cubexciao",89.77,"{'0': 'non_public_2327008287779469', '1': '1490558429169929'}",2025-01-20 15:50:35+08:00,2025-08-09 12:57:20+08:00,DFCh9XtvFCo,Yes,Instaloader
2025-01-22 09:06:24+00:00,2025-03-02 23:19:46+00:00,這群人董仔,donehannah,1967832667278010,1967832667278010,7,961.0,52528.0,"終究會到我們這一輩要思考的事情～
頻道聊了2024做的事情大回顧，其中一個
#移祖先 到靈骨塔這件事，讓我非常有感～

有感的部分是過年過節都會有人代拜
真的非常方便

這也是扛起家裡事情的其中一件～我覺得自己好棒棒

#不囉嗦看董仔 #是週更喔",75.21,"{'0': '1428515268761732', '1': '928884896373386', '2': '1266074465487772'}",2025-01-22 17:06:24+08:00,2025-03-03 07:19:46+08:00,DFHz7rSv9jc,Yes,Instaloader
2025-01-23 15:42:34+00:00,2025-05-01 21:44:44+00:00,這群人董仔,donehannah,1447172426790166,1447172426790166,16,1371.0,71549.0,"為了主持潛入人家公司到凌晨🎤
2025的第一場主持獻給 #創勝包裝精緻搬家 公司 了！
老闆娘椅子姐，是合作廠商也是貴人也是朋友

你們員工很幸福，抽獎獎項、現金、禮物抽不停❤️‍🔥
也希望我準備的遊戲、員工才知道的有獎問答 玩的開心
-
好在跟你們有點熟悉度，所以我等於把以前在群人辦春酒尾牙的力氣All in 給你們😂😂
-
搬家找創勝👍🏻🧡
@vvipmoving 
-
禮服 @taipei_francepariswedding 
彩妝 @chang_yumi",117.93,"{'0': '754107771086892', '1': '1599055937836444', '2': 'non_public_1401895387920577', '3': '1266074465487772', '4': '909095988370802'}",2025-01-23 23:42:34+08:00,2025-05-02 05:44:44+08:00,DFLEpM6zGhF,Yes,Instaloader
2025-01-27 12:46:39+00:00,2025-03-02 23:19:46+00:00,這群人董仔,donehannah,2698199130577100,2698199130577100,16,719.0,43924.0,"奇怪🤔我就是會買到垃圾的體質嗎

過年家裡的門神、春聯，還有冬天款鞋子、衣服，補貨了不少，但我為什麼總是可以買錯！好氣😠🤣
那個貓咪貓抓板畫框🖼️超可愛欸！我到底要不要重新選購回來組成一組🤔

#不囉嗦看董仔 #個人頻道本週新片",72.21,,2025-01-27 20:46:39+08:00,2025-03-03 07:19:46+08:00,DFVFhAHv34u,Yes,Instaloader
2025-01-28 08:16:35+00:00,2025-05-01 20:56:48+00:00,這群人董仔,donehannah,927993136548297,927993136548297,25,3605.0,357724.0,"今年的春聯自己寫～
過年氣氛好溫馨🧧🏮

祝大家 
#蛇年行大運 
-
最喜歡誰寫的那幅～你可以自己寫✍🏻😂",71.52,"{'0': '2412506552507975', '1': '586092284368884'}",2025-01-28 16:16:35+08:00,2025-05-02 04:56:48+08:00,DFXLWvivZZF,Yes,Instaloader
2025-01-28 19:15:23+00:00,2025-03-02 23:19:46+00:00,這群人董仔,donehannah,1501731817979185,1501731817979185,13,314.0,69983.0,"恭喜發財🧨🧨🧨
無聊玩美圖秀秀～

#蛇年初一 #守睡等於熬夜 #平常就在守沒差這一天",17.0,,2025-01-29 03:15:23+08:00,2025-03-03 07:19:46+08:00,DFYW55_TnMq,Yes,Instaloader
