creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 07:59:58+00:00,2025-08-29 17:23:11+00:00,痘疤女王 莊盈彥,dr.acne_scar_queen,906726498947128,906726498947128,9,961.0,155044.0,"有這種 #痘痘 去打雷射就會好？😅那我只能說你被盤子自己都不知道…

還抱持著長痘痘打打雷射就會好的人要注意啦！🤦‍♀️你第一件事是去看皮膚科，去擦藥才對，不是打雷射，好嗎？

因為市面上沒有一種雷射可以消除痘痘！💥有些機器是可以降低 #青春痘 發生，例如 #墨菲斯電波 或 #BBL，皮秒絕對不行！💥

🧐痘痘正在長，這時候去打雷射，很可能只會讓你爆痘而已！

🏥地點：美上美皮膚科

☎️電話：02-89859060

📩預約：@‌drx.derm (請加@ ＬＩＮＥ預約)",58.21,,2025-01-02 15:59:58+08:00,2025-08-30 01:23:11+08:00,DEUNGaDJ6P-,Yes,Instaloader
2025-01-02 09:31:14+00:00,2025-04-13 01:03:52+00:00,痘疤女王 莊盈彥,dr.acne_scar_queen,1440238357640138,1440238357640138,2,598.0,198590.0,"😲如果你也學她那樣抹那些東西就糟囉！只因為覺得自己敏感就這樣，真的是亂擦…

(無言)下巴臉頰都泛紅了…沒擦東西皮膚就已經油油亮亮的了！不知道擦的東西是油還是水？這個業配的產品…😫不多說了！就 #蠕形蟎蟲 症啦！

她很可能是 #乾性肌膚，可能過度保養導致蠕形蟎蟲症！真的皮膚已經這樣了別再過度保濕！

🏥地點：美上美皮膚科

☎️電話：02-89859060

📩預約：@‌drx.derm (請加@ ＬＩＮＥ預約)",50.09,,2025-01-02 17:31:14+08:00,2025-04-13 09:03:52+08:00,DEUXiq5MFpN,Yes,Instaloader
2025-01-02 11:01:02+00:00,2026-01-28 11:24:44+00:00,痘疤女王 莊盈彥,dr.acne_scar_queen,4107591892720182,4107591892720182,1,496.0,121316.0,"🙄這人花了美金💵1400打 #除斑雷射 打成這樣…該恐慌嗎？

值得啦～這種狀況是很正常的術後結痂現象，請不要覺得這樣就毀容了！像這樣的 #曬斑 #雀斑，其實雷射處理一兩次就OK了～

正確來說，除斑雷射打完就會像這樣紅紅一點一點的，大概幾個小時就會退紅，隔天呢就會結痂，說這麼多，看我之前打的照片就知道啦～😉

🏥地點：美上美皮膚科

☎️電話：02-89859060

📩預約：@‌drx.derm (請加@ ＬＩＮＥ預約)",46.14,,2025-01-02 19:01:02+08:00,2026-01-28 19:24:44+08:00,DEUh0ATqFIp,Yes,Instaloader
2025-01-03 11:14:36+00:00,2025-08-28 08:41:02+00:00,痘疤女王 莊盈彥,dr.acne_scar_queen,964476656701776,964476656701776,27,746.0,126623.0,"如果你覺得自己的皮膚真的有問題，別抱持著「擦擦保養品」的想法，為什麼？

「治療高於保養」來找我就是治療！因為我一定讓你的臉非常乾淨的回家👍

有些病人來找我可能都搞錯了…以為自己的皮膚只要擦擦保養品就會好🙄，甚至天真以為打幾次雷射就好，不用擦什麼藥或保養品？

我只能老實跟大家說－「大部分的肌膚問題，決不是單一治療或擦擦保養品，就可以達到讓人滿意的目標！」

這個滿意的目標就是你、我都共識的治療結果，想要這個結果，我就會幫助你達到～

🏥地點：美上美皮膚科

☎️電話：02-89859060

📩預約：@‌drx.derm (請加@ ＬＩＮＥ預約)",60.69,,2025-01-03 19:14:36+08:00,2025-08-28 16:41:02+08:00,DEXIKFBiqBe,Yes,Instaloader
2025-01-03 12:01:40+00:00,2025-01-19 14:49:54+00:00,痘疤女王 莊盈彥,dr.acne_scar_queen,923180883730247,923180883730247,9,2784.0,331718.0,"什麼黑色素不能靠雷射治療？先控制你的血糖再說吧！

常有人以為脖子後面或腋下的深色皮膚是「色素沈澱」，但其實這叫黑色素棘皮症，是與血糖不耐症有關的皮膚問題，尤其容易出現在比較肥胖的人身上。

黑色素棘皮症的成因並不是黑色素增加，而是角質過度堆積！皮膚變厚了，光穿不透，才顯得深色或咖啡色。

這種症狀❌打再多雷射都沒意義，擦再多維C也是！因為根本原因在於血糖不耐，所以這不是靠外用產品或治療就能解決的！🧐

該怎麼改善？先控制血糖才能解決問題啦～可以適度去角質幫助減少角質過度堆積，但不是治本之道

🏥地點：美上美皮膚科

☎️電話：02-89859060

📩預約：@‌drx.derm (請加@ ＬＩＮＥ預約)",52.1,,2025-01-03 20:01:40+08:00,2025-01-19 22:49:54+08:00,DEXNjckNApI,Yes,Instaloader
2025-01-06 05:21:50+00:00,2025-01-08 08:52:04+00:00,痘疤女王 莊盈彥,dr.acne_scar_queen,26473274082297272,26473274082297268,10,1777.0,165733.0,"這些成分混和來擦就對了！！～🥰

#早C晚A 就是幫你 #均勻膚色

#水楊酸 + #A醇 可以讓你的毛孔更乾淨～

#果酸 + #維C 呢可以讓你的膚色更白更提亮喔！

🏥地點：美上美皮膚科

☎️電話：02-89859060

📩預約：@‌drx.derm (請加@ ＬＩＮＥ預約)",15.62,,2025-01-06 13:21:50+08:00,2025-01-08 16:52:04+08:00,DEeOL1_iBQ0,Yes,Instaloader
2025-01-06 07:55:08+00:00,2025-01-06 11:15:14+00:00,痘疤女王 莊盈彥,dr.acne_scar_queen,1589972648888930,1589972648888930,6,460.0,113145.0,"👩‍⚕️什麼問題該治療？什麼問題需要配合保養品，10秒內快速說～

有 #痘疤 要消除，就要靠雷射或微針電波

有肝斑要消除，治療就要擦 #A酸 跟 #對苯二酚，還要配合各種 #美白成分～

有 #青春痘 問題，講很多次了，一樣去擦 #A酸 #A醇 吧～再用水楊酸會更好😀

🏥地點：美上美皮膚科

☎️電話：02-89859060

📩預約：@‌drx.derm (請加@ ＬＩＮＥ預約)",13.85,,2025-01-06 15:55:08+08:00,2025-01-06 19:15:14+08:00,DEefvOlOwJn,Yes,Instaloader
2025-01-06 12:28:13+00:00,2026-01-07 22:09:19+00:00,痘疤女王 莊盈彥,dr.acne_scar_queen,789779213594302,789779213594302,1,643.0,143987.0,"👩‍⚕️別以為臉紅紅的就是 #酒糟肌 喔！因為…

這種皮膚泛紅的狀況，不一定都是 #蠕形蟎蟲 造成的酒糟發炎反應，雖然很像，但是要考量一下環境狀況～

這麼冷的 #寒流，我相信中性偏乾肌的朋友一定很難受😫，尤其這種天氣在外面騎車，💥冷風一直吹也是會發炎喔！💥

不論如何，有泛紅狀況還是要找醫師判斷，如果想要救急這種泛紅狀況，其實可以擦一些比較油的保濕～如果還是降不下來，就看皮膚科拿個類固醇來擦吧～🥰

🏥地點：美上美皮膚科

☎️電話：02-89859060

📩預約：@‌drx.derm (請加@ ＬＩＮＥ預約)",53.87,,2025-01-06 20:28:13+08:00,2026-01-08 06:09:19+08:00,DEe--ZFJEH8,Yes,Instaloader
2025-01-07 07:47:48+00:00,2025-09-16 07:37:50+00:00,痘疤女王 莊盈彥,dr.acne_scar_queen,1162418399272567,1162418399272567,13,811.0,133003.0,"🤔為什麼你擦的 #A醇 已經耐受了，再擦還是會脫皮？

我相信這個 #脫皮 應該不會到很嚴重啦～因為這跟季節環境轉換、使用頻率以及添加成分有關！

其實擦A酸A醇的脫皮現象是一種皮膚變乾的問題，😉所以季節變化或者在不同環境下擦A酸A醇，也會出現不同的皮膚外觀變化，但這些問題都還是可以繼續擦～

而且還有另一個問題就是－「使用頻率」，如果你目前正在使用的A醇或A酸，之前擦的時候已經耐受了，但1～2個月沒擦，再拿起來擦，也還是會脫皮屑喔！但一定不會像初次使用那樣，而且脫皮的現象也會縮短，所以也不用擔心～

再來還有什麼情況也會脫皮？就是額外再使用其他酸類成分，例如 #水楊酸 或 #杏仁酸 啊，這些成分都具有 #去角質 功用，這樣也會導致角質層更乾燥，這種狀況就非常適合毛孔很粗大的朋友，皮膚往往會更加乾淨呢！

🏥地點：美上美皮膚科

☎️電話：02-89859060

📩預約：@‌drx.derm (請加@ ＬＩＮＥ預約)",72.21,,2025-01-07 15:47:48+08:00,2025-09-16 15:37:50+08:00,DEhDqqpKfbC,Yes,Instaloader
2025-01-07 09:01:29+00:00,2025-01-07 11:51:34+00:00,痘疤女王 莊盈彥,dr.acne_scar_queen,892126693596949,892126693596949,12,1124.0,158985.0,"好的皮膚就是💸吶…所言甚是😅我就是這麼誠實～

你想要一張完美無瑕的皮膚，不是打什麼雷射的問題，而是💸，沒有錢可以找個給糖吃的爸媽😆(誤)

其實我想告訴大家的是，💕你真的不需要去追求毫無瑕疵的皮膚，真的很有問題再說吧！小瑕疵真的不需要太在乎，好嗎？

🏥地點：美上美皮膚科

☎️電話：02-89859060

📩預約：@‌drx.derm (請加@ ＬＩＮＥ預約)",38.78,,2025-01-07 17:01:29+08:00,2025-01-07 19:51:34+08:00,DEhMHtCMkUJ,Yes,Instaloader
