creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 09:00:38+00:00,2025-02-18 06:48:26+00:00,Emmy追劇時間,emmy_on_earth,1420594478997626,1420594478997626,0,120.0,4018.0,華為騙台灣晶片，害慘全中國GPU公司，台積電斷供7奈米！,25.4,,2025-01-02 17:00:38+08:00,2025-02-18 14:48:26+08:00,DEUUEyivenZ,Yes,Instaloader
2025-01-03 09:00:44+00:00,2025-02-18 06:48:25+00:00,Emmy追劇時間,emmy_on_earth,1406256140594699,1406256140594699,0,90.0,4201.0,"#apple 震驚！蘋果說要自己做晶片，AI晶片大戰要開打了嗎？谷歌博通亞馬遜開始研發AI晶片，輝達要被甩了？

#蘋果 #apple #Broadcom #博通 #NVIDIA #輝達 #NIKE #Baltra #Google #willlow",32.67,,2025-01-03 17:00:44+08:00,2025-02-18 14:48:25+08:00,DEW43d5CiHY,Yes,Instaloader
2025-01-04 05:01:03+00:00,2026-01-13 18:31:58+00:00,Emmy追劇時間,emmy_on_earth,1454934176414113,1454934176414113,0,44.0,3576.0,"跌跌不休！台塑底部在哪？台塑、台化、台塑、南亞慘仆街，鄉民小心存股變存骨！

#台股 #台灣 #台塑 #台塑化 #南亞 #台化 #存股 #過年 #年終 #投資 #台灣經濟 #台灣股市 #中國 #習近平 #塑化 #石化 #巴菲特 #價值投資 #鄉民 #台塑四寶 #技術分析 #裕隆  #EmmyHu #Emmy追劇時間 #胡采蘋",29.51,,2025-01-04 13:01:03+08:00,2026-01-14 02:31:58+08:00,DEZCP-RJ-Ip,Yes,Instaloader
2025-01-05 05:00:39+00:00,2025-03-15 08:55:16+00:00,Emmy追劇時間,emmy_on_earth,1314443070518312,1314443070518312,1,98.0,4320.0,"三星記憶體大災難，成熟製程岌岌可危？Samsung驚現跳船潮，200名員工瘋搶海力士3職缺！

 #英特爾 #Intel #CPU #台積電 #張忠謀 #TSMC #晶圓 #晶片 #GPGPU #AI #AI晶片 #劉德音#三星 #AMD #蘇姿丰 #黃仁勳 #AMD #Nvidia #台股 #美股 #Emmy追劇時間 #Emmy #基辛格 #胡采蘋",30.58,,2025-01-05 13:00:39+08:00,2025-03-15 16:55:16+08:00,DEbm_AjyQYc,Yes,Instaloader
2025-01-08 09:00:57+00:00,2025-02-18 06:48:26+00:00,Emmy追劇時間,emmy_on_earth,918683614356173,918683614356173,0,67.0,3537.0,"起飛了？台積電股價新高領漲台股，魏哲家馬斯克聊天罕見報明牌，台灣機器人概念股有這些！

#特斯拉 #輝達 #NVIDIA #Tesla #蘋果 #AAPL #人形機器人 #台股 #川普 #台積電 #魏哲家 #Emmy #emmy追劇時間",25.91,,2025-01-08 17:00:57+08:00,2025-02-18 14:48:26+08:00,DEjw4f7MTdX,Yes,Instaloader
2025-01-09 09:00:45+00:00,2025-09-17 16:50:34+00:00,Emmy追劇時間,emmy_on_earth,1440195284408637,1440195284408637,1,58.0,3234.0,"賣光XX換博通，移情別戀換股大作戰！科技股大翻盤！NVIDIA & AVGO雙雄大戰，未來幾個月可能大賺？Emmy這麼看！

#美股 #台股 #川普 #銀行 #金融股 #聯準會 #FOMC #FED #輝達 #英特爾 #Intel #博通 #量子電腦 #NIKE #Emmy #Emmy追劇時間",23.36,,2025-01-09 17:00:45+08:00,2025-09-18 00:50:34+08:00,DEmVqFutdWt,Yes,Instaloader
2025-01-11 05:00:40+00:00,2025-02-18 06:48:26+00:00,Emmy追劇時間,emmy_on_earth,2088643115315698,2088643115315698,1,73.0,5698.0,"嚇爛！習近平親自部署中國經濟仆街，外資法人甩賣台塑，散戶抄底400多億

新台幣，越抄越底慘成接盤俠？

#台股 #台灣 #台塑 #台塑化 #南亞 #台化 #存股 #過年 #年終 #投資 #台灣經濟 #台灣股市 #
中國 #習近平 #塑化 #石化 #巴菲特 #價值投資 #鄉民 #台塑四寶 #技術分析 #裕隆 
#EmmyHu #Emmy追劇時間 #胡采蘋",34.16,,2025-01-11 13:00:40+08:00,2025-02-18 14:48:26+08:00,DErDv4RCXFY,Yes,Instaloader
2025-01-12 12:01:08+00:00,2025-04-12 10:36:52+00:00,Emmy追劇時間,emmy_on_earth,4399128560369692,4399128560369692,0,42.0,2999.0,台積電助攻Intel，基辛格的最後遺產爆紅，新款GPU市場反應熱烈，會成遊戲界新黑馬？  #英特爾 #Intel #CPU #台積電 #張忠謀 #TSMC #晶圓 #晶片 #GPGPU #AI #AI晶片 #劉德音#三星 #AMD #蘇姿丰 #黃仁勳 #AMD #Nvidia #台股 #美股 #Emmy追劇時間 #Emmy #基辛格 #胡采蘋,27.31,,2025-01-12 20:01:08+08:00,2025-04-12 18:36:52+08:00,DEuYpPrC-H8,Yes,Instaloader
2025-01-13 09:05:18+00:00,2025-02-18 06:48:25+00:00,Emmy追劇時間,emmy_on_earth,2685060635168369,2685060635168369,0,94.0,5821.0,"台灣World Gym下剋上，世界健身併購美國母公司，老闆Taiwan女婿柯約翰竟上過白先勇的課！

#WorldGym #世界健身 #健身#台灣 #健身房 #胡采蘋 #Emmy追劇時間
#世界健身 #好市多  #台湾 #健身房  #胡采苹 #Emmy追剧时间",42.12,,2025-01-13 17:05:18+08:00,2025-02-18 14:48:25+08:00,DEwopZRzoDE,Yes,Instaloader
2025-01-15 09:01:07+00:00,2025-09-24 23:22:17+00:00,Emmy追劇時間,emmy_on_earth,2473126906540442,2473126906540442,0,42.0,2751.0,錯過台積電、輝達、蘋果？別錯過人型機器人革命！魏哲家爆料馬斯克，揭秘人型機器人如何重塑未來市場。  #特斯拉 #輝達 #NVIDIA #Tesla #蘋果 #AAPL #人形機器人 #台股 #川普 #台積電 #魏哲家 #Emmy #Emmy追劇,24.29,,2025-01-15 17:01:07+08:00,2025-09-25 07:22:17+08:00,DE1ycaBNBoj,Yes,Instaloader
2025-01-18 13:58:03+00:00,2025-02-18 06:48:25+00:00,Emmy追劇時間,emmy_on_earth,767411342710728,767411342710728,1,109.0,4101.0,"爽啦！裕隆中國車仆街，台灣國產新制上路MG獲利崩跌！

#MG #裕隆 #中華汽車 #三陽工業 #SYM #CUSTIN #現代汽車 #北京現代 #洗產地 #國產新制 #買車 #車市 #電動車 #MG4 #胡采蘋 #Emmy追劇時間",32.62,,2025-01-18 21:58:03+08:00,2025-02-18 14:48:25+08:00,DE-Cs6jTMv1,Yes,Instaloader
2025-01-19 09:24:17+00:00,2025-02-18 06:48:25+00:00,Emmy追劇時間,emmy_on_earth,902696689400685,902696689400685,13,449.0,34796.0,"太有錢！台灣買爆保時捷，Porsche分公司超賺數錢數到手軟！

#賓士 #Benz #法拉利 #帕拉梅拉#panamera #Ferrari #保時捷 #Porsche #車 #台灣 #胡采蘋 #Emmy追劇時間 #奔驰 #法拉利  #保时捷 #车
 #台湾#胡采苹 #Emmy追剧时间",35.39,,2025-01-19 17:24:17+08:00,2025-02-18 14:48:25+08:00,DFAIQDGT5nc,Yes,Instaloader
2025-01-22 09:01:13+00:00,2025-02-18 06:48:25+00:00,Emmy追劇時間,emmy_on_earth,2103685137144546,2103685137144546,0,58.0,3093.0,習近平搞爛經濟！BMW在中國沒人買！  #賓士 #Benz #法拉利 #BMW #Ferrari #保時捷 #Porsche #車 #胡采蘋 #Emmy追劇時間,19.71,,2025-01-22 17:01:13+08:00,2025-02-18 14:48:25+08:00,DFH0Ak2KMvj,Yes,Instaloader
2025-01-23 09:00:28+00:00,2025-02-18 06:48:26+00:00,Emmy追劇時間,emmy_on_earth,1422744079300549,1422744079300549,1,165.0,6659.0,"好貴！昇恆昌采盟桃機割韭菜，合約比蔣中正總統任期還久，背景超硬的超狂台灣免稅店！

#免稅店 #昇恆昌 #采盟 #Emmy #Emmy追劇時間 #胡采蘋",34.97,,2025-01-23 17:00:28+08:00,2025-02-18 14:48:26+08:00,DFKYv8FBhSc,Yes,Instaloader
2025-01-24 09:00:46+00:00,2025-05-05 20:11:17+00:00,Emmy追劇時間,emmy_on_earth,1643166596678772,1643166596678772,1,67.0,4220.0,"驚呆了，華為在阿根廷收牛肉抵帳，低價牛肉倒灌中國市場！

#華為 #5G #中國 #中共 #中國經濟 #經濟 #習近平 #阿根廷 #米萊 #肥牛小火鍋 #美食",41.93,,2025-01-24 17:00:46+08:00,2025-05-06 04:11:17+08:00,DFM9kGAoBr4,Yes,Instaloader
2025-01-25 09:00:46+00:00,2025-02-18 06:48:25+00:00,Emmy追劇時間,emmy_on_earth,922133413631240,922133413631240,1,69.0,4040.0,悽慘！背叛者成中國內鬥背鍋俠，爹不疼娘不愛的台積電叛將#台積電 #TSMC #長江存儲 #半導體 #7奈米 #華為 #Huawei #長鑫存儲 #南亞科 #高啟全 #朱一明,34.27,,2025-01-25 17:00:46+08:00,2025-02-18 14:48:25+08:00,DFPiWE7gUd0,Yes,Instaloader
2025-01-26 09:00:59+00:00,2025-02-18 06:48:25+00:00,Emmy追劇時間,emmy_on_earth,920489044247823,920489044247823,1,177.0,5605.0,超搞笑，她為省1.5張小朋友害慘黃安，台灣健保黑洞終於得救！#台灣 #Taiwan #全民健保 #健保署 #醫療保險 #美國 #聯合健康集團,38.48,,2025-01-26 17:00:59+08:00,2025-02-18 14:48:25+08:00,DFSHLC0sV4T,Yes,Instaloader
2025-01-27 06:18:55+00:00,2025-02-18 06:48:26+00:00,Emmy追劇時間,emmy_on_earth,2108426276603707,2108426276603707,1,124.0,8701.0,"起底叛將高啟全，台灣科技叛徒就是這些人!

#台積電 #TSMC #長江存儲 #半導體 #7奈米 #華為 #Huawei",20.71,,2025-01-27 14:18:55+08:00,2025-02-18 14:48:26+08:00,DFUZVq8z7lK,Yes,Instaloader
2025-01-29 11:52:20+00:00,2025-02-18 06:48:25+00:00,Emmy追劇時間,emmy_on_earth,1583304442792287,1583304442792287,18,204.0,7398.0,"肯亞親中變反中，習近平經濟侵略非洲國家！

#一帶一路 #債務陷阱 #基建狂魔 #中國經濟 #習近平 #斯里蘭卡 #巴基斯坦 #尼泊爾 #肯亞",30.95,,2025-01-29 19:52:20+08:00,2025-02-18 14:48:25+08:00,DFaJIY1zCGy,Yes,Instaloader
2025-01-31 10:02:49+00:00,2025-04-09 09:09:55+00:00,Emmy追劇時間,emmy_on_earth,760083956870981,760083956870981,2,61.0,3668.0,"美食王國台灣，台北米其林成長率亞洲最強！

#台灣 #黑白大廚 #米其林 #美食 #Michelin #台北 #東京 #上海 #京都 #巴黎",28.61,,2025-01-31 18:02:49+08:00,2025-04-09 17:09:55+08:00,DFfGNeLzmLW,Yes,Instaloader
2025-02-06 05:17:49+00:00,2025-10-03 16:49:48+00:00,Emmy追劇時間,emmy_on_earth,1495249512028105,1495249512028105,1,135.0,5578.0,"台灣車市竟有一成新車可能是中國車？偷偷洗產地被抓包！三陽老闆被告密，惱羞怒退車輛公會？

#MG #裕隆 #中華汽車 #三陽工業 #SYM #CUSTIN #現代汽車 #北京現代 #洗產地 #國產新制 #買車 #車市 #電動車 #MG4 #胡采蘋 #emmy追劇時間",35.64,,2025-02-06 13:17:49+08:00,2025-10-04 00:49:48+08:00,DFuCTjYzexu,Yes,Instaloader
2025-02-07 09:01:34+00:00,2025-10-05 07:51:00+00:00,Emmy追劇時間,emmy_on_earth,1913269332893247,1913269332893247,0,71.0,3073.0,狼狽！分手台灣遇渣男，宏都拉斯將遭中國殖民？揭露台灣前邦交國遭習近平詐騙大仆街！  #中國 #台灣 #邦交國 #馬英九 #蔡英文 #賴清德 #習近平 #宏都拉斯 #尼加拉瓜 #外交部 #外交  #蝦子 #白蝦 #先買後付 #貸款 #中租 #借錢 #川普,37.31,,2025-02-07 17:01:34+08:00,2025-10-05 15:51:00+08:00,DFxAwyFC35C,Yes,Instaloader
2025-02-08 05:41:30+00:00,2025-06-18 08:12:37+00:00,Emmy追劇時間,emmy_on_earth,1263674485971573,1263674485971573,0,3.0,948.0,"洛城大火的啟示竟是？美股這個類股千萬別碰！

#台積電 #TSMC #輝達 #COWOS #黃仁勳 #NVDA #加州大火 #Emmy #Emmy追劇時間　#聯合健康　#洛杉磯大火　#洛杉磯　#LA  #wildfire",29.72,,2025-02-08 13:41:30+08:00,2025-06-18 16:12:37+08:00,DFzOnktTw3N,Yes,Instaloader
2025-02-13 06:18:00+00:00,2025-10-01 18:09:35+00:00,Emmy追劇時間,emmy_on_earth,935359455628086,935359455628086,1,91.0,3697.0,"起底張蘭汪小菲，中國假豪門母子檔利用台灣洗錢！

#張蘭 #汪小菲 #俏江南 #台灣 #Taiwan #賴帳 #CVC #鼎暉 #大S #具俊曄 #구준엽 #鄧小平 #習近平 #中國 #小南國 #中金公司 #CICC #京城四少 #江南過橋排骨 #阿蘭酒家 #Emmy #Emmy追劇時間 #胡采蘋 #EmmyHu",27.24,,2025-02-13 14:18:00+08:00,2025-10-02 02:09:35+08:00,DGAKsmoTj_D,Yes,Instaloader
2025-02-14 05:40:40+00:00,2025-05-03 02:41:40+00:00,Emmy追劇時間,emmy_on_earth,1660304061809953,1660304061809953,1,100.0,4194.0,"張蘭用大S兒女錢買紐約豪宅，法院認證作假帳！

#張蘭 #汪小菲 #俏江南 #台灣 #Taiwan #賴帳 #CVC #鼎暉 #大S #具俊曄 #구준엽 #鄧小平 #習近平 #中國 #小南國 #中金公司 #CICC #京城四少 #江南過橋排骨 #阿蘭酒家 #Emmy #Emmy追劇時間 #胡采蘋 #EmmyHu",32.51,,2025-02-14 13:40:40+08:00,2025-05-03 10:41:40+08:00,DGCrL5iTW9V,Yes,Instaloader
2025-02-17 03:19:04+00:00,2025-03-07 11:01:44+00:00,Emmy追劇時間,emmy_on_earth,1564383724656434,1564383724656434,0,27.0,2197.0,"2025 CES展有什麼股點？Emmy獨家分享！Cyberpunk不是夢？機器人商機竟然就在這裡！

#川普 #台灣 #台股 #特斯拉 #蘋果 #馬斯克 #MAGA #CES #人形機器人 #Emmy #Emmy追劇時間",22.92,,2025-02-17 11:19:04+08:00,2025-03-07 19:01:44+08:00,DGKJIZSTgmT,Yes,Instaloader
2025-02-22 05:00:53+00:00,2025-02-22 05:36:28+00:00,Emmy追劇時間,emmy_on_earth,921153143795208,921153143795208,0,67.0,12886.0,"超正！睦那京辣翻大巨蛋，台灣韓國啦啦隊新歡是她！

#樂天桃猿 #富邦悍將 #中信兄弟 #台鋼雄鷹 #味全龍 #統一獅 #富邦韓籍五本柱 #台灣啦啦隊女孩 #台灣 #啦啦隊 #護國神山 #台積電 #李多慧 #李雅英 #李珠珢 #金子仁 #金渡娥 #南珉貞 #朴星垠 #睦那京 #목나경 #樂天巨人  #韓國啦啦隊 #林襄 #一粒 #峮峮  #Emmy #胡采蘋 #Emmy追劇時間",29.72,,2025-02-22 13:00:53+08:00,2025-02-22 13:36:28+08:00,DGXNKiRosjE,Yes,Instaloader
