creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 14:54:18+00:00,2025-04-16 10:29:27+00:00,關韶文 關關✨,ethan_kuan_kuan,1275493374422460,1275493374422460,53,3582.0,351034.0,「來跟炎亞綸直播，沒想到都在聊麻將！」😂,56.2,{'0': '1217705066583334'},2025-01-01 22:54:18+08:00,2025-04-16 18:29:27+08:00,DESSNZ9TKpk,Yes,Instaloader
2025-01-02 04:40:52+00:00,2025-07-09 18:40:20+00:00,關韶文 關關✨,ethan_kuan_kuan,2683999175269944,2683999175269944,39,4380.0,413994.0,"「我終於完成了！正顎手術一年半，拆牙套一年了！」
-
時間過得好快，當我決定要動正顎手術時，還充滿徬徨和無助，不確定自己這樣做是不是對的，不管是家人朋友的不諒解，還是來自網路上的聲音，都讓我曾經懷疑自己的決定，但我後來告訴我自己，只要沒有影響到別人，就勇敢去做吧！
-
「正顎手術」是我從小就想要動的大型手術，不只影響了咬合還影響了外觀，生活上的困擾真的只有自己人才懂，最後我鼓起勇氣，當然也花了不少錢，決定完成自己心中的夢想。
-
很想要跟大家分享的是，正顎手術它不只是單單的整形手術，更是恢復牙齒和腸胃的基本功能，還有呼吸道的基本空間，我們可以把正顎歸類在整形是沒錯，但是千萬不要這麼單一的去看待。因為比起外觀有沒有變漂亮，會選擇動手術的人絕對是更在乎器官功能的生活影響。
-
術後一個月只能吃流質、長期被各種橡皮筋拉著，這些皮肉痛我都忍過來了，雖然很辛苦但是很值得。我也把我勇敢的經歷寫成一本記錄書，《再痛，也要勇敢成全自己》，在各大書局和網站都可以買到！真心想要把這些點滴分享給你們，你要相信，改變的路上你不孤單，因為我都能走過來了，你一定也可以！
-
#正顎手術 #牙套日記 #再痛也要勇敢成全自己",59.47,,2025-01-02 12:40:52+08:00,2025-07-10 02:40:20+08:00,DET2PTkTx84,Yes,Instaloader
2025-01-04 03:30:48+00:00,2025-02-04 19:59:13+00:00,關韶文 關關✨,ethan_kuan_kuan,861350323336914,861350323336914,0,530.0,76614.0,「最容易發展成劈腿對象的關係是⋯？」,21.76,"{'0': '751135697680271', '1': '1122847633156361', '2': '971942904601947'}",2025-01-04 11:30:48+08:00,2025-02-05 03:59:13+08:00,DEY32PGzUpz,Yes,Instaloader
2025-01-05 02:56:25+00:00,2025-02-04 19:59:13+00:00,關韶文 關關✨,ethan_kuan_kuan,2127462331356355,2127462331356355,3,348.0,57394.0,「小納豆出題的猜歌，有多難！」,38.08,"{'0': '963147502331184', '1': '891588229771094'}",2025-01-05 10:56:25+08:00,2025-02-05 03:59:13+08:00,DEbYrHjzRSG,Yes,Instaloader
2025-01-06 09:53:11+00:00,2025-05-20 04:11:25+00:00,關韶文 關關✨,ethan_kuan_kuan,854162190958817,854162190958817,4,539.0,70405.0,「出遊真的要預留一些伸縮時間！」,44.04,,2025-01-06 17:53:11+08:00,2025-05-20 12:11:25+08:00,DEetLtBTNQy,Yes,Instaloader
2025-01-07 05:38:43+00:00,2025-02-04 19:59:13+00:00,關韶文 關關✨,ethan_kuan_kuan,4270303673243219,4270303673243219,0,422.0,44291.0,「面對自己的不快樂，才有快樂。」,32.44,{'0': '10063245930437613'},2025-01-07 13:38:43+08:00,2025-02-05 03:59:13+08:00,DEg0b2aT4ep,Yes,Instaloader
2025-01-08 09:55:59+00:00,2025-02-04 19:59:13+00:00,關韶文 關關✨,ethan_kuan_kuan,1208678201386358,1208678201386358,18,5464.0,401654.0,「沒想到一眨眼4年都過去了！😂,23.52,,2025-01-08 17:55:59+08:00,2025-02-05 03:59:13+08:00,DEj3HdRzO5P,Yes,Instaloader
2025-01-10 03:47:32+00:00,2025-06-23 04:14:57+00:00,關韶文 關關✨,ethan_kuan_kuan,2278894182602624,2278894182602624,0,346.0,67827.0,"「自認很衰的你看過來！2025改運趁現在！」✨❤️
-
有人跟我一樣習慣每一年去找老師問問的嗎？想知道今年的自己應該要怎麼做，或是需要什麼樣的方向可以讓自己更好。可是，你有沒有這樣的經驗，每次一年的開始總是會看一下自己的運勢，然後發現自己根本不懂命理，隨便被幾個專業術語唱衰了嗎？
-
把那些複雜的八字用語全部拿掉，湯鎮瑋老師用真正白話的方法告訴你如何掌握方向。跟大家分享以前我最喜歡的一句話，「不要相信命運，我們要自己運命。」就算很多事情你認為是天註定，但還是能夠把握我們能扭轉的比例。
-
湯鎮瑋老師推出的「實用命理課」，把複雜的理論都拿掉，從八字、風水、手面相，帶你好好認識自己，保證絕對聽得懂，也能夠讓你放鬆心情去面對人生的難題。
-
【關韶文獨家折扣碼】KK300 可享 $300 折扣
【改變人生傳送門】https://shifuclass.com/gxhDX
-
#實用命理課 #湯鎮瑋老師",87.91,{'0': '1357285892748237'},2025-01-10 11:47:32+08:00,2025-06-23 12:14:57+08:00,DEoWgkpT8WA,Yes,Instaloader
2025-01-11 06:32:15+00:00,2025-02-04 19:59:13+00:00,關韶文 關關✨,ethan_kuan_kuan,1445614997091966,1445614997091966,5,1023.0,71312.0,"「來到香港迪士尼真的一秒變小孩！」✨😍
-
全世界都急著要我們快點長大，只有這裡讓我們回到小孩，如果生活讓你覺得累了，不如來到迪士尼享受可愛的氛圍吧！
-
#香港迪士尼樂園 #奇妙聖誕讓你更璀璨 #聖誕時刻 #HKDisneyland #ADisneyChristmas",51.11,,2025-01-11 14:32:15+08:00,2025-02-05 03:59:13+08:00,DErOLOqTu85,Yes,Instaloader
2025-01-13 09:49:28+00:00,2025-02-04 19:59:13+00:00,關韶文 關關✨,ethan_kuan_kuan,875055055160068,875055055160068,4,574.0,74237.0,"「Coke綻放心裡話Ai光雕夜，一起說出你的心裡話！」
- 你也有想說出心裡話的對象嗎？不要猶豫，現在就去找他綻放你的心裡話吧！
-
#可口可樂 #cocacola #綻放心裡話 #心火綻放瓶",59.51,"{'0': '1643258476540249', '1': '1274814843876809', '2': '1055597603320478'}",2025-01-13 17:49:28+08:00,2025-02-05 03:59:13+08:00,DEwuV-mTG1t,Yes,Instaloader
