creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 09:30:00+00:00,2025-06-28 05:35:19+00:00,HahaTai 哈哈台,hahatai_official,885580674389102,885580674389102,14,5449.0,182097.0,"新年新氣象！標你的好朋友一起來拍照^_−☆
#哈哈台 #HahaTai #APT #蛇巴拉系",16.76,"{'0': '1576023896976086', '1': '977556334827229', '2': '865970259409468', '3': '1164302029114053', '4': '1439039670999870'}",2025-01-02 17:30:00+08:00,2025-06-28 13:35:19+08:00,DEUXh8FT5iD,Yes,Instaloader
2025-01-02 11:31:42+00:00,2025-03-08 08:16:05+00:00,HahaTai 哈哈台,hahatai_official,1257216526352288,1257216526352288,20,2285.0,142536.0,"板橋車站中的公共藝術裝置到底用途是什麼？它可以用來吃飯嗎？我們找到作者的兒子來解答！

你的地區也有什麼奇聞軼事嗎？歡迎私訊投稿給我們喔！

雙北奇聞軼事大搜查完整版在頻道內🎤

前言貼文來源Threads ：<redacted_mention> 

【本集成員】
企劃、採訪｜蓋瑞 @0901_gary 、傑尼 @janiwants543
企劃｜韓修 @grassboom
業務、旁白｜旁白哥RJ @rueijie
剪接｜Yee @whynograffe
製片統籌｜Karen <redacted_mention>
製片｜憫豪 @minho4933、納豆 @nado_owo
社群｜Lawry @lawrytw、天心 @tiansingu

#哈哈台 #HahaTai #板橋車站 #裝置藝術",72.96,{'0': '865970259409468'},2025-01-02 19:31:42+08:00,2025-03-08 16:16:05+08:00,DEUlUIsqhKF,Yes,Instaloader
2025-01-03 05:00:28+00:00,2025-06-27 00:02:31+00:00,HahaTai 哈哈台,hahatai_official,906476658539301,906476658539301,57,8995.0,470733.0,"獅子林被網傳是台北最陰森的大樓之一，它過去的真相是？牆上有鎮壓符？

雙北奇聞軼事大搜查完整版在頻道內🎤
你的地區也有什麼奇聞軼事嗎？歡迎私訊投稿給我們喔！

【本集成員】
企劃、採訪｜蓋瑞 @0901_gary 、傑尼 @janiwants543
企劃｜韓修 @grassboom
業務、旁白｜旁白哥RJ @rueijie
剪接｜Yee @whynograffe
製片統籌｜Karen <redacted_mention>
製片｜憫豪 @minho4933、納豆 @nado_owo
社群｜Lawry @lawrytw、天心 @tiansingu

#哈哈台 #HahaTai #西門町 #獅子林",67.18,,2025-01-03 13:00:28+08:00,2025-06-27 08:02:31+08:00,DEWdWImBPCw,Yes,Instaloader
2025-01-03 10:31:09+00:00,2025-03-08 08:16:05+00:00,HahaTai 哈哈台,hahatai_official,3919553551678370,3919553551678370,29,3002.0,151925.0,"你也曾在台北街頭看過這個塗鴉嗎？他到底是什麼？甚至有外國人喜歡到刺在身上？

你的地區也有什麼奇聞軼事嗎？歡迎私訊投稿給我們喔！
雙北奇聞軼事大搜查完整版在頻道內🎤

【本集成員】
企劃、採訪｜蓋瑞 @0901_gary 、傑尼 @janiwants543
企劃｜韓修 @grassboom
業務、旁白｜旁白哥RJ @rueijie
剪接｜Yee @whynograffe
製片統籌｜Karen <redacted_mention>
製片｜憫豪 @minho4933、納豆 @nado_owo
社群｜Lawry @lawrytw、天心 @tiansingu

#哈哈台 #HahaTai #大腸王 #塗鴉",77.16,,2025-01-03 18:31:09+08:00,2025-03-08 16:16:05+08:00,DEXDMk8tRES,Yes,Instaloader
2025-01-04 14:01:22+00:00,2025-03-08 08:16:05+00:00,HahaTai 哈哈台,hahatai_official,4132469513669160,4132469513669160,7,1130.0,104158.0,"最新的大腸王寶寶誕生了！！
雙北奇聞軼事大搜查完整版在頻道內🎤
#哈哈台 #HahaTai #大腸王 #塗鴉",78.49,,2025-01-04 22:01:22+08:00,2025-03-08 16:16:05+08:00,DEaABhaC-UM,Yes,Instaloader
2025-01-05 14:01:50+00:00,2025-05-02 20:29:39+00:00,HahaTai 哈哈台,hahatai_official,2172169923529309,2172169923529309,13,2952.0,205482.0,"繼上集東大門派沒人知道的攤家，這次改派主委自己上場以檸檬汁應戰，又是一步險棋啊~
連南機場主委都忍不住....... 說一句❌喝兩杯了✅

📺 《夜市王》 @thekingofnightmarket 播出資訊
🥢 每週六 19:00｜緯來綜合台
🥢 每週日 21:00｜《夜市王》YouTube
🥢 每週日 12:00｜Hami Video
🥢 隔週六 22:00｜台視主頻

#哈哈台 #夜市王 #哈哈台街訪 #夜市 #東大門 #福町本舖檸檬汁",60.5,"{'0': '865970259409468', '1': '1356088419862734', '2': '906942161915534', '3': '1576023896976086', '4': '837082705427487'}",2025-01-05 22:01:50+08:00,2025-05-03 04:29:39+08:00,DEck4pvvNHt,Yes,Instaloader
2025-01-06 04:01:28+00:00,2025-03-08 08:16:05+00:00,HahaTai 哈哈台,hahatai_official,2525797481169172,2525797481169172,6,1148.0,101600.0,"哈哈日記追星那集提到的舞蹈挑戰，說到做到！就是我的舞蹈！

Podcast完整版請上各大收聽平台搜尋 #哈哈日記 

#哈哈台 #HahaTai #哈哈日記 #蔡依林 #Jolin",53.89,"{'0': '1576023896976086', '1': '1164302029114053', '2': '1052194552735096', '3': '837966909279170'}",2025-01-06 12:01:28+08:00,2025-03-08 16:16:05+08:00,DEeE-y8tERw,Yes,Instaloader
2025-01-06 11:25:16+00:00,2025-05-03 02:31:56+00:00,HahaTai 哈哈台,hahatai_official,1624138975436327,1624138975436327,9,2494.0,176220.0,"蚵嗲太脆！太多汁！太好吃啦！ㄏㄏㄏㄏㄏㄏ

📺 《夜市王》 @thekingofnightmarket 播出資訊
🥢 每週六 19:00｜緯來綜合台
🥢 每週日 21:00｜《夜市王》YouTube
🥢 每週日 12:00｜Hami Video
🥢 隔週六 22:00｜台視主頻

 #夜市王 #哈哈台街訪 #夜市 #南機場夜市  #好佳蚵嗲",70.12,"{'0': '1576023896976086', '1': '865970259409468', '2': '1356088419862734', '3': '837082705427487', '4': '906942161915534'}",2025-01-06 19:25:16+08:00,2025-05-03 10:31:56+08:00,DEe3xRhRjS8,Yes,Instaloader
2025-01-07 10:31:07+00:00,2025-11-13 14:10:46+00:00,HahaTai 哈哈台,hahatai_official,905765785436153,905765785436153,74,2463.0,139631.0,"欸媽的多重宇宙。大家互尬演技是要多認真🔥（金馬獎準備了）

德國Emma床墊 @emma.sleep.tw 真的太好躺
我們已決定放在公司不只午休來睡
連加班也能睡了！（嗚嗚）

現在起新年優惠活動最低55折
哈粉可再輸入優惠碼「hahatai10」全品項再9折
購買連結：https://links.emma-sleep.com.tw/ighahatai10 （主頁也有連結喔）
 
#Emma床墊 #喚醒最好的自己 #emma床墊100日試睡 #德國Emma",88.64,"{'0': '1576023896976086', '1': '892936169781353', '2': '977556334827229', '3': '865970259409468', '4': '1964942834451080', '5': '1439039670999870', '6': '1578368249978702'}",2025-01-07 18:31:07+08:00,2025-11-13 22:10:46+08:00,DEhWXF6t3kj,Yes,Instaloader
2025-01-09 11:14:22+00:00,2025-03-08 08:16:05+00:00,HahaTai 哈哈台,hahatai_official,910575861462996,910575861462996,137,6800.0,568591.0,"月薪3萬5住高雄跟4萬3住台北，你選哪個呢？

究極の訪問 - 台北市與高雄市完整版都在哈哈台頻道內

【本集成員】
企劃、採訪｜蓋瑞 @0901_gary 、傑尼 @janiwants543
業務、旁白｜旁白哥RJ @rueijie
剪接｜大妞 <redacted_mention>
製片統籌｜Karen <redacted_mention>
製片｜憫豪 @minho4933、納豆 @nado_owo
社群｜Lawry @lawrytw、天心 @tiansingu

#哈哈台 #HahaTai #台北 #高雄",83.8,"{'0': '1576023896976086', '1': '865970259409468'}",2025-01-09 19:14:22+08:00,2025-03-08 16:16:05+08:00,DEmklD_SXFA,Yes,Instaloader
