creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-06 04:33:58+00:00,2025-07-11 18:51:15+00:00,大H 陳建昕 IFBB PRO,hsin0126,2359936087764578,2359936087764578,145,38623.0,872870.0,"怎麼會有越練越輕的問題？

離我剛開始健身的體重越來越接近了⋯🫣

📹： @chendawei.0105 

#大H #班傑明 #奇幻旅程 #越練越輕 #2025 #必須增一波大的 #IFBBPRO #Natural",63.77,"{'0': '2193405657768247', '1': '520909853773479', '2': '399180612918214', '3': '890614946279072', '4': '2812966202217292'}",2025-01-06 12:33:58+08:00,2025-07-12 02:51:15+08:00,DEeId8MzCU6,Yes,Instaloader
2025-01-10 10:35:38+00:00,2026-01-10 21:31:11+00:00,大H 陳建昕 IFBB PRO,hsin0126,937604105324600,937604105324600,52,8700.0,496730.0,"別急別急～ @phargoods_tw 哥吉拉聯名能量飲正式登場🌋
哥吉拉(1995)紅蓮款熱帶風味vs正宗哥吉拉(2016)款葡萄風味，
給你王者級的能量，即刻飲爆！

現在 @phargoods_tw 春節檔期開跑啦🏃🏻

限量啞鈴禮盒85折
健身三寶 (EPA魚油 +每日B +鎂鈣力) 加贈蛋白爆米花三入(口味各一) ➔ $3,230 (原價$3,800) 
三蛇而力—啞鈴禮盒 (30而力 三盒) 加贈黑皂一入 ➔ $3,600 (原價$4,290)

買就送蛇年刮刮樂
保健品任選兩件88折、四件85折
搭配折扣碼「hhn」直接折上折

📹： <redacted_mention> 

#大H #藥師健生活 #春節大優惠 #哥吉拉 #能量滿分的聯名 #折扣碼hhn",19.67,{'0': '1417213753434583'},2025-01-10 18:35:38+08:00,2026-01-11 05:31:11+08:00,DEpE7ybTpkB,Yes,Instaloader
2025-01-22 05:46:31+00:00,2025-02-16 21:33:37+00:00,大H 陳建昕 IFBB PRO,hsin0126,1295185882457942,1295185882457942,156,8129.0,528697.0,"如果我說我是被逼著拍的

你們信嗎😩

#大H #讓身體知道 #誰才是主人 #身體是主人 #主人妳好",16.67,"{'0': '1109789601213581', '1': 'non_public_1252871333461455', '2': 'non_public_1437161921393197'}",2025-01-22 13:46:31+08:00,2025-02-17 05:33:37+08:00,DFHdpkKzf0M,Yes,Instaloader
2025-01-25 10:28:06+00:00,2025-09-19 02:13:59+00:00,大H 陳建昕 IFBB PRO,hsin0126,1232483891841216,1232483891841216,99,9166.0,485621.0,"你覺得這樣體脂多少？

我只知道現在絕對超過15%

📷： <redacted_mention> 

#大H #過年體脂 #沒有超過15% #不及格 #各自努力 #好嗎 #新年快樂 #發福就是幸福",39.75,,2025-01-25 18:28:06+08:00,2025-09-19 10:13:59+08:00,DFPsDvTzBBA,Yes,Instaloader
2025-02-02 06:34:00+00:00,2025-05-17 08:49:07+00:00,大H 陳建昕 IFBB PRO,hsin0126,1255192116759965,1255192116759965,19,2514.0,285324.0,"88愛輪子，從一顆到四顆

小朋友不可能不玩輪子吧
蛇年來蛇行～蛇年行大運🐍

📹： <redacted_mention> 

#大H #有X我就讚 #X自行填入 #當然是輪 #蛇年就是要蛇行 #蛇年行大運",72.24,"{'0': 'non_public_1564131248192235', '1': '1109789601213581'}",2025-02-02 14:34:00+08:00,2025-05-17 16:49:07+08:00,DFj3KTfTiLB,Yes,Instaloader
2025-02-16 06:21:44+00:00,2025-02-16 21:41:49+00:00,大H 陳建昕 IFBB PRO,hsin0126,1322080119968332,1322080119968332,4,1840.0,288598.0,"讓人一買再買的沙發
不是超漂亮，就是超好坐
再不然就是超好照顧

@aj2concept 三個願望一次滿足

舊家搬到新家，不只空間變大
連每天都要觸摸的沙發也跟著長大了

從奧登斯進化成馬爾默
一樣的柴染咖啡色
一樣的長效防潑水技術
一樣的高科技彈力泡綿
一樣的松木實木的主體結構

不一樣的名字，卻有著一樣的品質

使用了兩年，搬了家
卻搬不走的沙發
不是超好，就是超級好

謝謝 @aj2concept 愛家概念
簡約卻不簡單，每個細節都精細打磨
無論是聊天還是小憩都能感受到溫暖

📹： <redacted_mention> 

#大H #新家開箱 #AJ2 #愛家概念 #不只是一張沙發 #而是家中的一員",30.2,{'0': '26595927396681478'},2025-02-16 14:21:44+08:00,2025-02-17 05:41:49+08:00,DGH5dJuzT2M,Yes,Instaloader
2025-02-22 10:10:13+00:00,2025-09-05 04:19:08+00:00,大H 陳建昕 IFBB PRO,hsin0126,1518904886473074,1518904886473074,154,8236.0,461901.0,"@mars.taiwan 蛋白保久乳？？

沒有別的，只是想讓你走到哪喝到哪

免沖泡、常溫保存，即開即飲最方便
每罐不到180大卡，含有18g優質蛋白質

一律建議箱購，四種口味一次滿足
（巧克力、麥芽、黑糖、抹茶）
單罐$59、4入嚐鮮組$219、24入箱購$1199

📹： <redacted_mention> 

#大H #戰神 #戰神Mars #蛋白保久乳 #即時飲 #走到哪喝到哪 #只是走路有點像掰咖",19.14,{'0': '559291350064871'},2025-02-22 18:10:13+08:00,2025-09-05 12:19:08+08:00,DGXwWrZzrDW,Yes,Instaloader
2025-03-11 09:24:30+00:00,2025-08-31 23:48:06+00:00,大H 陳建昕 IFBB PRO,hsin0126,2018649408698764,2018649408698764,132,10589.0,503032.0,"如果漢堡都是碳水夾蛋白

那肯德基這個新口味，我決定叫它

「堡漢」

這次的肯德基 @kfctaiwan 新推出的「堡漢」
正名叫做「莎莎咔啦肉霸堡」
被譽為肉食控夢幻逸品的肉霸堡，以兩塊酥脆多汁的原塊咔啦雞腿排取代麵包，低碳水又高蛋白的雙層重磅肉感，搭配清爽墨西哥莎莎醬，大口咬下厚實肉感超爆發，雙層雞腿排包覆酥脆薯餅、濃郁起司片、新鮮生菜，一口無法咬定的超級美味
絕對是增肌族群、肉食主義者的神級選擇！
完全針對高蛋白主義做設計
一顆就擁有300g的純肉量
每一口都是真材實料的「肉」
有夠ㄙㄨㄤˇ～

📹： <redacted_mention> 

#大H #肯德基 #KFC #莎莎咔啦肉霸堡 #高蛋白漢堡 #增肌新選擇",37.57,{'0': '1340210631014225'},2025-03-11 17:24:30+08:00,2025-09-01 07:48:06+08:00,DHDcwwiTML3,Yes,Instaloader
2025-03-24 03:40:43+00:00,2025-09-05 10:01:50+00:00,大H 陳建昕 IFBB PRO,hsin0126,784198757583582,784198757583582,73,9400.0,557915.0,"這是一個魔術

據說第一次就能拆穿的人
大機率擁有一個正常人的智商

P.S我老婆真可愛

#大H #變魔術 #智商測驗 #謝謝老婆真情演出 #我還是會一直愛你的",74.28,"{'0': 'non_public_1564131248192235', '1': '1109789601213581'}",2025-03-24 11:40:43+08:00,2025-09-05 18:01:50+08:00,DHkTyKUztOa,Yes,Instaloader
2025-04-08 04:52:51+00:00,2025-09-02 11:31:37+00:00,大H 陳建昕 IFBB PRO,hsin0126,900462299393676,900462299393676,78,4199.0,368394.0,"這是一個有關腳趾骨折還被戳50個洞的故事

#大H #到底是骨折痛 #還是50個洞痛 #矛盾大對決 #終究還是我扛下了一切",71.05,,2025-04-08 12:52:51+08:00,2025-09-02 19:31:37+08:00,DILD7JoTokY,Yes,Instaloader
