creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-24 10:37:35+00:00,2025-02-06 02:25:23+00:00,胡子,huzihuang1989,2178951882636120,2178951882636120,34,2277.0,147621.0,"幸好有秘密武器！💾
KIOXIA EXCERIA PLUS G2 行動固態硬碟，讓我成功避開一場災難！🚀

📂 超快速傳輸，效率滿分
不管是創作還是日常存取，速度快到飛起來！

✨ 讓你的傳輸速度升級，創作更快、更安心！

了解更多鎧俠官方資訊： https://reurl.cc/GXZjYD 
​
個人儲存產品需求：
SSD系列產品(PChome)：https://reurl.cc/mZ4XV1 
SSD系列產品(欣亞數位)：https://reurl.cc/NGLDVk 
隨身碟系列產品(PChome)：https://reurl.cc/vm4Xrk 
記憶卡系列產品(Pchome)：https://reurl.cc/oZ4Xlq ˋ

@kioxia_tw
#鎧俠 #KIOXIA #MemoryMaker #共創記憶 #SSD #NAND #來自日本 #直上鎧俠 #直上KIOXIA",82.5,,2025-01-24 18:37:35+08:00,2025-02-06 10:25:23+08:00,DFNImNyCgO2,Yes,Instaloader
2025-04-02 09:02:12+00:00,2025-04-03 02:57:37+00:00,胡子,huzihuang1989,1286738359976865,1286738359976865,16,1796.0,102067.0,"我的冒險正式啟動！
今天我抽到的第一張MEZASTAR卡匣是冰伊布！
接下來就交給我們一起去打天下了！
想成為寶可夢訓練家？
4月2日起，全台超過 900 個地點都能玩到 Pokémon MEZASTAR！

現在在影片底下留言「好想跟你一起玩Pokémon MEZASTAR」並@一位你想一起玩的朋友，就有機會抽到路卡利歐卡匣喔！ 到4月30日22:00截止！

官網連結：https://www.pokemonmezastar.com.tw/
#PokémonMezastar  #寶可夢明耀之星",103.5,,2025-04-02 17:02:12+08:00,2025-04-03 10:57:37+08:00,DH8DsYsI76w,Yes,Instaloader
2025-05-11 10:02:08+00:00,2025-05-11 12:52:12+00:00,胡子,huzihuang1989,1839349380053219,1839349380053219,16,2232.0,111347.0,"差點真的要失業了...
結果沒想到，轉職的路上，竟然遇到《無盡夢迴》這個奇妙的世界✨

原本準備好當割草工、畫師、外送員、ASMR創作者，
結果現在直接跳進夢境裡，展開全新的冒險！

如果你也正在找出口，或者想換個方式喘口氣，
那就跟我一起來探索這個超展開的世界吧🚀

👉趕快加入：https://dreamzssg.onelink.me/kjYy/nhlcy7mf

#無盡夢迴 #0508正式上線 #未來之夢",65.03,,2025-05-11 18:02:08+08:00,2025-05-11 20:52:12+08:00,DJglme0hwcu,Yes,Instaloader
2025-05-11 13:19:10+00:00,2025-05-12 12:49:14+00:00,胡子,huzihuang1989,1597597884618608,1597597884618608,13,948.0,77433.0,"🛒限時優惠到 5/18！想換鍋趁現在！
📍大古鑄鐵鍋：導熱快、不挑工具、煎魚炒飯都不沾
📍COCO樂炒鍋＋雙雙鍋：煎炒炸燉焗樣樣來，一鍋抵好幾鍋
👉 點這裡直接買：https://gbf.tw/xlhnp

—
大古鑄鐵官網：https://www.taku-art.com/
—
特地跑了一趟鑄鐵鍋的工廠
現場看到整個鑄鐵鍋怎麼做出來的🔥
鐵水澆下去的瞬間真的太帥了！

📺 影片連結：https://youtu.be/aDBf8u6B0Sg
#大古鑄鐵 #鑄鐵鍋 #廚具推薦 #COCO樂炒鍋 #雙雙鍋 #料理",59.8,,2025-05-11 21:19:10+08:00,2025-05-12 20:49:14+08:00,DJg8JWPhibR,Yes,Instaloader
2025-05-14 11:01:24+00:00,2025-08-01 08:46:27+00:00,胡子,huzihuang1989,1441481907331587,1441481907331587,16,1595.0,82387.0,"當你在VR世界跟獅子決鬥，結果輸給了……爛網速？
沒關係， @tplink.taiwan  Deco BE85 Mesh路由器登場，22Gbps Wi-Fi 7讓你快到獅子看不見。

📶 270坪Wi-Fi 7全面覆蓋，從工作室到馬路上，訊號都滿格不說，還能撐住200台設備同時高速連線！想體驗如同子彈一般順暢的網路？
Wi-Fi 7的多重連接模式讓你同時使用多頻段極速飆網，加上320MHz雙倍大頻寬，多人玩遊戲、視訊開會、傳檔案甚至是AR/VR體驗都不會延遲卡頓。

即日起~5/27於TP-Link蝦皮商城，購買Deco BE85 Wi-Fi 7 Mesh路由器(三入組)
輸入折扣碼TPLIHUZI，折扣後只要NT$46,888 (原價NT$48,888)
👉https://lihi.cc/ITXDQ

@tplink.taiwan

#TPLink #WiFi7 #Mesh #路由器",89.83,,2025-05-14 19:01:24+08:00,2025-08-01 16:46:27+08:00,DJoauJDC8xL,Yes,Instaloader
2025-07-11 10:02:40+00:00,2025-08-01 18:32:19+00:00,胡子,huzihuang1989,1651510156025027,1651510156025027,7,575.0,57018.0,"這款《寒霜啟示錄》冰雪手遊直接讓你瞬間降溫❄️
零下40度的極寒生存挑戰，這個夏天來感受一下冷到發抖的快感！

📍 建火爐、釣魚、吸雪、蓋食堂，帶居民一起活下去！
📍 全球同服＋AI翻譯，輕鬆交朋友不怕語言隔閡
📍 新手下載直接送SSR茉莉＋資源大禮包，助你一開始就贏在起跑點

👉 現在就下載《寒霜啟示錄》，讓手遊替你消暑降溫！
👉 [官方FB] https://www.facebook.com/WhiteoutSurvival
👉 [官方下載連結] https://wos.go.link/3jvK0

#寒霜啟示錄 #世界首創冰雪手遊 #whiteoutsurvial",58.5,,2025-07-11 18:02:40+08:00,2025-08-02 02:32:19+08:00,DL9qGaToTMF,Yes,Instaloader
2025-08-14 09:23:21+00:00,2025-08-14 13:23:33+00:00,胡子,huzihuang1989,885595497623455,885595497623455,8,1983.0,89776.0,"這次的夜釣小管雖然什麼都沒釣到，但體驗搭船出海吹海風真的超爽！
活動是在【Tripbaa 趣吧！】報名的～新手也能輕鬆體驗，有專業船長教學＋防水保冷袋贈品！
想玩戶外活動、找在地體驗，就上 Tripbaa 趣吧！
👉 https://www.tripbaa.com/travel/20150601182555isT/

#tripbaa",48.11,,2025-08-14 17:23:21+08:00,2025-08-14 21:23:33+08:00,DNVIsM2o6KT,Yes,Instaloader
2025-08-22 10:03:09+00:00,2025-08-30 04:01:16+00:00,胡子,huzihuang1989,1545045953266724,1545045953266724,54,2440.0,103347.0,"第一次注意到 AUGUR，是在路上看到一組特別的燈——
那是它的星芒定位燈，像是夜裡的指引星，亮得剛剛好，又帶著點神秘感。
那一刻我就想：「哇…這台車有點不一樣。」

助理阿文也騎 AUGUR，每天看著看著，終於忍不住下手啦🔥
外型有型、科技感受，騎起來穩到讓人上癮。
現在我也是 AUGUR 車主了，期待哪天在路上跟你不期而遇

另外好康消息
即日起到 10/31，只要你是 YAMAHA AUGUR 車主，
綁定 LINE＠就能參加《星馭計畫》任務挑戰！
完成任務即可賺取「Ya Point」，還有機會抽 PS5 和 Insta360 等大獎哦！
報名人數有限，趕快來參加吧！

活動期間：2025.08.01-10.31
活動網站：https://www.augurevent2.com.tw

#Yamaha
#YamahaMotor
#RevsyourHeart
#AUGUR星馭計畫
#AUGUR
#智領風潮",89.94,,2025-08-22 18:03:09+08:00,2025-08-30 12:01:16+08:00,DNpzjMQJ2H1,Yes,Instaloader
2025-09-26 09:34:59+00:00,2025-09-28 14:45:04+00:00,胡子,huzihuang1989,912895198383591,912895198383591,64,4086.0,123126.0,"沒想到第一次相親，就遇到神級姊妹！我胡子能通過羅總的挑戰嗎？

Logitech ALTO KEYS K98M 鍵盤隆重登場！
●Gasket結構＋大理石軸，敲擊絲滑省力，辦公、創作都不累
●透明邊框＋呼吸背光，潮感十足，桌面顏值瞬間拉滿
●熱插拔軸體、鍵帽隨心換，輕鬆打造專屬你的風格 
●下載Logi Options+自訂Action Keys，一鍵啟動AI功能贏在起跑點！
●搭配 POP MOUSE，外型圓潤可愛，功能與美感兼具，簡直絕配！

即日起全台Logistore 羅技旗艦館、PCHOME、MOMO、蝦皮、燦坤、良興、三井、原價屋同步發售，在指定通路購買就送 6色繽紛鍵帽 數量有限、送完為止！
購買連結：https://store.logitech.tw/products/k98m?srsltid=AfmBOoqQ4NPlRHFvYjg3DYh6dwiy3kq4VKgr0PzeKsM5nbCe7W1tQ-4Q

#Logitech #gasket #機械鍵盤",114.47,,2025-09-26 17:34:59+08:00,2025-09-28 22:45:04+08:00,DPD4ICTCX0G,Yes,Instaloader
2025-09-30 10:18:29+00:00,2025-10-01 14:38:35+00:00,胡子,huzihuang1989,910088991776915,910088991776915,19,2208.0,52522.0,"原來三十秒就能學會CPR？

「安妮怎麼了？」和台北捷運合作，在 9 月 13 日世界急救日於各大捷運站點舉辦了 閃電 CPR 挑戰，希望透過現場的實際體驗和教學推廣急救知識，讓更多人有機會在心跳停止倒下的第一時間接受CPR的搶救，增加存活機率！

每個人一生中平均會遇到3.48次的緊急事件，其中有許多傷病患只靠救護人員是來不及的，需要身邊的人立即急救，才有機會存活或者康復，為了讓身邊的人遇到緊急狀況時有更多被救助的機會，現在就到安妮怎麼了？網站學習更多急救知識吧：https://www.anne.education/
YouTube頻道：https://www.youtube.com/@anneeducation",147.52,{'0': '1407493633756477'},2025-09-30 18:18:29+08:00,2025-10-01 22:38:35+08:00,DPOQVYZjWob,Yes,Instaloader
2025-12-19 10:02:51+00:00,2025-12-23 11:42:59+00:00,胡子,huzihuang1989,919876200440585,919876200440585,14,1260.0,30314.0,"聖誕禮物還沒有頭緒嗎？選擇今年最新的 NERF 和變形金剛系列就對啦！

NERF 終極模組系列全面模組化設計！槍管、瞄準器、彈匣等配件都能快速拆裝，重點是跨款無限制互搭！共有上千種搭配可能，組出什麼樣的「終極武器」，都由你決定！

全新的變形金剛 CYBERWORLD 系列只要四步驟就能快速變形，大人小孩都能輕鬆上手，而且博派狂派金剛的配件都能互換，打造你的專屬戰士，一起征服無限的賽博世界！

還等什麼？趕快去【全台玩具”反”斗城、百貨公司玩具櫃、蝦皮商城】把它們帶回家！這絕對是今年最有得玩的聖誕禮物！

也可以在這邊線上購買：https://reurl.cc/k8oZyn

@hasbrotaiwan 

＃台灣孩之寶 #NERF #LOADOUT #Transformers #CYBERWORLD",158.87,,2025-12-19 18:02:51+08:00,2025-12-23 19:42:59+08:00,DScOHsZASjz,Yes,Instaloader
