creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-04 10:36:50+00:00,2025-02-13 03:38:32+00:00,鐵牛 Ironbull,ironbullim,1582669643007870,1582669643007870,7,,78221.0,"盛平心血來潮幫爸爸拍照
婷婷第一線指導
只能說 拍得真措手不及呢",13.57,"{'0': '1417631140091143', '1': '2038640243752842'}",2025-01-04 18:36:50+08:00,2025-02-13 11:38:32+08:00,DEZobX7zthW,Yes,Instaloader
2025-01-17 06:13:35+00:00,2025-02-13 03:38:32+00:00,鐵牛 Ironbull,ironbullim,908851535113257,908851535113257,1,,49069.0,"關完大哥關二哥
三國幻戰準備啟動動動動…..
大型機台遊玩 三國經典戰役役役….
玩完再送抽精緻卡牌牌牌牌….
連結手機還有養成武將將將……
一套三連的遊玩combo bobobo…..
蒸蚌1蚌蚌….蚌…

即將於1月18日正式上市市市市….
大型體驗會 1/18~1/19、1/25~1/26
地點：台北地下街Y區 5廣6廣12廣
來現場火拼吧各位 

#三國幻戰 #三國 #地下街",59.42,"{'0': 'non_public_1647049232968959', '1': '762933533073399', '2': '3925446201076704', '3': '1598357264533191'}",2025-01-17 14:13:35+08:00,2025-02-13 11:38:32+08:00,DE6opT4T2jg,Yes,Instaloader
2025-03-10 11:02:08+00:00,2025-09-11 05:17:23+00:00,鐵牛 Ironbull,ironbullim,1193130209318556,1193130209318556,52,,131263.0,"你各位好康來了❗❗
一轉眼我也到了要好好保養身體的階段了
👀適合上班族、健身族、媽咪族~
有在吃魚油的朋友有新的選擇
新的保養朋友-- #南極磷蝦油 

含有磷脂、膽鹼、蝦紅素、Omega-3 四效合一 高速吸收
(他也可以搭配魚油一起共同食用 1+1>2 幫助DHA、EPA更高效吸收) 

💛南極磷蝦油 晶亮水潤配方：以 #葉黃素 與 #玉米黃素 5:1黃金比例💛，搭配磷蝦油營養好吸收。
3C使用者、玩家 手刀來看看限期後康唷!

愛妻模範YouTuber【#鐵牛】真情爆推❤️
好康團購網址👉️https://lihi.cc/WgL2o
⏰鐵牛真情團限時期間：3/10～3/24
❤️第1專屬：全網75折
❤️第2專屬：消費滿額$2,500 ""再"" 輸入優惠碼【ironbull388】還再折 $388❗❗

#南極磷蝦油 #OMEGA3新革命
#健康工程師 #HealthEngineer #南極磷蝦油
#阿克海洋生物 #AkerBiomarine #創新專利 #永續生態
#膽鹼 #磷脂質 #蝦紅素 #健康
#你很勇喔 #教你登大人 #讓我看看 #杰哥不要",75.03,,2025-03-10 19:02:08+08:00,2025-09-11 13:17:23+08:00,DHBDLj_Kt3N,Yes,Instaloader
2025-03-13 11:01:03+00:00,2025-03-13 11:09:39+00:00,鐵牛 Ironbull,ironbullim,784423967547643,784423967547643,14,,61209.0,"這次的獵人規格都在這了❤️
主機板 微星 MPG B650 EDGE WIFI
散熱器 微星 MPG CoreLiquid D360
機殼  微星 MAG PANO 100R PZ 黑
電源  微星 MAG A850GL PCIE5 850W 雙8/金牌
MSI @msigaming_taiwan 
#微星 #msi #魔物獵人機",96.75,,2025-03-13 19:01:03+08:00,2025-03-13 19:09:39+08:00,DHIxcQ-seGS,Yes,Instaloader
2025-04-06 07:39:35+00:00,2025-10-18 15:10:27+00:00,鐵牛 Ironbull,ironbullim,900285759577359,900285759577359,4,,95325.0,"沖繩回來後一直捲我煙
放電逛街剛好碰到新年活動
二話不說直接點一首 
盛平還跑來說爸爸手機
沈浸式捲煙

影片中除了餅乾偽裝麥克風不被接受外
一切都很捲煙
謝謝陳以謙大大的演唱",45.1,"{'0': '1417631140091143', '1': '2038640243752842', '2': '26465543903031841'}",2025-04-06 15:39:35+08:00,2025-10-18 23:10:27+08:00,DIGL95kTTOB,Yes,Instaloader
2025-04-07 10:18:12+00:00,2025-04-07 10:20:52+00:00,鐵牛 Ironbull,ironbullim,1343352834495410,1343352834495410,5,,81618.0,"各位寶可夢訓練家們
我們的大師之路 全新登場
這次還有雙人遊玩模式
可以找親朋好友一起
啪啪啪啪啪啪啪啪啪啪啪啪啪啪

#寶可夢明耀之星 #PokémonMEZASTAR",51.8,"{'0': 'non_public_1647049232968959', '1': '762933533073399', '2': '934007579176759', '3': '3925446201076704'}",2025-04-07 18:18:12+08:00,2025-04-07 18:20:52+08:00,DIJCrXiTcum,Yes,Instaloader
2025-04-08 11:03:36+00:00,2025-04-30 14:44:08+00:00,鐵牛 Ironbull,ironbullim,1451322636785759,1451322636785759,17,,87216.0,"各個育兒家庭單位注意！
我偉大的《磁力片王》請我帶話 
跟各位分享 磁力片有多好玩

可以跟自己的王一起遊玩磁力片
我備感榮幸

團購優惠限定時間：2025.04/8 00:00 ~ 04/13 23:59
MNTL磁力片網址：https://www.mntltw.com/pages/promote-page-jinbe/?sl-ref=mntljinbe

鐵爸爸優惠碼：mntljinbe (全英文小寫)",30.17,"{'0': '1417631140091143', '1': '1286576036831247'}",2025-04-08 19:03:36+08:00,2025-04-30 22:44:08+08:00,DILuLy1zd-t,Yes,Instaloader
2025-05-03 07:21:05+00:00,2025-05-29 15:44:50+00:00,鐵牛 Ironbull,ironbullim,1626119015482324,1626119015482324,53,,91455.0,"三倍杰哥 桃園三杰液
有沒有男男四字成語
勉為騎男 接下去 
婷婷不要看",29.19,"{'0': '1586123892577416', '1': '2038640243752842', '2': '2902304436602628', '3': '1575807403854673'}",2025-05-03 15:21:05+08:00,2025-05-29 23:44:50+08:00,DJLr6NZTr3U,Yes,Instaloader
2025-05-09 10:01:54+00:00,2025-09-08 11:16:06+00:00,鐵牛 Ironbull,ironbullim,1463268575430923,1463268575430923,6,,52661.0,"注意！你在座各位《Garena® 三角洲行動》來了
全新戰術射擊遊戲
經典還原戰鬥體驗 一比一復刻地圖
電影級三角洲行動流程
第一人稱視角 讓你遊玩感受擬真的戰場
跟朋友組隊一起真的很爽
等你各位來加入我們

鐵牛探員下載連結 : 
https://garenadeltaforce.onelink.me/tza6/IronBull",53.21,,2025-05-09 18:01:54+08:00,2025-09-08 19:16:06+08:00,DJbb_bqPtmq,Yes,Instaloader
2025-05-10 10:01:30+00:00,2025-05-10 18:32:28+00:00,鐵牛 Ironbull,ironbullim,26219207654376300,26219207654376298,3,,52675.0,"呀～～～～～～一夫當關 
三國幻戰 第2彈於5/8參上
新增了5位武將5個專屬技能
傳說寵物卡赤兔馬也來了Damn

底下留言你最喜歡的三國幻戰角色
我就怒抽一位玩家送
孫策大喬CP卡(5/15號截止)",49.92,,2025-05-10 18:01:30+08:00,2025-05-11 02:32:28+08:00,DJeAvb8sGtm,Yes,Instaloader
2025-05-19 09:07:28+00:00,2025-08-06 14:31:34+00:00,鐵牛 Ironbull,ironbullim,1487176576161260,1487176576161260,32,,268708.0,"鐵牛婷婷帶你們玩爆關西
吃和牛、看夜景、爽泡湯、穿和服、大阪萬國博覽會 大滿足！

【東南旅遊 X 鐵牛婷婷粉絲 獨家優惠🔥】
📍即日起至2025/11/17前，購買同款行程：https://settour.tw/7kku2u 
結帳輸入專屬折扣碼【IBTT3000】即可享每單現折3,000元！

#東南旅遊 #東南旅行社 #日本旅遊找東南 
#大阪萬博 #日本關西旅遊",32.88,"{'0': '1143574337769744', '1': '2038640243752842'}",2025-05-19 17:07:28+08:00,2025-08-06 22:31:34+08:00,DJ1E2hhTa7F,Yes,Instaloader
