creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 10:37:19+00:00,2025-02-14 03:53:49+00:00,日本失心瘋俱樂部,japanuts,1979191319301160,1979191319301160,12,1253.0,256118.0,"這太酷了😃
現在Google搜尋🔍 #魷魚遊戲 
就可以線上玩 #一二三木頭人 
各語言輸入都可以喔，大家快去玩玩看

#SquidGame #오징어게임 #google #netflix #googlegame #イカゲーム #グーグル",15.67,,2025-01-01 18:37:19+08:00,2025-02-14 11:53:49+08:00,DER5idQpwy3,Yes,Instaloader
2025-01-01 14:42:37+00:00,2025-02-14 03:53:49+00:00,日本失心瘋俱樂部,japanuts,25684821857867040,25684821857867040,86,4361.0,771554.0,"觀察日本人的習慣
好像真的就是這樣耶
你們看到的也是嗎？",22.17,,2025-01-01 22:42:37+08:00,2025-02-14 11:53:49+08:00,DESWIgfz-cH,Yes,Instaloader
2025-01-02 14:16:22+00:00,2025-02-14 03:53:49+00:00,日本失心瘋俱樂部,japanuts,1442991390636090,1442991390636090,16,2362.0,330427.0,"第4款請閉眼入！超級好吃🤤
回國前在羽田機場最後血拼
不知道該買什麼伴手禮回來送人的話
快把這篇收藏起來！！！

馬上傳給要去東京的朋友❤️
想看更多日本旅遊資訊► @japanuts

@kamakuragoro_jp @nycsand_official 
@tokyo_lemonche_official @hatada_official
#food失心瘋 #羽田機場 #東京伴手禮 #日本伴手禮推薦 #日本伴手禮 #羽田空港 #日本購物 #東京自由行 #B編",40.61,,2025-01-02 22:16:22+08:00,2025-02-14 11:53:49+08:00,DEU4IfMzwUb,Yes,Instaloader
2025-01-03 14:19:38+00:00,2025-07-06 04:07:24+00:00,日本失心瘋俱樂部,japanuts,1492423525649783,1492423525649783,17,3910.0,451483.0,"湯咖哩大好き 
去北海道一定要吃湯咖哩

說實話，以前我不懂湯咖哩的美味
總覺得咖哩就是要吃濃濃稠稠的才對
所以對於北海道的湯咖哩一直沒有感覺
直到今年在朋友推薦下第一次嚐試
才一整個掉入湯咖哩的靈魂領域無法自拔

「怎麼會這麼好吃呢？」😍
這是我第一次吃完後的唯一心得
雖然咖哩變得湯湯水水的
但卻完全不影響它的美味程度
大大打臉我認為它會淡而無味的想法
咖哩湯非常濃郁但卻不會膩口，真的很讚
裡面的蔬菜也是一絕，搭配起來好吃極了
更不用說軟嫩到一夾就化開的雞腿肉
吼～ 想到我就開始分泌口水了...

最近幾次只要有機會去札幌出差
我就把握機會跑去吃湯咖哩
目前吃到不錯的三家，推薦給你們

－．－．－．－．－．－
1. #奧芝商店 
2. #SOULSTORE (#ソウルストア) 
3. #RAMAI (#ラマイ)
－．－．－．－．－．－

👉「奧芝商店 実家 」@okushibashouten
Google：4.0顆星（744則評論）
身邊朋友最多好評的湯咖哩名店
以蝦湯底熬製咖哩聞名，湯頭帶有濃濃蝦味
不過湯底其實有三種選擇，不吃蝦的也ＯＫ
蝦湯底、雞湯底、牡蠣湯底，我愛蝦湯
奧芝商店的蝦湯湯底味道很濃郁
搭配著蔬菜和雞腿一起吃，很快會吃光光
雖然濃郁但不會覺得油膩，非常好吃
下次我要試試牡蠣湯底，再分享給你們

👉「SOUL STORE」@soulstore_official
Google：4.4顆星（775則評論）
完全採用當季盛產的北海道蔬菜
湯底是用兩種湯均勻混合而成
一是以雞肉為基礎，加入蔬果和豬肉熬製
二是以海鮮為主，加入鰹魚、昆布、蛤蜊熬煮
湯頭既清爽又有深度，口感溫和且細緻
我吃的是雞肉蔬菜咖哩，湯頭是奶白色的
喝起來是溫和的辣味，不會嗆口，很舒服
他們家的特色是都會有一根炸牛蒡，口感層次豐富

👉「RAMAI」
Google：4.4顆星（2078則評論）
這家店是我第一間吃的湯咖哩
也可以說是拜他所賜讓我愛上湯咖哩
不過，這間店很特別，店舖比餐點更吸睛
從一開始在店門口，完全不覺得是一間餐廳
走進來後更是被超濃厚的峇里島風情嚇到
不說真的會以為這是一間按摩的營業場所
餐廳內空間很大，隔成多個開放包廂的感覺
湯咖哩辣度分很多等級，我平時小辣吃到３差不多
辣度可以無限追加，聽說很多韓國人喜歡來這間
店舖本身距離車站比較遠，要走一段路才能到

#日本 #北海道 #札幌 #湯咖哩 #スープカレー #sapporo #hokkaido #札幌グルメ #サッポロ #カレー #スープカレー札幌",32.97,,2025-01-03 22:19:38+08:00,2025-07-06 12:07:24+08:00,DEXcme7TswN,Yes,Instaloader
2025-01-04 14:12:17+00:00,2025-06-15 07:48:22+00:00,日本失心瘋俱樂部,japanuts,2291608051374645,2291608051374645,1,663.0,144334.0,"乾肌快看過來！
這三款美妝品分享給你們😍
全都只有 #北海道 才買得到喔！

①登別溫泉OV9面膜
這款「黑面膜」裡含有登別地獄谷的九種泉水精華
精華液給蠻多的，保濕效果不錯！
沒有添加酒精跟香精
而且清爽不黏膩，我很喜歡💓

②白雪美精 北海道馬油保濕護唇膏
再來是來自北海道的品牌
護唇膏裡添加了 #馬油 成分
薄擦一層滋潤度就不錯！
單擦在唇上會呈現有點水亮的光澤感

③曼秀雷敦 高保濕護手霜
這條護手霜是 #北海道限定
真的超潤膚！非常適合那邊的天氣👏🏻
而且在攝氏-20度的環境下也不會結凍！
我覺得很好吸收，不會太過油膩
擦完後指緣的乾裂處非常滋潤

剛好現在冬天
如果肌膚、嘴唇較容易乾裂的人
可以參考看看這幾款商品喔！😘

 #北海道 #日本美妝 #登別溫泉面膜 #白雪美精 #馬油 #護唇膏 #曼秀雷敦 #護手霜 #瑤編",38.08,,2025-01-04 22:12:17+08:00,2025-06-15 15:48:22+08:00,DEaBRHlT7R-,Yes,Instaloader
2025-01-05 14:33:38+00:00,2025-02-14 03:53:49+00:00,日本失心瘋俱樂部,japanuts,1671550557357595,1671550557357595,22,2661.0,385239.0,"不知道會賣到什麼時候！
去日本有看到快買🤤

立刻傳給要去東京的朋友💗
想看更多日本旅遊資訊► @japanuts

@3coins_official #スリーコインズ #3coins #日本零食 #日本必買 #日本伴手禮 #日本自由行 #B編",74.07,,2025-01-05 22:33:38+08:00,2025-02-14 11:53:49+08:00,DEcodjnzzAn,Yes,Instaloader
2025-01-06 14:20:38+00:00,2025-02-14 03:53:49+00:00,日本失心瘋俱樂部,japanuts,910449531838438,910449531838438,36,2177.0,213695.0,"誰說沖繩一定要自駕才能玩的盡興！
這次自己去了一趟那霸
雖然不會開車
但還是很想到北部的景點看看🥹
尤其是 #美麗海水族館！
所以我直接報名了 KKday 沖繩北部一日遊
一整天下來覺得很是不錯🤩

我選的行程總時長約為11小時，共停4站
第一站、萬座毛
第二站、古宇利海灘
第三站、美麗海水族館
第四站、美國村

其中的重點當然就是水族館啦！
除了到本館內看鯨鯊與鬼蝠魟共游的 #黑潮之海
每日 11:30 / 13:00 / 15:00 #海豚劇場 也會有表演
非常之精彩！！
可以提早5-10分鐘去選個好位子喔✨

我覺得整體行程豐富，也不會感到匆忙
北部想踩點拍照的地方也都包含了
各點停留的時間都算是很剛好👌🏻
還有三個上下車點，可以依照個人安排做選擇
非常適合帶小孩、長輩短暫遊沖繩的家庭
或是像我一樣獨旅、不會開車的人

推薦給之後要去沖繩玩的朋友❤️
想知道更多資訊，歡迎在底下留言！
我會把相關資訊傳給你唷🥰

想看更多日本旅遊資訊►追蹤 @japanuts

 #okinawa #沖繩 #不自駕 #北部一日遊 #日本自由行 #美麗海水族館 #美國村 #古宇利島 #萬座毛 #瑤編",43.77,,2025-01-06 22:20:38+08:00,2025-02-14 11:53:49+08:00,DEfLoXITOwX,Yes,Instaloader
2025-01-07 14:01:20+00:00,2025-08-24 18:51:48+00:00,日本失心瘋俱樂部,japanuts,1391864595588664,1391864595588664,14,915.0,153339.0,"在日本也可以打包？！
最近滿多新聞報導過的
大家覺得如何呢？",26.42,,2025-01-07 22:01:20+08:00,2025-08-25 02:51:48+08:00,DEhuP1RT12B,Yes,Instaloader
2025-01-08 14:02:06+00:00,2025-08-28 05:03:03+00:00,日本失心瘋俱樂部,japanuts,2104025987020063,2104025987020063,2,659.0,117847.0,"快筆記！倉敷這間餐酒館的氣氛跟食物都好棒😍
#旧本藤邸 是由古民家改建而成的
建築物外觀跟餐廳內裝潢都很有日式風格
特別的是，裡面賣的不是日式料理，而是 #義式 喔！

我這次點的是套餐，前菜到甜點總共5道
一人份才日幣 3,500，就可以吃超級飽
他們家招牌的自家製麵，Ｑ度跟香氣都相當不錯💗
有來的話，務必要試試義大利麵🥰

對了，這邊還有提供酒水喝到飽的方案唷
用餐期間可以盡情加點酒類、軟性飲料
配餐喝非常享受！！！
我覺得很適合家族聚餐或是跟大批朋友一起來
餐廳位置就在倉敷老街附近
走路一下子就到了，推薦給你們❤️

📍古民家バル 旧本藤邸 
地址：岡山県倉敷市鶴形1-2-20

想看更多日本旅遊資訊► @japanuts

@hondoutei
#food失心瘋 #日本美食 #日本岡山 #岡山 #倉敷美食 #倉敷餐廳 #岡山餐廳 #岡山旅遊 #岡山景點 #倉敷老街 #B編",34.94,,2025-01-08 22:02:06+08:00,2025-08-28 13:03:03+08:00,DEkTSQPzt-s,Yes,Instaloader
2025-01-09 14:24:59+00:00,2025-09-20 17:53:08+00:00,日本失心瘋俱樂部,japanuts,1480874040379372,1480874040379372,13,1178.0,166906.0,"日本冬季限定巧克力又來啦!!!!!!!
這次 Ghana 超厲害...
我最推榛果口味，不藏私分享給你們🤤
它超大一顆，外層是松露巧克力
吃下去很紮實，每口都吃得到堅果❤️‍🔥
吃完一包我馬上想再來開一包啦！

快傳給愛巧克力的朋朋
想看更多日本旅遊資訊► @japanuts

#food失心瘋 #日本超商 #日本超市 #日本伴手禮 #巧克力 #冬季限定 #チョコレート #日本巧克力 #明治 #LOTTE #蛋編",54.22,,2025-01-09 22:24:59+08:00,2025-09-21 01:53:08+08:00,DEm6XL1zUvd,Yes,Instaloader
