creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 07:07:54+00:00,2025-07-12 00:54:42+00:00,張廉傑 RJ / 阿傑,jaychang0127,926572050040392,926572050040392,662,193161.0,1919814.0,看起來是要騎車到歐洲,11.37,,2025-01-02 15:07:54+08:00,2025-07-12 08:54:42+08:00,DEUG6y2Rb0i,Yes,Instaloader
2025-01-04 13:07:47+00:00,2025-02-13 01:47:41+00:00,張廉傑 RJ / 阿傑,jaychang0127,2381461258941842,2381461258941842,50,12383.0,293505.0,"科教館有泰坦恐龍展，恐龍迷會瘋掉🥹
光是超逼真暴龍就值回票價了我😭 
其他常設展還免費逛，佛！",90.0,,2025-01-04 21:07:47+08:00,2025-02-13 09:47:41+08:00,DEZ54XIPqhJ,Yes,Instaloader
2025-01-07 10:44:37+00:00,2025-04-05 09:44:23+00:00,張廉傑 RJ / 阿傑,jaychang0127,905762655963737,905762655963737,13,2770.0,151863.0,"親愛的，我把銀幕變寬了！🤯
秀泰影城獨家引進ScreenX多銀幕投影技術，
直接三個銀幕看電影超震撼，有機會真的可以試一試啊！！！！！💪💪💪
目前全台設有ScreenX的秀泰影城：台北欣欣、新北樹林、台中文心、台中站前、嘉義、高雄夢時代、高雄岡山 
#秀泰影城 #ScreenX #新開幕",90.03,,2025-01-07 18:44:37+08:00,2025-04-05 17:44:23+08:00,DEhX1LsPryl,Yes,Instaloader
2025-01-08 12:13:38+00:00,2025-09-08 20:31:37+00:00,張廉傑 RJ / 阿傑,jaychang0127,1444650487031793,1444650487031793,20,3720.0,138180.0,"膽大黨一番賞，全都給厄卡倫帥🥺

#一番くじ 
#dandadan",65.46,,2025-01-08 20:13:38+08:00,2025-09-09 04:31:37+08:00,DEkGzzNvKXe,Yes,Instaloader
2025-01-10 14:40:34+00:00,2025-07-12 04:01:18+00:00,張廉傑 RJ / 阿傑,jaychang0127,1540189297195926,1540189297195926,163,12722.0,313016.0,男人就是要去逛小魔女DoReMi,87.4,,2025-01-10 22:40:34+08:00,2025-07-12 12:01:18+08:00,DEphK2AP1Mt,Yes,Instaloader
2025-01-13 08:32:03+00:00,2025-02-13 01:47:41+00:00,張廉傑 RJ / 阿傑,jaychang0127,672498875889066,672498875889066,7,3066.0,145252.0,"聽說特展王蟲好像快沒了！快衝啊😭
這次是animage雜誌+吉卜力展，資訊非常龐大
建議聽語音導覽邊看，很讚。
內容物是博物館等級了，
animage雜誌台灣比較少共鳴，但吉卜力的專區
尤其是風之谷的展區是非常有誠意的，推推。
周邊免費逛的樣子，一堆日本限定，賺爛。",79.88,,2025-01-13 16:32:03+08:00,2025-02-13 09:47:41+08:00,DEwkyICRc4R,Yes,Instaloader
2025-01-14 13:39:57+00:00,2025-08-03 06:28:56+00:00,張廉傑 RJ / 阿傑,jaychang0127,25949762658046688,25949762658046692,83,8034.0,270047.0,"難得看到彰化田尾的食材在超商出現，結果…
一生相信的執著，一秒就崩落🥲",43.17,,2025-01-14 21:39:57+08:00,2025-08-03 14:28:56+08:00,DEztPm4PjET,Yes,Instaloader
2025-01-18 11:06:02+00:00,2026-02-06 14:35:14+00:00,張廉傑 RJ / 阿傑,jaychang0127,2162244130975792,2162244130975792,11,1432.0,162104.0,"可以想像接下來超商瘋玩的情況 (咖咖咖咖!)
💥SEGA三國幻戰💥即將上線，
繼寶可夢加傲樂之後又一大型機台進駐，最多兩人玩
實際玩過很像吞食天地3D地圖版的合作過關玩法
蠻吃操作的，但是只要命在就可以一直玩一直爽不限關卡。
續命等於買一張卡這樣，打到BOSS不知不覺的課了一單，
卡也越來越豐富強大卡片綁帳號養成這點蠻方便的，
只要有卡隨時都可以支援加戰場，
可以蹲在百貨當戰力課長大哥哥XDD
機台將於1月18日上市、身上有零錢就可以來一場!

官方網站：https://h5hk.wahlap.net
SEGA Taiwan官方LINE：https://reurl.cc/V04xV6
SEGA Taiwan卡片遊戲：https://www.facebook.com/SegaTaiwan.CardGame
更多SEGA Taiwan卡片遊戲相關連結：https://linktr.ee/segataiwan",82.5,,2025-01-18 19:06:02+08:00,2026-02-06 22:35:14+08:00,DE9uEluvj-Q,Yes,Instaloader
2025-01-20 13:48:51+00:00,2025-10-22 17:08:14+00:00,張廉傑 RJ / 阿傑,jaychang0127,1280240430633695,1280240430633695,142,22646.0,508864.0,"獵人的快樂❤️還好有轉第二顆🎵

#hunterxhunter",82.78,,2025-01-20 21:48:51+08:00,2025-10-23 01:08:14+08:00,DFDLS30P-uP,Yes,Instaloader
2025-01-23 11:44:27+00:00,2025-02-13 01:47:41+00:00,張廉傑 RJ / 阿傑,jaychang0127,1430542582038346,1430542582038346,20,2350.0,169295.0,出門看到幾隻迅猛龍我整個hold住， 各位不要害怕,14.77,,2025-01-23 19:44:27+08:00,2025-02-13 09:47:41+08:00,DFKrA4ZPXFF,Yes,Instaloader
2025-01-24 10:38:48+00:00,2025-02-21 13:37:23+00:00,張廉傑 RJ / 阿傑,jaychang0127,2333539903794307,2333539903794307,260,37995.0,897201.0,"無雙玩到快開啟某個開關🤣
根本東漢末年戀愛養成😳

#三国無双  #三國無雙",89.93,,2025-01-24 18:38:48+08:00,2025-02-21 21:37:23+08:00,DFNH1sAPRsF,Yes,Instaloader
