creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 09:00:37+00:00,2025-12-01 22:22:52+00:00,賤葆ʕ•ᴥ•ʔ✨,jbao_5000,1430724971828313,1430724971828313,209,98867.0,3234009.0,"新的一年，新的性向
今天是2025年的第一天
歡迎收看第一屆YT直Gay王大賽😘

特別感謝 @da_n__1101 授權直Gay王的企劃🫶",62.9,"{'0': '7886973057990016', '1': '424222770300949'}",2025-01-01 17:00:37+08:00,2025-12-02 06:22:52+08:00,DERtYdjSPW0,Yes,Instaloader
2025-01-02 09:41:07+00:00,2026-02-26 00:01:35+00:00,賤葆ʕ•ᴥ•ʔ✨,jbao_5000,4524133314539496,4524133314539496,185,32859.0,1709270.0,"《第一屆YT直Gay王大賽》
第二戰 @peeta.gege VS @rayduenglish",56.9,{'0': '424222770300949'},2025-01-02 17:41:07+08:00,2026-02-26 08:01:35+08:00,DEUXzOWypp-,Yes,Instaloader
2025-01-03 09:45:22+00:00,2025-07-24 16:12:30+00:00,賤葆ʕ•ᴥ•ʔ✨,jbao_5000,956854463581477,956854463581477,233,37126.0,1870846.0,"《第一屆YT直Gay王大賽》
第三戰 @jbao_5000 VS @ilee0223 
第四戰 @peeta.gege VS @onionman__",81.99,"{'0': '7886973057990016', '1': '2228706500996545'}",2025-01-03 17:45:22+08:00,2025-07-25 00:12:30+08:00,DEW9aUQyY92,Yes,Instaloader
2025-01-04 10:18:17+00:00,2025-08-28 10:12:24+00:00,賤葆ʕ•ᴥ•ʔ✨,jbao_5000,899428076337523,899428076337523,340,42369.0,1602736.0,"🔥第一屆YT直Gay王大賽🔥
最終戰 @peeta.gege VS @jbao_5000",64.7,,2025-01-04 18:18:17+08:00,2025-08-28 18:12:24+08:00,DEZmffySC5_,Yes,Instaloader
2025-02-20 10:01:22+00:00,2025-08-02 06:20:12+00:00,賤葆ʕ•ᴥ•ʔ✨,jbao_5000,892305953691992,892305953691992,181,28394.0,1588258.0,"身為台中人，我從小就知道，台中的早餐有一種不成文的規則——不管你是吃蛋餅、炒麵、蘿蔔糕還是水煎包，桌上那瓶東泉辣椒醬，一定要在場！

不然，那頓早餐根本不能算數！

東泉，是台中人味覺的初戀，是餐桌上的王者，是我們從出生到長大的血液記憶。

小時候，早餐店阿伯教了我一種「高端吃法」：「把東泉辣椒醬當飲料喝！」

虧賊！太霸道了！我有樣學樣，拿個塑膠碗，倒進一大碗東泉辣椒醬，再用饅頭蘸著吃，爽到炸裂，辣到眼淚橫流，卻心甘情願。

「早餐要加東泉！」這是刻進基因裡的信仰，不可質疑，不容更改！

——直到某一天，我坐在早餐店，倒辣椒醬的手，突然，抖了一下。

我不敢相信，我竟然猶豫了？

「欸欸，太鹹了啦！」

這句話不知從何時開始，變成了我內心的一道回音，時不時在早餐時刻響起。

我忽然理解了。

「X的，我老了？」

不，不可能！這不可能！我才29歲！我的靈魂明明還是個每天能吃兩碗麻辣鍋的少年！

可是我的腎臟跟血壓，似乎不認同這個說法。

「你還能這樣吃多久？」
「再這樣下去，你頂多再活個十年。」
「真的不能換個方式吃早餐嗎？」

這些討人厭的聲音，在我腦袋裡盤旋不去，就像卡在牙縫裡的青菜，舌頭勾不到，手又不好意思挖，讓人心煩意亂....

然後，它出現了。

「試試這個，OATSIDE燕麥植物奶，搭早餐還不錯。」

北部來的朋友，語氣平靜地遞給我一瓶不該存在於台中早餐桌上的東西。

我皺眉：「這什麼東西？你要我用這個，取代東泉？你瘋了？」

他聳聳肩：「你可以試試。」

不，我不能！這是背叛！這是屈辱！這是台中人一生的敵人「淡而無味！」

可是，我的手，卻不由自主地接過了那瓶燕麥奶。

然後，我做了這輩子最瘋狂、最背叛、最顛覆自我的舉動——

我在早餐店，咬了一口蘿蔔糕，然後，喝了一口燕麥奶。

「喔喔喔喔喔喔！！！！」

我腦袋炸了！

這是什麼組合？！這是什麼巫術？！

燕麥奶的濃醇，竟然意外地把蘿蔔糕的鹹香包裹住！那股天然微甜的口感，像是一場溫柔的晨霧，撫平了我對東泉的依賴。

不僅如此，這玩意居然還零乳糖？！

適合乳糖不耐症的人！素食者也能喝！

「這……這不可能。」我喃喃自語，眼神空洞。

不對，這不只是可能，這TM根本是新的早餐革命！！！！

原來，台中人的早餐，除了嗆辣，還可以這麼溫潤！
原來，我以為的堅持，不過是因為沒發現更適合的東西！

那一刻，我明白了。

這不是背叛，而是進化。

我站起來，把手上的燕麥奶一飲而盡。

再見了，我的青春辣椒醬。
你好啊，我的OATSIDE燕麥奶。

即日起-3/4，OATSIDE口袋瓶原味燕麥奶第二件5折，可可口味有組合餐優惠，
現在就到7-11買起來！

@oatside_tw 
#OATSIDE #OATSIDE早餐計劃 #OATSIDE燕麥奶 #燕麥奶 #口袋瓶 #711 #7eleven",214.9,{'0': '4330383540575685'},2025-02-20 18:01:22+08:00,2025-08-02 14:20:12+08:00,DGSlnxUSrgY,Yes,Instaloader
2025-04-23 10:09:23+00:00,2025-08-02 00:25:47+00:00,賤葆ʕ•ᴥ•ʔ✨,jbao_5000,1307528531215756,1307528531215756,231,28152.0,1308968.0,"玩的就是一個心跳！！！
———————
哥開的不是車，哥開的是初號機

在《巔峰極速》裡，我不只是駕駛
我是同步率破表和EVA合為一體的命運選民

真嗣、明日香、綾波零，全部可以獲得
但我只要明日香，因為我是傲嬌控！

這次聯動，把 EVA 開成車了——
初號機化身 Nissan SKYLINE GT-R (R34)
貳號機成為 Alfa Romeo Giulia Quadrifoglio
零號機變成了 Alfa Romeo 4C Spider
讓每一場比賽都像是在拯救世界

你會在東京賽道看到巨大零號機、使徒襲來、同步率進度條
你以為你在飆車
但其實你正開進 EVA 的世界，跟著他們一起並肩作戰！

現在，打開《巔峰極速》領取200抽福利
完成任務還能免費拿到葛城美里
再送你虛寶序號：yy7phqdarp

#巔峰極速 #racingmaster #EVA #新世紀福音戰士 #明日香 #綾波零 #碇真嗣 #葛城美里 #初號機 #零號機 #二號機 #R34 #alfaromeogiulia",336.0,,2025-04-23 18:09:23+08:00,2025-08-02 08:25:47+08:00,DIyPrtMyJDL,Yes,Instaloader
2025-04-30 10:21:29+00:00,2025-08-06 10:13:51+00:00,賤葆ʕ•ᴥ•ʔ✨,jbao_5000,757619883826443,757619883826443,203,22033.0,1676218.0,"Don't touch me, OK??",16.57,,2025-04-30 18:21:29+08:00,2025-08-06 18:13:51+08:00,DJESOsfy2Fa,Yes,Instaloader
2025-05-24 11:30:49+00:00,2025-08-06 20:16:36+00:00,賤葆ʕ•ᴥ•ʔ✨,jbao_5000,1928525868030152,1928525868030152,1096,223542.0,5125898.0,別等下集啊～給我講完啊！！！！！🤯🤯🤯,33.48,"{'0': '2084067198624345', '1': '1346483052990437'}",2025-05-24 19:30:49+08:00,2025-08-07 04:16:36+08:00,DKCNqsSSEO6,Yes,Instaloader
2025-05-25 10:01:21+00:00,2025-08-03 14:58:51+00:00,賤葆ʕ•ᴥ•ʔ✨,jbao_5000,2442795836179210,2442795836179210,111,20262.0,882579.0,"札男進化史

📣《英雄聯盟》全新限時模式【究極亂鬥】已經上線啦！

🔥5v5單一路線、每場20分鐘
🎯不用搶物件、新手友好、直接開打！
⚔️策略？不用！！！爽度？爆表！！！

你最愛的英雄，在這裡可以亂鬥到爽。
快揪你的戰友，一起登入遊戲打到天亮吧！
https://reurl.cc/8DRavM

@leagueoflegendstw 
#英雄聯盟 #究極亂鬥",78.87,,2025-05-25 18:01:21+08:00,2025-08-03 22:58:51+08:00,DKEobnayZ65,Yes,Instaloader
2025-06-08 11:09:44+00:00,2025-09-05 02:58:00+00:00,賤葆ʕ•ᴥ•ʔ✨,jbao_5000,1965587414343564,1965587414343564,89,18061.0,771261.0,男孩子出門在外要懂得保護自己😢,23.87,,2025-06-08 19:09:44+08:00,2025-09-05 10:58:00+08:00,DKozg4aSqaF,Yes,Instaloader
