creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-04 14:01:04+00:00,2025-05-01 14:53:55+00:00,咪妃（榴槤姊姊）,juliamisakii,1973682180231223,1973682180231223,33,,119848.0,"但是小恩好像比較喜歡Elsa😂😂⋯⋯
安娜衣服比較好做啦嗚嗚嗚嗚嗚嗚😭

#當你媽是coser #親子 #母女 #寶寶日常 #母女日常 #寶寶成長日記 #寶寶日記 #兩歲 #cosplay",36.55,{'0': '1532744491355938'},2025-01-04 22:01:04+08:00,2025-05-01 22:53:55+08:00,DEZ_3p9PI7a,Yes,Instaloader
2025-01-06 11:58:21+00:00,2025-05-02 12:57:56+00:00,咪妃（榴槤姊姊）,juliamisakii,1960794384544497,1960794384544497,47,,124156.0,"你們還有哪些媽媽口頭禪在留言分享吧😂

#親子 #母女 #寶寶日常 #母女日常 #寶寶成長日記 #寶寶日記 #兩歲",14.73,{'0': '1532744491355938'},2025-01-06 19:58:21+08:00,2025-05-02 20:57:56+08:00,DEe7d9ov-BP,Yes,Instaloader
2025-01-08 11:25:14+00:00,2025-04-29 07:22:25+00:00,咪妃（榴槤姊姊）,juliamisakii,1880360852840672,1880360852840672,10,,127849.0,"有夠不按常理出牌😂😂😂！！！！
真的快笑死😆
#親子 #母女 #寶寶日常 #母女日常 #寶寶成長日記 #寶寶日記 #兩歲 #cosplay #cos #變裝 #奧特曼 #elsa #閃電麥坤 #瑪莎與熊",42.82,{'0': '1532744491355938'},2025-01-08 19:25:14+08:00,2025-04-29 15:22:25+08:00,DEkBL_SP-ID,Yes,Instaloader
2025-01-11 08:29:18+00:00,2025-05-02 06:29:07+00:00,咪妃（榴槤姊姊）,juliamisakii,1447544229980877,1447544229980877,64,,286642.0,"恩….對啊（？）
我自己覺得，如果一個人公布喜訊就恭喜當下的事情就好！
就算是單純自己想懷孕生子，以她的經濟能力和資源都能有辦法讓她的孩子生活的很好👍

#鬼鬼吳映潔 #懷孕",9.61,{'0': '1532744491355938'},2025-01-11 16:29:18+08:00,2025-05-02 14:29:07+08:00,DErbRlwvJya,Yes,Instaloader
2025-01-13 11:00:00+00:00,2025-01-14 09:00:31+00:00,咪妃（榴槤姊姊）,juliamisakii,1336339318536276,1336339318536276,59,,254310.0,"打掃就該是個輕鬆的事😎
有了【輝葉良品 | i-Cyndi 愛洗地】洗地機 https://bit.ly/3DLAevU
清潔更省時又省力🔥
終於不要像以前一樣苦命的又掃地又拖地到處撿零食了😭😭
超靜音分貝，小恩睡著了也能輕鬆打理🧹
最棒的是還有乾濕分離，後續垃圾處理更方便👍
還有專利技術的過流式電解水，無化學汙染
使用起來超安心
機身還可以水洗
過年送禮自用兩相宜🎁
一起成為智慧科技媽咪吧😆
@hueiyeh.goods 
【輝葉良品 | i-Cyndi 愛洗地】洗地機
👍👍點擊專屬連結，另享優惠價 👍👍
https://bit.ly/3DLAevU
【輝葉良品】全台獨立門市 https://bit.ly/3VmccgY
▍ 民權東路店 | 板橋文化店 | 桃園三民店
▍ 台中向上店 | 台南西門店 | 高雄博愛店
———————————
「輝葉」全台量販通路 : 家樂福 | 大潤發｜愛買
「輝葉」全台3C通路 : 燦坤｜全國電子
#輝葉良品 #王心凌 #洗地機 #iCyndi #cyndi #低揚塵 #低噪音 #輝葉 #愛洗地 #水動能
#真平躺 #燦坤 #全國電子",56.54,,2025-01-13 19:00:00+08:00,2025-01-14 17:00:31+08:00,DEw2gWHPpdK,Yes,Instaloader
2025-01-22 10:55:38+00:00,2025-01-25 09:05:42+00:00,咪妃（榴槤姊姊）,juliamisakii,1431601358657966,1431601358657966,14,,133490.0,"上次的測試各位獵人小姐可以撐到第幾關呢❤️這次找了老練的63歲人妻，看看面對夏以晝能不能齁住啦😂😂！
薑是老的辣，還是跟著一起嗨呢？！

要過年了沒想到哥哥也回來了🥹！
真的是撩到不行！！趕快帶我媽見哥哥😂
#戀與深空 #夏以晝",49.83,,2025-01-22 18:55:38+08:00,2025-01-25 17:05:42+08:00,DFIBCABvSc1,Yes,Instaloader
2025-01-25 03:26:14+00:00,2025-09-10 09:45:14+00:00,咪妃（榴槤姊姊）,juliamisakii,1458041679243763,1458041679243763,30,,180643.0,"神魔之塔後台超歡樂（？）
@kosos2684 說志在參加😂😂還有廟會女神阿甜 @sweety80419 ❤️",9.33,"{'0': '476286734974712', '1': '924856622529274'}",2025-01-25 11:26:14+08:00,2025-09-10 17:45:14+08:00,DFO7x1yvpmr,Yes,Instaloader
2025-01-28 12:48:35+00:00,2025-04-29 03:21:01+00:00,咪妃（榴槤姊姊）,juliamisakii,2026662564955915,2026662564955915,41,,108051.0,"結局太意外…..難道是我老了嗎😂
完整影片預計初二（1/30）在頻道「咪妃kids」上線❤️

#除夕 #新年快樂 #過年party #親子  #寶寶日常  #寶寶成長日記  #寶寶日記  #親子派對 #派對 #派對大神",37.7,"{'0': '1532744491355938', '1': 'non_public_737111752177882', '2': '1574480403162583', '3': '2156347541804765', '4': '662182553043704', '5': '1566137137599098'}",2025-01-28 20:48:35+08:00,2025-04-29 11:21:01+08:00,DFXqjabPPJA,Yes,Instaloader
2025-01-29 10:45:14+00:00,2025-01-30 17:35:19+00:00,咪妃（榴槤姊姊）,juliamisakii,2038881616655607,2038881616655607,26,,153154.0,"阿公太狠了，以後不要惹😂

#親子 #初一 #紅包 #過年",36.94,,2025-01-29 18:45:14+08:00,2025-01-31 01:35:19+08:00,DFaBXiSPYGi,Yes,Instaloader
2025-01-31 15:09:27+00:00,2025-11-19 20:33:29+00:00,咪妃（榴槤姊姊）,juliamisakii,2697000684009787,2697000684009787,62,,203853.0,"這個答案真的是我的天啊😂！！
新的podcast 頻道「咪妃kids」預計2/2（日）上線啦❤️
今年過年塞車不無聊，有我們在，辛苦的育兒之路不孤單！
 #podcast #親子 #育兒日記 #哺乳 

🌟咪妃kids🌟
一寶新手媽咪vs走遍江湖闖蕩的宋呆
我們的podcast主要跟大家聊聊成為媽媽後如何跟小孩甚至跟這個社會鬥智鬥勇🔥
尤其是現在越來越多虐童案和嬰幼兒社會相關案件，
身為一個合格保母的我們又是怎麼看待的呢？
難道保母誰想當就能當嗎？！😱
也希望聽眾們在你覺得生完孩子像跟社會脫節時、
外人對你的教育方式指指點點時、
崩潰在孩子哭聲時或在煩惱孩子上學時，
都會覺得有我們不孤單❤️",46.21,"{'0': '1532744491355938', '1': 'non_public_1208083168202424'}",2025-01-31 23:09:27+08:00,2025-11-20 04:33:29+08:00,DFfos9EvmwX,Yes,Instaloader
