creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 13:00:00+00:00,2025-04-29 03:06:06+00:00,小凱老師,kai_makeup_,26024407567208688,26024407567208686,28,421.0,67564.0,"神秘嘉賓驚艷回歸，本週日晚上9:00記得準時鎖定！蛇出來了～🐍

大家猜猜看是哪位嘉賓，在留言區告訴我！
猜對的2025一定蛇麼都順利～

提示一：來自古埃及
提示二：喝駱駝牛奶
提示三：長得像隋棠

@kaibeauty_official",21.01,{'0': '1386411546574767'},2025-01-02 21:00:00+08:00,2025-04-29 11:06:06+08:00,DEUvhjmvEWe,Yes,Instaloader
2025-01-05 13:00:00+00:00,2025-07-02 17:40:56+00:00,小凱老師,kai_makeup_,865036629846167,865036629846167,68,1358.0,188867.0,"人稱小華佗的聽海中醫診所張主任，專治各種疑難雜症！

🩷膚色蠟黃暗沉不是卡到陰！用粉蜜桃來去黃開光，就不用去行天宮啦～

❤️瘀青等級的黑眼圈也不怕，快用紅寶石還活血化瘀～

💚泛紅爆痘火氣大不用喝青草茶，快用綠橄欖來退紅降火氣！

美艷動人的神秘嘉賓埃及旅遊大使LULU近日鳳體欠安也來求診，直說自己長得太漂亮，惹惱張主任，於是請出鎮店神器，1000公斤的巨型鐵錘！二話不說將她敲醒～

同學們！有瑕疵一定要對症下藥，千萬不要學LULU活在自己的世界裡唷～肌因校色遮瑕盤趕快用起來👍

@kaibeauty_official",79.1,"{'0': '1248784953346639', '1': '1386411546574767', '2': '2395671027616908'}",2025-01-05 21:00:00+08:00,2025-07-03 01:40:56+08:00,DEcd-c1PkJT,Yes,Instaloader
2025-01-06 13:00:00+00:00,2025-02-16 01:18:21+00:00,小凱老師,kai_makeup_,1835601783767156,1835601783767156,42,871.0,93803.0,"歡慶聽海中醫診所正式開幕！特邀埃及旅遊大使LULU蒞臨台灣秀舞～

祝大家身體健康閤家平安🔥
@kaibeauty_official",13.91,,2025-01-06 21:00:00+08:00,2025-02-16 09:18:21+08:00,DEfCtJkvv20,Yes,Instaloader
2025-01-13 13:00:00+00:00,2025-06-04 05:51:28+00:00,小凱老師,kai_makeup_,926328076530700,926328076530700,9,488.0,64655.0,"開箱頂級藝術美容空間晴川之秘～（就在很知名的橘色火鍋樓上）

這個位置在東區精華地段閒置很久了，當時發現他開始裝修我心裡又驚又喜，驚的是！該不會又開一家便利商店吧！哈哈～

答案揭曉！是一間會所等級的高檔護膚中心，引進瑞士進口的護膚品牌，目前有La Colline＆瑞妍兩個風靡貴婦圈與SPA界的頂級保養品進駐！

這個空間每個細節都是老闆精心規劃，從映入眼簾的裝潢家具，到空氣中散發的檜木香氣與負離子，讓你一進到這裡，彷彿進入瀑布的森林，超療癒～

這裡最核心的VIP的護膚室裡，有著一張歐洲進口的百萬護膚床，擁有智能溫控，為身體帶來恰到好處的溫暖，還有多維腦波震動與全身按摩，躺上去立刻進入夢鄉！ 
晴川之秘護膚師具備20年以上的專業經驗，都是精心篩選並接受專業培訓，所以依定要來這裡體驗行雲流水、柔中帶剛的保養手技！

台北東區正在逐漸變美與復甦，好開心又有一間美麗又高雅的美麗空間在這裡發光！愛美的同學們～有機會一定要來這裡朝聖～一起變美麗～

@seraphicvista.official",73.51,,2025-01-13 21:00:00+08:00,2025-06-04 13:51:28+08:00,DExER8-PWQO,Yes,Instaloader
2025-01-15 13:00:00+00:00,2025-02-16 01:18:21+00:00,小凱老師,kai_makeup_,1375365567693225,1375365567693225,44,1576.0,126883.0,"慶祝凱咪更衣室全新落成～來開顆新包給大家看！

這是最新入手的BOTTEGA VENETA 手提包Large Zipped Cabat ，記得當時在店上展示的是另一個顏色，我隨口跟我的SA說這顆完全我的菜，但～～如果有黑色就好了，沒想到！隔不到兩週，全黑的居然上市了！我真的是不能亂許願～哈哈啊哈～

太喜歡這種簡約低調的質感包款，材質是TAURILLON 編織粒面牛皮，天然的顆粒紋理觸感非常舒服，讓每一個包款都是獨一無二！

我很喜歡這顆包把BV經典編織只在接合的側面，重新演繹了低調奢華的風格！有辨識度又不會太張揚！

而且那個低調到不行的Logo，真的是有緣人才能看得到～完全深得我心～

期待重新裝潢新家開箱影片的同學可以留言讓我知道，我即將釋出全新風格的居家開箱影片唷。",44.05,,2025-01-15 21:00:00+08:00,2025-02-16 09:18:21+08:00,DE2N42nPV9Z,Yes,Instaloader
2025-01-16 13:00:00+00:00,2025-02-16 01:18:21+00:00,小凱老師,kai_makeup_,1267933621871378,1267933621871378,5,443.0,61093.0,"凱咪經常在世界各地到處工作，除了專注高水準的展演內容，近距離的面對現場觀眾更是一個挑戰！舞台上是沒有濾鏡沒有美肌的赤裸，這時候展現自己完美的肌膚的狀態才具有說服力～

身處美妝行業多年，我見證了世界上所有美麗的事物都要經過時間的淬煉，諸如一件藝術級的高訂珠寶，而我對於保養的堅持當然還有用珍稀結晶淬鍊的頂級護膚品！

創世紀原晶系列不只需要歷經長時間的投入還有稀有的傳承技術，研發團隊深入探究後也發現，原晶奇蹟活凝金萃可以更極速地將老化受損的肌膚，還原成原先井然有序的紋理，讓整個臉部平滑緊實、水嫩飽滿，大大加乘抗老的效果，讓肌膚就像拋光後的水煮蛋肌

系列中最為代表的創世紀原晶逆時金萃，從推出後我就一直愛用的精華液，有感撫平歲月痕跡，肌膚飽滿滑嫩，整個人定格在最佳的狀態，讓肌膚快速啟動四大肌轉能量「細緻、透光、彈性、澎潤」。使用後肌膚真的有感平滑緊緻，摸起來的膚觸也更水嫩飽滿

即便工作滿檔，有LA MER創世紀原晶系列，多少個十年，凱咪也不怕！

#創世紀原晶系列 #創世紀原晶逆時金萃 #LaMerTaiwan #海洋拉娜 

@lamertaiwan",111.67,,2025-01-16 21:00:00+08:00,2025-02-16 09:18:21+08:00,DE4ys5GP888,Yes,Instaloader
2025-01-19 13:00:53+00:00,2025-02-16 01:18:21+00:00,小凱老師,kai_makeup_,1452697639915109,1452697639915109,108,2716.0,174737.0,"沒有變鳳梨耶！年前燙髮過好年，冬季的型就是要氛圍感滿滿的捲度～

這次來找新開發的髮型師  @owencao.space_ 用頭髮！我是怎麼發現他的？是有一天在路上看到一個人的頭髮好看爆了，我就問他是在哪裡用的，就換到了髮型師的IG～

跟Owan討論溝通醞釀了兩個月，把髮型留到適合長度後，終於開燙～成果出爐，我很喜歡，有一種隨性自然地鬆弛感，超立體～

你們自己去看髮型師的作品，真的很會處理捲度，專業專業！凱咪太喜歡！大家年前也來帥一波～

之後還會介紹更多凱咪身旁厲害的髮型技術者給大家，把變美的秘密通通告訴大家～",36.5,,2025-01-19 21:00:53+08:00,2025-02-16 09:18:21+08:00,DFAhmy0Psdk,Yes,Instaloader
2025-01-22 13:00:00+00:00,2025-02-16 01:18:21+00:00,小凱老師,kai_makeup_,1684263696250908,1684263696250908,37,2872.0,186373.0,"徠卡D-LUX 8 輕鬆拍出有文化感的影像～專屬配件太驚艷🔥

很少人能抗拒徠卡的誘惑吧！徠卡相機在手的瞬間，連攝影門外漢看起來都像影像玩家，一副很會拍照的樣子，哈啊哈哈～真的很唬人！

凱咪一直是徠卡迷，之前就買過很紅的Q3，用了好一陣子，直到幾個月前這個LEICA D-lux 8橫空出現，讓我又燃起了高度興趣～很多人說它是迷你Q3，確實！整體就是有點像，但大小、重量還有價格都差很多～

沒有一開始就買也是猶豫它們真的很像，況且都有Q3了，幹嘛買一台規格下修的產品？直到我發現，它有一個專屬搭配的迷你閃光燈！我的天啊～二話不說！卡就把它刷下去了～

買來實用後發現，D-lux8真的是一台隨身的高質感小相機，影像風格延續徠卡的高質感，使用難度也很低，就把它當手機用就對了，所以你會更願意帶出門用，而不是擺在家裡供奉！所以我覺得很值得～

影像是凱咪離不開的嗜好，雖然談不上專業，但還是很喜歡研究相機！希望之後凱咪可以出一本影像作品，分享我眼裡感動的瞬間～

規格：
LEICA DC VARIO-SUMMILUX
1:1.7-2.8/10.9-34 ASPH.

SCHWARZ LACKIERT
BLACK PAINT FINISH
LAQUE NOIR",50.03,,2025-01-22 21:00:00+08:00,2025-02-16 09:18:21+08:00,DFIPfTBP8Bt,Yes,Instaloader
2025-01-31 13:00:00+00:00,2025-07-10 01:11:31+00:00,小凱老師,kai_makeup_,2129534364251003,2129534364251003,34,1796.0,112514.0,"CELINE 一波三折的故事‼️

三個月前在CELINE店上看到這件外套，超喜歡它的版型和無領的設計，一眼就相中！但天不從人願，台灣沒有我的尺寸！高個兒人都買不到衣服～

但！一個我專業的SA立馬開啟千里尋貨的動作，從國外的分店調了更大的尺寸！過了兩個星期後，衣服千里迢迢抵達店上一試穿～登登～還是不夠大～當下臉都綠了～

後來！SA再接再厲又再尋到一件在美國的更大尺寸，等了半個月後終於送到台灣～我心想！這次就算不合身～也要硬買吧！不然應該會變黑名單！哈哈啊哈～

好險！一試過關，修改師只做了微幅的修改，然後就送到我家衣櫃啦！超級開心～❤️

我是在信義微風的CELINE買的～沒有三折唷🤣",22.85,,2025-01-31 21:00:00+08:00,2025-07-10 09:11:31+08:00,DFfapQ2PKFP,Yes,Instaloader
2025-02-02 13:00:00+00:00,2025-02-16 01:18:21+00:00,小凱老師,kai_makeup_,1428843985395219,1428843985395219,39,2665.0,122772.0,"台北東區又發現好逛的店～就在忠孝敦化的美容保養選品複合店！A SCENT～

這間店最大特色就是，這裡的品牌95%都是台灣品牌！創辦人ALLEN搜羅台灣最有潛力長得又漂亮的保養品、居家用品、保健品！把台灣的美好帶給全宇宙。

好感動有這樣充滿理想的年輕人，推動主打在地品牌的選物空間，讓台灣的品牌實力與人文的美好被更多人看見，我由衷的感動，而且一定要大力的支持，因為這些品牌我自己也很喜歡，值得你來體驗！

ALLEN是個從16歲就開始熱愛保養的專家，出社會就進入知名的保養品公司上班，經過多年的磨練與累積，終於打造出這間夢想中的空間～

這裡不僅有各式各樣的特色保養品，還會開辦精油課程、調香課程等等，讓大家更深入認識香氛的神奇魅力，還有保養品代工等特別的服務，做出自己理想的保養品，真的太酷啦！

店家資訊：
台北市大安區大安路一段51巷50號1樓
12:30-20:30 週一公休
IG : ascentbyli @ascentbyli 

本集介紹的優秀台灣品牌，大家一起來認識！

👍Natub：織品專用的香氛品牌，還有精美的天然手工皂～ 
 👍MORENE ：芳療師創立的新世代精油品牌。
👍buuni : 冷製液態皂。
👍本質研究：化學博士率領生醫團隊創立。
👍Reise :用花蓮的米做的護膚保養品。
👍decent rossi ：藥師羅西創立的品牌。
👍TABRIZ ：純淨天然的優質芳療品牌。
@decentrossi  @skineed.tw  @natub_skincare @buuni.co  @reise_tw @morene_organic @tabriz_tw",169.77,,2025-02-02 21:00:00+08:00,2025-02-16 09:18:21+08:00,DFkkOD8PU3O,Yes,Instaloader
2025-02-06 13:00:42+00:00,2025-02-16 01:18:21+00:00,小凱老師,kai_makeup_,2477181196132216,2477181196132216,42,1657.0,94152.0,"眼影碎了千萬不要自己亂補救！其實網路上教的那些方法凱咪真的不鼓勵～讓自己皮膚過敏反而得不償失！

土法煉鋼的方式最大疑慮是，沒有清潔完整的工具與容器會有細菌，而且空氣中有灰塵髒污會跑進去！

再來是噴上什麼酒精讓粉末黏著！真的會大大破壞產品的防腐效果，滋生一些眼鏡看不見的黴菌！必須特別注意～

而且強行壓回的眼影不僅會一碎再碎，你在取粉的時候根本膽戰心驚，而且不容易均勻～

所以啦～眼影不小心摔碎就不要硬修！買一盤新的才是正確的選擇～",78.97,,2025-02-06 21:00:42+08:00,2025-02-16 09:18:21+08:00,DFu3QlyvY0f,Yes,Instaloader
2025-02-09 12:30:47+00:00,2025-03-11 14:41:27+00:00,小凱老師,kai_makeup_,1592269942010056,1592269942010056,31,1825.0,128194.0,"上次去愛馬仕買衣服，專櫃人員跟我說他們的這隻眼線液好用，推薦我試試看，我馬上說好啊～來兩隻！哈啊哈哈～

原因有二！第一！精品的SA大可多推一些高單價的服飾給我，沒必要湊這個零頭～啊哈哈！但一隻2430台幣也不算便宜！

第二！跟我掛保證好用的櫃姐說她自己也有買！哈哈～我完全無法聽到櫃姐說我自己也有帶一組這句！哈啊哈哈～

所以買回來用！確實～刷毛設計有點特別，扁窄的刷頭，可畫出銳利精緻的細線，也可以畫出有份量感的厚度眼線！操控很方便～

深邃的墨色很濃郁，讓眼神立刻有分明的立體感，而且定色後不會反光，這點很重要～同時～持妝度表現也很好，抗磨擦跟奈油效果很出色～讚讚！

整隻包裝就是很美，金色筆蓋上還有H logo 很精緻，配上日本製造的工藝，買2430算值得啦～",41.17,,2025-02-09 20:30:47+08:00,2025-03-11 22:41:27+08:00,DF2h-F0PLH9,Yes,Instaloader
2025-02-12 13:00:00+00:00,2025-04-29 15:10:17+00:00,小凱老師,kai_makeup_,2316023858896810,2316023858896810,0,246.0,56790.0,"最新上市的絲霧裸紗妝前乳用給你看～
修飾毛孔+平滑膚質的效果太驚艷❤️

打造完美絲霧底妝只需要簡單3步驟～

STEP1️⃣ #絲霧裸紗妝前乳
隱形毛孔+撫平紋理 
STEP2️⃣ #大師訂製奇肌粉底
均勻膚色+隱形瑕疵
STEP3️⃣ #柔霧持妝蜜粉餅
霧化柔焦+磨皮定妝

超級無瑕的絲霧妝效真的超完美～還不趕快來一組～
現正火熱狂賣中～

@kaibeauty_official",31.88,{'0': '1386411546574767'},2025-02-12 21:00:00+08:00,2025-04-29 23:10:17+08:00,DF-UJUSvp6P,Yes,Instaloader
