creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-07 11:20:20+00:00,2025-07-25 11:48:06+00:00,るー🌿RU醬,kaoru_0409,3883745578599463,3883745578599463,86,12072.0,511315.0,"麻糬快一歲了
感動又惆悵 開心又寂寞
育兒就是每天都期待時間快轉 卻又想按下暫停鍵
希望他展翅高飛的同時 又希望他可以停在現在需要我的時候
但時間是無法倒轉的 珍惜現在吧！
寶貝啊 謝謝你給我這麼豐富快樂的一年 媽媽非常非常愛你。",62.98,,2025-01-07 19:20:20+08:00,2025-07-25 19:48:06+08:00,DEhb_ooPDRv,Yes,Instaloader
2025-01-14 10:38:04+00:00,2025-02-17 06:59:10+00:00,るー🌿RU醬,kaoru_0409,1209140738088872,1209140738088872,56,6853.0,386754.0,"年初帶文當回台灣時
還一起去吃了我爸媽第一次約會的餐廳🍴
這家餐廳我媽媽也常常帶我和妹妹去吃，對我來說別具意義
也還是對於文當出現在我從小到大生長的環境感到不可思議🥹
是日常又是非日常🥹",38.08,,2025-01-14 18:38:04+08:00,2025-02-17 14:59:10+08:00,DEzYgAEPXY0,Yes,Instaloader
2025-01-22 10:21:05+00:00,2025-02-17 06:59:10+00:00,るー🌿RU醬,kaoru_0409,1830752950957591,1830752950957591,23,4018.0,429004.0,每個月最期待逛書店雜誌區📕💕,73.98,,2025-01-22 18:21:05+08:00,2025-02-17 14:59:10+08:00,DFH9Hl6vkag,Yes,Instaloader
2025-01-30 10:20:19+00:00,2025-02-17 06:59:10+00:00,るー🌿RU醬,kaoru_0409,1466056268459636,1466056268459636,37,31929.0,1227401.0,"逛街看到被萌翻ヾ( 〃∇〃)ﾂ ✨
馬上錄影分享給大家！！
在渋谷 miyashita park 2樓喔💘

#のりおにぎり屋さん",40.38,,2025-01-30 18:20:19+08:00,2025-02-17 14:59:10+08:00,DFci94ePp98,Yes,Instaloader
2025-02-14 10:19:32+00:00,2025-08-02 11:24:32+00:00,るー🌿RU醬,kaoru_0409,24093562307008048,24093562307008048,104,26407.0,682293.0,"今年本來什麼都不打算準備
但看到老公那麼期待，真的不忍心讓他失望🔥
祝大家情人節快樂💘💘",47.5,,2025-02-14 18:19:32+08:00,2025-08-02 19:24:32+08:00,DGDLK-2Phu6,Yes,Instaloader
2025-02-20 10:23:47+00:00,2025-04-03 17:42:57+00:00,るー🌿RU醬,kaoru_0409,2391096607992733,2391096607992733,73,7316.0,472742.0,"日本真的是無奇不有🤣
做的很好，下次別再做了🤣",60.22,,2025-02-20 18:23:47+08:00,2025-04-04 01:42:57+08:00,DGSoewSPT5I,Yes,Instaloader
2025-02-27 10:51:46+00:00,2025-08-06 07:32:59+00:00,るー🌿RU醬,kaoru_0409,2170145407062520,2170145407062520,253,51908.0,1166896.0,"一年過得好快
這一年好多事情都改變了
但不變的是我們每天都非常愛你

爸爸媽媽最最最最可愛的小寶貝
祝你1歲生日快樂🎂",47.4,,2025-02-27 18:51:46+08:00,2025-08-06 15:32:59+08:00,DGktLyxPHbw,Yes,Instaloader
2025-03-05 09:55:48+00:00,2025-08-03 14:26:45+00:00,るー🌿RU醬,kaoru_0409,1437310147860800,1437310147860800,82,7901.0,373369.0,"這次的交換禮物真的有顏值又好吃！！🎁
每次跟這個客戶吃飯都好期待🥰

🍵抹茶巧克力禮盒
店名：ななや 青山店
住址：東京都渋谷区渋谷2-7-12 1F

🍳午餐在這裡
店名：A to Z cafe
住址：東京都港区南青山5-8-3 equboビル 5F",52.31,,2025-03-05 17:55:48+08:00,2025-08-03 22:26:45+08:00,DG0DNnZvKnC,Yes,Instaloader
2025-03-07 10:33:50+00:00,2025-08-05 04:15:05+00:00,るー🌿RU醬,kaoru_0409,2344922789321023,2344922789321023,30,2710.0,248900.0,"每次跟日本朋友見面，除了喝咖啡聊是非之外
最常聊的就是美容保養和健康食品✨

這次影片介紹4個朋友激推的美容小物
其中近期台灣也買的到的是DROAS 泥洗護系列😍
礦物泥是日本近幾年非常夯的保養元素✨

這款洗護以摩洛哥熔岩泥和高嶺土為基底
泥的吸附力能溫和帶走頭皮多餘的皮脂與污垢
礦物質含有美容保濕成分能修護滋潤髮尾🥹
用完頭皮可以保持長時間的清爽狀態
依照不同功能推出兩個系列 (藍色款-絲滑淨澈 粉色款-損傷修護 )
像我常常染髮導致髮絲較脆弱 就比較喜歡用粉色款
現在在台灣屈臣氏也買的到💕💕

下面附上其他商品資訊，請大家筆記起來✍️
🍫bruno 巧克力布朗尼脆片-購入於Cosme Kitchen
❤️潤碧之茵 五號面膜-購入於Plaza
💇🏻‍♀️エルジューダ ポイントケアスティック雜毛整理棒-購入於美容室",81.53,,2025-03-07 18:33:50+08:00,2025-08-05 12:15:05+08:00,DG5Rh4FvhK-,Yes,Instaloader
2025-03-22 10:12:34+00:00,2025-03-24 16:52:41+00:00,るー🌿RU醬,kaoru_0409,1613869989641121,1613869989641121,17,2099.0,239481.0,"東京原宿@cosme 重新裝潢盛大開幕啦✨
新增了很多區塊，包含1樓的迷你化妝保養區、3樓的香氛區🥰

其中我最喜歡2樓的面膜牆，擺滿了日本熱賣的人氣面膜！
最受歡迎的是LULULUN一系列面膜
@cosme美妝大賞多次上榜，獲獎無數✨

這款化妝水面膜可以代替化妝水早晚使用，
又以深紫色款的的HYDRA-EX全效煥活再生面膜最受歡迎⭐️
是一款以日本先端醫療技術打造，醫美級細胞再生的美肌面膜✨
敷完可以明顯感覺到肌膚的光滑感、透明感、光澤感🥰

大家來東京時也快來逛逛看吧！

#PR #cosme東京煥新
#LuLuLun #HYDRA面膜 #面膜推薦 #面膜分享 #cosmetokyo",82.03,,2025-03-22 18:12:34+08:00,2025-03-25 00:52:41+08:00,DHf28o6yYpq,Yes,Instaloader
