creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-03 09:52:01+00:00,2025-03-31 22:30:38+00:00,卡特,kart_wang,1258434149554868,1258434149554868,50,5968.0,438028.0,我願稱他為「洗衣精神器😍」你們覺得會心動嗎！！！#宜得利 #ニトリ #日本好物 #洗衣精神器 #日本必買,35.2,,2025-01-03 17:52:01+08:00,2025-04-01 06:30:38+08:00,DEW-OxnTvQ0,Yes,Instaloader
2025-01-06 17:15:37+00:00,2025-02-17 22:41:17+00:00,卡特,kart_wang,778319131983310,778319131983310,134,6636.0,253846.0,終於！30萬訂閱！謝謝大家！！！讓我今天興奮到睡不著覺！,19.4,,2025-01-07 01:15:37+08:00,2025-02-18 06:41:17+08:00,DEffuX-zrTW,Yes,Instaloader
2025-01-10 12:07:29+00:00,2025-02-17 22:41:17+00:00,卡特,kart_wang,1432020145325614,1432020145325614,40,1614.0,132984.0,"有莓有諧音梗中毒😭😍
身為一個諧音梗重症患者（？）
個人最愛的就是草莓拿鐵啦…🍓
趕快留言一個「莓」相關的諧音梗🤣🤣

莓想到會有這麼好喝的東西😍
是不是冬天就會想喝各種草莓風味飲品
添加真實草莓果汁粉，所以香味更濃厚！
自然不化學的香氣 草莓控的朋友一定愛😍

早晨或午後泡上一杯、幸福感滿滿✨
還有可可/雲朵/重焙口味可以選擇
真的是很可很可～咖啡味中帶點可可香

📣現在各大通路還有買一送一優惠❤️
（全聯、家樂福、大潤發、愛買、momo、Shopee蝦皮等）

#雀巢咖啡 #草莓拿鐵咖啡 #三合一咖啡

（此篇與NESCAFE 雀巢咖啡合作）",43.9,,2025-01-10 20:07:29+08:00,2025-02-18 06:41:17+08:00,DEpPrXnzfra,Yes,Instaloader
2025-01-13 12:26:29+00:00,2025-02-17 22:41:17+00:00,卡特,kart_wang,1283739953568965,1283739953568965,25,1530.0,122392.0,"奶蓋的正確喝法是….？奶蓋控一定要喝喝看飲料股長推薦😋✨

#谷得好好#紅茶專門#開心果奶蓋紅玉#紅玉蕎麥絲那提#guudteaandcompany @guudteaandcompany #飲料股長",65.0,,2025-01-13 20:26:29+08:00,2025-02-18 06:41:17+08:00,DEw_yfxzaZx,Yes,Instaloader
2025-01-14 13:21:46+00:00,2025-07-12 05:37:08+00:00,卡特,kart_wang,1250470187184256,1250470187184256,28,3933.0,592987.0,2025帶你們簡單逛東京🇯🇵記得先收藏分享🛍️ #表參道 #原宿 #原宿グルメ #東京逛街 #cocochi @cocochi.tw,60.25,,2025-01-14 21:21:46+08:00,2025-07-12 13:37:08+08:00,DEzpv-1TOZA,Yes,Instaloader
2025-01-19 11:57:24+00:00,2025-05-02 11:59:23+00:00,卡特,kart_wang,1529396851461152,1529396851461152,13,2398.0,151720.0,應該不會去完員工旅遊就離職（吧？） #卡特永遠是對的,8.52,"{'0': '963336036357793', '1': '3440182286131696'}",2025-01-19 19:57:24+08:00,2025-05-02 19:59:23+08:00,DFAZcmhTATU,Yes,Instaloader
2025-01-23 14:06:39+00:00,2025-05-27 10:28:15+00:00,卡特,kart_wang,911282084822364,911282084822364,3,908.0,66526.0,"理膚寶水！年前補貨囉！！

 💙【繃帶精華】-
原價 $1,630，滿1,500 折200，最終售價$1,430

 💙【萬用霜】-買 200 ml 送 15 ml
原價 $1,570，滿1,500 折200，最終售價$1,370 >> 門市販售

只要下單滿 1,088 就能再帶走
全面修復化妝水50ml (數量有限，送完為止)

只要在 1/30 23:59 以前下單+留言你的訂單編號，
我會在 1/31  抽出 1 位送出 修復霜 正貨
下單後記得回來回報喔！❤️",3568.84,,2025-01-23 22:06:39+08:00,2025-05-27 18:28:15+08:00,DFK7wLjznHS,Yes,Instaloader
2025-01-25 12:36:42+00:00,2025-08-31 09:32:02+00:00,卡特,kart_wang,811654778615841,811654778615841,215,34541.0,1611476.0,我不相信命運，因為我就是命運😻 #刮刮樂,30.37,,2025-01-25 20:36:42+08:00,2025-08-31 17:32:02+08:00,DFP6zokTunV,Yes,Instaloader
2025-01-28 11:11:54+00:00,2025-02-17 22:41:17+00:00,卡特,kart_wang,1994701054761342,1994701054761342,131,23110.0,909428.0,"來玩麻將紅包遊戲🧧🀄️💰留言決定要不要加碼🤭？
👉按一個讚❤️+$1！初一晚上7點截止😏
祝大家新年快樂～快分享一起來玩這個🤣
#紅包遊戲 #新年 #遊戲 #紅包",64.03,,2025-01-28 19:11:54+08:00,2025-02-18 06:41:17+08:00,DFXfetKzqqW,Yes,Instaloader
2025-01-31 13:10:26+00:00,2025-03-07 02:27:47+00:00,卡特,kart_wang,1223194226681253,1223194226681253,20,2802.0,158403.0,"讓粉絲決定我的一天😂

剛好休息日閒著沒事想跟大家互動…
原本以為大家會選桃園（畢竟我是桃園人啊）
結果竟然臨時跑到號稱美食沙漠的新竹（？
分享給你們這次的新竹旅遊清單( ´ ▽ ` )
這次帶的就是2025全新限定的PORTER包！

✨兩用托特包
這款真的是上班上課超耐裝的大容量！
還可以手提、肩背、斜背不同背法唷👀
連我的14吋筆電和A4文件都放的進去～
包包前面有壓扣式口袋，可以放常用的小物
💥快閃加購價只要$1,499！（約市價4.3折）

✨經典後背包
很適合常常外出旅遊的朋友！有減壓背帶設計
像我出國都要帶著相機電腦，背久了也不酸痛
內層還有收納分層可以讓你們分類整齊👌
還有附D型環 掛個喜歡的吊飾也很萌唷❤️
💥快閃加購價只要$2,699（約市價5.4折）

📣02/06 下午3點起開賣
在全台7-ELEVEN門市就能買啦✨
不限金額消費，手機報碼就可以直接刷！！
更多商品資訊🔍https://www.7-11.com.tw/event/25snoopy/porter.aspx

#7ELEVEN #小七#7eleventw#PORTER #潮流精品 
#小七 #報電話直接預購#ootd#簡約#時尚",61.87,,2025-01-31 21:10:26+08:00,2025-03-07 10:27:47+08:00,DFfbZu_TYs3,Yes,Instaloader
2025-02-01 13:22:45+00:00,2025-02-17 22:41:17+00:00,卡特,kart_wang,4231164580474690,4231164580474690,21,3966.0,252693.0,"初四了阿嬤！讓外婆玩玩年輕人的遊戲🤣🧧
祝外婆身體健康，天天都開心的！ #紅包遊戲 #搞笑 #黏錢",31.73,,2025-02-01 21:22:45+08:00,2025-02-18 06:41:17+08:00,DFiBf1LTL2e,Yes,Instaloader
2025-02-04 11:27:29+00:00,2025-02-17 22:41:17+00:00,卡特,kart_wang,906288055704802,906288055704802,31,7901.0,336513.0,"原來長大的同時也意味著長輩們慢慢的變老🫂✨
換我們來守護他們了！ #memories #family",30.49,,2025-02-04 19:27:29+08:00,2025-02-18 06:41:17+08:00,DFpiydiTFWt,Yes,Instaloader
2025-02-06 13:15:49+00:00,2025-02-17 22:41:17+00:00,卡特,kart_wang,1187868233166057,1187868233166057,53,5436.0,370428.0,"全家草莓千層這樣更好吃😍🍓 標記卡特交作業&留言！
#全家 #全家新品 #草莓千層 #全家美食",51.43,,2025-02-06 21:15:49+08:00,2025-02-18 06:41:17+08:00,DFu4w59zE-o,Yes,Instaloader
2025-02-08 10:29:54+00:00,2025-05-01 22:01:56+00:00,卡特,kart_wang,2086256022159850,2086256022159850,27,4460.0,238251.0,標記每次拍照都拍很久的朋友…可以這樣做😂,8.4,{'0': '737106755912424'},2025-02-08 18:29:54+08:00,2025-05-02 06:01:56+08:00,DFzvg9mz1Gi,Yes,Instaloader
