creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-11 05:22:34+00:00,2025-07-09 13:17:11+00:00,千千,khshu_,1474862327673897,1474862327673897,60,14785.0,724486.0,"第一次來到吉隆坡🇲🇾
很多在地觀眾推薦我一定要去ICC Pudu走走
是馬來西亞早餐的集合地
那當然就是直衝了 🏃🏼

咖椰吐司真的好讚啊啊啊啊 🥳
忍不住加點好幾份哈哈 

是說半熟蛋要沾要喝討論度好高
我那天是店員推薦（影片有說
沾了覺得口感跟味道上更加分 
所以大家去可以試試你喜歡的方式
美食還是自己吃過最準 🤤

#完整正片在千千進食中頻道 💓
#千在馬來西亞
#iccpudu #kualalumpur #malaysia",61.14,,2025-01-11 13:22:34+08:00,2025-07-09 21:17:11+08:00,,Yes,MetaTool
2025-01-17 10:01:53+00:00,2025-09-29 19:11:51+00:00,千千,khshu_,1624378082036085,1624378082036085,96,18809.0,859054.0,"沒有開瓶器怎麼開啤酒？🍻

每次看到各種開瓶的方式都很好奇 
星期五晚上很適合來實測看看 🧐

結論是…手很痛哈哈哈哈
注意安全 #請勿模仿 唷",17.87,,2025-01-17 18:01:53+08:00,2025-09-30 03:11:51+08:00,,Yes,MetaTool
2025-01-19 13:34:40+00:00,2026-01-17 00:40:31+00:00,千千,khshu_,1282882297007252,1282882297007252,24,10748.0,1123626.0,"那個
是真的有要讓我喝嗎？",10.01,{'0': '1418674059745913'},2025-01-19 21:34:40+08:00,2026-01-17 08:40:31+08:00,,Yes,MetaTool
2025-01-31 09:08:22+00:00,2025-07-06 06:59:47+00:00,千千,khshu_,1244782810914729,1244782810914729,77,25545.0,1131654.0,"年初三來猜聲音 
第一跟第二個你分得出來嗎？
我重聽了好幾次哈哈

陷阱題有猜中的加一 😍",52.7,,2025-01-31 17:08:22+08:00,2025-07-06 14:59:47+08:00,,Yes,MetaTool
2025-02-02 01:19:22+00:00,2025-02-14 06:19:43+00:00,千千,khshu_,2142533299878591,2142533299878591,214,23059.0,814296.0,溫馨提醒 ⏰（？？？,9.94,,2025-02-02 09:19:22+08:00,2025-02-14 14:19:43+08:00,,Yes,MetaTool
2025-02-22 04:43:07+00:00,2025-07-12 13:04:37+00:00,千千,khshu_,1213351154266527,1213351154266527,106,29146.0,853697.0,"🥐 模型？？手拿包？？

解鎖帶大可頌在巴黎景點拍照！！
但
怎麼可能只有拿來拍照 🥰

拍照時真的有人問說是不是模型哈哈哈

#千在法國
#giantcroissant",17.03,,2025-02-22 12:43:07+08:00,2025-07-12 21:04:37+08:00,,Yes,MetaTool
2025-02-25 12:45:00+00:00,2025-02-27 13:05:05+00:00,千千,khshu_,908662271530878,908662271530878,35,3464.0,293768.0,"蝦咪！！！
那只要講通關密語就可以獲得海鮮拼盤 
不用當月壽星
不用指定信用卡
不用學生證（？

只要內用消費２客經典套餐
再喊出「#美味MOMENT！」
每桌即可獲得「 美式手抓海鮮拼盤 」乙份
超級簡單！！！
就是一種原本聚餐突然端上拼盤說「請你吃的感覺！🤤」

🉐優惠期間2025/3/1－4/30 
不知道聚餐該吃什麼嗎 
選西堤就對了 💓
↳  活動詳情，請參考西堤官方網站說明

#西堤牛排 #美味MOMENT #美味時刻VS美食水水 #美式手抓海鮮拼盤",78.88,,2025-02-25 20:45:00+08:00,2025-02-27 21:05:05+08:00,,Yes,MetaTool
2025-03-02 06:12:59+00:00,2026-01-21 01:36:45+00:00,千千,khshu_,1399132255282272,1399132255282272,61,7108.0,497367.0,"清邁的熱門打卡景點塔佩門
看到很多唯美鴿子起飛的照片跟影片就排了
大家都拍得很成功

我除外哈哈哈哈哈哈哈

#千在泰國
#千175ootd",14.3,,2025-03-02 14:12:59+08:00,2026-01-21 09:36:45+08:00,,Yes,MetaTool
2025-03-09 05:25:13+00:00,2026-01-02 22:41:42+00:00,千千,khshu_,1233342455437429,1233342455437429,69,26309.0,1028352.0,"來開箱熱門名店究竟好不好吃 🤤

Artist Bakery我後來外帶了一大堆 (*¯︶¯*) 🛍️

漢南洞馬鈴薯排骨湯是私心推薦 
（淨漢同款哈哈哈哈
每次去都要吃
隔天變豬頭但還是很幸福🥰

#千在韓國
#完整影片在頻道唷",64.93,{'0': 'non_public_1803042893741093'},2025-03-09 13:25:13+08:00,2026-01-03 06:41:42+08:00,,Yes,MetaTool
2025-03-14 05:51:25+00:00,2025-03-15 06:10:26+00:00,千千,khshu_,1629262918433176,1629262918433176,36,5923.0,382645.0,"你都講丁小雨還是阿拉蕾？

今天是白色情人節 (*¯︶¯*)
發個全白的影片也是很合理的吧 😆🫶🏻
祝大家快樂快樂 💓

#千在日本
#DBC滑雪 教練說我有進步
可以安心玩雪了 😆",12.47,,2025-03-14 13:51:25+08:00,2025-03-15 14:10:26+08:00,,Yes,MetaTool
2025-03-16 04:25:08+00:00,2025-12-27 11:13:35+00:00,千千,khshu_,1249017013795430,1249017013795430,78,8316.0,502356.0,"35億走失版 (⁎⁍̴̛ᴗ⁍̴̛⁎)
真的要看到後面 超好笑哈哈哈

#千不好用不推 精選團來了
實惠好穿又實用的衛生棉褲跟洗護用品開團中唷！！
尤其是讓我終於不用洗床單的衛生棉褲

必需品買完省下來的才會是真的 💓
精選動態有資訊可點進去看嘿 🫶🏻✨

//",64.33,,2025-03-16 12:25:08+08:00,2025-12-27 19:13:35+08:00,,Yes,MetaTool
