creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-08 12:46:13+00:00,2025-03-28 02:51:38+00:00,辣媽Shania,lamashania,1714018276672638,1714018276672638,13,844.0,71480.0,最滿意的Bagel配方 #液種法,48.85,,2025-01-08 20:46:13+08:00,2025-03-28 10:51:38+08:00,DEkKg9sz9Lv,Yes,Instaloader
2025-01-09 12:05:25+00:00,2025-02-18 05:14:10+00:00,辣媽Shania,lamashania,1398327788735454,1398327788735454,5,138.0,39751.0,"陶鍋滷五花 #辣媽簡單煮
用陶鍋滷肉很適合 快速就軟爛了
我用豆油伯的醬油 沒有滷包也很好吃
天氣冷 大家要保暖喔",38.87,,2025-01-09 20:05:25+08:00,2025-02-18 13:14:10+08:00,DEmqcu2TlZQ,Yes,Instaloader
2025-01-20 05:48:57+00:00,2025-02-18 05:14:10+00:00,辣媽Shania,lamashania,1581946426380274,1581946426380274,8,294.0,49330.0,黑糖發糕做起來 #過年,54.08,,2025-01-20 13:48:57+08:00,2025-02-18 13:14:10+08:00,DFCUYF9z7ML,Yes,Instaloader
2025-01-24 12:20:00+00:00,2025-02-18 05:14:10+00:00,辣媽Shania,lamashania,1542075400358574,1542075400358574,3,639.0,72142.0,豆沙鍋餅 #省時甜點,55.89,,2025-01-24 20:20:00+08:00,2025-02-18 13:14:10+08:00,DFNUSaITc7X,Yes,Instaloader
2025-01-29 12:01:20+00:00,2025-02-18 05:14:10+00:00,辣媽Shania,lamashania,26823983927192208,26823983927192209,0,28.0,35326.0,"2025年隨著川普再次上任，美國政局的變化將為全球經濟帶來新的變數。特別是在債券市場，政策走向可能重塑資金流動的格局，對投資人而言，這是一場挑戰，更是一次機遇。

在今年二月的高峰會上，我將與股乾爹透過對談的方式，和大家分享 2025 年經濟局勢。非常期待在現場與各位交流，探討如何抓住即將來臨的轉折點，讓我們在瞬息萬變的市場中保持敏銳洞察，並找到最佳的投資機會。

-
2025 知識衛星高峰會，2/17、18 兩天，在 TICC台北國際會議中心，聚集 32 位國內外行業的頂尖人士，能夠以不到 5,000 元的價格，一次聽到這麼多厲害的專業人士分享精華內容，絕對是超級划算的投資，參與者還可以在 3 個月內無限次線上回放複習！

#2025知識衛星高峰會 #打破閾值湧現增長
票量有限，趕緊前往了解：https://hi.sat.cool/602gn
2/16 號前結帳輸入專屬優惠碼 「bond200」，再享 $200 元折扣！",41.32,,2025-01-29 20:01:20+08:00,2025-02-18 13:14:10+08:00,DFaKMqgsktt,Yes,Instaloader
2025-02-25 06:02:10+00:00,2025-02-26 00:23:06+00:00,辣媽Shania,lamashania,746001851921437,746001851921437,0,94.0,34340.0,#ETF新手指南 #投資ETF #理財自由 #小資理財 #ETF比較 #投資更簡單,64.93,,2025-02-25 14:02:10+08:00,2025-02-26 08:23:06+08:00,DGfCgPqzia7,Yes,Instaloader
2025-03-05 04:32:37+00:00,2025-03-05 05:04:42+00:00,辣媽Shania,lamashania,1240924901328504,1240924901328504,0,106.0,38600.0,辣媽做什麼投資？ #ETF新手指南 #投資ETF #理財自由 #小資理財 #ETF比較 #投資更簡單,59.28,,2025-03-05 12:32:37+08:00,2025-03-05 13:04:42+08:00,DGzeYd8T_SL,Yes,Instaloader
2025-03-06 12:03:33+00:00,2025-03-06 12:36:08+00:00,辣媽Shania,lamashania,1295243615987199,1295243615987199,10,854.0,70663.0,"巧克力手撕餐包 #辣媽的手撕包 
食譜在留言處",70.7,,2025-03-06 20:03:33+08:00,2025-03-06 20:36:08+08:00,DG224ZjzmVD,Yes,Instaloader
2025-03-27 00:47:36+00:00,2025-08-04 01:15:55+00:00,辣媽Shania,lamashania,986294400494068,986294400494068,10,810.0,74766.0,1分鐘學會卡士達醬 #卡士達醬 #烘焙新手 #甜點控  #辣媽的簡單麵包,60.9,,2025-03-27 08:47:36+08:00,2025-08-04 09:15:55+08:00,DHruQSTT7pZ,Yes,Instaloader
2025-03-31 11:37:58+00:00,2025-08-05 11:49:07+00:00,辣媽Shania,lamashania,1388408935739333,1388408935739333,7,454.0,56882.0,卡士達麵包 #1分鐘學會 #辣媽的簡單麵包 #卡士達 #烘焙新手 #孩子最愛,55.77,,2025-03-31 19:37:58+08:00,2025-08-05 19:49:07+08:00,DH3L7GxzKCg,Yes,Instaloader
2025-04-04 12:14:13+00:00,2025-04-04 12:45:56+00:00,辣媽Shania,lamashania,2102958617145171,2102958617145171,1,608.0,60407.0,一分鐘教你打出漂亮麵糰 #攪拌器 #胖鍋 #烘焙新手 #辣媽的簡單麵包  #薄膜  #團購,63.74,,2025-04-04 20:14:13+08:00,2025-04-04 20:45:56+08:00,DIBjFIFzJsU,Yes,Instaloader
2025-04-17 03:30:17+00:00,2025-07-07 01:04:15+00:00,辣媽Shania,lamashania,868417729517272,868417729517272,8,372.0,55877.0,老麵乾烙餅 #老麵 #麵包機 #清淡飲食,56.4,,2025-04-17 11:30:17+08:00,2025-07-07 09:04:15+08:00,DIiFqZ_Trx3,Yes,Instaloader
2025-04-27 13:06:58+00:00,2025-04-27 13:09:45+00:00,辣媽Shania,lamashania,1953776018507859,1953776018507859,1,119.0,39635.0,"無水雞肉蔬菜鍋
沒力氣細編影片 簡單分享
有需要食譜請跟我說喔 #無水料理 #小v鍋",29.93,,2025-04-27 21:06:58+08:00,2025-04-27 21:09:45+08:00,DI83iEtzCxU,Yes,Instaloader
2025-05-04 12:36:04+00:00,2025-05-04 13:07:34+00:00,辣媽Shania,lamashania,904245839189642,904245839189642,11,458.0,51533.0,低糖低油 白芝麻葡萄乾麵包,47.95,,2025-05-04 20:36:04+08:00,2025-05-04 21:07:34+08:00,DJO1djCzVmL,Yes,Instaloader
2025-05-09 01:47:42+00:00,2025-05-09 01:50:54+00:00,辣媽Shania,lamashania,26271398305776880,26271398305776884,4,400.0,48897.0,蔥花辮子麵包 #辣媽的簡單麵包 #麵包機 #麵包機食譜,59.12,,2025-05-09 09:47:42+08:00,2025-05-09 09:50:54+08:00,DJajTu_TJgr,Yes,Instaloader
2025-05-12 12:26:24+00:00,2025-05-12 12:57:30+00:00,辣媽Shania,lamashania,830868150005364,830868150005364,0,73.0,40109.0,夫妻應該各自投資？還是合併投資？ 我跟滔哥是過來人，滔哥曾經想幫我買股票 誰知道遇到2008年金融海嘯，夫妻兩個就吵起來了。 更多搜尋「辣媽smart 熟能力」 #夫妻理財 #夫妻生活  #辣媽smart熟能力,63.73,,2025-05-12 20:26:24+08:00,2025-05-12 20:57:30+08:00,DJjajCGzz1V,Yes,Instaloader
2025-05-18 12:13:44+00:00,2025-05-18 13:00:07+00:00,辣媽Shania,lamashania,658524183984223,658524183984223,0,73.0,39123.0,"父母永遠比較在意孩子， 我們更該放下身為父母的驕傲，才有機會跟孩子更靠近。
#辣媽smart熟能力",45.49,,2025-05-18 20:13:44+08:00,2025-05-18 21:00:07+08:00,DJy1x5pz-wS,Yes,Instaloader
2025-05-21 00:42:40+00:00,2025-09-18 11:45:23+00:00,辣媽Shania,lamashania,748619301294735,748619301294735,7,475.0,52251.0,黑白芝麻吐司 #辣媽的簡單麵包  #早餐 #家庭烘焙,54.3,,2025-05-21 08:42:40+08:00,2025-09-18 19:45:23+08:00,DJ5VaRSz8o1,Yes,Instaloader
2025-05-23 03:55:36+00:00,2025-05-23 11:38:58+00:00,辣媽Shania,lamashania,1410727263932758,1410727263932758,8,188.0,54091.0,生孩子真的是愛情的墳墓嗎😩  歡迎各位媽媽來聽這一集 發洩一下 笑一笑也好 #辣媽smart熟能力,71.73,,2025-05-23 11:55:36+08:00,2025-05-23 19:38:58+08:00,DJ-1GOcTxf0,Yes,Instaloader
2025-05-28 01:18:52+00:00,2025-05-28 01:23:37+00:00,辣媽Shania,lamashania,5290675511156934,5290675511156934,8,579.0,66840.0,"脆皮巧克力菠蘿  巧克力香氣十足 吃幾天也不膩
#辣媽的簡單麵包 #孩子最愛  #家庭烘焙",48.13,,2025-05-28 09:18:52+08:00,2025-05-28 09:23:37+08:00,DKLbAKUTQAS,Yes,Instaloader
2025-06-03 03:58:46+00:00,2025-06-03 04:31:14+00:00,辣媽Shania,lamashania,721259411065416,721259411065416,0,90.0,48876.0,"女生比較會賺，跟婚姻是否幸福根本無關。 
希望透過這集的分享，讓更多女生心靈更自由，我們追求自己想要的，天經地義！ 不需要迎合別人的期待，而委屈自己。 更多歡迎追蹤我的podcast 

#辣媽smart熟能力  #女性心靈自由 #poscast",60.6,,2025-06-03 11:58:46+08:00,2025-06-03 12:31:14+08:00,DKbKL6oTnyx,Yes,Instaloader
2025-06-11 13:09:02+00:00,2025-06-11 13:13:09+00:00,辣媽Shania,lamashania,25616699581365640,25616699581365638,8,281.0,50810.0,"湯種紅豆土司 夏天做土司 發酵特別順利
#辣媽的簡單麵包 #湯種 #麵包機 #麵包食譜 #攪拌機",42.68,,2025-06-11 21:09:02+08:00,2025-06-11 21:13:09+08:00,DKwvh9IT7Za,Yes,Instaloader
2025-06-15 12:36:20+00:00,2025-06-15 12:39:07+00:00,辣媽Shania,lamashania,1446931093649287,1446931093649287,5,411.0,53967.0,"小烤箱烤pizza ， 皮脆超好吃👍🏻

#辣媽的簡單麵包 #阿拉丁烤箱",46.9,,2025-06-15 20:36:20+08:00,2025-06-15 20:39:07+08:00,DK6_AH4zw8U,Yes,Instaloader
2025-06-18 04:07:11+00:00,2025-06-18 04:39:45+00:00,辣媽Shania,lamashania,1967800007281205,1967800007281205,0,94.0,51054.0,股災之後 那個ETF最快漲回來？ 辣媽都投資什麼？ #ETF新手指南 #投資ETF #小資理財 #ETF比較 #投資更簡單 ＃股災 #定期定額,172.34,,2025-06-18 12:07:11+08:00,2025-06-18 12:39:45+08:00,DLBy7fMTroK,Yes,Instaloader
2025-06-24 11:49:28+00:00,2025-06-24 12:20:34+00:00,辣媽Shania,lamashania,1227225596179093,1227225596179093,9,372.0,57692.0,冰心維也納 原味/抹茶紅豆 #辣媽的簡單麵包  #烘焙 #抹茶,40.31,,2025-06-24 19:49:28+08:00,2025-06-24 20:20:34+08:00,DLSExaaTS8g,Yes,Instaloader
2025-06-25 12:00:08+00:00,2025-07-02 17:00:33+00:00,辣媽Shania,lamashania,1210698847796367,1210698847796367,0,65.0,55546.0,"跟老公家事怎麼分工呢？你們家老公是哪類型？ 
先照顧別人？還是先照顧自己？@😂
 #姐說了算  歡迎來聽我們的podcast",86.84,"{'0': '1997406854139875', '1': '1959811851624982', '2': '1398903798393777'}",2025-06-25 20:00:08+08:00,2025-07-03 01:00:33+08:00,DLUqe-0zIUZ,Yes,Instaloader
2025-07-02 12:48:30+00:00,2025-08-28 10:04:38+00:00,辣媽Shania,lamashania,828898223498263,828898223498263,17,579.0,74023.0,49歲老阿姨自戀一下 #辣媽shania #cebu,27.31,,2025-07-02 20:48:30+08:00,2025-08-28 18:04:38+08:00,DLmx1SLTFJm,Yes,Instaloader
2025-07-06 13:28:03+00:00,2025-07-06 22:42:50+00:00,辣媽Shania,lamashania,736744079294595,736744079294595,2,77.0,58525.0,"記帳才知道 你用錢交換了怎麼樣的人生！

為了要錄製這一集的Podcast我們四個結一起記帳，然後彼此交換看來才知道原來開銷這麼大。 也分享了 讓我感到最羞恥的消費😂 一起來聽聽我們怎麼說吧！",72.54,,2025-07-06 21:28:03+08:00,2025-07-07 06:42:50+08:00,DLxJUrOTBSs,Yes,Instaloader
2025-07-10 11:58:29+00:00,2025-07-20 23:12:10+00:00,辣媽Shania,lamashania,1537512434009880,1537512434009880,11,918.0,100956.0,0050 vs 0056那個好？ 這個話題一直很火熱。 你們覺得呢？ #市值型 #高股息 #辣媽聊財經 #理財小知識,103.07,,2025-07-10 19:58:29+08:00,2025-07-21 07:12:10+08:00,DL7SLErTKUs,Yes,Instaloader
2025-07-10 23:52:03+00:00,2025-07-12 10:59:44+00:00,辣媽Shania,lamashania,1188367560037200,1188367560037200,16,597.0,78664.0,"用優格做的麵包都多個香氣 麵包也會蠻柔軟的
#優格黑糖麵包 #辣媽的簡單麵包  #麵包機",53.31,,2025-07-11 07:52:03+08:00,2025-07-12 18:59:44+08:00,DL8kPZyz0Yh,Yes,Instaloader
2025-07-15 12:29:08+00:00,2025-07-15 13:56:17+00:00,辣媽Shania,lamashania,1618285079188211,1618285079188211,1,124.0,66056.0,優格雞腿排 #水波爐料理,21.24,,2025-07-15 20:29:08+08:00,2025-07-15 21:56:17+08:00,DMIOCgXTqtP,Yes,Instaloader
2025-07-18 00:40:22+00:00,2025-07-23 11:43:19+00:00,辣媽Shania,lamashania,927936429895057,927936429895057,4,641.0,85813.0,"夏天做麵包 越簡單越好 懶人芝麻餐包
#辣媽的簡單麵包",46.18,,2025-07-18 08:40:22+08:00,2025-07-23 19:43:19+08:00,DMOrUbfT-bI,Yes,Instaloader
2025-07-22 03:54:27+00:00,2025-08-28 08:54:29+00:00,辣媽Shania,lamashania,2758014871211206,2758014871211206,9,718.0,87863.0,女生不管幾歲 記得隨時留下你最美的樣子吧！某天你遇到挫折了，這些照片會給你強大的力量 撐過這一切。,74.53,,2025-07-22 11:54:27+08:00,2025-08-28 16:54:29+08:00,DMZUgjDTnaN,Yes,Instaloader
2025-07-23 12:08:03+00:00,2025-08-02 15:53:36+00:00,辣媽Shania,lamashania,2630067710708831,2630067710708831,3,533.0,87012.0,"蜂蜜優格土司 特柔軟
淡淡蜂蜜香 微微酸 好好吃 #辣媽的簡單麵包",53.38,,2025-07-23 20:08:03+08:00,2025-08-02 23:53:36+08:00,DMcyArFzCQX,Yes,Instaloader
2025-08-02 13:09:07+00:00,2025-08-04 05:49:26+00:00,辣媽Shania,lamashania,1554146512460089,1554146512460089,26,735.0,129697.0,"2014年這個重要的歌唱比賽，我失敗了。
但如果那時候我成功了，或許就沒有機會寫食譜出書了。 感謝一切的安排。",136.3,,2025-08-02 21:09:07+08:00,2025-08-04 13:49:26+08:00,DM2o1sLzNAx,Yes,Instaloader
2025-08-03 11:58:27+00:00,2025-11-12 07:52:00+00:00,辣媽Shania,lamashania,927159739741875,927159739741875,5,2243.0,216987.0,"不破皮 成功翻面 #古早味麥仔煎
第一次做就成功",51.5,,2025-08-03 19:58:27+08:00,2025-11-12 15:52:00+08:00,DM5Fo76z2k_,Yes,Instaloader
