creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-03-21 14:50:57+00:00,2025-09-02 14:35:16+00:00,依梨🐰,lebaby0v0,1588053002440988,1588053002440988,120,11474.0,480126.0,你好🫶,4.32,,2025-03-21 22:50:57+08:00,2025-09-02 22:35:16+08:00,DHdx-MmSBQp,Yes,Instaloader
2025-07-25 10:01:28+00:00,2025-09-03 06:50:45+00:00,依梨🐰,lebaby0v0,692702330502643,692702330502643,42,,297012.0,"好想要怪盜基德造型
8/1 傳說對決X名偵探柯南
聯動登場！趕快來抽(*´∀`)~♥ 
@moba.garena.tw 
 #傳說對決X名偵探柯南",19.97,,2025-07-25 18:01:28+08:00,2025-09-03 14:50:45+08:00,DMhtLggP8lm,Yes,Instaloader
2025-08-28 12:56:44+00:00,2025-11-05 13:59:08+00:00,依梨🐰,lebaby0v0,1415603323555852,1415603323555852,52,5758.0,290834.0,"太可愛了吧~~~(♡˙︶˙♡)
救世者之樹M居然找了超可愛的柴柴和貓咪當代言人!
柴犬七仙女-大冰奶、荷包蛋限定坐騎還有特殊時裝造型
偶都好想要ㄚㄚ~~~ (ﾉ>ω<)ﾉ

傳送門➡️➡️➡️ https://tosm.onelink.me/307y/qdrvxm25
@tosm_tw 
#救世者之樹M #TOSM #救世陪著你 #可愛冒險去
* 實際贈獎條件依官方遊戲公佈內容為主",44.72,,2025-08-28 20:56:44+08:00,2025-11-05 21:59:08+08:00,DN5kQVRAYIN,Yes,Instaloader
2025-10-11 14:28:37+00:00,2025-10-14 10:38:59+00:00,依梨🐰,lebaby0v0,1349525527210200,1349525527210200,77,,274416.0,"紀念今天提前舉辦的生日聚會❤️
謝謝來陪我慶生的所有人～
也特別感謝你們的禮物還有帶來的蛋糕食物請大家吃
整個超幸福搭🥹
許願拉錢錢蛋糕還真的有✌️太可愛了吧哈哈
謝謝有你們的陪伴！太開心啦🥰",37.57,,2025-10-11 22:28:37+08:00,2025-10-14 18:38:59+08:00,DPrAeWcEj49,Yes,Instaloader
2025-10-14 10:36:45+00:00,2025-10-22 15:26:50+00:00,依梨🐰,lebaby0v0,1445888280243406,1445888280243406,224,15483.0,449746.0,一起逛街吧🖤,11.54,,2025-10-14 18:36:45+08:00,2025-10-22 23:26:50+08:00,DPyVgLzkozT,Yes,Instaloader
2025-10-18 07:06:04+00:00,2025-12-17 17:24:32+00:00,依梨🐰,lebaby0v0,677796222023834,677796222023834,97,15541.0,635972.0,水龍頭變裝❤️,8.93,,2025-10-18 15:06:04+08:00,2025-12-18 01:24:32+08:00,DP8QiUJEZXx,Yes,Instaloader
2025-11-05 07:01:31+00:00,2025-11-11 16:21:37+00:00,依梨🐰,lebaby0v0,1367755515121071,1367755515121071,74,8845.0,363676.0,多眼皮👀✨,8.71,,2025-11-05 15:01:31+08:00,2025-11-12 00:21:37+08:00,DQqmVVLEoCf,Yes,Instaloader
2025-11-28 09:10:26+00:00,2026-02-03 10:04:17+00:00,依梨🐰,lebaby0v0,907710221746013,907710221746013,65,,315971.0,"😋
#reel",9.88,,2025-11-28 17:10:26+08:00,2026-02-03 18:04:17+08:00,DRmDSbFknF4,Yes,Instaloader
2025-12-11 10:01:15+00:00,2025-12-24 04:24:24+00:00,依梨🐰,lebaby0v0,25927988076892300,25927988076892300,52,,283835.0,"你會選擇 ... 
小白兔🐰 或黑天鵝🦢？ 
古典女神👑 或吉普賽女郎🔮？

#RO世界時尚大賞 #RO世界穿衣自由

新作RO刪除了戰力值！在《RO仙境傳說：世界之旅》再也不用為戰力值穿醜衣服，從此只為仙女顏值買單💕
超高自由度染色，一件衣服就擁有百變風格！(✪ω✪)
在RO世界成年人不用做選擇
預約傳送門👉  https://pse.is/8f7aec 

現在還有時裝設計活動
按讚數最高的時裝開服就免費拿~~~ (*´д`)~♥ 
來投出你的一票吧👉 https://pse.is/8f7xy3 

#RO仙境傳說世界之旅 #RO世界",55.42,,2025-12-11 18:01:15+08:00,2025-12-24 12:24:24+08:00,DSHnn6qgc7C,Yes,Instaloader
2025-12-16 09:33:42+00:00,2026-01-08 19:34:10+00:00,依梨🐰,lebaby0v0,1231751952406614,1231751952406614,250,63293.0,6788808.0,沒有帽子只好抓馬尾了☺️,6.71,,2025-12-16 17:33:42+08:00,2026-01-09 03:34:10+08:00,DSUccnLkps3,Yes,Instaloader
