creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-03 10:00:00+00:00,2025-11-06 13:49:06+00:00,長笛姐姐🪄Lily Flute,lilyflute,1436155708133289,1436155708133289,110,1892.0,84746.0,"12345678 Challenge⚡️
雙人台語版✋🏻一起來挑戰！
By台語不行的兩人ʕ•ᴥ•ʔ

#12345678 #12345678challenge #fyp #fypシ #長笛姐姐 #lucyviolin",37.64,{'0': '1612691079753240'},2025-01-03 18:00:00+08:00,2025-11-06 21:49:06+08:00,DEW_r9uSmK3,Yes,Instaloader
2025-01-04 10:51:01+00:00,2025-02-15 21:03:56+00:00,長笛姐姐🪄Lily Flute,lilyflute,919901723791426,919901723791426,31,2045.0,82615.0,"Tocatoca Flute & Dance 
長笛姐姐演奏跳舞演出💃紀錄連續登入第二年的跨年晚會✌🏻2025長笛姐姐繼續活潑可愛嗨下去📣

Super thx 💖
長榮鳳凰酒店 @jiaosi.evergreen 
多加藝術 @dorcas_art_studio
麥克風使用 @cloudvocal @cloudvocal.tw
側拍協力 @metrie3333

-
#tocatoca #dance #flute #2025",27.57,,2025-01-04 18:51:01+08:00,2025-02-16 05:03:56+08:00,DEZp4MDy0FU,Yes,Instaloader
2025-01-08 10:42:34+00:00,2025-02-15 21:03:56+00:00,長笛姐姐🪄Lily Flute,lilyflute,883351934612903,883351934612903,88,1245.0,53902.0,"快樂QQ球完美試吃員✌🏻
長笛姐姐的最愛😍一直吃一直Q！

#美食 #快樂QQ球 #晴光市場 #夜市 #夜市美食 #foodie #fyp #fypシ #長笛姐姐 #廢片",12.73,,2025-01-08 18:42:34+08:00,2025-02-16 05:03:56+08:00,DEj8XNEy7a5,Yes,Instaloader
2025-01-11 10:00:12+00:00,2025-02-15 21:03:56+00:00,長笛姐姐🪄Lily Flute,lilyflute,1605118727578187,1605118727578187,53,1274.0,51348.0,"Feel free to say hiヽ(*´∀｀)
長笛姐姐商演尾牙婚禮現場出沒中，歡迎相認不要客氣不要害羞（扭

#長笛姐姐 #fyp #fypシ #廢片 #尾牙 #春酒 #商演 #長笛 #lilyflute",5.73,,2025-01-11 18:00:12+08:00,2025-02-16 05:03:56+08:00,DErjaYNy3lU,Yes,Instaloader
2025-01-16 13:14:39+00:00,2025-05-29 17:58:32+00:00,長笛姐姐🪄Lily Flute,lilyflute,849044761442103,849044761442103,38,1342.0,78025.0,"今晚演出大成功٩(๑❛ᴗ❛๑)۶
雙L的組合最高です🤍
終於能一起穿最愛白色戰袍のUS！
Thanks so much @bespokemkad 🌟

#KHÔNGSAOCẢ #괜찮아 #沒關係 #商演 #尾牙 #春酒 #演出 #小提琴 #長笛 #長笛姐姐 #violin #flute #fyp #fypシ",13.57,,2025-01-16 21:14:39+08:00,2025-05-30 01:58:32+08:00,DE4zxC7Slgg,Yes,Instaloader
2025-01-18 11:43:28+00:00,2025-06-16 17:55:47+00:00,長笛姐姐🪄Lily Flute,lilyflute,1916851045856832,1916851045856832,41,1552.0,83009.0,"Wait！……不要停！
Wait dance challenge✋🏻
尾牙演出空檔一直研究威～

#waitdance #wait #fyp #fypシ #meme",12.24,,2025-01-18 19:43:28+08:00,2025-06-17 01:55:47+08:00,DE9y-UXSr8I,Yes,Instaloader
2025-01-21 12:08:16+00:00,2025-12-09 10:18:44+00:00,長笛姐姐🪄Lily Flute,lilyflute,956277583728323,956277583728323,29,1307.0,69961.0,"放寒假首發！Undead練起來！
打卡解鎖南投日月潭新飯店💃

#Yoasobi #undead #tutorial #flute #lilyflute #dance #長笛 #教學 #簡譜 #樂譜 #長笛姐姐",15.57,,2025-01-21 20:08:16+08:00,2025-12-09 18:18:44+08:00,DFFkMmTS-YB,Yes,Instaloader
2025-02-01 10:02:28+00:00,2026-01-15 14:28:27+00:00,長笛姐姐🪄Lily Flute,lilyflute,863384849794213,863384849794213,34,1265.0,80124.0,"YOASOBI UNDEAD🐍
Violin Flute and Dance💃
金蛇狂舞🧨蛇年大吉🧧
邁向新的一年Run for the future🙌🏻",15.87,,2025-02-01 18:02:28+08:00,2026-01-15 22:28:27+08:00,DFhqnTXSswl,Yes,Instaloader
2025-02-14 11:02:15+00:00,2025-12-19 00:37:46+00:00,長笛姐姐🪄Lily Flute,lilyflute,886366303997454,886366303997454,30,1037.0,63866.0,"猜一古典名曲💡情人節鉅獻💘
Violin Flute Duet 💃小提琴長笛二重奏

-

#Violin #Flute #バイオリン #フルート #長笛 #小提琴 #classicalmusic #hungariandance",27.54,,2025-02-14 19:02:15+08:00,2025-12-19 08:37:46+08:00,DGDP-JPSZJ3,Yes,Instaloader
2025-02-22 10:00:00+00:00,2025-11-06 13:49:08+00:00,長笛姐姐🪄Lily Flute,lilyflute,1292344759393746,1292344759393746,27,820.0,67561.0,"Carmen Flute & Violin Duet🌹Opening Performance
好聽到觀眾都定格的《卡門》哈哈點進來就知道了！Full Ver. YT:LilyFlute完整版長笛姐姐頻道收看去🔔

🧑‍🎨白魚藝廊開幕記者會開場演出🎻長笛姐姐Lily與小提琴Lucy出任務✨

非常喜歡白魚大師系列畫作當中，招牌使用低調奢華的黃金元素，此次特別準備金色亮片戰袍搭配出場，優雅樂音結合藝術畫作，有沒有人發現我們的巧思與用心呢(*´-`)

Super thx🎨
藝廊邀請演出 @jcartsnettw
白魚大師神作 @pahsilin 
Photographer <redacted_mention> 
Photos @jcartsnettw 
Musicians @lilyflute @lucyviolist 

—————————————————————————

#演出邀請歡迎私訊 #記者會 #開幕 #開場 #小提琴 #長笛 #violin #flute #live 
#長笛姐姐​​​​​​​​​​​​ #Lilyflute​​​​​​​​​​​​ #長笛演奏​​​​​​​​​​​​ #長笛老師​​​​​​​​​​​​ #長笛​​​​​​​​​​​​ #flute​​​​​​​​​​​​ #플루트​​​​​​​​​​​​ #长笛​​​​​​​​​​​​ #フルート​​​​​​​​​​​​ #fløyte​​​​​​​​​​​​ #fluit​​​​​​​​​​​​ #flöte​​​​​​​​​​​​ #fuvola​​​​​​​​​​​​ #flauta​​​​​​​​​​​​ #поперечнаяфлейта​​​​​​​​​​​​ #flöjt​​​​​​​​​​​​ #fløjte​​​​​​​​​​​​ #flüt​​​​​​​​​​​​ #poikkihuilu​​​​​​​​​​​​ #演出找Lily​​​​​​​​​​​​ #商演

✏️以下文字轉貼引用自
 食泊樂玩／行遍天下 粉專新聞稿

台北藝術界迎來新亮點！JC Artsnet Gallery 白魚旗艦藝廊正式進駐陽信銀行總部大樓，將於114年2月18日舉行開幕記者會。這不僅為中山區注入文化新活力，更象徵金融與藝術的跨界融合！🌟

藝廊特邀國際知名藝術家林伯禧・白魚進駐，其獨創的「無隅（Infinity Art）」藝術流派，融合東方古墨與珍貴礦石，作品更獲教宗方濟各典藏！🌍🎨 未來，白魚計劃將藝術版圖拓展至全球，並成立「白魚藝術基金會」，推動國際藝術合作與文化共融。

藝廊負責人陳慧蓉致力培育台灣新銳藝術家，並透過國際扶輪社拓展藝術交流。白魚旗艦藝廊的成立，將提升台灣當代藝術能見度，促進異業合作，讓藝術融入生活，成為投資新選擇！💼🖼️",59.35,"{'0': '1612691079753240', '1': 'non_public_1873939910156703'}",2025-02-22 18:00:00+08:00,2025-11-06 21:49:08+08:00,DGXvhaiSwfA,Yes,Instaloader
