creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-02-27 11:09:16+00:00,2025-07-25 05:48:45+00:00,人生肥宅x尊,loserzun,1440725130781510,1440725130781510,51,13498.0,522699.0,"100年前的貓娘：高冷、迅捷、神秘感
現代貓娘：超濃起司

即日起到3/4，在全家便利商店購買extra®口香糖
62克袋裝兩件只要125元!
還不買爆屯起來!!

#extra #無糖口香糖 #嚼出你的好狀態",82.37,,2025-02-27 19:09:16+08:00,2025-07-25 13:48:45+08:00,DGkvPMCv-uC,Yes,Instaloader
2025-03-05 10:28:09+00:00,2025-08-06 04:56:21+00:00,人生肥宅x尊,loserzun,3043845805825808,3043845805825808,175,26598.0,650432.0,"我明明照著你們說的做
怎麼沒有轉型成帥氣型KOL,哪裡錯了嗎? 🤔🤔🤔

#戀與製作人 #大鼓 #男團",59.53,,2025-03-05 18:28:09+08:00,2025-08-06 12:56:21+08:00,DG0HSMHxmuo,Yes,Instaloader
2025-03-27 10:00:00+00:00,2025-06-28 17:00:16+00:00,人生肥宅x尊,loserzun,25788575030769880,25788575030769885,43,13316.0,480225.0,"我:再買我就剁手!!
也是我:蝦皮短影音上這個商品看起來很猛,買個

📢 24 小時短影音無限刷，蝦幣加碼輕鬆拿！
📢 註冊蝦皮分潤，上傳短影音，單單有機會享 3%  up 分潤金！
📢 邊看邊買，購物 + 娛樂一次滿足！
📢 人人都是影音創作者，快來將流量變現！
———————————————————

加入最棒的蝦皮分潤計畫，成為蝦皮er!： https://s.shopee.tw/LZI3JHMQK
也可以輸入我的推薦代碼DEHKU5E

@shopee_tw
#蝦皮短影音 #一起來蝦拚",88.8,,2025-03-27 18:00:00+08:00,2025-06-29 01:00:16+08:00,DHstqtYSvlg,Yes,Instaloader
2025-04-01 10:00:00+00:00,2025-07-17 23:02:40+00:00,人生肥宅x尊,loserzun,1553729935707747,1553729935707747,116,19924.0,663283.0,"這個應急食品比我的正餐還豐盛
我平常的生活才是在求生吧

超自然開放世界生存遊戲-ONCE HUMAN
4/24 全球正式上市!! 
還沒預約的趕快上車!!!
預約還有價值百萬豪裡可以拿!!
https://oncehuman-hmt.onelink.me/bNvr/ZUN",89.83,,2025-04-01 18:00:00+08:00,2025-07-18 07:02:40+08:00,DH5lvMlTDaO,Yes,Instaloader
2025-07-03 10:00:00+00:00,2025-09-01 04:09:05+00:00,人生肥宅x尊,loserzun,945085494525836,945085494525836,65,11106.0,442145.0,"執行理智檢定⭢20
尊成功喝下【克蘇魯海鮮粥】
理智20⭢0

如果大家想要體驗SAN值歸零
玩超自然開放世界遊戲 #Oncehuman 就好了
現在2.0年度大更新
還有最新劇本-無盡長夢
以及一大堆福利
入坑回鍋最好時機!!

手機下載 https://oncehuman-hmt.onelink.me/bNvr/zun3

STEAM下載 https://reurl.cc/7K6A3b",59.73,,2025-07-03 18:00:00+08:00,2025-09-01 12:09:05+08:00,DLpDkUAP4tb,Yes,Instaloader
2025-09-05 10:00:00+00:00,2025-09-07 03:00:31+00:00,人生肥宅x尊,loserzun,1637900690962758,1637900690962758,118,73933.0,958896.0,"花一個小時精心抓拍的超美貓咪瞬間:興趣0%
醜貓抱枕:這才是!藝術!

現實中也想體會被療癒和陪伴的感覺
那就來玩救世者之樹M吧!!
寵物網紅柴犬七仙女大冰奶 荷包蛋置入遊戲陪伴冒險
一起加入@tosm_tw 直接讓你賽博嚕寵!!
https://tosm.onelink.me/307y/6f4d591f

#救世者之樹M #TOSM #救世陪著你 #可愛冒險去",87.83,,2025-09-05 18:00:00+08:00,2025-09-07 11:00:31+08:00,DON2dLgkzqE,Yes,Instaloader
2025-10-12 10:00:00+00:00,2025-10-17 20:40:17+00:00,人生肥宅x尊,loserzun,1375340361023852,1375340361023852,316,72465.0,1413453.0,"現在珍珠都越做越小顆
文藝復興的風潮由我引領!!
做只有一顆Q軟好捏的珍奶!!😡😡

隨時隨地都好捏的超療癒的RPG手遊《嘟嘟臉惡作劇》終於上線了～
每個角色臉都超Q超軟!!超想捏爆!!
壓力大就上線捏一捏他們吧!!

#嘟嘟臉惡作劇 #不給捏就搗蛋",90.93,,2025-10-12 18:00:00+08:00,2025-10-18 04:40:17+08:00,DPtH6ipEQ5Y,Yes,Instaloader
2025-11-25 10:52:45+00:00,2025-12-01 03:43:04+00:00,人生肥宅x尊,loserzun,853988970979697,853988970979697,82,41579.0,624863.0,"廣告越來越多
獎牌越來越小😡",53.1,,2025-11-25 18:52:45+08:00,2025-12-01 11:43:04+08:00,DReg1HfEU_k,Yes,Instaloader
2025-12-12 09:51:18+00:00,2025-12-19 10:01:24+00:00,人生肥宅x尊,loserzun,1418512653361735,1418512653361735,61,13666.0,133431.0,"如果不吃了也可以當武器跟太空怪物戰鬥
硬到可以當凶器
但真的想戰鬥還是玩2026年最期待的遊戲《明日方舟:終末地》
全球公測正式定檔2026年1月22日

#明日方舟終末地 #終末地 #終末地0122",88.27,,2025-12-12 17:51:18+08:00,2025-12-19 18:01:24+08:00,DSKJ_Z8kWe6,Yes,Instaloader
2025-12-21 09:57:06+00:00,2026-01-08 11:57:10+00:00,人生肥宅x尊,loserzun,1407717173908651,1407717173908651,215,81197.0,1061791.0,"平常都是送東西到監獄裡
第一次收到監獄裡寄出來的禮物
有點緊張",46.65,,2025-12-21 17:57:06+08:00,2026-01-08 19:57:10+08:00,DShXBkwEdYW,Yes,Instaloader
