creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-18 14:19:12+00:00,2025-04-29 05:58:05+00:00,MaoMaoTV,maomaotv,1266828245364198,1266828245364198,18,1223.0,146520.0,"拜託所有懶人都要買這個😭
自從我開始用這個黏貼海綿之後
我家的洗面台真的變超乾淨✨✨✨

家裡為什麼會髒
我發現原因就只有「懶」
我雖然是個大懶人
但是這個海綿也太剋我了
黏在鏡子上
看到洗面台哪裡不順眼
直接拔下來，刷兩下就對了👍

造型也做成 #可愛的水滴狀
不會讓你覺得黏在鏡子上的是一塊髒髒的海綿
（一包有兩色，灰色更不顯髒）

是說有銅離子跟銀離子的 #雙重抗菌
讓海綿不容易發霉有黑點點！
（我就買過一次，超耐用還在用第一顆👍）

前幾個月有在YouTube上面介紹
聽我哥說藥妝店已經賣爆xD
所以我覺得一定也要在IG
跟大家分享這個超好用的小東西！！

#哪裡可以買?
大家可以截圖，然後點下面連結
https://shorturl.at/eCvZB

或是到我哥的藥妝店惠比壽日藥直送
@ebisu_drug_store 
搜尋🔍黏貼海綿

真的好用到不行！！！！

#日本好物推薦 #日本藥妝店真的太好逛",65.43,{'0': '911167815143296'},2025-01-18 22:19:12+08:00,2025-04-29 13:58:05+08:00,DE-E_iOzuI6,Yes,Instaloader
2025-01-24 15:00:40+00:00,2025-02-15 07:25:24+00:00,MaoMaoTV,maomaotv,1570880124171305,1570880124171305,36,3822.0,231366.0,"你知道暖桌也會換季嗎？
今年日本入冬 是我第一次體驗暖桌換季！

一直都超愛日本的暖桌🔥
這個把所有人變成冬天小廢物的神奇發明
（冬天躲在暖桌裡面看電視吃橘子就是人間享受）
但我還是第一次體驗暖桌變身✨✨

留言告訴我～
你知道原來暖桌也會換季嗎？
還是..你也想要家裡有一台暖桌嗎？

#日本生活趣事 #神奇的暖桌",29.8,,2025-01-24 23:00:40+08:00,2025-02-15 15:25:24+08:00,DFNmK2uTjPe,Yes,Instaloader
2025-02-07 14:41:46+00:00,2025-04-26 01:53:26+00:00,MaoMaoTV,maomaotv,935724298981011,935724298981011,71,11290.0,428225.0,"日本遇到10年最強寒流！
連四國都下大雪～～～～～❄️
去個超商出來就下大雪！
在台灣長大的我表示興奮到不行
老公覺得我反應很誇張xDD

最可愛的是
四國的鴨子跟台灣的我一樣好像都不習慣看到雪
四國鴨鴨嚇死了
一定在想 怎麼這麼冷 夭壽哦
這白白的是啥 沒看過 先咬一下 🤣🤣🤣

#四國大雪 #德島 #日本 #下雪 #我們家的車xD",30.03,,2025-02-07 22:41:46+08:00,2025-04-26 09:53:26+08:00,DFxnmXZz8Tk,Yes,Instaloader
2025-02-09 11:00:35+00:00,2025-04-09 08:55:27+00:00,MaoMaoTV,maomaotv,2363074940842951,2363074940842951,43,4948.0,223901.0,"日本遇到大寒流
各地本來不下雪的地方都下雪了

雖然看似很美，但真的很危險
（上一個影片沒有給大家看到這一面）
我們從香川去德島工作
沒想到因為工作延誤一天
回來路上剛好遇到大雪
我們的車不是用雪胎
（這個地區的車都不是）
所以遇到突如其來的大雪真的很危險
煞車煞不住
尤其遇到下坡、轉彎特別容易發生事故
看到新聞甚至有車滑進河川裡

我們後來臨時改變行程
慢慢開到最近的城市（20min）
然後住一晚隔天再回家！

相信一定會有人有這樣的疑問
「為什麼不用雪胎（裝雪鏈）就好？」

其實我也問了老公一樣的問題
「為什麼不平常就用雪胎就好？
萬用輪胎，這樣就不用去擔心啦！」
但原來雪胎消耗得快，平時不會有人在不下雪時使用
買一組雪胎呢？會沒有地方放
這就是一般日本不下雪地區的現況
雪胎很理想 但是不現實
所以幾乎所有的人不會準備雪胎
然而一下雪就真的很危險
能做的只能儘量不要在下雪的時候出門
但是大家都要生活
相信出門的人都是有事在身 不得已呀

不論如何
大家出門在外一定要平安！

#日本 #日本大雪 #香川 #德島",30.2,,2025-02-09 19:00:35+08:00,2025-04-09 16:55:27+08:00,DF2X3yyzJW_,Yes,Instaloader
2025-02-17 07:32:27+00:00,2025-02-19 10:42:31+00:00,MaoMaoTV,maomaotv,1470878167885094,1470878167885094,11,1875.0,108107.0,"這樣的情人節會不會太忙？🌹
分享一下我們情人節的一天💌😂

最近默默開始了一個新興趣！網球！！
家裡附近的健身房可以上課，但是這一個月以來因為我的拍攝出差，老公的旅行團都剛剛好上不了課。

難得網球禮拜五來了沒有要出門的工作安排，偏偏又跟情人節重疊...但我真的不想再錯過上課的機會，跟Hiroki說晚上想去打網球.. 他則像平常一樣都是很flexible地配合我讓我可以做到我想做的事（感謝老公 讚嘆老公）於是我們的情人節大餐就安排到中午吃了🍷

但其實情人節計劃就是從白天工作，晚上慶祝變更為白天慶祝，下午工作，晚上打網球🎾🎾🎾
因為他想做的事情，就是工作xD

我們都是自雇者，沒有所謂的上班下班，說是自由生活，但其實大部分的時間(95%？)都是隨時隨地都在工作，也因為Hiroki旅行社的關係，我們這一年時常一起工作，幾乎247相處在一起，但是情人節的儀式感還是很重要的對吧!!! 只是在我們兩個人的情況下，情人節變得有點浪漫又有點忙碌🌹🍷🙈

#情人節 #valentines",35.83,,2025-02-17 15:32:27+08:00,2025-02-19 18:42:31+08:00,DGKmYc9TQX6,Yes,Instaloader
2025-02-21 12:36:10+00:00,2025-02-25 00:36:17+00:00,MaoMaoTV,maomaotv,1444147773760728,1444147773760728,0,333.0,63242.0,"每個月的期待!!
這次的美甲也好喜歡~🩵💙🤍
我是一個幾乎不會出門做美容的人
美容院半年到一年去一次(我都自己剪） 魚干女是我🙋‍♀️
省下來的錢都花在美甲上了～～～

いつも可愛いネイルを描いてくれ
ありがとうございますー💙💙💙✨
<redacted_mention>",5.87,{'0': 'non_public_925748756622251'},2025-02-21 20:36:10+08:00,2025-02-25 08:36:17+08:00,DGVb7phzXpB,Yes,Instaloader
2025-02-27 05:40:34+00:00,2025-05-22 01:29:58+00:00,MaoMaoTV,maomaotv,1274170657952287,1274170657952287,190,1231.0,78527.0,"#抽日本免費住宿!!! #寵粉文來囉～
第一次來海陽町是跟老公surf trip 🏄‍♀️
這次是難得來這裡然後沒有衝浪的慢旅行😚

真的沒想到在這個寧靜的濱海小鎮會有這麼好玩又神奇的體驗
而且還是世界首創？？？這個地方真的有點厲害

德島就在我們住的香川隔壁
以前也來過海陽町好幾次
但都是衝浪為主，第一次這樣慢旅💙

📝這篇可以存～ 

海陽町不只有美麗的山海還有美食跟有趣的體驗
這麼棒的小鎮大家都不知道真的太可惜了！

🎁 這篇會抽獎送日本住宿卷哦！送好大ne

step 1. 留言「海陽町」+tag 一位朋友
step 2. 追蹤 @kaiyo_kankou 
step 3. 點讚這個po文
就抽獎送出「當地免費住宿卷+豪華龍蝦大餐」！！
（豪華到不行～～～～～😳😍✨✨✨）

*抽出一組（可2人使用）

這個獎是真的很豪華～～～
希望我可以把海陽町發揚光大！

這趟旅程還遇到了改變我人生的人事物
（關於健康，之後會分享）

#日本 #日本鄉下 #日本小鎮 #慢旅 #四國 #德島 #海陽町",39.7,,2025-02-27 13:40:34+08:00,2025-05-22 09:29:58+08:00,DGkJeHyzg0J,Yes,Instaloader
2025-02-28 12:02:47+00:00,2025-09-05 21:00:43+00:00,MaoMaoTV,maomaotv,890537726946523,890537726946523,268,593.0,129848.0,"好奇問一下你們都幾天洗一次衣服？
我現在住在婆家 5口人真的不每天洗不行
以前一個人or同居時期大概2～3天洗一次🤣🤣
會被列為魚干女嗎？🙈

留言「帆立貝洗衣」
發送連結給你喔！

這是我從去年開始用的帆立貝洗衣碇
覺得hen好用～ 分享給大家～

洗衣服的時候加2～3顆就ok
然後加入平常喜歡的洗衣精照常洗
就會洗完衣服連洗衣機槽都一起亮晶晶！！✨

每次洗衣都可以清除洗衣槽的黴菌🦠
同時對衣物進行抗菌處理 洗完不容易有濕氣異味
我也要幫我媽買一包
因為真的超級適合潮濕的台灣!!!!

我很推這個的原因是
最近對「無添加」、「天然」超級感興趣！
HOTAPA它就是一種利用高溫烤烘帆立貝貝殼
將原有的鹼性更加強化的天然成分產品
溶解在水中後，會形成pH值約為11到12的強鹼性水
可以在約5分鐘內除菌👍

#日本藥妝 #日本藥妝店超好逛 #日常分享 #生活",16.81,{'0': '911167815143296'},2025-02-28 20:02:47+08:00,2025-09-06 05:00:43+08:00,DGnaC6ZzyvQ,Yes,Instaloader
2025-03-01 11:54:04+00:00,2025-04-24 11:46:24+00:00,MaoMaoTV,maomaotv,902039179249343,902039179249343,3153,12241.0,372805.0,"#日本鄉下 德島的海太美！！！
多美的海才有辦法連微光的地方都顏色這麼美！！
這家德島海陽町#元祖海賊料理 真的必存！

漂浮在海面上由日本老夫婦經營。
老先生以前衝浪，現在釣魚
還跟我們說他以前衝浪的時候日本人還不知道這個運動呢
（確實幾十年前的話絕對是衝浪的先驅）

這裡的海鮮全部都是在你點餐後再從海裡撈出來的
大海就是這裡的冰箱，保證新鮮！
（新鮮到還在動啊～～～🫨）

留言「海陽町」
我會發餐廳詳情給你哦！

這家餐廳是 @kaiyo_kankou 介紹給我的💙🩵

#日本 #日本鄉下 #德島 #海陽町 #海賊料理",52.07,,2025-03-01 19:54:04+08:00,2025-04-24 19:46:24+08:00,DGp62_9zXkd,Yes,Instaloader
2025-03-18 09:18:01+00:00,2025-03-20 23:18:08+00:00,MaoMaoTV,maomaotv,1240507104223704,1240507104223704,6,1348.0,97379.0,"我在日本山裡認識了一對經營日本藍染工坊的夫婦。他們從染料的植物播種開始，全部都是自給自足，並且堅持無農藥的永續農業。

你們有注意到老闆的藍染職人的手嗎？
超帥！！
藍染體驗是可戴手套的
不想染到手的人也可以安心體驗
（但是我想，所以沒有戴手套💙）
染劑是無農藥/純天然 所以完全不用擔心👍
大概1-2週會完全退掉

這是我第一次體驗藍染
本來買了一條瑜伽褲帶去（可以帶自己想染的東西去！）
結果瑜伽褲是尼龍材料，會染不上去😂
後來用老闆的純棉材質leggings染～

由於是手工染布，
老實說染出來的樣子，跟我本來想像的不一樣..
因為其實染出來的成果
比我想像的要更好看🩵💙

德島的藍染是日本全國引以為傲的傳統文化。
日本藍染料すくも（su-ku-mo）產地第一的地方就在德島！

🩵藍染工坊💙
@shoji.takuya.12 @shojiakane 

#德島 #海陽町 #藍染 #日本傳統 #海陽町",35.01,"{'0': '1203111781747021', '1': '1599994124670597'}",2025-03-18 17:18:01+08:00,2025-03-21 07:18:08+08:00,DHVdCahz3dH,Yes,Instaloader
