creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-03 09:42:04+00:00,2025-02-17 09:35:36+00:00,方建豪,martinispig,1526347639026172,1526347639026172,4,974.0,87715.0,"這次我哥問我有沒有想要玩的點
我指定要看動物
就找到了這個免費的
又能看超多保育類的原生動物動物
好讚哦

#澳洲 #澳洲生活 #澳洲打工度假",47.6,,2025-01-03 17:42:04+08:00,2025-02-17 17:35:36+08:00,DEW9kHATe-s,Yes,Instaloader
2025-01-05 09:30:00+00:00,2025-05-24 15:22:51+00:00,方建豪,martinispig,1943135372989667,1943135372989667,42,2210.0,139228.0,"澳洲菜市場
買一輪會花多少錢？

#澳洲 #澳洲生活 #澳洲留學 #澳洲打工度假 #菜市場",59.17,,2025-01-05 17:30:00+08:00,2025-05-24 23:22:51+08:00,DEcF6RtTAU3,Yes,Instaloader
2025-01-08 09:32:35+00:00,2025-02-17 09:35:35+00:00,方建豪,martinispig,1421969079727570,1421969079727570,12,1090.0,114610.0,"澳洲休息站都賣什麼
有些連吃的都沒有只有公廁
這間算不錯了

#澳洲 #澳洲生活 #澳洲留學",41.1,,2025-01-08 17:32:35+08:00,2025-02-17 17:35:35+08:00,DEj0cxDznBW,Yes,Instaloader
2025-01-11 09:40:41+00:00,2025-07-22 04:36:28+00:00,方建豪,martinispig,2169928843750672,2169928843750672,16,4108.0,309447.0,"🥩🥩🥩
只要260元起
就能吃好多
披薩 炸物 水果 冰淇淋
CP值好高欸
但用餐時間比較短

💰$260
📍 台北市大安區信義路三段101號

#大胃王 #大胃王挑戰 #吃到飽 #牛排 #炸雞 #披薩 #Pizza #甜點 #台北 #大安區 #平價吃到飽 #台北美食 #大安美食 #美食 #平價美食 #cp值  #大食い #howhoweat #foodchallenge

大家看完後會想來試看看嗎？",53.6,,2025-01-11 17:40:41+08:00,2025-07-22 12:36:28+08:00,DErjseozvm2,Yes,Instaloader
2025-01-13 09:44:12+00:00,2025-02-17 09:35:35+00:00,方建豪,martinispig,1996580884601888,1996580884601888,12,1510.0,152727.0,"澳洲吃一餐
會花多少台幣呢？

澳洲最低一小時
時薪是$480台幣
大家覺得這樣生活成本如何呢？

#澳洲 #澳洲生活 #澳洲留學 #澳洲打工度假",60.47,,2025-01-13 17:44:12+08:00,2025-02-17 17:35:35+08:00,DEwtvlzzDS-,Yes,Instaloader
2025-01-21 09:51:48+00:00,2025-02-17 09:35:35+00:00,方建豪,martinispig,2367856800348819,2367856800348819,35,4282.0,468686.0,"只能在夢裡買一間了😭

地點：balwyn north

#澳洲 #澳洲生活 #澳洲留學 #澳洲打工度假 #澳洲房地產 

8000萬買嗎",61.63,,2025-01-21 17:51:48+08:00,2025-02-17 17:35:35+08:00,DFFU6glzj_o,Yes,Instaloader
2025-02-02 09:59:12+00:00,2025-02-17 09:35:35+00:00,方建豪,martinispig,843925821996481,843925821996481,5,1192.0,95251.0,"澳洲大胃王！
台灣人🇹🇼參戰🔥
12分鐘內吃完不用錢，失敗$1000台幣

會成功嗎？

完整影片看YT🫡
#大胃王",39.64,,2025-02-02 17:59:12+08:00,2025-02-17 17:35:35+08:00,DFkPJKSTr-y,Yes,Instaloader
2025-02-10 09:33:44+00:00,2025-05-01 06:38:13+00:00,方建豪,martinispig,1989927671923385,1989927671923385,0,572.0,82325.0,"✨ **吃完啦 x FUNPASTO 聯名登場！**✨
🔥 煙花女豪辣麵 現在線下也能吃到啦！🔥

平時只能網購的 「吃完啦蒜香辣椒醬」，這次與 FUNPASTO 聯名推出全新料理——煙花女豪辣麵，用最豪邁的辣味衝擊你的味蕾！

蒜香辣椒醬
•	🌶️ 天然調味，層次豐富：選用台灣在地新鮮紅辣椒與蒜頭，純粹天然無添加。
•	🌟 香辣迷人，回味不斷：辣中帶香，甜而不膩，讓你每一口都意猶未盡！
•	🍜 多用途調味神器：不管沾、拌、炒都適合，讓料理瞬間升級！

📍 現在就到 FUNPASTO 親自試試看，體驗線下的豪邁辣勁吧！

#吃完啦 #蒜香辣椒醬 #FUNPASTO #煙花女豪辣麵 #辣味新高度",34.67,{'0': '849667004778234'},2025-02-10 17:33:44+08:00,2025-05-01 14:38:13+08:00,DF4y0ksTnXb,Yes,Instaloader
2025-02-16 09:30:02+00:00,2025-02-19 10:29:08+00:00,方建豪,martinispig,3052387861632802,3052387861632802,8,1163.0,86516.0,"美食帳號
食物再晃來晃去
試看看😆",15.65,,2025-02-16 17:30:02+08:00,2025-02-19 18:29:08+08:00,DGIO_X6TYWd,Yes,Instaloader
2025-02-16 09:36:31+00:00,2025-02-18 13:46:36+00:00,方建豪,martinispig,850985357983679,850985357983679,0,74.0,2763.0,"美食帳號
食物再晃來晃去
試看看😆",15.65,,2025-02-16 17:36:31+08:00,2025-02-18 21:46:36+08:00,,Yes,MetaTool
2025-02-19 09:36:26+00:00,2025-03-06 11:33:36+00:00,方建豪,martinispig,1233673585413899,1233673585413899,23,3479.0,227316.0,"🥩🥩🥩
只要260元起
就能吃
披薩 炸物 水果 冰淇淋
味道就是能飽的味道

💰$260
📍 220新北市板橋區國慶路139號

#大胃王 #大胃王挑戰 #吃到飽 #牛排 #炸雞 #披薩 #Pizza #甜點 #台北 #大安區 #平價吃到飽 #台北美食 #大安美食 #美食 #平價美食 #cp值  #大食い #howhoweat #foodchallenge

大家看完後會想來試看看嗎？",49.47,,2025-02-19 17:36:26+08:00,2025-03-06 19:33:36+08:00,DGP-NWTTysF,Yes,Instaloader
2025-02-19 09:38:00+00:00,2025-11-14 00:51:05+00:00,方建豪,martinispig,961588169881701,961588169881701,1,45.0,3892.0,"🥩🥩🥩
只要260元起
就能吃
披薩 炸物 水果 冰淇淋
味道就是能飽的味道

💰$260
📍 220新北市板橋區國慶路139號

#大胃王 #大胃王挑戰 #吃到飽 #牛排 #炸雞 #披薩 #Pizza #甜點 #台北 #大安區 #平價吃到飽 #台北美食 #大安美食 #美食 #平價美食 #cp值  #大食い #howhoweat #foodchallenge

大家看完後會想來試看看嗎？",49.47,,2025-02-19 17:38:00+08:00,2025-11-14 08:51:05+08:00,,Yes,MetaTool
2025-02-22 09:58:14+00:00,2025-09-12 18:21:42+00:00,方建豪,martinispig,1633357881022110,1633357881022110,30,1537.0,166630.0,"減脂料理
一鍋到底
超簡單
《電͟鍋͟美͟食͟》

吃完啦快閃活動
全館78折",44.0,,2025-02-22 17:58:14+08:00,2025-09-13 02:21:42+08:00,DGXvAwxzzW3,Yes,Instaloader
2025-02-24 09:57:23+00:00,2025-09-26 21:14:51+00:00,方建豪,martinispig,894360613345715,894360613345715,0,49.0,3889.0,"澳洲好市多
販賣部的食物
比想像中的便宜欸
差不多是澳洲
其他外食的半價

💰$740
📍 Costco Wholesale Docklands

#大胃王 #大胃王挑戰 #好市多 #漢堡 #炸雞 #披薩 #Pizza #台北 #墨爾本 #墨爾本美食 #美食 #大食い #howhoweat #foodchallenge #澳洲 #澳洲生活 #澳洲留學 #澳洲打工度假 #costco 

大家看完後會想來試看看嗎？",59.63,,2025-02-24 17:57:23+08:00,2025-09-27 05:14:51+08:00,,Yes,MetaTool
2025-02-24 09:59:59+00:00,2025-08-03 12:56:05+00:00,方建豪,martinispig,1260540262937217,1260540262937217,8,1080.0,104478.0,"澳洲好市多
販賣部的食物
比想像中的便宜欸
差不多是澳洲
其他外食的半價

💰$740
📍 Costco Wholesale Docklands

#大胃王 #大胃王挑戰 #好市多 #漢堡 #炸雞 #披薩 #Pizza #台北 #墨爾本 #墨爾本美食 #美食 #大食い #howhoweat #foodchallenge #澳洲 #澳洲生活 #澳洲留學 #澳洲打工度假 #costco

大家看完後會想來試看看嗎？",59.63,,2025-02-24 17:59:59+08:00,2025-08-03 20:56:05+08:00,DGc4zLGzHOn,Yes,Instaloader
2025-02-26 09:33:53+00:00,2025-04-30 18:34:10+00:00,方建豪,martinispig,1976435606291879,1976435606291879,63,2232.0,134500.0,"霸道總裁
要你開心！

@chi_wan_la 全館78折
這折扣太霸道了
只剩兩天",15.11,{'0': '849667004778234'},2025-02-26 17:33:53+08:00,2025-05-01 02:34:10+08:00,DGh_jRXTjOC,Yes,Instaloader
2025-02-28 10:00:41+00:00,2025-07-23 09:47:49+00:00,方建豪,martinispig,1878370056121814,1878370056121814,49,3960.0,215851.0,"🍔🍔🍔
當你起床後
距離上班時間只剩10分鐘

💰成功免費 外加$500獎金
📍 新北市淡水區新市五路三段162號

#大胃王 #大胃王挑戰 #吃到飽 #早餐 #漢堡 #炸物 #雞塊 #薯條 #新北#淡水 #新北美食 #淡水美食 #美食 #大食い #howhoweat #foodchallenge

大家看完後會想來試看看嗎？",55.2,,2025-02-28 18:00:41+08:00,2025-07-23 17:47:49+08:00,DGnMMKazVQ3,Yes,Instaloader
2025-02-28 10:02:31+00:00,2025-03-03 16:52:37+00:00,方建豪,martinispig,1243134117247247,1243134117247247,1,74.0,4146.0,"🍔🍔🍔
當你起床後
距離上班時間只剩10分鐘

💰成功免費 外加$500獎金
📍 新北市淡水區新市五路三段162號

#大胃王 #大胃王挑戰 #吃到飽 #早餐 #漢堡 #炸物 #雞塊 #薯條 #新北#淡水 #新北美食 #淡水美食 #美食 #大食い #howhoweat #foodchallenge

大家看完後會想來試看看嗎？",55.43,,2025-02-28 18:02:31+08:00,2025-03-04 00:52:37+08:00,,Yes,MetaTool
