creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-06 12:28:48+00:00,2025-07-01 17:22:47+00:00,Meg Lu,maygobla,1611294156691982,1611294156691982,116,31373.0,1450966.0,"想買包包的話，給你一盞明燈
這4個品牌是我的心頭好🫶🏻🪄",54.65,,2025-01-06 20:28:48+08:00,2025-07-02 01:22:47+08:00,DEe-2UQy1y5,Yes,Instaloader
2025-01-07 13:03:35+00:00,2025-06-04 03:28:59+00:00,Meg Lu,maygobla,892751176721896,892751176721896,39,10096.0,472465.0,"這是我與好友們私藏的心想事成方法🪄
什麼水逆、犯太歲也不怕了（真的嗎？應該吧😀）

（急轉彎置入）
@minimatterstw 一年一度的農曆春節檔期又到了
本系列以擊退水逆為主題🔮
並且結合今年蛇年的延伸符號
1/8 12:30準時上市！
不限金額使用折扣碼「meg97」再打97折
祝鄉親們2025年內在外在都要活得漂漂亮亮
蛇麼爛事爛人退散🐍",67.83,,2025-01-07 21:03:35+08:00,2025-06-04 11:28:59+08:00,DEhm_kTSbQ_,Yes,Instaloader
2025-01-08 13:27:14+00:00,2025-02-14 01:45:04+00:00,Meg Lu,maygobla,3439885756216950,3439885756216950,10,3818.0,245512.0,"又到了跟著雪奔馳的時刻了❄️
北海道的雪宛如雪花冰欸🍧
超細、超鬆、超綿
感謝 @koyuki_ski 當我這次的滑雪保母
包辦裝備和提升滑雪技能
教練可以中文溝通、人也很好超有耐心！
帶著我攻略手稻雪場
手稻離札幌不遠
如果要體驗一日滑雪是很不錯的場地😌",35.17,,2025-01-08 21:27:14+08:00,2025-02-14 09:45:04+08:00,DEkPBxDyUYW,Yes,Instaloader
2025-01-21 14:51:31+00:00,2025-06-30 11:51:39+00:00,Meg Lu,maygobla,911897528421738,911897528421738,101,13373.0,664287.0,"我弟：不認識你的人一定覺得你兩光到像在裝
我也希望我的生活白癡只是戲一場🫠",32.9,,2025-01-21 22:51:31+08:00,2025-06-30 19:51:39+08:00,DFF28NDSp0a,Yes,Instaloader
2025-01-23 13:46:43+00:00,2025-12-03 18:31:27+00:00,Meg Lu,maygobla,1620653082612833,1620653082612833,19,18986.0,1217852.0,"避免在唐吉訶德迷失太久 精選我的10大必買：
・SHIMBI METHOD審美 外泌體面膜
新推出的保養品牌，外包裝可以看到主成分和濃度
裡面有積雪草外泌體和讓皮膚屏障變好的B3
推薦給跟我皮膚一樣敏感的人

・SHIMBI METHOD審美 雙酵素吸塵洗顏
用過最有彈性的質地！是Q彈的！
很乾的情況下可以乾淨卻不乾也不緊繃

・HAMIGAKIDO 美白牙膏
無氟！針對黃牙齒，溫和卻達到慢慢地美白效果

・LIPPS Wet Blast髮蠟
定型但不僵硬，髮絲會有自然光澤
男生也很適合！

・Acnes Labo痘痘藥
針對粉刺、小紅痘很有效，屬於夜間專用

・IHADA防曬粉餅
防曬係數高、粉值不錯，是CP值大王！

・各種Sanrio
全程眼冒愛心逛完這區😍

・Beefy T
單穿或層次搭配都一百分，是我隱藏版的愛

・大豆蛋白粉
鮮奶過敏但想飲控的人這款很推！

・奢侈保濕柔軟霜面紙
回台必囤，擤鼻子人中不會很痛

#唐吉訶德 #日本藥妝 #SHIMBIMETHOD
#HAMIGAKIDO #LIPPS #acneslab
 #IHADA #Hanes #elleair 
@shimbimethod",72.07,,2025-01-23 21:46:43+08:00,2025-12-04 02:31:27+08:00,DFK5YiOSDIQ,Yes,Instaloader
2025-02-11 13:09:43+00:00,2025-02-13 22:03:58+00:00,Meg Lu,maygobla,1267245705504708,1267245705504708,39,5894.0,421242.0,"來，一起當花俏姑娘🌷🧚‍♀️

影片中的所有商品都是 @minimatterstw 2/12的新品
歡迎盡情使用我的折扣碼「meg97」
首週購入結帳不限金額97折（期限至 2/16）",48.62,,2025-02-11 21:09:43+08:00,2025-02-14 06:03:58+08:00,DF7wU_Jy-Tq,Yes,Instaloader
2025-02-21 13:05:25+00:00,2025-08-01 09:56:08+00:00,Meg Lu,maygobla,930823856304454,930823856304454,64,10300.0,722767.0,"大大大推的日本超商食物，求人手一杯❤️‍🔥🍓
戒奶人也被照顧得服服貼貼～(⁎⁍̴̛ᴗ⁍̴̛⁎)",17.67,,2025-02-21 21:05:25+08:00,2025-08-01 17:56:08+08:00,DGVfpnkyqOu,Yes,Instaloader
2025-02-26 12:52:18+00:00,2026-01-13 02:25:52+00:00,Meg Lu,maygobla,1861628944489088,1861628944489088,23,2850.0,312949.0,"上週買了討論度很高的PRADA氣墊！
誠實告訴你究竟值不值得入手🙂‍↕️",52.09,,2025-02-26 20:52:18+08:00,2026-01-13 10:25:52+08:00,DGiWLD7Sn5h,Yes,Instaloader
2025-02-27 13:06:58+00:00,2025-09-12 15:49:35+00:00,Meg Lu,maygobla,2084394382404198,2084394382404198,23,8023.0,513517.0,"PRADA女士曾說過：「我反對所有的刻板印象」
把顛覆美學的概念貫徹在他們的商品
也包含最新的彩妝系列PRADA Beauty
這系列的化妝品長出了屬於自己的樣子

之前在story分享過我很愛PRADA的潤唇膏
經典LOGO三角標誌
外貌極佳 是質感很好的金屬材質
當中還是替換蕊心設計
成份中添加比菲德益菌＋荷荷芭油
是由內而外保濕潤澤
最後就是它超棒的顯色度！

三個推薦的色號：
☁️U001莫測藍潤唇膏
會隨著嘴唇pH值轉變自然血色
如果是像我一樣素唇看起來慘淡的人
它是我目前用過顏色最棒的變色潤唇膏

☁️U010 帶棕調擦上去氣勢無比

☁️U013 非常襯膚色和百搭的裸粉色

@pradabeauty
#PRADABeauty #PRADABALM
#莫測藍 #經典潤唇膏",74.47,,2025-02-27 21:06:58+08:00,2025-09-12 23:49:35+08:00,DGk8rq9yfCi,Yes,Instaloader
2025-03-03 12:11:27+00:00,2025-04-09 04:42:58+00:00,Meg Lu,maygobla,2064634594079646,2064634594079646,60,12130.0,567877.0,"⚠️最近要來東京旅行請一定要留意天氣app
昨天18度，今天卻下雪⋯⋯
行李很難打包不如放棄好了哈哈哈
建議空箱來，直接現場採購😃😃😃",19.63,,2025-03-03 20:11:27+08:00,2025-04-09 12:42:58+08:00,DGvJT9BSUL7,Yes,Instaloader
