creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 09:44:51+00:00,2025-02-15 06:41:43+00:00,那個女生Kiki,minikiki_0529,708458849018348,708458849018348,38,3513.0,275198.0,"請問這樣有給的夠滿嗎🤣🤣🤣

過年旅遊必備的行李箱&翻譯機團購來啦！團購連結放在我的個人首頁上，優惠只有一週要買要快唷～
私心推薦行李箱+翻譯機一起買，讓你出國變得超輕鬆！

1.Acer前開式行李箱
20吋前開式：原價$7,990 ➡️ 團購價$3,990
25吋前開式：原價$8,990 ➡️ 團購價$5,490
28吋前開式：原價$10,990 ➡️團購價$7,390

大小搭配買還有折扣喔～
🎁20吋+25吋 團購價 $9,280
🎁20吋+28吋 團購價 $10,980
🎁25吋+28吋 團購價 $12,480
🎁20吋+25吋+28吋 團購價 $16,370

2.快點翻譯機
原價$3,190 ➡️ 團購價只要 $2,190

這次團購還幫大家談到一件就免運，下單行李箱再加送acer筆電平板保護套 (顏色隨機)，送完為止要買要快！",54.3,,2025-01-01 17:44:51+08:00,2025-02-15 14:41:43+08:00,DER0D9cSZyy,Yes,Instaloader
2025-01-02 10:04:48+00:00,2025-02-15 06:41:43+00:00,那個女生Kiki,minikiki_0529,1228077245653274,1228077245653274,30,3333.0,223956.0,"到底誰看得出來差在哪啦🤣

這週六1/4下午14：00我會在台北誠品生活南西1F
擔任拼圖食神挑戰賽一日店長😎
這個實力我真的會贏嗎哈哈哈
歡迎大家來挑戰！！！！💪💪💪

參加挑戰賽有參加禮，優勝者還有小禮物唷，消費滿額還有機會可以一起拍照～

✨活動開始前20分鐘，要到快閃櫃檯完成報名手續喲
✨詳細活動流程及執行辦法，以官方公告為主",83.13,,2025-01-02 18:04:48+08:00,2025-02-15 14:41:43+08:00,DEUbAQLSvUS,Yes,Instaloader
2025-01-04 10:11:05+00:00,2025-02-15 06:41:43+00:00,那個女生Kiki,minikiki_0529,1930050504384878,1930050504384878,140,9069.0,769949.0,"出國千萬要小心…真的超恐怖😱

還好這次有帶快點翻譯機出國，緊急時刻真的幫了大忙，真的大推！團購連結放在我的個人首頁上，優惠只有一週要買要快唷～私心推薦行李箱+翻譯機一起買，讓你出國變得超輕鬆！

1.快點翻譯機
原價$3,190 ➡️ 團購價只要 $2,190

2.Acer前開式行李箱
20吋前開式：原價$7,990 ➡️ 團購價$3,990
25吋前開式：原價$8,990 ➡️ 團購價$5,490
28吋前開式：原價$10,990 ➡️團購價$7,390

大小搭配買還有折扣喔～
🎁20吋+25吋 團購價 $9,280
🎁20吋+28吋 團購價 $10,980
🎁25吋+28吋 團購價 $12,480
🎁20吋+25吋+28吋 團購價 $16,370

這次團購還幫大家談到一件就免運，下單行李箱再加送acer筆電平板保護套 (顏色隨機)，送完為止要買要快！",89.58,,2025-01-04 18:11:05+08:00,2025-02-15 14:41:43+08:00,DEZlSxCSv9h,Yes,Instaloader
2025-01-06 10:21:51+00:00,2025-02-15 06:41:43+00:00,那個女生Kiki,minikiki_0529,1354965259729787,1354965259729787,30,5109.0,332555.0,怎麼可能啦🤣🤣但好好吃喔,59.57,,2025-01-06 18:21:51+08:00,2025-02-15 14:41:43+08:00,DEev6uqSXDr,Yes,Instaloader
2025-01-09 09:37:21+00:00,2025-02-15 06:41:43+00:00,那個女生Kiki,minikiki_0529,1425114731846582,1425114731846582,47,11068.0,384310.0,米紙氣炸完怎麼會變這樣🤣太神奇了吧,74.7,,2025-01-09 17:37:21+08:00,2025-02-15 14:41:43+08:00,DEmZWPpy6uQ,Yes,Instaloader
2025-01-17 10:33:36+00:00,2025-10-25 14:38:28+00:00,那個女生Kiki,minikiki_0529,2055654285286046,2055654285286046,136,9013.0,1348260.0,"我在哪裡我是誰？🤣

#旅遊 #泳裝 #游泳 #富國島",11.8,,2025-01-17 18:33:36+08:00,2025-10-25 22:38:28+08:00,DE7GPcaSPJE,Yes,Instaloader
2025-01-21 10:00:00+00:00,2025-02-15 06:41:43+00:00,那個女生Kiki,minikiki_0529,1931538530819068,1931538530819068,48,4117.0,358177.0,"身為吉伊卡哇粉絲這是一定要的吧🤣
喜歡吉伊的都是好人～～～～

#吉伊卡哇 #chiikawa #沒關係",39.47,,2025-01-21 18:00:00+08:00,2025-02-15 14:41:43+08:00,DFFWFYsSVqF,Yes,Instaloader
2025-01-22 10:00:00+00:00,2025-05-01 21:33:19+00:00,那個女生Kiki,minikiki_0529,947601341257218,947601341257218,37,,192402.0,"真的是人在雖什麼都會遇到🤣
全部都有過的朋友+1

當氣不好的時候，真的很需要靠小物來療癒一下～～心情好了，氣就順了！！！！過年連休最適合好好放鬆療癒身心，先佈置好喜歡的療癒小物，讓假期超有幸福感💕

從以前學生時期我就很喜歡逛屈臣氏，每次下班下課都會特地去逛一下才甘願回家ＸＤ買一些化妝品、保養品、日常用品也很開心！

這次難得有千件商品任意混搭買1 送1 的優惠，屈臣氏指定年節商品滿 $1500 送 $100 商品提貨券，今年想買的想用的可以一次買起來～

而且如果大家有辦小屈會員的話，任意消費還可以領 $88 發財金，滿 $688 再送刮刮卡，會員登錄再抽「中華三菱Colt Plus 全能小轎旅」，總獎項價值三千萬！真的是划算到不行～

活動一路到2/19 唷，過年也可以開心買起來啦，祝大家天天都好運！
@watsonstaiwan 
#屈臣氏 #會員消費抽汽車 #新年好禮",89.21,{'0': '668548326346628'},2025-01-22 18:00:00+08:00,2025-05-02 05:33:19+08:00,DFH6ywXy3Wv,Yes,Instaloader
2025-01-26 10:11:22+00:00,2025-05-05 15:20:40+00:00,那個女生Kiki,minikiki_0529,910213965328212,910213965328212,17,1724.0,177963.0,"一分鐘就做出糖葫蘆太神奇了吧🤣

#實測 #秘訣 #糖葫蘆 #食譜",63.92,,2025-01-26 18:11:22+08:00,2025-05-05 23:20:40+08:00,DFSPJJUyJKB,Yes,Instaloader
2025-01-30 11:33:29+00:00,2025-09-04 06:48:02+00:00,那個女生Kiki,minikiki_0529,949351510792872,949351510792872,26,2859.0,252129.0,"笑到肚子痛🤣🤣🤣
過年全家大小一起玩真的很好玩耶

#過年 #紅包 #遊戲",88.2,,2025-01-30 19:33:29+08:00,2025-09-04 14:48:02+08:00,DFcrUcMykTT,Yes,Instaloader
