creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-28 05:33:44+00:00,2025-01-29 09:03:50+00:00,麻糬爸與白爛貓家族,mochi_dad,1476831977447087,1476831977447087,41,7114.0,136890.0,"🐍新💥年💥快💥樂🐍
祝大家蛇年行大運 ✧*｡٩(ˊᗜˋ*)و✧*｡
蛇年一路發🐍
蛇來好運到🐍
蛇麼都順利🐍
蛇全又蛇美🐍
蛇體好健康🐍
-—————————
#臭跩貓 #麻糬 #白爛貓 #麻糬爸 #mochi_dad #蛇年 #新年",20.8,,2025-01-28 13:33:44+08:00,2025-01-29 17:03:50+08:00,DFW5DMnsqGh,Yes,Instaloader
2025-02-10 11:31:20+00:00,2025-02-10 14:21:26+00:00,麻糬爸與白爛貓家族,mochi_dad,890705593865014,890705593865014,5,2153.0,72757.0,"晚安~❤️
明天爛爛躺好等你唷(⁎⁍̴̛ᴗ⁍̴̛⁎)
#明早10點見 #有活動喔
-—————————
#臭跩貓 #麻糬 #白爛貓 #麻糬爸 #mochi_dad",10.0,,2025-02-10 19:31:20+08:00,2025-02-10 22:21:26+08:00,DF5AMIEzrxL,Yes,Instaloader
2025-02-11 02:06:58+00:00,2025-02-11 10:27:02+00:00,麻糬爸與白爛貓家族,mochi_dad,766594819345389,766594819345389,7,2795.0,90217.0,"✨白爛貓66☆甜蜜蜜☆✨
❤️LINE原創動態貼圖上架啦❤️
.
爛爛的戀愛系愛情貼圖又來啦✧
準備接受爛爛的愛心爆擊吧❤️
希望大家會喜歡 ✧*｡٩(ˊᗜˋ*)و✧*｡
———————————————
#貼圖傳送門💞：https://line.me/S/sticker/29269340
或查看🔍IG限時動態
.
🎁2.11-2.15買/送爛爛66新貼圖就能抽LINE代幣禮劵喔！
#活動詳情🔗：https://creator-mag-tw.weblog.to/archives/27872260.html",50.03,,2025-02-11 10:06:58+08:00,2025-02-11 18:27:02+08:00,DF6kf2MMbtU,Yes,Instaloader
2025-05-05 11:22:17+00:00,2025-05-05 12:32:23+00:00,麻糬爸與白爛貓家族,mochi_dad,900759589215532,900759589215532,9,2426.0,77227.0,"晚安~❤️
明天把你塞回去 ಠ_ಠ
#明早10點見 #有活動喔
-—————————
#臭跩貓 #麻糬 #白爛貓 #麻糬爸 #mochi_dad",9.61,,2025-05-05 19:22:17+08:00,2025-05-05 20:32:23+08:00,DJRR9rIzClt,Yes,Instaloader
2025-05-06 02:01:06+00:00,2025-05-29 04:25:25+00:00,麻糬爸與白爛貓家族,mochi_dad,1660386001791331,1660386001791331,6,2582.0,91957.0,"✨白爛貓68☆超俏皮☆✨
🕺LINE原創動態貼圖上架啦🕺

又傲嬌又愛撒嬌的爛爛新貼圖來囉☆
每天都在上演俏皮甜蜜片段的爛爛
這次又要拿出滿滿的情緒價值來賣萌啦 (✪ω✪)

希望大家會喜歡 ✧*｡٩(ˊᗜˋ*)و✧*｡
———————————————
#貼圖傳送門🌟：https://line.me/S/sticker/30446446
或查看🔍IG限動或廣播專區
🎁5.6-5.11買/送爛爛68新貼圖就能抽LINE代幣和機票喔！
#活動詳情🔗：https://creator-mag-tw.weblog.to/archives/28536898.html",53.23,,2025-05-06 10:01:06+08:00,2025-05-29 12:25:25+08:00,DJS2nb0MKGa,Yes,Instaloader
2025-06-23 11:38:10+00:00,2025-07-04 08:20:36+00:00,麻糬爸與白爛貓家族,mochi_dad,899935519310135,899935519310135,1,1609.0,62938.0,"晚安~❤️
明早來看爛爛的手指運動☝️
#明早10點見 #有活動喔
-—————————
#臭跩貓 #麻糬 #白爛貓 #麻糬爸 #mochi_dad",9.0,,2025-06-23 19:38:10+08:00,2025-07-04 16:20:36+08:00,DLPepApTCE9,Yes,Instaloader
2025-06-24 03:16:37+00:00,2025-07-28 12:54:52+00:00,麻糬爸與白爛貓家族,mochi_dad,800219173088517,800219173088517,0,1350.0,57125.0,"✨白爛貓☆動態表情貼☆第12彈✨
🕺LINE原創動態表情貼上架啦🕺

白爛貓表情貼動起來溜☆
透過爛爛生動的高顏值展現♪
讓你的每字每句話變得更加生動白爛喔❤️

希望大家會喜歡 ✧*｡٩(ˊᗜˋ*)و✧*｡
———————————————
#貼圖傳送門🌟：https://lin.ee/RcoQU8d/crtw
或查看🔍IG限時動態

🎁6.24-6.27買/送爛爛新表情貼就能抽LINE代幣喔！
#活動詳情🔗：https://creator-mag-tw.weblog.to/archives/28943154.html",81.87,,2025-06-24 11:16:37+08:00,2025-07-28 20:54:52+08:00,DLRKGCyTUd1,Yes,Instaloader
2025-08-06 06:30:50+00:00,2025-08-22 13:00:58+00:00,麻糬爸與白爛貓家族,mochi_dad,871975005474104,871975005474104,98,20717.0,581477.0,給你拍拍手👏給你放煙火🎆 #白爛貓 #lanlancat,6.02,,2025-08-06 14:30:50+08:00,2025-08-22 21:00:58+08:00,DNAOnhRyRyA,Yes,Instaloader
2025-08-08 12:02:44+00:00,2025-08-10 16:02:48+00:00,麻糬爸與白爛貓家族,mochi_dad,1555697225660882,1555697225660882,44,9646.0,297819.0,請檢討😠 #白爛貓 #lanlancat,9.79,,2025-08-08 20:02:44+08:00,2025-08-11 00:02:48+08:00,DNF-L6rM4zY,Yes,Instaloader
2025-08-10 14:21:07+00:00,2025-08-16 13:31:14+00:00,麻糬爸與白爛貓家族,mochi_dad,2057238045059249,2057238045059249,103,15416.0,496312.0,快傳給你親友‼️ #白爛貓 #lanlancat,7.59,,2025-08-10 22:21:07+08:00,2025-08-16 21:31:14+08:00,DNLXndFRY0s,Yes,Instaloader
