creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 15:10:29+00:00,2025-02-08 07:45:18+00:00,Mom & Dad（媽爹）,momanddad_band,1700773660905609,1700773660905609,2,580.0,67862.0,完美演繹即將收假的內心小劇場😌,8.57,,2025-01-01 23:10:29+08:00,2025-02-08 15:45:18+08:00,DESZlqGvM25,Yes,Instaloader
2025-01-04 14:34:22+00:00,2025-04-30 21:23:34+00:00,Mom & Dad（媽爹）,momanddad_band,2206346463519883,2206346463519883,44,253.0,62709.0,"#鳥媽派派出任務｜i價標大尋寶

買東西也能更健康、更有意義？！
鳥媽和派派來到家樂福，
帶你一起尋找標有i價標的商品～
選擇i價標商品，不僅用得安心，
還能為地球永續盡一份力！

<redacted_mention> 

成為i價標大使👼
1️⃣ 購買i價標商品並保留發票。
2️⃣ 拍下商品+發票並在這篇貼文留言：
「從i開始，我就是影響力！」
3️⃣ 即有機會扌由到一箱FSC認證的衛生紙唷！！

#i價標 #從i開始 #永續價值 
#家樂福 #選擇對地球更好的",68.64,{'0': '1204867048401737'},2025-01-04 22:34:22+08:00,2025-05-01 05:23:34+08:00,DEaDpqGSD66,Yes,Instaloader
2025-01-13 13:21:56+00:00,2025-02-08 07:45:18+00:00,Mom & Dad（媽爹）,momanddad_band,2112278019531252,2112278019531252,7,2081.0,161944.0,"歷腸胃炎一劫歸來，能吃東西真的很幸福啊～

#謝謝溫柔專業的馬偕護理人員🩵
#正在腸胃炎人兒快快好起來～",25.2,,2025-01-13 21:21:56+08:00,2025-02-08 15:45:18+08:00,DExGsRqsve0,Yes,Instaloader
2025-01-15 13:00:00+00:00,2025-09-19 02:12:54+00:00,Mom & Dad（媽爹）,momanddad_band,1175262668016127,1175262668016127,19,523.0,80358.0,"-
往年我們都會買食品禮盒回屏東過年
今年有感於阿公阿嬤跟我們自己
都歲數漸長（講得很含蓄🤣）
年紀到了就常常覺得哪邊有點卡卡不太舒服🥹
種種跡象都在告訴我們必須開始積極保養啦～

加上心光川的阿嬤去年不小心跌倒
很長一段時間愛跳舞的阿嬤不能跳舞
讓她深深覺得上了年紀後
跟骨骼健康相關的維生素很需要適量補充啊
#桂格康研家_關鍵導鈣雙效錠 就很適合登場！

它有3D玻尿酸鈉*+導鈣素K2**兩大專利
專利3D玻尿酸鈉，可以守護關鍵靈活
導鈣素K2+維生素D3、鈣，幫助鈣質吸收、
維生素K促進骨質鈣化，補鈣效率加倍***
吃一錠可以同時保養骨骼和身體各關鍵部位
（而且小小一顆很好食用不用怕噎到😂）
推薦有行動力保健需求者和愛運動、遊山玩水的長輩們
一起靈活穩固🏃🏻‍♀️🏃🏻‍♂️

給孩子的晶亮補給也需要講究
美國基金會（AMDF）建議
每日葉黃素攝取量為6至30毫克
且跟玉米黃素的比例要5:1才是黃金比例
市售給兒童吃的葉黃素凍
有的加了甜味劑或過多人工添加物
#天地合補神經鞘磷脂葉黃素凍＊
沒有額外添加甜味劑、防腐劑、人工香料及人工色素
含有全台首創＊＊神經鞘磷脂＊＊＊與五大晶亮配方莓果口味
及Q彈凍感，孩子接受度很高

這個過年還沒想好要帶什麼返鄉或送禮的話
可以把健康帶回去給家人朋友❤️
伴手禮推薦：「#桂格康研家_關鍵導鈣雙效錠」和
「#天地合補神經鞘磷脂葉黃素凍」

即日起可至【佳格健康GO】品牌直營電商購買
輸入媽爹專屬折扣碼【mnd100】可再折$100喔😍

@standardfoods.tw 

#過年送禮 #送健康給家人跟自己 
#佳格健康GO #天地合補金盞花葉黃素凍 
#桂格康研家關鍵導鈣雙效錠 #佳格合作

*玻尿酸鈉來自雞冠萃取物(含透明質酸鈉)
**維生素K 促進骨質的鈣化
***補充鈣、維生素D與維生素K組別與單純補充鈣組別相比，明顯提升效率。維生素D增進鈣吸收，維生素K促進骨質的鈣化，調節生理機能，鈣幫助骨骼正常發育。實際感受因人而異。J. Orthop. Sci. 2000, 5, 546-551
＊天地合補金盞花葉黃素凍(含乳清蛋白神經鞘磷脂)
＊＊國內首創以神經鞘磷脂為設計之葉黃素凍配方
＊＊＊濃縮乳清蛋白(含神經鞘磷脂)",115.49,{'0': '1096132975994037'},2025-01-15 21:00:00+08:00,2025-09-19 10:12:54+08:00,DE2N6xGSVXZ,Yes,Instaloader
2025-01-23 15:00:25+00:00,2025-02-08 07:45:18+00:00,Mom & Dad（媽爹）,momanddad_band,1606599714004729,1606599714004729,2,686.0,97594.0,".
在奈良的Ando hotel吃了超高級的晚餐，華爸的評語竟然是…..

#難道此生只有吃黑白切的命？🤣
#推薦去奈良旅行住這兒 @ando_hotel_narawakakusayama 
#安堵 #奈良住宿
#若草山 #andohotelnara #nara 
#2025冬媽爹關西自駕親子遊",41.47,,2025-01-23 23:00:25+08:00,2025-02-08 15:45:18+08:00,DFLBmwrSj92,Yes,Instaloader
2025-01-28 15:31:53+00:00,2025-02-08 07:45:18+00:00,Mom & Dad（媽爹）,momanddad_band,893381016640831,893381016640831,27,948.0,117233.0,"過年大掃除也要彼此相愛唷😘

#大家新年快樂🎉
#蛇年吉祥話真的很難想😆",35.7,,2025-01-28 23:31:53+08:00,2025-02-08 15:45:18+08:00,DFX9fTdg2Zn,Yes,Instaloader
2025-02-02 09:45:20+00:00,2025-07-18 13:36:05+00:00,Mom & Dad（媽爹）,momanddad_band,1372223041237926,1372223041237926,955,34148.0,2812947.0,"-
沒想到這核桃在長輩圈這麼紅？！
之前吃掉的就算了，以後要團購真的要看成份啊～

#收到至少100則私訊說他家也有一包😱
#天然ㄟ尚好 #新疆紙皮烤核桃 #人工合成甜味劑
#請選擇原型無添加食物 #健康第一",66.37,,2025-02-02 17:45:20+08:00,2025-07-18 21:36:05+08:00,DFkNysGs_6D,Yes,Instaloader
2025-02-10 13:55:59+00:00,2025-02-12 14:46:10+00:00,Mom & Dad（媽爹）,momanddad_band,3190797407768881,3190797407768881,3,449.0,53705.0,"看完大家肯洽拿的跳舞影片，直接聯想到我們家的發生場景......ＸＤ

#你家也有發生過嗎🤣
#廁所不夠用啦
#肯洽拿 #KENCHANA  #迷因系列 
#肯恰拿叮叮叮叮",22.85,,2025-02-10 21:55:59+08:00,2025-02-12 22:46:10+08:00,DF5Q2N5Kb-w,Yes,Instaloader
2025-02-16 14:30:43+00:00,2025-02-18 15:50:49+00:00,Mom & Dad（媽爹）,momanddad_band,2528745577522398,2528745577522398,2,311.0,48411.0,"-
連住在陽明山的強者我朋友都不知道的神秘景點！
你去過了嗎？

#陽明山竹子湖遊客中心
#嶼食咖啡 #陽明山神秘景點 
#媽爹日常 #媽爹育兒",52.8,,2025-02-16 22:30:43+08:00,2025-02-18 23:50:49+08:00,DGIxkZsNx8G,Yes,Instaloader
2025-02-22 13:09:57+00:00,2025-05-03 05:29:47+00:00,Mom & Dad（媽爹）,momanddad_band,1396460558436466,1396460558436466,4,309.0,54901.0,"M&D 全新親子實境節目 🎬

好久不見～我們回來了！🎉
很多人可能無法想像邊育兒邊拍片的現場
這次直接帶來🫴🏻全新親子實境節目🔥
情侶檔 / 新手爸媽的生存極限挑戰！
他們是不是可以搞定孩子、解決各種突發狀況呢？

📌 首集 2/22 (六) 晚上 9 點上線！
快來 YouTube 來看完整影片吧👇
🔗完整影片連結在留言處＆限動🔗

歡迎留言「你家出遊最好笑/崩潰的小故事」
就有機會得到《媽爹講故事APP》14 天體驗序號唷！

#宜蘭 #親子旅遊 #新手爸媽 #蘭陽動植物園 
#實境節目 #媽爹講故事 #陪你在育兒路上一起成長",59.9,{'0': '1204867048401737'},2025-02-22 21:09:57+08:00,2025-05-03 13:29:47+08:00,DGYFFPDSAeU,Yes,Instaloader
