creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-02-13 16:29:53+00:00,2025-05-29 17:50:07+00:00,鬧著玩娛樂,nowyouon,932595799210428,932595799210428,34,2271.0,72213.0,"這一晚我在大叔身上看到
「長大，就是在用盡一切彌補童年的自己」

😂😂😂😂😂😂😂

#每個大叔青春都住著 #快打旋風
#他們就這樣玩了一整晚
#大叔美國longstay中",101.45,"{'0': '926637225631019', '1': 'non_public_1114013844147579', '2': '1434195538095402', '3': '895874859413325'}",2025-02-14 00:29:53+08:00,2025-05-30 01:50:07+08:00,DGBNwQVpf7A,Yes,Instaloader
2025-02-15 23:41:42+00:00,2025-12-26 16:20:42+00:00,鬧著玩娛樂,nowyouon,26730608259864660,26730608259864655,11,1072.0,40185.0,"小顏駛在美國的沙漠公路上，
筆直無盡的道路，
遼闊而陌生的景緻鋪展在四周

雖然這次還沒踏上夢想中的 66 號公路，
但車上載著最珍貴的夥伴們，
也算是為未來的夢想暖身了。

這趟旅程來到最後一天，
2025 開春的第一個長班也順利落幕囉",15.05,{'0': '895874859413325'},2025-02-16 07:41:42+08:00,2025-12-27 00:20:42+08:00,DGHKWLtSs8Q,Yes,Instaloader
2025-03-07 05:45:26+00:00,2025-06-27 16:43:08+00:00,鬧著玩娛樂,nowyouon,1984042009203698,1984042009203698,22,1832.0,269374.0,"終於換我們可愛的女夯出來滑雪啦
❤️❤️❤️
期待了一年多

真的不可能有一間公司
滑雪教得那麼好
雪衣選得那麼可愛吧😍😍😍

你知道嗎
雪衣挑的好直接先加99分嗎😂

滑雪一切交給DBC
什麼都不用煩惱了

他們今年還做了一個超好看的安全帽，
我們都好喜歡喔

好了 不說了
要去滑雪了😁😁😁😁",10.38,"{'0': '1982073292386617', '1': '926637225631019', '2': '619293963879737'}",2025-03-07 13:45:26+08:00,2025-06-28 00:43:08+08:00,DG4v-OmTVIN,Yes,Instaloader
2025-03-18 16:00:13+00:00,2026-01-25 13:14:53+00:00,鬧著玩娛樂,nowyouon,1264653412260943,1264653412260943,16,1093.0,44370.0,"這禮拜開始播芝加哥喔
我們第一天就去了66號公路的起點
真的很熱血沸騰

第二集聽小智（後製部門同仁）說超好笑
我好期待喔
在現場真的笑到肚子快痛死😂

影片是我們在芝加哥的一個午餐
我們才抵達不到48小時
就想吃亞洲菜了（會不會太快？）
哈哈哈
但是鬧著玩不會播太多
都在翔什麼播😂😂😂

社長幾乎每天都會拿去漬筆出來
團隊的用量非常可觀

於是我們決定回台灣之後
開發鬧著玩的去漬筆
大家覺得怎麼樣？

賣鬧最近都不知道要賣什麼
不然大家也幫忙想一想好了🤍

留言跟我們說
你們覺得美國好不好看
我們要不要做去漬筆
還有
想在賣鬧買什麼🤍",51.78,{'0': '895874859413325'},2025-03-19 00:00:13+08:00,2026-01-25 21:14:53+08:00,DHWLC5tzuqB,Yes,Instaloader
2025-03-20 12:48:23+00:00,2025-03-21 01:38:30+00:00,鬧著玩娛樂,nowyouon,1265493275466755,1265493275466755,10,1597.0,69576.0,"不是戲劇效果
是真的員工請老闆吃飯😂

老闆們還大言不慚！大點特點！反正是用員工請客！

有這樣的老闆！什麼時候離職(∩_∩)？",23.06,"{'0': 'non_public_975134475178169', '1': 'non_public_1218625910444267', '2': '3769737060033696', '3': 'non_public_1114013844147579', '4': '895874859413325', '5': 'non_public_1531806268385793', '6': '1239892394521158', '7': 'non_public_890110883654553', '8': 'non_public_1899643320658561'}",2025-03-20 20:48:23+08:00,2025-03-21 09:38:30+08:00,DHa-wxGzwyz,Yes,Instaloader
2025-03-21 10:46:14+00:00,2025-04-30 05:59:16+00:00,鬧著玩娛樂,nowyouon,1257649679145262,1257649679145262,1,908.0,46526.0,"各位鬧粉應該已經看到我們在美國鬧很大、
因為語言不通而鬧出來的好笑行徑了吧？

想喝啤酒結果點到Cream Soda，
自信滿滿再衝去買，結果是Root Beer…🙃

像我們這種噗嚨共的團隊，
好險在租車這件事上，
找到一個超給力的中文客服商家
Sky Horse 天馬租車！🛻🌟
@skyhorsetw 

到美國沒車真的就像沒腳一樣，
地大物博，開車是最方便的移動方式。
不只省時間，
很多超讚的秘境景點也都得靠開車才能到。

而且在美國租車，
甲地租乙地還車只是基本操作！
這次我們從舊金山租車、洛杉磯還車
天馬租車出發前還超貼心
幫我們解答一堆問題
我們問題真的爆炸多😅

像是：
✅人這麼多要租哪種車行李才塞得下？
✅保險該保到什麼程度才安心？
✅ …你們覺得、誰看起來最像我們的司機？😂

全程都用我們熟悉的 LINE 聯絡，
就像有個遠房親戚住在美國一樣，
聊天起來超親切、超安心 🥹

牛奶還說她在世界各地租過這麼多車，
每次都要看密密麻麻的英文條款看到眼花，
超怕漏看什麼會被多收錢～
這次終於可以100%放鬆，
全程給天馬處理，她直接給💯分！

好啦～偷偷說，
美國系列還有很！多！集！要！上～
鬧粉們快準備好跟我們一起追首播吧

如果你也要去美國玩，
一定要記得找我們的遠房親戚——天馬租車喔

#鬧著玩美國篇 #租車推薦 #天馬租車 #SkyHorseRental #甲地租乙地還車 #中文客服最安心",62.07,{'0': '2046080029152038'},2025-03-21 18:46:14+08:00,2025-04-30 13:59:16+08:00,DHdTuJRTu8d,Yes,Instaloader
2025-03-29 14:52:44+00:00,2025-03-31 16:32:51+00:00,鬧著玩娛樂,nowyouon,26134385386181480,26134385386181476,35,1299.0,48128.0,"鬧著玩・旅遊首發團
仙台 × 花卷 5日遊

總計 140 位鬧粉，一起飛往日本！
這不只是一場旅行，
是充滿感動、笑聲與緣分的旅程。

謝謝每一位願意參加我們首發團的鬧粉們。
短短幾天的相處，
我們真的感受到你們滿滿的喜愛與支持，
而這一切——
我們從來不覺得是理所當然的。
有你們在，
我們才有繼續「鬧下去」的勇氣與動力。

這次最開心的，
是看到大家相處得像早就認識一樣！
3/28 的晚上，
大家住在同一間飯店，
還自動自發在大廳集合，要一起看《鬧著玩》首播。
然後就相談勝歡，笑聲不斷——
從原本不認識，到變成旅伴，甚至變朋友，
這，就是旅行最美妙的地方。

我們常常為我們的鬧粉感到超驕傲：
有禮貌、貼心、有默契，
而這次還發現了一個超優秀的特質：
每一位都！超！準！時！！
（真的太值得讚賞了！）

我們真的好幸運，擁有這麼優質的粉絲。
珍惜你們每一位——這群可愛又溫暖的你們。

這趟旅程讓我們更確定：
一定會繼續把節目做好、
把每一趟旅行辦得更棒，
因為我們想一直，一直，跟你們一起走下去。

謝謝你們，成為這段旅程中最珍貴的風景。
這只是鬧著玩旅行團的開始，
我們還要一起去很多地方旅行！

一起才算，對吧？",31.5,"{'0': 'non_public_1218625910444267', '1': '926637225631019', '2': '1239892394521158', '3': '1476293810889042'}",2025-03-29 22:52:44+08:00,2025-04-01 00:32:51+08:00,DHyWYrazaS8,Yes,Instaloader
2025-04-04 06:55:04+00:00,2025-04-06 08:35:13+00:00,鬧著玩娛樂,nowyouon,924443073371033,924443073371033,30,889.0,53006.0,"下次會有人想報名「趕高鐵」這團嗎？
底下喊+1 😂

@together_love0214 💦",95.92,"{'0': '926637225631019', '1': '1434195538095402'}",2025-04-04 14:55:04+08:00,2025-04-06 16:35:13+08:00,DIA-VVwTrzL,Yes,Instaloader
2025-04-06 10:29:12+00:00,2025-04-08 05:29:18+00:00,鬧著玩娛樂,nowyouon,1309730077645250,1309730077645250,11,1670.0,61278.0,"遶境的朋友有看到顏霸總嗎？如果有的話記得吃泡麵再幫我賞他一巴掌…😂

期間限定購買「隨緣－紅燒嫩菇湯麵＆沙茶豆腐湯麵」隨機隨碗贈送媽祖加持的祈福好運貼紙！快一起吃隨緣好運隨行！

#隨緣沙茶豆腐湯麵 #隨緣紅燒嫩菇湯麵 #好運隨行
@vedannoodle_official",55.07,,2025-04-06 18:29:12+08:00,2025-04-08 13:29:18+08:00,DIGgV1vTSRO,Yes,Instaloader
2025-05-05 01:34:21+00:00,2025-05-09 03:34:29+00:00,鬧著玩娛樂,nowyouon,1220080203637224,1220080203637224,36,2028.0,67612.0,"那天有鬧粉私訊：是哪位厲害長腿叔叔，讓他們願意戴上髮箍？🤔

報告：是他們自己。

自己夾娃娃
自己戴上去
自己喊口號
以上行為皆自願，無人強迫😂",36.15,"{'0': '1218278903834784', '1': '926637225631019', '2': '3769737060033696', '3': 'non_public_1114013844147579', '4': '1434195538095402', '5': '895874859413325'}",2025-05-05 09:34:21+08:00,2025-05-09 11:34:29+08:00,DJQOiAwT2ul,Yes,Instaloader
