creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-06 11:53:51+00:00,2025-02-14 07:01:00+00:00,🎀iampatti采蓁🎀,pattihuang,951317314132709,951317314132709,32,2269.0,53144.0,好久沒釣魚了⋯ #釣魚 #路亞 #黑鱸,18.64,,2025-01-06 19:53:51+08:00,2025-02-14 15:01:00+08:00,DEe6-x_yhm9,Yes,Instaloader
2025-01-08 11:45:07+00:00,2025-02-14 07:01:00+00:00,🎀iampatti采蓁🎀,pattihuang,1222211110069547,1222211110069547,58,3208.0,80178.0,逆向操作～誰說軟竿不適合釣大公蝦！,40.83,,2025-01-08 19:45:07+08:00,2025-02-14 15:01:00+08:00,DEkDkbLyHWS,Yes,Instaloader
2025-02-19 11:50:12+00:00,2025-02-19 13:10:17+00:00,🎀iampatti采蓁🎀,pattihuang,820785197698065,820785197698065,30,1426.0,44346.0,來這裡釣魚不能錯過這家湯包！#宜蘭 #美食 #釣魚 #黑格,71.38,,2025-02-19 19:50:12+08:00,2025-02-19 21:10:17+08:00,DGQNhp_SOL2,Yes,Instaloader
2025-02-26 09:51:06+00:00,2025-09-11 22:26:11+00:00,🎀iampatti采蓁🎀,pattihuang,3999807080318211,3999807080318211,42,1455.0,46186.0,想變美只需做對一件事就夠了！#聖宜診所 #聖宜中壢 #沈若蘭醫師 #水光針 #水光槍 #深層補水 #透亮美肌 #精雕細琢完美妳型,69.64,,2025-02-26 17:51:06+08:00,2025-09-12 06:26:11+08:00,DGiBb4gSk_u,Yes,Instaloader
2025-03-11 10:27:26+00:00,2025-03-11 10:51:32+00:00,🎀iampatti采蓁🎀,pattihuang,1222077166707219,1222077166707219,32,1346.0,39923.0,CP值超高的市場 ！竟然都沒有踩雷！ #嘉義 #東市場 #美食,72.24,,2025-03-11 18:27:26+08:00,2025-03-11 18:51:32+08:00,DHDj3lQy3_v,Yes,Instaloader
2025-03-18 04:06:13+00:00,2025-03-19 01:46:18+00:00,🎀iampatti采蓁🎀,pattihuang,3391494940999356,3391494940999356,38,1730.0,50986.0,一種超簡單的旅遊轉場！ #日本 #大阪 #旅遊,14.28,,2025-03-18 12:06:13+08:00,2025-03-19 09:46:18+08:00,DHU5-QkSJdh,Yes,Instaloader
2025-03-23 04:19:30+00:00,2025-03-23 06:59:37+00:00,🎀iampatti采蓁🎀,pattihuang,895506186583827,895506186583827,33,1137.0,31810.0,用遊動丸輕鬆get大龍占 #凌越號 #遊動丸 #釣魚,67.93,,2025-03-23 12:19:30+08:00,2025-03-23 14:59:37+08:00,DHhzT2dy6eL,Yes,Instaloader
2025-03-25 04:47:52+00:00,2025-04-29 15:54:11+00:00,🎀iampatti采蓁🎀,pattihuang,1441658307668755,1441658307668755,20,652.0,29864.0,我釣到大黑鱸啦！#釣魚 #路亞 #黑鱸 #藍迪,66.9,,2025-03-25 12:47:52+08:00,2025-04-29 23:54:11+08:00,DHnAMoCy-sf,Yes,Instaloader
2025-04-07 10:38:41+00:00,2025-04-07 11:18:46+00:00,🎀iampatti采蓁🎀,pattihuang,1278427070806297,1278427070806297,41,1613.0,45645.0,我可以理解潤餅包炒麵但是為什麼要加糖？這不是甜點啊～～ #嘉義 #市場 #美食 #春捲,71.07,,2025-04-07 18:38:41+08:00,2025-04-07 19:18:46+08:00,DIJGp0QSb-5,Yes,Instaloader
2025-04-11 02:04:41+00:00,2025-09-30 04:07:04+00:00,🎀iampatti采蓁🎀,pattihuang,1470044734750029,1470044734750029,47,1910.0,52766.0,別說我曬不黑了⋯我其實滿臉都是斑（內有素顏慎入）#聖宜診所 #聖宜中壢 #沈若蘭醫師 #薇貝拉 #魔法針 #VIVABELLA #小貝拉 #補水保濕 #精雕細琢完美妳型,66.93,,2025-04-11 10:04:41+08:00,2025-09-30 12:07:04+08:00,DISe66wSa_B,Yes,Instaloader
2025-04-15 02:01:59+00:00,2025-04-30 07:58:32+00:00,🎀iampatti采蓁🎀,pattihuang,1576666190237677,1576666190237677,28,1325.0,41048.0,"一個比象龜還長壽⋯可以用一輩子的釣蝦用品 #釣蝦 #釣組 

釣蝦的釣組是環環相扣的
大部分人都在討論釣竿、浮標跟鉤子
那你知道釣線有多重要嗎？
·
釣線是會影響蝦訊的傳達
一般我們是用PE當釣蝦的母線
因為延展性較低
所以可以完整的傳達打蝦力道
就是「比較好打蝦 」！（重點😏

好的釣線有哪些優點呢？
·不吸水性（線不會老化，耐用）
·不纏竿尾
·色線，且必須色牢度高（可以清楚看你的線組在哪）
·切水性佳（浮標很快可以定位）
·拉力值高（線徑細就能達到我要的強度）
·低延展性（咬訊直覺）

這款頂規日本製程品質的「丰彩」 就完全符合我的訴求😉
而且它的耐用度真的很高！
好的釣線是可以用一輩子的喔！",56.87,,2025-04-15 10:01:59+08:00,2025-04-30 15:58:32+08:00,DIcx6znyDS8,Yes,Instaloader
2025-04-18 01:20:00+00:00,2025-09-27 16:23:08+00:00,🎀iampatti采蓁🎀,pattihuang,887853504080464,887853504080464,30,1309.0,42475.0,"這絕對是假日遛小孩的最佳去處⋯一起走入大自然 #永續農遊  #玩農場上農遊超市 

你有多久沒有走入大自然了～
我上週在嘉義好美里的「好美船屋」
體驗了製作鹽滷豆花、爆漿虱目魚丸、用傳統環保♻️釣具釣魚以及摸蛤蜊
真的非常有趣耶！
而這些體驗都是我在農遊超市買的行程👇
好美超好玩-食農好玩券、五感體驗遊程這裡買
🛒 https://reurl.cc/8D0jQb

「農遊超市」當然不只有這些活動
還有採草莓、拔蔥、賞花、梅花鹿互動等等
真的非常推薦帶小朋友一起來體驗
走入真實的大自然～
·
最近農遊超市還有滿千送百優惠喔👇
🌟即日起至4/30止，購買指定永續農遊行程，單筆消費滿$1000送$100農遊現金券、滿$2000送$200農遊現金券…以此類推，買越多送越多🎉
·
最後要說說這個超香、超涮嘴魚酥
它是用午仔魚跟虱目魚製做的
而且還🏅獲選 113年第十屆 #農村好物 【兩種魚酥】 
它絕對是我最喜歡的零食之一🤤",68.08,,2025-04-18 09:20:00+08:00,2025-09-28 00:23:08+08:00,DIkbsf_y3rb,Yes,Instaloader
2025-04-22 01:30:00+00:00,2025-04-22 04:20:05+00:00,🎀iampatti采蓁🎀,pattihuang,1369013358308988,1369013358308988,30,895.0,34326.0,巨型金目鱸請上岸啦！ #釣魚 #fishing #路亞 #金目鱸,81.07,,2025-04-22 09:30:00+08:00,2025-04-22 12:20:05+08:00,DIuv_pfSI9M,Yes,Instaloader
2025-05-27 10:10:55+00:00,2025-05-28 01:41:01+00:00,🎀iampatti采蓁🎀,pattihuang,1984224432500926,1984224432500926,78,1639.0,49730.0,你看過綠鬣蜥跑步嗎？ #綠鬣蜥 #外來種 #路亞,27.6,,2025-05-27 18:10:55+08:00,2025-05-28 09:41:01+08:00,DKJy9KXP9E6,Yes,Instaloader
2025-06-12 03:54:02+00:00,2025-06-14 09:04:07+00:00,🎀iampatti采蓁🎀,pattihuang,1239013875050600,1239013875050600,71,2222.0,74981.0,第一次看到這樣的儀式⋯,49.5,,2025-06-12 11:54:02+08:00,2025-06-14 17:04:07+08:00,DKyU5C4Sl6h,Yes,Instaloader
2025-06-25 04:27:45+00:00,2025-06-27 05:17:50+00:00,🎀iampatti采蓁🎀,pattihuang,1627494692012031,1627494692012031,41,1177.0,39691.0,最近網路超火的⋯我敢保證你一定不認識！（看到最後）#labubu,49.27,,2025-06-25 12:27:45+08:00,2025-06-27 13:17:50+08:00,DLT3BfnSqam,Yes,Instaloader
2025-06-30 04:23:37+00:00,2026-02-01 16:48:52+00:00,🎀iampatti采蓁🎀,pattihuang,1660185788766464,1660185788766464,52,1183.0,44246.0,我終於對它下手了⋯,36.37,,2025-06-30 12:23:37+08:00,2026-02-02 00:48:52+08:00,DLguifMSrZw,Yes,Instaloader
2025-07-17 10:49:12+00:00,2025-08-13 13:40:35+00:00,🎀iampatti采蓁🎀,pattihuang,1235981978511102,1235981978511102,30,,30919.0,一次過的舞蹈⋯一起來搖擺啊！,9.68,,2025-07-17 18:49:12+08:00,2025-08-13 21:40:35+08:00,DMNMOACyu5U,Yes,Instaloader
2025-07-21 04:34:36+00:00,2026-01-02 23:51:54+00:00,🎀iampatti采蓁🎀,pattihuang,1201044322017396,1201044322017396,56,2249.0,56458.0,這才是夏天該有的樣子⋯出來一起玩啊！,11.24,,2025-07-21 12:34:36+08:00,2026-01-03 07:51:54+08:00,DMW0jeDy8xp,Yes,Instaloader
2025-08-28 09:29:32+00:00,2026-01-09 00:28:06+00:00,🎀iampatti采蓁🎀,pattihuang,2329648847511078,2329648847511078,25,,34152.0,雖遲但到的透抽短片😆⋯,53.24,,2025-08-28 17:29:32+08:00,2026-01-09 08:28:06+08:00,DN5MZRCk7xU,Yes,Instaloader
2025-08-30 04:31:27+00:00,2025-09-01 06:01:31+00:00,🎀iampatti采蓁🎀,pattihuang,4429157923972999,4429157923972999,32,,31563.0,我保證你一定沒吃過這個水果！,60.43,,2025-08-30 12:31:27+08:00,2025-09-01 14:01:31+08:00,DN90A-Kj5aH,Yes,Instaloader
2025-09-01 10:31:33+00:00,2025-09-03 13:31:40+00:00,🎀iampatti采蓁🎀,pattihuang,1089259320022404,1089259320022404,16,,25005.0,釣魚遇到科摩多蜥蜴要怎麼辦？,46.3,,2025-09-01 18:31:33+08:00,2025-09-03 21:31:40+08:00,DODm0dyDww8,Yes,Instaloader
2025-09-08 11:57:27+00:00,2025-09-10 13:17:33+00:00,🎀iampatti采蓁🎀,pattihuang,1300527765458379,1300527765458379,22,,35351.0,你吃過180公斤的龍膽石斑魚嗎？,68.6,,2025-09-08 19:57:27+08:00,2025-09-10 21:17:33+08:00,DOVyCK9k2MC,Yes,Instaloader
2025-09-10 04:06:11+00:00,2025-09-10 14:06:18+00:00,🎀iampatti采蓁🎀,pattihuang,1419026003339222,1419026003339222,36,,31800.0,欸不是！我腳都還沒喇就有魚了！,53.73,,2025-09-10 12:06:11+08:00,2025-09-10 22:06:18+08:00,DOaFy46E8Dk,Yes,Instaloader
2025-09-15 03:45:50+00:00,2025-09-16 07:15:58+00:00,🎀iampatti采蓁🎀,pattihuang,2329151720905115,2329151720905115,42,,35117.0,釣魚人的上船舞來囉！😆,21.1,,2025-09-15 11:45:50+08:00,2025-09-16 15:15:58+08:00,DOm7fffE3Fw,Yes,Instaloader
2025-09-21 05:08:58+00:00,2025-11-14 13:42:30+00:00,🎀iampatti采蓁🎀,pattihuang,1989597378430097,1989597378430097,65,3213.0,78927.0,草蝦哥哥～上車囉！ #上車舞,50.13,,2025-09-21 13:08:58+08:00,2025-11-14 21:42:30+08:00,DO2hO2_k9WL,Yes,Instaloader
2025-09-28 07:41:02+00:00,2025-09-30 09:31:09+00:00,🎀iampatti采蓁🎀,pattihuang,1640633733794407,1640633733794407,22,895.0,28494.0,中秋烤肉一定不能少的是⋯#明湖海產 #中秋烤肉 #中秋快樂,63.07,,2025-09-28 15:41:02+08:00,2025-09-30 17:31:09+08:00,DPI0fO7k5yq,Yes,Instaloader
2025-10-20 10:30:09+00:00,2025-11-14 13:41:56+00:00,🎀iampatti采蓁🎀,pattihuang,1254009113361198,1254009113361198,25,2451.0,28446.0,我最近週末都在趕這個！有人跟我一樣嗎？,16.3,,2025-10-20 18:30:09+08:00,2025-11-14 21:41:56+08:00,DQBxll7E4PI,Yes,Instaloader
2025-10-21 03:35:14+00:00,2025-10-23 05:35:21+00:00,🎀iampatti采蓁🎀,pattihuang,1791041661565393,1791041661565393,24,,28847.0,真的別太離譜！這到底是誰發明的？  #聖宜診所 #聖宜中壢 #張安慧醫師 #MatrixPro #翡翠電波 #微針電波 #改善膚況 #精雕細琢完美妳型,67.3,,2025-10-21 11:35:14+08:00,2025-10-23 13:35:21+08:00,DQDm3lvk_hu,Yes,Instaloader
2025-10-26 05:44:45+00:00,2025-10-29 16:04:53+00:00,🎀iampatti采蓁🎀,pattihuang,1460576449002466,1460576449002466,23,,30128.0,我真是丟臉丟到國家大門了⋯😅,46.47,,2025-10-26 13:44:45+08:00,2025-10-30 00:04:53+08:00,DQQttBok7hw,Yes,Instaloader
2025-10-28 09:13:59+00:00,2025-10-30 11:04:05+00:00,🎀iampatti采蓁🎀,pattihuang,1471006301271013,1471006301271013,23,,18518.0,不能說很像，只能說一模一樣！,18.33,,2025-10-28 17:13:59+08:00,2025-10-30 19:04:05+08:00,DQWPQtdEyFK,Yes,Instaloader
2025-10-29 04:08:25+00:00,2025-10-31 10:18:30+00:00,🎀iampatti采蓁🎀,pattihuang,2239169973489435,2239169973489435,22,,26263.0,真沒想到超商旁的魚池有這種大物！,61.32,,2025-10-29 12:08:25+08:00,2025-10-31 18:18:30+08:00,DQYRCCEk_MK,Yes,Instaloader
2025-11-01 09:55:19+00:00,2025-11-03 13:55:26+00:00,🎀iampatti采蓁🎀,pattihuang,1277600867757317,1277600867757317,42,,19273.0,不是不敢吃，是我吃不起！,53.64,,2025-11-01 17:55:19+08:00,2025-11-03 21:55:26+08:00,DQgnEqWE5to,Yes,Instaloader
2025-11-04 09:20:55+00:00,2025-11-08 10:11:03+00:00,🎀iampatti采蓁🎀,pattihuang,2321183535012724,2321183535012724,24,474.0,28883.0,不懂就問！夜市撈金魚到底怎麼撈？,60.83,,2025-11-04 17:20:55+08:00,2025-11-08 18:11:03+08:00,DQoRjz1EzqE,Yes,Instaloader
2025-11-05 09:28:21+00:00,2025-11-14 13:41:25+00:00,🎀iampatti采蓁🎀,pattihuang,1223000210010627,1223000210010627,33,1173.0,19925.0,釣魚的兩副嘴臉！打龜？大咬？,22.97,,2025-11-05 17:28:21+08:00,2025-11-14 21:41:25+08:00,DQq3QnbE8Y7,Yes,Instaloader
2025-11-06 10:54:39+00:00,2025-11-09 15:34:46+00:00,🎀iampatti采蓁🎀,pattihuang,1588329485752914,1588329485752914,14,,14041.0,一顆足球大西瓜只要22元！這根本是寶藏水果店！,57.33,,2025-11-06 18:54:39+08:00,2025-11-09 23:34:46+08:00,DQtl32ek99L,Yes,Instaloader
