creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 13:28:00+00:00,2025-07-03 16:25:27+00:00,PEETA葛格👌🏾,peeta.gege,1176517181356452,1176517181356452,19,5705.0,362990.0,"一個簡單且好用的課表分享給大家。練的動作跟組數不用太多，重點是有認真做好每一下。
@evolgear_tw 的器材真的讚，歡迎大家到 @stepx.fitness 使用看看",87.35,{'0': '1393092821904074'},2025-01-02 21:28:00+08:00,2025-07-04 00:25:27+08:00,DEUylFLzOVX,Yes,Instaloader
2025-01-18 14:27:49+00:00,2025-07-07 12:01:45+00:00,PEETA葛格👌🏾,peeta.gege,3761780234118503,3761780234118503,31,5288.0,281997.0,"夜市王從第一集看到現在到現場看決賽覺得真的很感動。現場人真的爆多，好險我有自製奉旨乞食的令牌，才能讓好心人給我蹭到好吃的食物。還沒看過夜市王的請趕快去看爆。

@thekingofnightmarket",80.07,{'0': '837082705427487'},2025-01-18 22:27:49+08:00,2025-07-07 20:01:45+08:00,DE-FxfFz_mL,Yes,Instaloader
2025-02-02 11:47:47+00:00,2025-07-05 07:57:21+00:00,PEETA葛格👌🏾,peeta.gege,1438067547712182,1438067547712182,21,4890.0,220730.0,"最近 Speak在找 #英文講最爛代言人
雖然我是從LA回來的PeeLA葛格，但點餐還是會卡卡
不信嗎？讓我來跟各位展示一下。

我還真沒想到用英文點餐這麼難！
還好！我英文不好！選我選我！

2/6 前轉發本篇貼文至限動並 tag @speak_zh，就有機會抽中 AirPods 或其他神秘大禮！

*詳細活動辦法請查看 @speak_zh 置頂活動貼文",60.76,{'0': '900124179602163'},2025-02-02 19:47:47+08:00,2025-07-05 15:57:21+08:00,DFkblcdTceN,Yes,Instaloader
2025-02-05 11:52:35+00:00,2025-04-29 04:57:02+00:00,PEETA葛格👌🏾,peeta.gege,2367068293795838,2367068293795838,15,1682.0,205843.0,"Peeta TakeTake第一次與外面的餐廳聯名，我也第一次上台當偶像。
現在在 @kirabase 北車跟三創店都吃的到，邊看表演邊吃健康餐，超讚。",61.65,{'0': '605337198357058'},2025-02-05 19:52:35+08:00,2025-04-29 12:57:02+08:00,DFsKfNDztkp,Yes,Instaloader
2025-02-09 12:30:00+00:00,2025-09-10 19:33:33+00:00,PEETA葛格👌🏾,peeta.gege,1281193820513444,1281193820513444,55,5241.0,428306.0,"這次食完筆記本邀請到自然猛獸Zack一起來分享營養與訓練。
食完筆記本是專門邀請剛比完賽的選手們，來吃他們在備賽過程無法吃的美食。完整版請到YT去看！",47.35,{'0': '1659444971438649'},2025-02-09 20:30:00+08:00,2025-09-11 03:33:33+08:00,DF2iTtZTmke,Yes,Instaloader
2025-02-16 12:35:34+00:00,2025-07-01 13:55:36+00:00,PEETA葛格👌🏾,peeta.gege,1745693643502805,1745693643502805,18,6023.0,496089.0,"與奧賽選手的激情訓練影片正式上線，Youtube上可以看完整版，是個刺激、感動、充滿汗水與淚水的一集。
同時 @stepx.fitness 正在週年慶中，教練課、體驗課皆有優惠，歡迎各種需求的人一起來健身。",63.13,"{'0': '5408921065998987', '1': '4189937927937413', '2': '1575807403854673'}",2025-02-16 20:35:34+08:00,2025-07-01 21:55:36+08:00,DGIj-32T7fT,Yes,Instaloader
2025-02-27 01:22:10+00:00,2025-03-01 01:52:17+00:00,PEETA葛格👌🏾,peeta.gege,1611103596599247,1611103596599247,122,8797.0,127590.0,"錄了一小時的芋頭牛奶高蛋白介紹，跟剪輯師說剪精華就好，沒想到真的特別精華。
@stepv.mart 芋頭牛奶高蛋白我們調了大概四個多月，真的好好喝。2/27號開賣，現在馬上下訂喝下去。",40.01,{'0': '874877188674504'},2025-02-27 09:22:10+08:00,2025-03-01 09:52:17+08:00,DGjrLr7TitG,Yes,Instaloader
2025-03-11 10:01:45+00:00,2025-09-10 09:01:14+00:00,PEETA葛格👌🏾,peeta.gege,1185119070310985,1185119070310985,75,1654.0,187480.0,"你是否在健身房中發生過下列這些事情？
1 東西太多忘記拿，時常少個拉力帶
2 包包放在地上被踩到
3 打翻飲料被趕出健身房
4 搭訕女生但是失敗，因為包包太醜。

好在現在我有 @rb.fitpack Fitpack 隨吸包，可以一口氣解決上面的問題！
我最喜歡的他的四大設計：
🔹 強力磁吸設計，最高承受 10kg 重量，讓你怎麼吸都好吸
🔹 超大容量收納，護具、補品到水壺，健身必備品都裝得下！
🔹 耐刮耐磨，無論在健身房或是帶去戶外，都方便使用。
🔹 單手就能輕鬆拿取，水壺秒拿秒放

【抽獎活動】
▫️ 抽獎獎品： @rb.fitpack FitPack磁吸包*1
▫️ 抽獎時間：3/11 發布起～4/10 23:49
▫️ 抽獎方式：留言標記2位朋友 + 告訴我你想吸在哪裡🧐",60.53,{'0': '924576930518491'},2025-03-11 18:01:45+08:00,2025-09-10 17:01:14+08:00,DHDguE8ThdO,Yes,Instaloader
2025-03-17 15:46:53+00:00,2025-03-19 16:37:00+00:00,PEETA葛格👌🏾,peeta.gege,835644122850378,835644122850378,0,34.0,1600.0,直接被虐爆,63.13,,2025-03-17 23:46:53+08:00,2025-03-20 00:37:00+08:00,,No,
2025-03-22 05:14:17+00:00,2025-03-24 07:44:23+00:00,PEETA葛格👌🏾,peeta.gege,1627059811816866,1627059811816866,3,552.0,141227.0,我覺得很好看的影片，但不知為何YT這支觸擊史上最差。😭😭趕快去看下去,41.79,"{'0': '2139983880093581', '1': '1055597603320478'}",2025-03-22 13:14:17+08:00,2025-03-24 15:44:23+08:00,DHfUsG6zU5s,Yes,Instaloader
