creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-04 04:02:59+00:00,2025-02-08 13:41:06+00:00,彼得爸與蘇珊媽,peter_and_susan,1449272706814203,1449272706814203,22,2757.0,157426.0,藏壽司都市傳說流量比較高！但假的啊...,31.18,,2025-01-04 12:02:59+08:00,2025-02-08 21:41:06+08:00,DEY7kY4OL6G,Yes,Instaloader
2025-01-05 04:02:59+00:00,2025-04-13 18:40:55+00:00,彼得爸與蘇珊媽,peter_and_susan,26128832783474600,26128832783474596,1,538.0,60449.0,淡水也有高級鐵板燒無菜單料理了，還不好訂呢...,52.34,,2025-01-05 12:02:59+08:00,2025-04-14 02:40:55+08:00,DEbgW4vt7GC,Yes,Instaloader
2025-01-06 09:38:48+00:00,2025-02-08 13:41:06+00:00,彼得爸與蘇珊媽,peter_and_susan,886352320989590,886352320989590,7,1221.0,98584.0,"余仁生新年禮盒🛒https://bit.ly/41WXtgF

又要過年拉~還不知道要送什麼禮物給親朋好友嗎？
每次過年過節要送禮的時候
最怕的就是送錯禮結果就變成了被轉送再轉送的局面😅 
但如果送的是余仁生花燕窩禮盒的話~
不僅不怕送錯還能帶來健康祝福💝
送長輩、朋友、同事都合適✨

余仁生是馬來西亞的知名養生百年品牌
堅持天然草本、食療養生，成分天然，品質當然也掛保證！
也是他們的堅持才能讓每一份禮盒都成為尊貴的心意🎁

今年蛇年還有限量的精美禮盒！
讓你送出的禮物更有特色還氣派！😎

官網歡慶1月年節限定禮盒優惠！
福氣安康禮盒 $3,888
開門見喜禮盒 $8,888
現在下單在優惠碼欄位輸入我的專屬代碼【pas_sp】
年節禮盒滿$3,888再送精美燉盅1個（不累贈）

@euyansangtaiwan

#余仁生 #余仁生台灣  #福氣安康禮盒 #新年禮盒",90.0,,2025-01-06 17:38:48+08:00,2025-02-08 21:41:06+08:00,DEerlTGuctC,Yes,Instaloader
2025-01-07 04:06:06+00:00,2025-02-08 13:41:06+00:00,彼得爸與蘇珊媽,peter_and_susan,734692619463941,734692619463941,33,2549.0,149575.0,這東西好地獄...但好實用🤣,69.08,,2025-01-07 12:06:06+08:00,2025-02-08 21:41:06+08:00,DEgqTEOJ_tv,Yes,Instaloader
2025-01-10 04:30:03+00:00,2025-02-08 13:41:06+00:00,彼得爸與蘇珊媽,peter_and_susan,907098161719135,907098161719135,13,1467.0,103825.0,"再睡五分鐘 @napteazzz 三重重新店開幕啦
就在台北橋站對面
前三天還有買1送1的活動唷
來逛三和夜市順便喝杯療癒的手搖吧🥰",35.71,"{'0': '1380444029944278', '1': '3013459829044168'}",2025-01-10 12:30:03+08:00,2025-02-08 21:41:06+08:00,DEoawnKyRqI,Yes,Instaloader
2025-01-13 04:03:31+00:00,2025-09-17 01:37:49+00:00,彼得爸與蘇珊媽,peter_and_susan,3565590926915541,3565590926915541,21,1683.0,124322.0,"全世界最小真空機開團拉！
原本對真空機真的很無感
殊不知一試成主顧
對於三寶家庭來說更方便
每次出國光是一家人的衣服
行李就直接塞爆了，歐咪壓給還怎麼買呀
用了VAGO之後我們空間直接多出一半！！
而且體積又小完全不佔空間
台灣之光啊～～～

這次的優惠組合超級棒，省超多！
還是依照我們自己的需求跟廠商拗出來的
要買趁現在啊！",76.42,,2025-01-13 12:03:31+08:00,2025-09-17 09:37:49+08:00,DEwGyK4xxSs,Yes,Instaloader
2025-01-14 06:31:36+00:00,2025-02-08 13:41:06+00:00,彼得爸與蘇珊媽,peter_and_susan,2384117442066550,2384117442066550,9,443.0,59812.0,"超好吃的一之鄉蜂蜜蛋糕居然出年節禮盒拉！🤩

一之鄉的蜂蜜蛋糕選用100%純天然龍眼花蜜😋
無油脂與防腐劑，Q彈香甜，純淨健康！

甜甜又綿密越吃越好吃~🤤

年節限定的麻將與億萬烙印設計
送禮自用兩相宜，帶來富貴與祝福~
裡面還有金錢龜跟刮刮樂
收到的人一定會發發發拉！💰🤑
現在團購優惠2盒799甚至免運費！！😍
快來參加一之鄉團購，享受品質與優惠的雙重好禮~",81.27,,2025-01-14 14:31:36+08:00,2025-02-08 21:41:06+08:00,DEy8hJ5OLyq,Yes,Instaloader
2025-01-17 04:02:04+00:00,2025-02-24 05:04:17+00:00,彼得爸與蘇珊媽,peter_and_susan,1261323375842017,1261323375842017,10,914.0,81068.0,"大家覺得家裡最難整理的地方是哪裡？

我覺得最難整理的就是廚房的油煙了QQ
每次整理廚房都得花大把時間，油漬真的很煩人！
如果你也和我一樣苦惱，不妨試試Goodies&co的環保清潔劑，真的讓清潔變得超輕鬆！
https://citiesocial.co/fDUpC

這是來自台灣第一款咖啡渣環保清潔劑組
Goodies&co不僅能輕鬆去除油漬、污漬
還特別選用了高品質香氛調配，香氣媲美香氛品牌
讓家中不僅乾淨，還充滿迷人的香氣~
完全擺脫了傳統化學藥劑那股刺鼻的味道！

citiesocial是一間成立13年的高質感選物平台
首次推出的自有品牌，品質有保證！
而且每一瓶清潔劑的效能都很強大，一瓶抵多瓶，超級實用又省錢！

不管是處理水漬，還是去除水垢，或是清潔地板，它都能輕鬆搞定！

像是這款Goodies&co水垢環保清潔劑可以輕鬆去除水垢，讓家裡的各個角落都變得更清爽潔淨
而Goodies&co免稀釋地板環保清潔劑，還能幫你輕鬆應對地板上的細菌
三步防蚊，輕鬆搞定！

更重要的是，這些清潔劑都環保無毒！
讓你不用擔心化學藥劑的傷害，清潔家裡每個角落時，還能安心使用，讓家更健康。

@citiesocial 

團購連結：https://citiesocial.co/PyAf7

https://citiesocial.co/fDUpC

#Goodies好好照顧你的居家生活品牌 #everyday讓打掃變成一種享受 #台灣最美環保清潔劑組 #精緻生活美學",86.52,,2025-01-17 12:02:04+08:00,2025-02-24 13:04:17+08:00,DE6ZzJvtKFY,Yes,Instaloader
2025-01-18 13:36:21+00:00,2025-07-30 12:11:23+00:00,彼得爸與蘇珊媽,peter_and_susan,2098024950985716,2098024950985716,7,2201.0,133518.0,"我們長大了😂

第一胎小朋友跌倒撞倒，通常都會超緊張的關心
導致小朋友爆哭

有些事生了三個才學會🤣",23.95,,2025-01-18 21:36:21+08:00,2025-07-30 20:11:23+08:00,DE-AGp8SgPU,Yes,Instaloader
2025-01-21 04:02:16+00:00,2025-02-08 13:41:06+00:00,彼得爸與蘇珊媽,peter_and_susan,2146668389431530,2146668389431530,10,997.0,78963.0,我們中了四隻大娃娃！日本環球影城遊戲攤位訣竅在這邊！,95.08,,2025-01-21 12:02:16+08:00,2025-02-08 21:41:06+08:00,DFEs-nqsGrX,Yes,Instaloader
