creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-03 04:01:22+00:00,2025-02-12 12:52:56+00:00,阿滴,rayduenglish,819127487811471,819127487811471,44,5432.0,453045.0,"工作小夥伴問我最近在煩惱什麼？
我！每天都在煩惱要怎麼讓家裡跟我一樣水！！！
https://pse.is/6tva54

成熟乾淨的大人就是要用魔術靈😉

今天滴滴大廚要是剛在廚房煮完菜
🌟就靠橘油捷淨廚房清潔劑
超高效的清潔力一噴一擦 油污登愣愣～～～消失！
它還是植物性成分 不刺鼻不傷手
對我敏感可憐的皮膚很友善
而且柑橘味直接讓廚房香噴噴🥰

廁所或洗手台的特殊髒污呢
🌟交給除霉多用途清潔劑～
日本研發的超解霉根漂潔配方多場域適用
淡淡的花香減少刺鼻的味道
馬上讓霉垢去除 亮到像韓團C位登場👀

另外不管是廚房油污、特殊髒污、和毛孩友善清潔
#魔術靈 都有讓你家髒東西都不見的魔法！

不管是一個人住還是租屋族
魔術靈都能讓你輕鬆打掃欸嘿d(`･∀･)b
大家一起來把家變成喜歡的地方～

（愛了愛了我要永遠待在家裡）

魔術靈全系列商品
在全聯、家樂福、大潤發、MOMO、蝦皮及各大通路都找得到！

#魔術靈 #輕鬆把家變成喜歡的地方 #我與我的魔術靈",56.7,,2025-01-03 12:01:22+08:00,2025-02-12 20:52:56+08:00,DEWWlYNvsXa,Yes,Instaloader
2025-01-08 11:01:07+00:00,2025-07-04 12:03:57+00:00,阿滴,rayduenglish,1344827700732159,1344827700732159,108,37684.0,1419812.0,開箱超稀有YouTube神秘包裹 #開箱 #YouTube,57.0,{'0': '1038221494985274'},2025-01-08 19:01:07+08:00,2025-07-04 20:03:57+08:00,DEj-ltVBJNy,Yes,Instaloader
2025-01-14 11:01:26+00:00,2025-07-04 16:46:23+00:00,阿滴,rayduenglish,871640502445139,871640502445139,530,32748.0,893632.0,10週年了！想跟大家說的話…💛 #10週年 #YouTuber #創作者 #阿滴英文,41.86,,2025-01-14 19:01:26+08:00,2025-07-05 00:46:23+08:00,DEzbaB8sEMg,Yes,Instaloader
2025-01-22 11:01:13+00:00,2026-01-24 01:19:33+00:00,阿滴,rayduenglish,1425269595903736,1425269595903736,45,7562.0,612502.0,用Kpop歌詞聊天是怎麼樣的體驗？#韓文 #出國 #自肥企劃（？）,48.83,{'0': 'non_public_2353364655143802'},2025-01-22 19:01:13+08:00,2026-01-24 09:19:33+08:00,DFIBvWDBzWz,Yes,Instaloader
2025-02-14 13:13:57+00:00,2025-05-31 12:14:47+00:00,阿滴,rayduenglish,2128409661293771,2128409661293771,47,8153.0,432768.0,Happy valentine‘s! 💝,33.23,,2025-02-14 21:13:57+08:00,2025-05-31 20:14:47+08:00,DGDfMM9PGIu,Yes,Instaloader
2025-02-26 11:01:40+00:00,2025-08-06 06:12:46+00:00,阿滴,rayduenglish,1231340692292033,1231340692292033,209,73630.0,1453653.0,與黃山料的對談 #雞湯 #愛情 #交往,46.61,,2025-02-26 19:01:40+08:00,2025-08-06 14:12:46+08:00,DGiJlemKVKN,Yes,Instaloader
2025-03-08 11:02:01+00:00,2025-03-14 09:12:51+00:00,阿滴,rayduenglish,1573814050405117,1573814050405117,87,26236.0,519118.0,阿滴日常南極遠征系列🐧熱烈更新中❤️‍🔥 #南極 #旅遊 #出國,19.22,,2025-03-08 19:02:01+08:00,2025-03-14 17:12:51+08:00,DG75m-Hv-M2,Yes,Instaloader
2025-03-15 10:02:05+00:00,2025-08-02 13:13:29+00:00,阿滴,rayduenglish,1471360121660266,1471360121660266,117,24689.0,850834.0,努力的潔美淨台灣代言人 #邊佑錫 #韓國歐巴 #仿妝,46.61,{'0': 'non_public_918530217322147'},2025-03-15 18:02:05+08:00,2025-08-02 21:13:29+08:00,DHN0TBroU0W,Yes,Instaloader
2025-03-20 11:02:09+00:00,2025-03-22 13:32:14+00:00,阿滴,rayduenglish,1268471788663209,1268471788663209,27,8411.0,500003.0,POV：別人都在工作 你卻在...🐭 #青花驕 #青花驕麻辣鍋牛肉麵,11.29,,2025-03-20 19:02:09+08:00,2025-03-22 21:32:14+08:00,DHazKrphhwB,Yes,Instaloader
2025-03-22 04:00:57+00:00,2025-07-27 12:31:06+00:00,阿滴,rayduenglish,1269846311868244,1269846311868244,109,23362.0,923430.0,海豹海獅海狗 傻傻分不清?!🦭 #南極 #科普 #動物,58.5,,2025-03-22 12:00:57+08:00,2025-07-27 20:31:06+08:00,DHfMiPXhM2O,Yes,Instaloader
2025-04-03 04:01:46+00:00,2025-08-04 07:05:49+00:00,阿滴,rayduenglish,1559856595225419,1559856595225419,179,29420.0,1476844.0,畢業1X年學長介紹輔大‼️ #輔仁大學 #校友回顧,53.93,,2025-04-03 12:01:46+08:00,2025-08-04 15:05:49+08:00,DH-GKiygHyU,Yes,Instaloader
2025-05-03 10:01:51+00:00,2025-05-03 16:51:56+00:00,阿滴,rayduenglish,1439804057936009,1439804057936009,49,4122.0,531445.0,"今年肯德基在母親節推出
蜂蜜風味蒜醬脆雞 我愛媽咪親子桶餐🍯🍗

蜂蜜風味蒜醬脆雞是2021的升級回歸!
肯德基經典咔啦脆雞淋上特製韓式蜂蜜香蒜醬
再撒上香蔥、辣椒片、蒜酥，甜甜鹹鹹，濃郁美味

有大桶炸雞桶，再加上小點心桶
大小桶放在一起可以變成一顆愛心❤️
還能自己手寫上媽媽的名字+想對媽媽說的話
最適合在母親節家人聚餐時展現心意 👨‍👩‍👧‍👦
還有韓國爆款的愛保鮮桶，能將媽媽的愛保鮮起來💗

即日起全台開賣
限量7,000組 售完為止！
今年母親節就約媽媽一起吃肯德基吧

@kfctaiwan

https://pse.is/7ht4qt

#KFC #蜂蜜風味蒜醬脆雞 #以媽之名大聲說愛 #母親節快樂 #肯德基我愛媽咪親子桶 #愛保鮮桶 #親子桶 #肯德基愛保鮮桶 #我愛媽咪親子桶",65.75,{'0': '1038221494985274'},2025-05-03 18:01:51+08:00,2025-05-04 00:51:56+08:00,DJL_NerNwFR,Yes,Instaloader
2025-05-10 04:02:07+00:00,2025-07-04 08:22:43+00:00,阿滴,rayduenglish,1534156567651841,1534156567651841,43,8436.0,487455.0,為什麼我要做Podcast？#滴scussion #Podcast精華 #說教男的內心話,42.65,,2025-05-10 12:02:07+08:00,2025-07-04 16:22:43+08:00,DJdXn1ks-SY,Yes,Instaloader
2025-05-11 04:10:24+00:00,2025-05-11 11:15:58+00:00,阿滴,rayduenglish,1214959324070145,1214959324070145,112,18009.0,792943.0,🤔身為阿滴不能說的話 #滴scussion #Podcast精華 #新聞未爆彈,30.67,,2025-05-11 12:10:24+08:00,2025-05-11 19:15:58+08:00,DJf9XuJuJYT,Yes,Instaloader
2025-05-14 10:32:02+00:00,2025-08-02 16:29:14+00:00,阿滴,rayduenglish,1634965357665401,1634965357665401,226,5684.0,308410.0,"我就沒有喜歡扮女裝！
真的沒有喜歡扮女裝！！
你們聽我說，我真的沒有喜歡女裝！！！
但我有喜歡......
💌 ⊹₊ ⋆‧₊˚ ☁️.⋆˚ 𝜗𝜚
家樂氏日本纖穀脆
💌 ⊹₊ ⋆‧₊˚ ☁️.⋆˚ 𝜗𝜚

簡單烘烤非油炸，保留穀物營養成分
不會太甜，台灣人都喜歡的剛剛好，適合所有想要活力滿格的你🎀

不管自然的、甜美的或是成熟的口味
這裡通通都有>ヮ<❕

𝜗𝜚自然ㄟ尚好的蜂蜜杏仁🍯
讓我輕鬆優雅面對工作挑戰💖
𝜗𝜚可愛甜美的鮮摘草莓🍓
讓我在人際關係裡漂亮自在✨
𝜗𝜚成熟大人的榛果可可🍫
讓我在突發狀況也能成熟從容💅

家樂氏日本纖穀脆是元気美味朝食的好選擇˚⊹ ᰔ🥛⁺🍞
也是讓我變身美麗水水的秘密˚₊·—̳͟͞͞♡⟢

想和我一樣滿滿活力，就快試試 家樂氏日本纖穀脆吧
即日起各大超市、量販優惠中
也可以使用MOMO訂購喔
https://reurl.cc/qG1Vky

@kellogg.tw

#家樂氏日本纖穀脆
#蜂蜜杏仁 #鮮摘草莓 #榛果可可
#元気朝食元気變身
#糖分不多但好吃
#簡單烘烤非油炸",48.83,,2025-05-14 18:32:02+08:00,2025-08-03 00:29:14+08:00,DJoXa5XuGqF,Yes,Instaloader
2025-05-17 04:11:52+00:00,2025-08-06 04:19:21+00:00,阿滴,rayduenglish,888064487353987,888064487353987,21,3437.0,309335.0,報喜不報憂的阿滴😭 #滴scussion #Podcast精華 #幕後花絮,41.61,,2025-05-17 12:11:52+08:00,2025-08-06 12:19:21+08:00,DJvaS87icIS,Yes,Instaloader
2025-05-18 04:01:19+00:00,2025-08-01 19:00:26+00:00,阿滴,rayduenglish,1608690983692016,1608690983692016,33,8698.0,629010.0,我在國外幫客服當客服❓ #滴scussion #Podcast精華 #趣事分享,41.63,,2025-05-18 12:01:19+08:00,2025-08-02 03:00:26+08:00,DJx95hKt9_z,Yes,Instaloader
