creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-04 11:32:29+00:00,2025-02-17 03:50:26+00:00,Sandykaka 珊迪,sandykaka_,4137745353202167,4137745353202167,20,2029.0,170558.0,"除了知道對方需要的好
更重要的是了解自己想要怎樣的好🫶🏻",88.81,,2025-01-04 19:32:29+08:00,2025-02-17 11:50:26+08:00,DEZupxZTTyw,Yes,Instaloader
2025-01-08 11:22:08+00:00,2025-02-17 03:50:26+00:00,Sandykaka 珊迪,sandykaka_,672031692664862,672031692664862,7,1107.0,126366.0,"大家懂這個嗎
那時候展內其實很安靜
講話還有回音",13.03,,2025-01-08 19:22:08+08:00,2025-02-17 11:50:26+08:00,DEkA4T4zA-4,Yes,Instaloader
2025-01-11 11:53:05+00:00,2025-02-20 13:45:58+00:00,Sandykaka 珊迪,sandykaka_,766018962722194,766018962722194,17,3634.0,271728.0,"我蛋糕旁的很好耶
遊戲：Don’t Drop The Cake（先行版）",88.91,,2025-01-11 19:53:05+08:00,2025-02-20 21:45:58+08:00,DEryxfYzEg-,Yes,Instaloader
2025-01-12 10:23:08+00:00,2025-02-17 03:50:26+00:00,Sandykaka 珊迪,sandykaka_,913593954448302,913593954448302,14,1864.0,180006.0,"已讀亂問街訪
中山區手搖飲店一級戰區
—
《青山》台北南西店
台北市中山區中山北路一段140巷13號
@peaktea.official",40.84,,2025-01-12 18:23:08+08:00,2025-02-17 11:50:26+08:00,DEuNRu4TnMr,Yes,Instaloader
2025-01-14 10:27:03+00:00,2025-04-17 11:53:40+00:00,Sandykaka 珊迪,sandykaka_,1552258169387499,1552258169387499,19,1261.0,164285.0,"大家記得不要借錢給任何人，多親密都不借
渣就讓他7414",37.75,,2025-01-14 18:27:03+08:00,2025-04-17 19:53:40+08:00,DEzXHdETm1a,Yes,Instaloader
2025-01-18 11:52:30+00:00,2025-02-17 03:50:26+00:00,Sandykaka 珊迪,sandykaka_,1870903900212066,1870903900212066,38,1765.0,159802.0,"時間很寶貴
不要浪費時間在不在意你的人身上",14.49,,2025-01-18 19:52:30+08:00,2025-02-17 11:50:26+08:00,DE9z-9wTyTA,Yes,Instaloader
2025-01-21 12:39:27+00:00,2025-06-25 13:23:20+00:00,Sandykaka 珊迪,sandykaka_,1122456469898317,1122456469898317,12,1496.0,151607.0,"之前都是泰國生醃海鮮的影片
來個我很愛的甜點之一
奶油口味超上頭好吃！
這是去年年中去曼谷的影片哈哈哈
📍After You Dessert Cafe 在曼谷有多家分店",52.61,,2025-01-21 20:39:27+08:00,2025-06-25 21:23:20+08:00,DFFn9Ocz8UL,Yes,Instaloader
2025-01-25 10:41:23+00:00,2025-09-05 10:44:31+00:00,Sandykaka 珊迪,sandykaka_,1515961152836952,1515961152836952,151,14909.0,696698.0,"其他像是踩到雷或蛙化
就也是下一個了不要糾結太久",83.99,,2025-01-25 18:41:23+08:00,2025-09-05 18:44:31+08:00,DFPtkbpzRsU,Yes,Instaloader
2025-01-28 13:48:13+00:00,2025-02-17 03:50:26+00:00,Sandykaka 珊迪,sandykaka_,3097910990396134,3097910990396134,29,2243.0,187440.0,"我也會發紅包了但沒有人跟我說吉祥話
沒關係的",25.94,,2025-01-28 21:48:13+08:00,2025-02-17 11:50:26+08:00,DFXwkoHz1aS,Yes,Instaloader
2025-01-29 10:48:31+00:00,2025-08-07 00:18:59+00:00,Sandykaka 珊迪,sandykaka_,1197208672394657,1197208672394657,42,3443.0,363577.0,"射龍門15分鐘撞六次超扯
影片主角是我弟從小到大的朋友
也是我看著長大的哈哈哈哈",51.22,,2025-01-29 18:48:31+08:00,2025-08-07 08:18:59+08:00,DFaBpJgzu-Q,Yes,Instaloader
