creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-14 10:28:00+00:00,2025-09-15 03:55:37+00:00,Sandy&Mandy,sandymandy_official,873427592171022,873427592171022,111,5856.0,395565.0,Not the hair! 🤣,11.24,,2025-01-14 18:28:00+08:00,2025-09-15 11:55:37+08:00,DEzWS-jR41B,Yes,Instaloader
2025-01-21 10:08:38+00:00,2025-07-02 20:37:09+00:00,Sandy&Mandy,sandymandy_official,1586764805933140,1586764805933140,136,7422.0,666096.0,It’s okay 🤣🤣,11.54,,2025-01-21 18:08:38+08:00,2025-07-03 04:37:09+08:00,DFFWQ_HxK6P,Yes,Instaloader
2025-01-25 09:48:06+00:00,2025-09-17 00:56:52+00:00,Sandy&Mandy,sandymandy_official,1623056598870530,1623056598870530,111,7420.0,462973.0,feat. the wall 😝😆,14.41,,2025-01-25 17:48:06+08:00,2025-09-17 08:56:52+08:00,DFPmrpdRevR,Yes,Instaloader
2025-01-31 10:15:46+00:00,2025-09-07 02:20:55+00:00,Sandy&Mandy,sandymandy_official,1307684504737596,1307684504737596,101,4991.0,377576.0,had to hit this <3,7.5,,2025-01-31 18:15:46+08:00,2025-09-07 10:20:55+08:00,DFfHT9nyXta,Yes,Instaloader
2025-02-04 11:06:06+00:00,2025-09-19 09:09:54+00:00,Sandy&Mandy,sandymandy_official,2409942519457315,2409942519457315,87,5091.0,386051.0,"JENNIE - ZEN
follow us | sandymandy_official 
dc by | kimmiiz.official",25.59,,2025-02-04 19:06:06+08:00,2025-09-19 17:09:54+08:00,DFpgZ4cy3OO,Yes,Instaloader
2025-02-08 09:00:52+00:00,2026-02-03 11:54:51+00:00,Sandy&Mandy,sandymandy_official,875994882014923,875994882014923,165,69164.0,2156698.0,Choose your team! ⬅️➡️ 左還是右?,6.44,,2025-02-08 17:00:52+08:00,2026-02-03 19:54:51+08:00,DFzkGaTxhJi,Yes,Instaloader
2025-02-11 09:16:27+00:00,2025-08-06 14:00:47+00:00,Sandy&Mandy,sandymandy_official,1417474566697169,1417474566697169,92,21935.0,911339.0,Who are you with? 👈🏻👉🏻你選？,13.95,,2025-02-11 17:16:27+08:00,2025-08-06 22:00:47+08:00,DF7VmfBRVDV,Yes,Instaloader
2025-02-15 09:01:35+00:00,2026-01-17 18:56:37+00:00,Sandy&Mandy,sandymandy_official,1783213929006103,1783213929006103,85,5431.0,408472.0,THIS PART!!! 🎵🖤,8.73,,2025-02-15 17:01:35+08:00,2026-01-18 02:56:37+08:00,DGFkiYMxqOS,Yes,Instaloader
2025-02-18 09:09:44+00:00,2025-09-17 02:58:03+00:00,Sandy&Mandy,sandymandy_official,923910810292615,923910810292615,155,11360.0,904610.0,"Look 1 or 2? 🤍🖤
#jisoo #earthquake #earthquake_challenge",31.88,,2025-02-18 17:09:44+08:00,2025-09-17 10:58:03+08:00,DGNWc1VxQkT,Yes,Instaloader
2025-02-24 09:18:57+00:00,2025-06-09 15:05:15+00:00,Sandy&Mandy,sandymandy_official,912396224589124,912396224589124,124,4986.0,332528.0,"back to 2010s 🩶
Shanghai Romance - Orange Caramel 
#WhatSmileyWants",28.4,,2025-02-24 17:18:57+08:00,2025-06-09 23:05:15+08:00,DGc0L07R4OP,Yes,Instaloader
2025-02-28 08:57:18+00:00,2025-09-05 05:09:58+00:00,Sandy&Mandy,sandymandy_official,1553486709093960,1553486709093960,93,8893.0,516975.0,keepin’ it ExtraL,30.72,,2025-02-28 16:57:18+08:00,2025-09-05 13:09:58+08:00,DGnE2THRT1D,Yes,Instaloader
2025-03-04 09:59:28+00:00,2026-01-24 22:06:43+00:00,Sandy&Mandy,sandymandy_official,1857068998508007,1857068998508007,123,4943.0,445795.0,Mandy⬅️ or ➡️Sandy?,6.21,{'0': '253599381036176'},2025-03-04 17:59:28+08:00,2026-01-25 06:06:43+08:00,DGxe7HORwr3,Yes,Instaloader
2025-03-07 04:42:57+00:00,2025-09-08 19:46:18+00:00,Sandy&Mandy,sandymandy_official,3329063737271637,3329063737271637,40,32585.0,750316.0,🤍🤍,6.44,,2025-03-07 12:42:57+08:00,2025-09-09 03:46:18+08:00,DG4pcfxxVWB,Yes,Instaloader
