creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-24 11:01:47+00:00,2025-02-09 14:42:11+00:00,三原 慧悟/サンエン/Mr.3,sanyuan_japan,886275507516043,886275507516043,19,914.0,64042.0,"你知道幾個呢？日本常用20種打招呼 留言“BIGECHO”就可獲得超值卡拉OK優惠券喔！
 #三原 #台灣 #台湾 #台日文化短劇 #Shorts #東京男子圖鑑 #牙敗日本人 #台灣住幾年 #日本 #日本觀光 #日本旅遊 #日本文化 #卡拉OK #Karaoke #bigecho #ビッグエコー #DAM #カラオケ #pr

企画・脚本協力：鈴木馬太（大吉祥企画）",79.91,{'0': '581641697608717'},2025-01-24 19:01:47+08:00,2025-02-09 22:42:11+08:00,,Yes,MetaTool
2025-01-27 11:01:41+00:00,2025-07-09 19:20:43+00:00,三原 慧悟/サンエン/Mr.3,sanyuan_japan,1221820489459231,1221820489459231,40,2808.0,113809.0,薑母鴨湯底的差異（你住台灣幾年了？） #三原 #日本 #台灣 #台湾 #台日文化短劇 #Shorts #東京男子圖鑑 #牙敗日本人 #台灣住幾年 #排隊 #太榮 #一樹 #薑母鴨 #美食 #餐廳 #大排長龍 #候位 #預約 #全酒,54.44,"{'0': '1268104001846950', '1': '945067173789125'}",2025-01-27 19:01:41+08:00,2025-07-10 03:20:43+08:00,,Yes,MetaTool
2025-01-29 11:00:48+00:00,2025-07-22 11:34:41+00:00,三原 慧悟/サンエン/Mr.3,sanyuan_japan,906695168393939,906695168393939,180,18517.0,288815.0,看到黃燈時的差異 #三原 #日本 #台灣 #台湾 #台日文化短劇 #Shorts #東京男子圖鑑 #牙敗日本人 #台灣住幾年 #文化衝擊 #紅燈停綠燈行 #交通安全 #交通宣導 #安全駕駛 #交通 #文化差異 #黃燈 #交通規則 #開車,19.56,,2025-01-29 19:00:48+08:00,2025-07-22 19:34:41+08:00,,Yes,MetaTool
2025-02-03 10:00:59+00:00,2025-07-27 14:13:02+00:00,三原 慧悟/サンエン/Mr.3,sanyuan_japan,2056028528303899,2056028528303899,29,2181.0,94577.0,如何打倒鬼怪(日本人VS台灣人)  #三原 #日本 #台灣 #台湾 #台日文化短劇 #Shorts #東京男子圖鑑 #牙敗日本人 #台灣住幾年 #文化差異 #台日交流 #驅魔 #鞭炮 #鬼怪 #文化衝擊,25.32,,2025-02-03 18:00:59+08:00,2025-07-27 22:13:02+08:00,,Yes,MetaTool
2025-02-04 11:00:56+00:00,2025-02-09 14:42:11+00:00,三原 慧悟/サンエン/Mr.3,sanyuan_japan,1452122996519290,1452122996519290,13,1297.0,77275.0,"台灣人在日本會嚇到的事(拉麵店篇) #三原 #東京男子圖鑑 #牙敗日本人 #台灣住幾年 #日本 #日本觀光 #日本旅遊 #日本文化 #魁力屋 #日本魁力屋 #魁力屋拉麵 #日本拉麵 #拉麵 #美食 #美食分享 #台北美食 #台北拉麵 #台北餐廳 #拉麵控 #拉麵地圖 #美食推薦 #台灣拉麵愛好會 #kairikiyataiwan #ラーメン #ramen #foodie #popyummy #taiwanfood #pr
入座後出示這個影片給店員看的話，可以免費獲得一份煎餃喔！
※適用店家：京都3家分店（四条烏丸店・堀川五条店・丹波口店）
※請務必按愛心喔！
 @kairikiya.taiwan",89.96,,2025-02-04 19:00:56+08:00,2025-02-09 22:42:11+08:00,,Yes,MetaTool
2025-02-06 13:48:23+00:00,2025-07-28 07:01:18+00:00,三原 慧悟/サンエン/Mr.3,sanyuan_japan,687002097739466,687002097739466,72,7128.0,190383.0,台灣人化小故事 #東京男子圖鑑 #三原 #日本 #台灣,40.64,"{'0': '896682386105986', '1': '1268104001846950', '2': '1693491522015427', '3': '849229387047883', '4': '1286541786631239', '5': '945067173789125'}",2025-02-06 21:48:23+08:00,2025-07-28 15:01:18+08:00,,Yes,MetaTool
2025-02-07 10:01:40+00:00,2025-05-01 20:57:24+00:00,三原 慧悟/サンエン/Mr.3,sanyuan_japan,2093791598133109,2093791598133109,19,1107.0,75770.0,如何分辨台灣人(過新年的差異) #三原 #日本 #台灣 #台湾 #台日文化短劇 #Shorts #東京男子圖鑑 #牙敗日本人 #台灣住幾年 #元旦 #春節 #農曆年 #除夕 #新年快樂 #恭喜發財,88.26,,2025-02-07 18:01:40+08:00,2025-05-02 04:57:24+08:00,,Yes,MetaTool
2025-02-10 10:01:03+00:00,2025-02-12 17:11:14+00:00,三原 慧悟/サンエン/Mr.3,sanyuan_japan,1381081449993357,1381081449993357,0,609.0,60415.0,"日本旅行前不下載就吃大虧了！超實用旅行APP①

ChargeSPOT優惠碼 ：SANYUAN
※下載ChargeSPOT App，租借前輸入喔！
專屬優惠碼兌換期限至2025/3/31
兌換後可獲得30元借電券2張，兌換後30天內需使用完畢。
限台灣租借適用😍😍 @chargespottw

GoTaxi優惠碼：「mf-mvzyfn」
※只限註冊日開始的30天內有效
#三原 #日本 #台灣 #台湾 #台日文化短劇 #Shorts #東京男子圖鑑 #牙敗日本人 #台灣住幾年 #ChargeSPOT #日本旅遊 #旅行 #app #自由行",88.77,,2025-02-10 18:01:03+08:00,2025-02-13 01:11:14+08:00,,Yes,MetaTool
2025-02-12 10:12:01+00:00,2025-08-06 13:37:36+00:00,三原 慧悟/サンエン/Mr.3,sanyuan_japan,1179343454280920,1179343454280920,90,18905.0,346309.0,在台灣遇到的文化衝擊 #東京男子圖鑑 #三原 #文化衝擊 #日本人,43.74,"{'0': '896682386105986', '1': '1268104001846950', '2': '1693491522015427', '3': '849229387047883', '4': '1286541786631239', '5': '945067173789125'}",2025-02-12 18:12:01+08:00,2025-08-06 21:37:36+08:00,,Yes,MetaTool
2025-02-14 10:01:20+00:00,2025-02-16 09:41:26+00:00,三原 慧悟/サンエン/Mr.3,sanyuan_japan,1621838869251557,1621838869251557,23,2228.0,87114.0,台北的交通工具(台灣住幾年？) #三原 #日本 #台灣 #台湾 #台日文化短劇 #Shorts #東京男子圖鑑 #牙敗日本人 #台灣住幾年 #大眾交通 #交通工具 #捷運 #公車 #YouBike #uber,59.9,"{'0': '1268104001846950', '1': '945067173789125'}",2025-02-14 18:01:20+08:00,2025-02-16 17:41:26+08:00,,Yes,MetaTool
