creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-03-20 16:40:47+00:00,2025-05-29 14:11:44+00:00,雪莉shirley,shirley_01_12,1426658752338524,1426658752338524,19,494.0,66636.0,"原本想拍換裝影片的…剪完變耍美片😗😗
服裝設計 @ivankahua",16.6,{'0': '1470189317478625'},2025-03-21 00:40:47+08:00,2025-05-29 22:11:44+08:00,DHbZr-tvMfI,Yes,Instaloader
2025-04-02 10:00:00+00:00,2025-09-10 10:48:07+00:00,雪莉shirley,shirley_01_12,3043855159145581,3043855159145581,8,1071.0,129461.0,雖然之前有發過了⋯⋯但我難得的直拍 主角不是自己🤣,23.83,{'0': '1470189317478625'},2025-04-02 18:00:00+08:00,2025-09-10 18:48:07+08:00,DH8KcnRzDyE,Yes,Instaloader
2025-04-08 08:55:01+00:00,2025-05-01 21:29:54+00:00,雪莉shirley,shirley_01_12,912017001577380,912017001577380,25,637.0,71171.0,"阿雪發現你了😗
.
.
.
.
本季服裝贊助 @justmake_plastic_clinic
感謝拍攝 @enzoyeh29",8.98,{'0': '1470189317478625'},2025-04-08 16:55:01+08:00,2025-05-02 05:29:54+08:00,DILfc1evEa6,Yes,Instaloader
2025-04-24 09:20:00+00:00,2025-09-06 19:07:38+00:00,雪莉shirley,shirley_01_12,1239086114427566,1239086114427566,15,1109.0,84877.0,我把自己有露出腰邊肉的部份剪掉了😗😗,55.4,{'0': '1470189317478625'},2025-04-24 17:20:00+08:00,2025-09-07 03:07:38+08:00,DI0vWOYvBfB,Yes,Instaloader
2025-05-01 11:57:15+00:00,2025-12-10 16:37:02+00:00,雪莉shirley,shirley_01_12,1664405584550841,1664405584550841,11,604.0,72556.0,"有人跟阿雪一樣 從小就喜歡挖耳朵嗎？.

📷 @enzoyeh29",13.2,{'0': '1470189317478625'},2025-05-01 19:57:15+08:00,2025-12-11 00:37:02+08:00,DJHCsYTvcYJ,Yes,Instaloader
2025-05-15 05:00:00+00:00,2025-10-27 12:50:07+00:00,雪莉shirley,shirley_01_12,1268319125211863,1268319125211863,11,341.0,62231.0,會被自己噁到,30.0,"{'0': '537480985822694', '1': '3831156373845294'}",2025-05-15 13:00:00+08:00,2025-10-27 20:50:07+08:00,DJqWY7avCbD,Yes,Instaloader
2025-05-31 09:25:00+00:00,2025-09-05 15:39:35+00:00,雪莉shirley,shirley_01_12,773514068712611,773514068712611,56,5497.0,188192.0,"端午節快樂🎉 阿雪沒吃粽子 卻快樂跳傑泥💃💃
珍妮的鬆弛感 還是沒做好….應該上場前先喝一杯？
.
.
我一直被後面小相機頂到🧖🏻‍♀️",106.74,"{'0': '4193211227583651', '1': '1470189317478625'}",2025-05-31 17:25:00+08:00,2025-09-05 23:39:35+08:00,DKUBZRNvtfe,Yes,Instaloader
2025-06-15 08:00:00+00:00,2025-06-17 09:20:08+00:00,雪莉shirley,shirley_01_12,1608859840010858,1608859840010858,8,501.0,36854.0,呼叫119,10.27,,2025-06-15 16:00:00+08:00,2025-06-17 17:20:08+08:00,DK6fnUZvjkf,Yes,Instaloader
2025-07-13 07:54:31+00:00,2025-09-10 17:34:03+00:00,雪莉shirley,shirley_01_12,1239572601575086,1239572601575086,7,1123.0,49121.0,"這次瓊斯盃前找 @tiffany_ifyou 染韓系巧克力髮色+京喚羽護髮💙
影片上的頭髮光澤🌸🌸🌸
啊！這個影片是新寫真的側錄～
先透露一點點🤩嘿嘿嘿",11.63,{'0': '1432150888412888'},2025-07-13 15:54:31+08:00,2025-09-11 01:34:03+08:00,DMCkUrwvWIE,Yes,Instaloader
2025-07-24 11:53:57+00:00,2025-08-28 01:28:01+00:00,雪莉shirley,shirley_01_12,705854335946434,705854335946434,23,1331.0,162275.0,我們可以拍電影嗎？,21.55,"{'0': '2005517036711871', '1': '1236949394603486', '2': '1470189317478625', '3': '1290666712897651'}",2025-07-24 19:53:57+08:00,2025-08-28 09:28:01+08:00,DMfUjtZvRne,Yes,Instaloader
