creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 12:04:08+00:00,2025-08-06 13:18:10+00:00,史丹利的採訪生活,stanley_sportslife,2402510836886486,2402510836886486,13,3817.0,169321.0,"📍阿珠麵攤
⚾️推薦人 @luu_85310 
🌟Google評分 4.1
-
#洲際棒球場 #洲際美食 #阿珠麵攤",41.37,,2025-01-02 20:04:08+08:00,2025-08-06 21:18:10+08:00,DEUoPswIEwJ,Yes,Instaloader
2025-01-19 09:30:06+00:00,2025-05-01 07:12:39+00:00,史丹利的採訪生活,stanley_sportslife,1456597579163947,1456597579163947,0,1101.0,106236.0,會唱歌真好🥺🥺🥺 @kaiwei0525,34.03,{'0': '1408685430738165'},2025-01-19 17:30:06+08:00,2025-05-01 15:12:39+08:00,DFAIn6zoqSW,Yes,Instaloader
2025-02-21 16:25:03+00:00,2025-04-08 02:25:40+00:00,史丹利的採訪生活,stanley_sportslife,1950562465835942,1950562465835942,13,5297.0,344406.0,場上霸氣場下淘氣😂,40.5,{'0': '1950528453008585'},2025-02-22 00:25:03+08:00,2025-04-08 10:25:40+08:00,DGV2RPASZQi,Yes,Instaloader
2025-02-21 16:48:04+00:00,2025-02-22 09:41:48+00:00,史丹利的採訪生活,stanley_sportslife,905005375760210,905005375760210,1,2445.0,149001.0,第九局現場真的是不離不棄🥺,34.63,{'0': '2062552870978487'},2025-02-22 00:48:04+08:00,2025-02-22 17:41:48+08:00,DGV5GC2y7nT,Yes,Instaloader
2025-02-22 15:11:44+00:00,2025-02-24 19:31:53+00:00,史丹利的採訪生活,stanley_sportslife,890530953773006,890530953773006,0,2865.0,91464.0,@lth_cxr 攻守俱佳還超會跳舞！！！,12.27,,2025-02-22 23:11:44+08:00,2025-02-25 03:31:53+08:00,DGYTAepSeh-,Yes,Instaloader
2025-02-22 15:36:12+00:00,2025-04-17 08:36:07+00:00,史丹利的採訪生活,stanley_sportslife,1713908589575723,1713908589575723,6,4641.0,138565.0,高鐵般的速度😂,40.63,{'0': 'non_public_1528783054853777'},2025-02-22 23:36:12+08:00,2025-04-17 16:36:07+08:00,DGYVk0xyReX,Yes,Instaloader
2025-02-22 15:52:08+00:00,2025-07-02 15:51:40+00:00,史丹利的採訪生活,stanley_sportslife,3149347871918979,3149347871918979,3,2124.0,76492.0,國際賽的主委就是讚😍,43.97,{'0': '836604192772308'},2025-02-22 23:52:08+08:00,2025-07-02 23:51:40+08:00,DGYXgl_SkCC,Yes,Instaloader
2025-02-23 09:41:42+00:00,2025-07-01 09:58:41+00:00,史丹利的採訪生活,stanley_sportslife,1600812694575098,1600812694575098,1,2451.0,116989.0,呂寶發自內心的sorry🥺,24.45,{'0': '797667266075805'},2025-02-23 17:41:42+08:00,2025-07-01 17:58:41+08:00,DGaRtP0SQNJ,Yes,Instaloader
2025-02-25 15:26:20+00:00,2025-07-29 08:58:42+00:00,史丹利的採訪生活,stanley_sportslife,751674691126494,751674691126494,86,13793.0,373964.0,大沙不哭你是最棒的🥺,37.78,{'0': '1434836601372503'},2025-02-25 23:26:20+08:00,2025-07-29 16:58:42+08:00,DGgCJeGSx4s,Yes,Instaloader
2025-02-25 15:53:24+00:00,2025-07-15 18:22:26+00:00,史丹利的採訪生活,stanley_sportslife,1447012310307431,1447012310307431,28,11808.0,357675.0,恰哥的皮帶🥰,34.77,{'0': '1246004803528616'},2025-02-25 23:53:24+08:00,2025-07-16 02:22:26+08:00,DGgGFjhy1Wk,Yes,Instaloader
2025-02-25 16:22:30+00:00,2025-02-26 15:32:37+00:00,史丹利的採訪生活,stanley_sportslife,1579773853303063,1579773853303063,10,5134.0,136548.0,@wangpohsuan6  66666🤙🏼🤙🏼🤙🏼,18.87,{'0': '2062552870978487'},2025-02-26 00:22:30+08:00,2025-02-26 23:32:37+08:00,DGgJbdgyFJU,Yes,Instaloader
2025-02-25 16:39:46+00:00,2025-08-03 07:18:32+00:00,史丹利的採訪生活,stanley_sportslife,1676817063471840,1676817063471840,43,10464.0,166896.0,@sun96___  金句：「害怕的不是輸掉這場比賽，而是離開這支球隊。」,20.2,{'0': '1483371439823875'},2025-02-26 00:39:46+08:00,2025-08-03 15:18:32+08:00,DGgLRtDShns,Yes,Instaloader
2025-02-25 17:04:22+00:00,2025-08-04 09:01:25+00:00,史丹利的採訪生活,stanley_sportslife,1956614758310091,1956614758310091,1,2620.0,106790.0,鳴人易磊🥷🥷🥷,28.7,{'0': '1483371439823875'},2025-02-26 01:04:22+08:00,2025-08-04 17:01:25+08:00,DGgORzYypoq,Yes,Instaloader
2025-02-27 11:36:27+00:00,2025-03-15 22:42:58+00:00,史丹利的採訪生活,stanley_sportslife,2337902296684578,2337902296684578,2,2905.0,187107.0,@shatzuchen 38.6度還是拚🔥🔥🔥,27.63,,2025-02-27 19:36:27+08:00,2025-03-16 06:42:58+08:00,DGkyXB1yR62,Yes,Instaloader
2025-02-28 07:50:37+00:00,2025-03-22 07:55:41+00:00,史丹利的採訪生活,stanley_sportslife,1454030106519774,1454030106519774,6,610.0,41474.0,"📍CDC Bakery
🚶台南棒球場6分鐘
🌟Google 4.9(吃的當下是5.0）",30.6,{'0': '1675385970506282'},2025-02-28 15:50:37+08:00,2025-03-22 15:55:41+08:00,DGm9ExXS9d_,Yes,Instaloader
2025-03-21 09:55:20+00:00,2025-03-22 13:35:39+00:00,史丹利的採訪生活,stanley_sportslife,1614050463172207,1614050463172207,15,5912.0,233482.0,如果有2億的話😍@luu_85310,23.9,,2025-03-21 17:55:20+08:00,2025-03-22 21:35:39+08:00,DHdQMCsytyM,Yes,Instaloader
2025-03-21 10:27:40+00:00,2025-04-27 08:53:58+00:00,史丹利的採訪生活,stanley_sportslife,1972549403677053,1972549403677053,2,2636.0,89539.0,平野：下次FA一定要回來喔😆,31.63,{'0': '927384419913049'},2025-03-21 18:27:40+08:00,2025-04-27 16:53:58+08:00,DHdT-WuSZnh,Yes,Instaloader
2025-03-28 09:59:47+00:00,2025-03-30 11:39:53+00:00,史丹利的採訪生活,stanley_sportslife,1632651884723630,1632651884723630,13,5320.0,199140.0,平野連跟其他隊球員也能打成一片😆,28.73,{'0': 'non_public_903867292389623'},2025-03-28 17:59:47+08:00,2025-03-30 19:39:53+08:00,DHvSTEXyjo8,Yes,Instaloader
2025-03-30 08:53:53+00:00,2025-03-30 14:03:58+00:00,史丹利的採訪生活,stanley_sportslife,1241430994227611,1241430994227611,12,2049.0,80839.0,柴羽會咬人小心😆,14.72,{'0': '1518574845885653'},2025-03-30 16:53:53+08:00,2025-03-30 22:03:58+08:00,DH0UVL2ykdF,Yes,Instaloader
2025-03-30 12:37:22+00:00,2025-04-01 14:17:28+00:00,史丹利的採訪生活,stanley_sportslife,1202714078315154,1202714078315154,14,4985.0,221114.0,餅總賽後談艾速特觸身球,23.33,,2025-03-30 20:37:22+08:00,2025-04-01 22:17:28+08:00,DH0t3_yyl2c,Yes,Instaloader
2025-03-31 09:03:39+00:00,2025-04-02 11:33:44+00:00,史丹利的採訪生活,stanley_sportslife,1912189492998737,1912189492998737,19,3469.0,115492.0,@p_w_lin__0126 經歷開幕戰失誤蛻變😍,35.27,,2025-03-31 17:03:39+08:00,2025-04-02 19:33:44+08:00,DH26Q6MSvGb,Yes,Instaloader
2025-04-01 09:29:22+00:00,2025-04-03 13:19:28+00:00,史丹利的採訪生活,stanley_sportslife,1278287877519532,1278287877519532,5,3889.0,112148.0,團體Five的故事,34.67,"{'0': '1954966695150303', '1': '1135262618535454'}",2025-04-01 17:29:22+08:00,2025-04-03 21:19:28+08:00,DH5iBTNSXDb,Yes,Instaloader
2025-04-06 08:47:44+00:00,2025-07-01 17:15:35+00:00,史丹利的採訪生活,stanley_sportslife,1404303180839808,1404303180839808,1,4543.0,152181.0,0.364打得不太好🤣,22.0,"{'0': '1259813438895864', '1': '1016799436770012'}",2025-04-06 16:47:44+08:00,2025-07-02 01:15:35+08:00,DIGVKa9yr-t,Yes,Instaloader
2025-04-06 13:46:22+00:00,2025-04-07 14:36:29+00:00,史丹利的採訪生活,stanley_sportslife,912802371346736,912802371346736,6,4196.0,127378.0,詹欸有聽莎菈的話😎,34.78,{'0': '1458661718936682'},2025-04-06 21:46:22+08:00,2025-04-07 22:36:29+08:00,DIG3aV2Sd9N,Yes,Instaloader
2025-04-07 09:07:24+00:00,2025-08-06 15:12:21+00:00,史丹利的採訪生活,stanley_sportslife,1840334310011853,1840334310011853,76,27607.0,560148.0,"雖然被美技但真心替對方鼓掌的友誼🤩
@hsien_1994 @t.h.yueh.98",34.7,,2025-04-07 17:07:24+08:00,2025-08-06 23:12:21+08:00,DII8HDMSuqX,Yes,Instaloader
2025-04-07 12:43:12+00:00,2025-08-05 03:14:42+00:00,史丹利的採訪生活,stanley_sportslife,1692455658405628,1692455658405628,5,3220.0,154252.0,"百轟倒數M89😎
@9.wcwang",37.29,,2025-04-07 20:43:12+08:00,2025-08-05 11:14:42+08:00,DIJU9YsSrw8,Yes,Instaloader
2025-04-08 09:02:33+00:00,2025-07-06 06:28:06+00:00,史丹利的採訪生活,stanley_sportslife,1466979628280447,1466979628280447,2,2818.0,145821.0,"本季首轟像12強打戶鄉那支？
@hsien_1994",41.73,,2025-04-08 17:02:33+08:00,2025-07-06 14:28:06+08:00,DILgcbaySCP,Yes,Instaloader
2025-04-09 09:54:40+00:00,2025-06-27 02:29:33+00:00,史丹利的採訪生活,stanley_sportslife,896678559659057,896678559659057,5,4327.0,198777.0,"原來是一起坐大巴的關係😆
@hsien_1994 @t.h.yueh.98",18.87,,2025-04-09 17:54:40+08:00,2025-06-27 10:29:33+08:00,DIOLPRMSUp_,Yes,Instaloader
2025-04-09 14:58:57+00:00,2025-04-10 01:49:02+00:00,史丹利的採訪生活,stanley_sportslife,1439728934601788,1439728934601788,2,1791.0,107234.0,賭對了！,20.7,,2025-04-09 22:58:57+08:00,2025-04-10 09:49:02+08:00,DIOuGoSyiCv,Yes,Instaloader
2025-04-10 09:06:47+00:00,2025-08-06 05:07:27+00:00,史丹利的採訪生活,stanley_sportslife,2407574226381062,2407574226381062,30,10909.0,387059.0,"我演的有那麼爛嗎🥹
@mike20108980",23.57,,2025-04-10 17:06:47+08:00,2025-08-06 13:07:27+08:00,DIQqkSYytYo,Yes,Instaloader
2025-04-11 09:01:47+00:00,2025-06-30 16:16:55+00:00,史丹利的採訪生活,stanley_sportslife,4154415438143662,4154415438143662,16,3752.0,118529.0,"不知道冠穎學弟有沒有被暖到😆
<redacted_mention> @hsien_1994",19.97,,2025-04-11 17:01:47+08:00,2025-07-01 00:16:55+08:00,DITOw_pSpZq,Yes,Instaloader
2025-04-12 12:44:59+00:00,2025-12-26 09:23:32+00:00,史丹利的採訪生活,stanley_sportslife,4397908390430461,4397908390430461,6,1311.0,61128.0,見證緯來麻將台的誕生😆,32.67,"{'0': 'non_public_1210065287955794', '1': '907424358819228', '2': '905726075302293', '3': '1566780773938588'}",2025-04-12 20:44:59+08:00,2025-12-26 17:23:32+08:00,DIWNKOUyBFY,Yes,Instaloader
2025-04-13 12:08:06+00:00,2025-04-14 04:38:12+00:00,史丹利的採訪生活,stanley_sportslife,2155246931676473,2155246931676473,5,419.0,46360.0,看鍾老師伏地挺身我真的要嚇死🤣,11.57,{'0': '1566780773938588'},2025-04-13 20:08:06+08:00,2025-04-14 12:38:12+08:00,DIYtsHPSrPX,Yes,Instaloader
2025-04-19 12:30:30+00:00,2025-05-04 12:06:39+00:00,史丹利的採訪生活,stanley_sportslife,785078690786575,785078690786575,23,5466.0,183100.0,"台南棒球場附近的球員私藏美食
📍五妃街杏仁豆腐冰
推薦人 @yu_09_14",33.87,,2025-04-19 20:30:30+08:00,2025-05-04 20:06:39+08:00,DIoMw1NSYcj,Yes,Instaloader
2025-04-21 09:22:59+00:00,2025-07-27 13:25:22+00:00,史丹利的採訪生活,stanley_sportslife,1093609702972743,1093609702972743,39,5321.0,223233.0,"你知道洲際附近有一個「週日限定」夜市嗎😍
📍四張犁夜市🚶1.3公里",25.13,,2025-04-21 17:22:59+08:00,2025-07-27 21:25:22+08:00,DItBHNSyeAz,Yes,Instaloader
2025-04-24 12:05:58+00:00,2025-08-06 15:57:12+00:00,史丹利的採訪生活,stanley_sportslife,933504655876689,933504655876689,8,13118.0,296309.0,林子偉與陳晨威的練投時間,20.43,,2025-04-24 20:05:58+08:00,2025-08-06 23:57:12+08:00,DI1CN5yy_wV,Yes,Instaloader
2025-04-24 15:29:15+00:00,2025-07-01 05:05:05+00:00,史丹利的採訪生活,stanley_sportslife,907227241689237,907227241689237,0,763.0,37277.0,壽星的魔力🪄,36.13,,2025-04-24 23:29:15+08:00,2025-07-01 13:05:05+08:00,DI1ZMUjSNvT,Yes,Instaloader
2025-04-25 10:10:56+00:00,2025-07-22 14:05:07+00:00,史丹利的採訪生活,stanley_sportslife,1221630446841593,1221630446841593,4,1958.0,122671.0,平野短打教室,25.94,,2025-04-25 18:10:56+08:00,2025-07-22 22:05:07+08:00,DI3Z1PnSlkE,Yes,Instaloader
2025-04-27 05:34:29+00:00,2025-07-22 12:39:46+00:00,史丹利的採訪生活,stanley_sportslife,2677490842634552,2677490842634552,5,6828.0,489745.0,莎菈特點教室,8.4,,2025-04-27 13:34:29+08:00,2025-07-22 20:39:46+08:00,DI8D353tl_I,Yes,Instaloader
2025-04-27 07:08:02+00:00,2025-07-23 05:12:13+00:00,史丹利的採訪生活,stanley_sportslife,900314472853981,900314472853981,56,22380.0,254257.0,逃跑的若熙😆,10.83,,2025-04-27 15:08:02+08:00,2025-07-23 13:12:13+08:00,DI8OlhiNaZE,Yes,Instaloader
2025-04-27 13:07:03+00:00,2025-08-04 10:30:39+00:00,史丹利的採訪生活,stanley_sportslife,885538614258292,885538614258292,13,6460.0,240081.0,有三上悠亞足矣😆,10.0,,2025-04-27 21:07:03+08:00,2025-08-04 18:30:39+08:00,DI83q1Kvc4M,Yes,Instaloader
2025-04-28 09:12:12+00:00,2025-08-03 03:56:27+00:00,史丹利的採訪生活,stanley_sportslife,1458964962476416,1458964962476416,10,8881.0,451406.0,接洪總的球要注意…,19.1,,2025-04-28 17:12:12+08:00,2025-08-03 11:56:27+08:00,DI_BlJEALLT,Yes,Instaloader
2025-04-29 09:30:01+00:00,2025-05-01 12:40:11+00:00,史丹利的採訪生活,stanley_sportslife,1887166028606852,1887166028606852,6,2329.0,65476.0,平常心😆😆😆,8.94,,2025-04-29 17:30:01+08:00,2025-05-01 20:40:11+08:00,DJBoaPBCA4M,Yes,Instaloader
