creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-05 10:00:00+00:00,2025-08-13 18:37:59+00:00,星期天 Sunday,sundayright_dub,1545854630019958,1545854630019958,202,75790.0,953700.0,"犀牛走路時的神奇機制🤔
出處: #動物星天頻道 壽山動物園3
#想看更多請追蹤我IG
#星期天配音是對的",12.72,,2025-01-05 18:00:00+08:00,2025-08-14 02:37:59+08:00,DEcJRYzTiyl,Yes,Instaloader
2025-01-06 10:00:00+00:00,2025-08-13 18:37:27+00:00,星期天 Sunday,sundayright_dub,890737813549295,890737813549295,52,8820.0,211297.0,"卡皮巴拉嚼草背後的秘密🤔
出處: #動物星天頻道 亞熱帶解密：壽山動物園3
#想看更多請追蹤我IG
#星期天配音是對的",27.82,,2025-01-06 18:00:00+08:00,2025-08-14 02:37:27+08:00,DEeuJu_zlU_,Yes,Instaloader
2025-01-07 10:00:00+00:00,2026-01-04 09:52:45+00:00,星期天 Sunday,sundayright_dub,1449847266715056,1449847266715056,234,81991.0,1082155.0,"卡皮巴拉游泳竟然有這個習慣?! 🤔
出處: #動物星天頻道 亞熱帶解密：壽山動物園3
#想看更多請追蹤我IG
#星期天配音是對的
#CanonR5 #RF100500
@canon_taiwan",47.76,,2025-01-07 18:00:00+08:00,2026-01-04 17:52:45+08:00,DEhS5ZCTLW4,Yes,Instaloader
2025-01-08 10:00:00+00:00,2025-08-13 18:37:49+00:00,星期天 Sunday,sundayright_dub,1555542925701756,1555542925701756,30,4490.0,146405.0,"你有所不知的犀牛隱身術🦏
出處: #動物星天頻道 亞熱帶解密：壽山動物園3
#想看更多請追蹤我IG
#星期天配音是對的",39.57,,2025-01-08 18:00:00+08:00,2025-08-14 02:37:49+08:00,DEj3sHBT5Xz,Yes,Instaloader
2025-01-09 10:00:00+00:00,2025-08-13 18:37:10+00:00,星期天 Sunday,sundayright_dub,1413842957136543,1413842957136543,22,2577.0,122137.0,"致敬白日夢冒險王的動物攝影師🤔
出處: #動物星天頻道 亞熱帶解密：壽山動物園3
#想看更多請追蹤我IG
#星期天配音是對的
#白日夢冒險王
#CanonR5 #RF100500 
@canon_taiwan",43.77,,2025-01-09 18:00:00+08:00,2025-08-14 02:37:10+08:00,DEmchAERRm6,Yes,Instaloader
2025-01-10 10:21:59+00:00,2025-08-13 18:36:37+00:00,星期天 Sunday,sundayright_dub,907329561652412,907329561652412,22,3111.0,132932.0,"你有所不知的犀牛知識🤔
出處: #動物星天頻道 亞熱帶解密：壽山動物園3
#想看更多請追蹤我IG
#星期天配音是對的",19.53,,2025-01-10 18:21:59+08:00,2025-08-14 02:36:37+08:00,DEpDkKZzwQg,Yes,Instaloader
2025-01-11 10:03:25+00:00,2025-12-05 14:50:47+00:00,星期天 Sunday,sundayright_dub,1214424916957427,1214424916957427,8,1585.0,123227.0,"犀牛竟有驚人的匿蹤能力🤔
出處: #動物星天頻道 亞熱帶解密：壽山動物園3
#想看更多請追蹤我IG
#星期天配音是對的",15.32,,2025-01-11 18:03:25+08:00,2025-12-05 22:50:47+08:00,DErmIxUzzkm,Yes,Instaloader
2025-02-14 11:31:55+00:00,2025-08-13 18:35:30+00:00,星期天 Sunday,sundayright_dub,1964915104089883,1964915104089883,32,2235.0,93939.0,"你有所不知的神奇冰島鴨🦆🧊

即日起至2/18到7-ELEVEN門市購買extra®口香糖28克袋裝
代收任兩件59元

#extra 
#無糖口香糖
#動物星天頻道
#想看更多請追蹤我IG
#星期天配音是對的
#extra口香糖
#嚼出你的好狀態",66.99,,2025-02-14 19:31:55+08:00,2025-08-14 02:35:30+08:00,DGDTZTCTN_c,Yes,Instaloader
2025-03-09 11:00:00+00:00,2025-08-13 18:39:40+00:00,星期天 Sunday,sundayright_dub,1981717209394539,1981717209394539,21,1386.0,47920.0,"世界上最大的海上圖書館🚢
這還真是不可思議🤔

#望僕號 #海上圖書館
#Douloshope 
#星期天配音是對的",22.64,,2025-03-09 19:00:00+08:00,2025-08-14 02:39:40+08:00,DG-eQiIziwb,Yes,Instaloader
2025-03-23 11:29:59+00:00,2025-03-27 02:00:03+00:00,星期天 Sunday,sundayright_dub,1412195360442848,1412195360442848,19,748.0,71712.0,"你有所不知的咖啡機 🤔
#星期天配音是對的 
#星期天的路邊觀察配音",7.24,,2025-03-23 19:29:59+08:00,2025-03-27 10:00:03+08:00,DHihv1fzSH0,Yes,Instaloader
