creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-05-07 04:52:53+00:00,2025-12-16 15:52:59+00:00,超粒方,tesscube,1441413564395804,1441413564395804,3,437.0,23629.0,"你們這群變態! 
#33號遠征隊",36.41,,2025-05-07 12:52:53+08:00,2025-12-16 23:52:59+08:00,DJVvC3xsVay,Yes,Instaloader
2025-06-25 07:14:50+00:00,2025-06-27 08:14:54+00:00,超粒方,tesscube,1568210370960902,1568210370960902,7,640.0,34071.0,花了半個小時練起來的捷徑,10.67,,2025-06-25 15:14:50+08:00,2025-06-27 16:14:54+08:00,DLUKQhlOVkt,Yes,Instaloader
2025-07-14 09:18:38+00:00,2025-07-17 11:38:46+00:00,超粒方,tesscube,1580407809904244,1580407809904244,4,1125.0,35676.0,"在小島秀夫台灣見面會突襲《咒》導演! 

#死亡擱淺2 #小島秀夫 #PS5",83.6,,2025-07-14 17:18:38+08:00,2025-07-17 19:38:46+08:00,DMFTgE9tsR2,Yes,Instaloader
2025-08-04 04:48:10+00:00,2025-08-04 06:18:15+00:00,超粒方,tesscube,1455691585913847,1455691585913847,3,282.0,19508.0,終於換掉1080老古董顯卡! | 超粒方 Feat. ASUS TUF Gaming GeForce RTX 5070,90.0,,2025-08-04 12:48:10+08:00,2025-08-04 14:18:15+08:00,DM65QF3vIiK,Yes,Instaloader
2025-08-06 04:18:32+00:00,2025-09-08 02:24:51+00:00,超粒方,tesscube,845391801892649,845391801892649,9,499.0,20151.0,為什麼我Uber司機的導航語音是米妮,3.81,,2025-08-06 12:18:32+08:00,2025-09-08 10:24:51+08:00,DM__YvGTGT5,Yes,Instaloader
2025-08-16 07:05:46+00:00,2025-08-16 18:55:53+00:00,超粒方,tesscube,26693359100267220,26693359100267218,6,410.0,24466.0,"聽了兩天音響展品的最佳選擇! 

KEF全新 Q 系列採用了 MAT 技術和第 12 代 Uni-Q 驅動單體。可滿足任何房間、預算或應用的需求，使其成為打造立體聲與家庭劇院的理想選擇。 
https://user90638.pse.is/kef-q-meta-t...

#KEF #Q系列 #GDAudio",51.31,,2025-08-16 15:05:46+08:00,2025-08-17 02:55:53+08:00,DNaCjN0tHkv,Yes,Instaloader
2025-08-24 12:22:22+00:00,2025-09-12 03:10:25+00:00,超粒方,tesscube,884316971036711,884316971036711,0,372.0,19660.0,異形系列史上第一部影集，值得看嗎? |《異形:地球》| Disney+ | 超粒方 #異形 #alien,68.71,,2025-08-24 20:22:22+08:00,2025-09-12 11:10:25+08:00,DNvNJP3YtoF,Yes,Instaloader
2025-09-17 11:17:14+00:00,2025-09-18 05:31:23+00:00,超粒方,tesscube,2087767188744663,2087767188744663,1,191.0,21266.0,"《索尼克賽車交叉世界》免費體驗版發布中！歡迎下載體驗~
10/9(四)19:00~ 於 SEGA 的官方 YouTube、Twitch、Facebook 平台進行直播，請持續關注 SEGA 官方日後的相關資訊。
#索尼克賽車交叉世界
#SRCW_AsiaTour",80.97,,2025-09-17 19:17:14+08:00,2025-09-18 13:31:23+08:00,DOs4v1Rid_0,Yes,Instaloader
2025-10-08 05:58:28+00:00,2025-10-08 07:48:35+00:00,超粒方,tesscube,2186520385087357,2186520385087357,7,466.0,26319.0,"唉，禿頭這件事，該來的還是要來…
但是我不擔心，因為最近去找了植診所去植髮啦！
整個過程真的超順暢，也完全不會影響生活，現在就等頭髮長回來的成果了！
#植診所  #植髮",86.01,"{'0': '1291433773036193', '1': '1722729765776653'}",2025-10-08 13:58:28+08:00,2025-10-08 15:48:35+08:00,DPiY0mziU--,Yes,Instaloader
2025-11-10 04:01:13+00:00,2025-11-12 05:41:19+00:00,超粒方,tesscube,1248426806685295,1248426806685295,11,373.0,24758.0,sus,32.81,,2025-11-10 12:01:13+08:00,2025-11-12 13:41:19+08:00,DQ3JyldlAh6,Yes,Instaloader
2025-12-15 08:50:45+00:00,2025-12-15 09:38:23+00:00,超粒方,tesscube,1989454552007977,1989454552007977,23,1967.0,25159.0,今天是沒新聞可報是不是,13.8,,2025-12-15 16:50:45+08:00,2025-12-15 17:38:23+08:00,DSRyyNFD2Rp,Yes,Instaloader
2025-12-17 02:02:41+00:00,2025-12-17 02:34:32+00:00,超粒方,tesscube,1718893472417592,1718893472417592,21,2065.0,52079.0,"我真的只為了看預告買票…
#阿凡達 #阿凡達火與燼 #復仇者聯盟5",9.1,,2025-12-17 10:02:41+08:00,2025-12-17 10:34:32+08:00,DSWNjXWCXvj,Yes,Instaloader
2025-12-17 04:53:55+00:00,2025-12-19 17:44:01+00:00,超粒方,tesscube,1549583346146373,1549583346146373,24,2548.0,76036.0,好爽,11.87,,2025-12-17 12:53:55+08:00,2025-12-20 01:44:01+08:00,DSWhPLriYtJ,Yes,Instaloader
2025-12-18 09:31:27+00:00,2025-12-18 11:41:39+00:00,超粒方,tesscube,1445129720736766,1445129720736766,7,1179.0,36082.0,"最近真的需要超常跑電影院...
回家再來醃入味
KP金馬聯名擴香禮盒『時光獻禮』
就像看預告片一樣一次四種體驗

連結: https://kplove.cc/kfg_tessereqyt2512

#KlowerPandor #擴香 #金馬 ＃安達窯 ＃台灣第一香氛品牌
#預告片",65.04,,2025-12-18 17:31:27+08:00,2025-12-18 19:41:39+08:00,DSZlxNJCqYq,Yes,Instaloader
2025-12-24 03:52:34+00:00,2025-12-26 07:12:38+00:00,超粒方,tesscube,1237689198554303,1237689198554303,15,1489.0,45724.0,真好看,18.5,,2025-12-24 11:52:34+08:00,2025-12-26 15:12:38+08:00,DSobqwUCb32,Yes,Instaloader
