creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 13:33:33+00:00,2025-05-01 05:37:32+00:00,三個麻瓜,three_muggles,3165644256974956,3165644256974956,56,3600.0,198293.0,"2025最新詐騙手法？

#詐騙 #手法 #傻眼 #2025",88.07,{'0': '734940108049106'},2025-01-01 21:33:33+08:00,2025-05-01 13:37:32+08:00,DESOWOszi4f,Yes,Instaloader
2025-01-02 11:45:47+00:00,2025-02-16 03:14:14+00:00,三個麻瓜,three_muggles,1471076764411008,1471076764411008,14,1895.0,66748.0,"康熙中毒系列 ep1
康熙真的是我們這個世代不可或缺的回憶☺️
誰看完康熙也會中毒🙋🏻‍♀️🙋🏻

#康熙 #康熙來了 #中毒 #系列",21.53,"{'0': 'non_public_1572949483974588', '1': '1287936192342164', '2': '1420293319767138'}",2025-01-02 19:45:47+08:00,2025-02-16 11:14:14+08:00,DEUmxeoSufH,Yes,Instaloader
2025-01-03 12:03:38+00:00,2025-02-16 03:14:14+00:00,三個麻瓜,three_muggles,1251965182933158,1251965182933158,40,5482.0,154169.0,"歡迎留言告訴我們正確唸法😂
也歡迎Tag那位
不會唸也要硬念的朋友XD

#北捷 #手扶梯 #廣播 #台語 #客語 #空耳",23.03,,2025-01-03 20:03:38+08:00,2025-02-16 11:14:14+08:00,DEXNphmShzQ,Yes,Instaloader
2025-01-05 12:04:55+00:00,2025-07-04 13:28:53+00:00,三個麻瓜,three_muggles,1994748278130837,1994748278130837,231,22281.0,928121.0,"從小看蠟筆小新長大…
竟然不知道這隻叫什麼名字！
你們知道嗎？

#蠟筆小新 #卡通 #冷知識 #問題 #餅乾",53.6,"{'0': '1287936192342164', '1': '1420293319767138'}",2025-01-05 20:04:55+08:00,2025-07-04 21:28:53+08:00,DEcXY9azZo3,Yes,Instaloader
2025-01-06 14:19:56+00:00,2025-02-16 03:14:14+00:00,三個麻瓜,three_muggles,893176503635734,893176503635734,17,3438.0,144460.0,"今天去看了Animage雜誌和吉卜力展，
立刻來開箱給大家看看！

💡小提醒：前半部著重在Animage雜誌、日本動漫史的介紹，中間才會開始展出吉卜力，並不是整場都for吉卜力哦！
👉吉卜力主要展出的最重點作品是風之谷，同時也有天空之城、魔女宅急便、龍貓的部分展出和打卡點。
💡小建議：可以穿著吉卜力風格的衣服入場，拍照打卡點都非常厲害！如果穿得太不適合，會很像異世界遊客🤣

▍展覽日期：2025/1/8 - 4/6 (1/28除夕休館)
▍展覽地點：華山1914文創園區 東2C、D棟
▍營業時間：每日10:00-18:00 (17:30停止售票入場)

【預售票】390元 （1/7截止）
【現場全票】490元

@animage_ghibli_taipei
#Animage雜誌和吉卜力展  #吉卜力展 #吉卜力 #宮崎駿 #風之谷 #天空之城 #魔女宅急便 #龍貓 #三個麻瓜",85.95,,2025-01-06 22:19:56+08:00,2025-02-16 11:14:14+08:00,DEfLvMiNdzQ,Yes,Instaloader
2025-01-07 10:07:33+00:00,2025-08-02 01:15:51+00:00,三個麻瓜,three_muggles,1509970254076529,1509970254076529,42,4776.0,176321.0,"Hey boy～ 
Imma getcha～
Imma getcha real good and I betcha～
#TWICE #strategy #洗腦",22.55,{'0': '1420293319767138'},2025-01-07 18:07:33+08:00,2025-08-02 09:15:51+08:00,DEhTo9-yYKn,Yes,Instaloader
2025-01-08 11:58:54+00:00,2025-04-08 18:04:02+00:00,三個麻瓜,three_muggles,896760823199763,896760823199763,29,1855.0,65663.0,"吉卜力模仿大賽🔥
留言告訴我們誰模仿的最像🤣

#吉卜力 #宮崎駿 #神隱少女 #龍貓 #霍爾的移動城堡 #魔法公主 #魔女宅急便 #吉卜力展 #周邊",32.4,"{'0': '1287936192342164', '1': '1420293319767138', '2': '734940108049106'}",2025-01-08 19:58:54+08:00,2025-04-09 02:04:02+08:00,DEkEM4BSkmx,Yes,Instaloader
2025-01-09 12:01:17+00:00,2025-04-30 17:37:44+00:00,三個麻瓜,three_muggles,1210719554600197,1210719554600197,49,2561.0,82330.0,"幫別人代抽一番賞壓力好大╮(╯_╰)╭
...
......
.........
............
...............
..................
.....................
........................
好險我抽中A賞愛德華跟C賞馬斯坦古呵呵呵呵呵呵呵(๑´ڡ`๑)

#鋼之鍊金術師 #一番賞 #歐氣 #強運 #三個麻瓜",60.37,{'0': 'non_public_1572949483974588'},2025-01-09 20:01:17+08:00,2025-05-01 01:37:44+08:00,DEmqRu1P2Kz,Yes,Instaloader
2025-01-13 12:26:20+00:00,2025-02-16 03:14:14+00:00,三個麻瓜,three_muggles,1394409281972903,1394409281972903,19,1511.0,79404.0,"男生幫女生醫美過程配音！
實在是太好笑…
怎麼會配成這樣🤣
不過～我們還是變漂漂了🥰
感謝 @docfeng.2020 @lamer2511 
每次皮秒完
內心都安心許多😌

也來跟大家完整介紹我們的過程
海菲秀👉🏻彩衝光👉🏻皮秒👉🏻術後恢復
清粉刺、保濕導入、淡斑提亮、修護痘疤…
一次通通都有❤️
有想要變漂漂的大家～
歡迎去晶華醫美唷！

《晶華醫美 桃園藝文館》
地址：台灣桃園市桃園區藝文一街26號
電話：03-3565651

#配音 #搞笑 #醫美 #皮秒 #晶華醫美",61.37,"{'0': 'non_public_1572949483974588', '1': '1048202513949126', '2': '1287936192342164', '3': '1235152201491995', '4': '1420293319767138', '5': '734940108049106'}",2025-01-13 20:26:20+08:00,2025-02-16 11:14:14+08:00,DEw-vx5SZli,Yes,Instaloader
2025-01-19 14:36:24+00:00,2025-02-16 03:14:14+00:00,三個麻瓜,three_muggles,1235629192009414,1235629192009414,28,1916.0,82877.0,"🪄動漫咒語填空挑戰🪄
「霹靂卡霹靂拉拉 ○○○○○○○○」
你有辦法答出影片裡的這些咒語嗎？
挑戰過後，才知道我們...果然是麻瓜。

時下最新魔法少女登場！
<崩壞：星穹鐵道>的大黑塔，
拿著巨大鑰匙法杖，
輕鬆「Unlock」你的心～❤️💛💙
🎮 馬上上<崩壞：星穹鐵道>抽起來！

#大黑塔",80.53,,2025-01-19 22:36:24+08:00,2025-02-16 11:14:14+08:00,DFAr82yKtzo,Yes,Instaloader
