creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-08 18:39:06+00:00,2025-05-31 03:20:59+00:00,小尾巴,tiest0913,1886668755299431,1886668755299431,37,3026.0,117276.0,不知道也不會怎樣的事,15.27,,2025-01-09 02:39:06+08:00,2025-05-31 11:20:59+08:00,DEky4qzzK7a,Yes,Instaloader
2025-01-09 13:20:50+00:00,2025-07-03 19:40:10+00:00,小尾巴,tiest0913,892545993669731,892545993669731,42,10318.0,214852.0,"尾牙加碼

靈感來自我和 @alansmart123 在 <redacted_mention> after party 的對話",29.77,,2025-01-09 21:20:50+08:00,2025-07-04 03:40:10+08:00,DEmy4xLzYaX,Yes,Instaloader
2025-01-11 13:02:37+00:00,2025-02-08 11:44:58+00:00,小尾巴,tiest0913,923573803392713,923573803392713,107,8318.0,210801.0,"吐槽網路影片

CoCo【冬韻擂焙珍奶】融合擂茶穀物香以及日式焙奶茶及珍珠，讓你冬天也甜甜暖暖，還有指定品項2杯99活動，一起分享冬日溫暖！

@cocotea.tw 
#CoCo #冬韻擂焙珍奶 #CoCo都可",58.73,{'0': '1518986575951365'},2025-01-11 21:02:37+08:00,2025-02-08 19:44:58+08:00,DEr6eiizNrE,Yes,Instaloader
2025-01-12 13:10:23+00:00,2025-02-22 17:08:16+00:00,小尾巴,tiest0913,1153680496713184,1153680496713184,5,1287.0,72402.0,OIIAIOIIIAI Cat,12.5,,2025-01-12 21:10:23+08:00,2025-02-23 01:08:16+08:00,DEugWe-zFt2,Yes,Instaloader
2025-01-20 13:01:27+00:00,2025-02-05 00:40:17+00:00,小尾巴,tiest0913,1453308903184015,1453308903184015,40,3166.0,139667.0,鮭魚青醬義大利麵,22.57,,2025-01-20 21:01:27+08:00,2025-02-05 08:40:17+08:00,DFDF6J1JDqw,Yes,Instaloader
2025-01-23 13:01:23+00:00,2025-09-03 00:49:27+00:00,小尾巴,tiest0913,2437806923303058,2437806923303058,91,11283.0,207479.0,把吉伊卡哇的片尾曲改成小調,25.77,,2025-01-23 21:01:23+08:00,2025-09-03 08:49:27+08:00,DFK0Qu0NLbr,Yes,Instaloader
2025-01-25 13:02:55+00:00,2025-02-05 00:40:17+00:00,小尾巴,tiest0913,1289993089664186,1289993089664186,13,2041.0,113781.0,肯恰那叮叮叮叮叮,13.1,,2025-01-25 21:02:55+08:00,2025-02-05 08:40:17+08:00,DFP-E4gigw9,Yes,Instaloader
2025-01-28 10:26:08+00:00,2025-02-05 00:40:17+00:00,小尾巴,tiest0913,895376433471482,895376433471482,120,6894.0,181416.0,如果你沒男友可以帶回去拜年，請立即使用這個影片,37.83,,2025-01-28 18:26:08+08:00,2025-02-05 08:40:17+08:00,DFXafTbNzoU,Yes,Instaloader
2025-02-02 13:26:53+00:00,2025-06-28 07:40:02+00:00,小尾巴,tiest0913,3527598270714730,3527598270714730,218,10323.0,308885.0,把吉伊卡哇的睡衣派對改成小調,15.2,,2025-02-02 21:26:53+08:00,2025-06-28 15:40:02+08:00,DFkmws8T1OA,Yes,Instaloader
2025-02-07 13:00:37+00:00,2026-01-12 10:16:08+00:00,小尾巴,tiest0913,1315017367102406,1315017367102406,152,38683.0,595433.0,如果你需要唱生日快樂歌，請使用這個影片,8.87,,2025-02-07 21:00:37+08:00,2026-01-12 18:16:08+08:00,DFxcIRNu0Sd,Yes,Instaloader
