creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-04 17:44:11+00:00,2025-02-17 02:12:52+00:00,那那大師,tinana_master,895942433355044,895942433355044,27,1257.0,70905.0,"影片標題除了「天籟」，我已經不知道還能怎麽下了。

小美我愛你，不顧一切挺你唱進小巨蛋！
侯湘婷、周蕙也都唱進去🤘🏼

@dearmaggie_chiang  @wherechou",126.63,{'0': '2184460725643831'},2025-01-05 01:44:11+08:00,2025-02-17 10:12:52+08:00,DEaZRGSzevd,Yes,Instaloader
2025-01-07 13:29:58+00:00,2025-04-13 13:09:17+00:00,那那大師,tinana_master,1432748121903183,1432748121903183,64,1313.0,83119.0,"還記得 #本多RuRu  嗎？
好愛她，風情萬種卻又氣質典雅的女歌手，在歌壇真的好少見，就是愛這味啦。
這週想叫自己本多NaNa🤘🏼

這首歌好聽嘎美系Key《愛してる》
作詞：余光中、作曲：陳偉",87.8,,2025-01-07 21:29:58+08:00,2025-04-13 21:09:17+08:00,DEhqqM1T8gO,Yes,Instaloader
2025-01-08 11:07:50+00:00,2025-06-17 22:41:06+00:00,那那大師,tinana_master,936872052097633,936872052097633,357,7088.0,212035.0,"現在打這段文字的我，其實在發抖，我還是不相信，真的找到本多RuRu了😭

新年特別禮物🎁 #本多RuRu 洛杉磯特別訪問

#你最近好嗎？ 的最新一集，沒想到竟然在洛杉磯遇見了本多RuRu，真的讓我感受到無敵緣分的力量！

在出發前幾天，我抱著試試看的心情聯繫她。本來以為她還在上海，但她竟然告訴我：「我現在暫時定居在美國，而且就在洛杉磯！」✨ 幾天後，我們就真的相見了！
這一集，完全是命運的美好安排。感恩這一切，也很開心能和RuRu一起創造這場特別的回憶之旅。

更巧合的是，影片上線日期是1月8日，剛好是她第二張專輯《Single》發行的23週年！這次相遇彷彿是一封獻給這張經典專輯的情書，一起用這段影像重溫那些年的青春回憶。

今天，我化身本多NaNa，邀請大家加入，一起當一日的「本多？？」吧！❤️

#美麗心情 #有時候沒時候",37.5,,2025-01-08 19:07:50+08:00,2025-06-18 06:41:06+08:00,DEj_QnQTpUo,Yes,Instaloader
2025-01-09 09:45:32+00:00,2025-02-17 02:12:52+00:00,那那大師,tinana_master,1939320453641690,1939320453641690,302,9423.0,295874.0,"昨晚一夜之間本多RuRu粉絲集體滿血復活，並驚呼：「根本全能六邊型零死角實力派歌手」

昨天，洛杉磯訪問本多RuRu的影片上線後，她看完就告訴我：「眼眶一直濕濕的。」我跟她說：「好好感受一下自己的音樂有多棒、多好，也要記得看看影片下的留言。」

半小時後，我收到她的訊息。她說她哭得唏哩嘩啦，看到最後甚至掩面痛哭，勾起了太多思緒。訊息裡的每一個字，滿滿都是情緒與感激，不僅有對我的鼓舞，也有對她自己的肯定與重新發現。

我想，當年她在維京發片的那三年，離開家鄉的RuRu一定經歷了很多不容易。

2001年二月底，首張專輯《美麗心情》發行，但她遇上了演藝圈的「308條款」，這場版權與電視廣告的爭議讓當時發片的歌手無法在電視上打歌。對於需要宣傳期的歌手來說，這三個月是漫長又艱難的。然而，即便在這種情況下，《美麗心情》還是創下了不錯的成績。

隔年一月，她推出了第二張專輯《Single》。首波主打《單身女子俱樂部》未能如預期引起市場共鳴，但後續的《有時候沒時候》和《神啊！請多給我一點力量》獲得了很多聽眾的喜愛。只是，這份喜愛未能反映在銷量上，也讓維京決定不再推出本多RuRu的第三張專輯。

我們最後看到的《跟我說》精選輯，是她苦苦爭取來的。（哭）
之後，她的音樂便沉寂於台灣市場，但那些歌，早已在無數人的青春中，寫下了一頁美好的篇章。

現在的本多RuRu，生活得很幸福，擁有美好的家庭，定居洛杉磯。而這集影片上線後，網路上的留言幾乎清一色都是對她歌藝與美貌的讚嘆，甚至有人用「膜拜級別」來形容她的實力！短短三年的歌壇歷程，卻留下了如此深刻的印記，足以說明她在音樂上的力量與價值。

你呢？看完這集了嗎？
你最喜歡本多RuRu的哪首歌？留言告訴我吧！讓我們一起重溫那些屬於青春的美好旋律。❤️

#本多RuRu #美麗心情 #有時候沒時候 #你最近好嗎 #青春回憶",58.44,,2025-01-09 17:45:32+08:00,2025-02-17 10:12:52+08:00,DEmaq93zBOe,Yes,Instaloader
2025-01-17 11:24:53+00:00,2025-05-02 01:25:03+00:00,那那大師,tinana_master,1901004050520644,1901004050520644,113,6991.0,203207.0,"李玟「永遠的月光愛人」紀念雕像設置於金寶山碑林名人區

以下是我的致詞手稿：

親愛的CoCo家人、嘉賓、媒體朋友，以及CoCo的歌迷們：
大家好，我是那那大師，今天我非常榮幸能代表台灣的歌迷在這裡致詞。
此刻我們的心聲，CoCo在天上一定能感受到。
如果你想對CoCo說些什麼，歡迎一起在心中或說出來，CoCo一定會收到。

CoCo的音樂成績，擁有無數傲人的紀錄。她獨一無二的巨星風采，各種曲風都難不倒她，甚至打破語言的界限，將華語音樂推向世界。台灣是CoCo夢想開始的地方，她從這裡出發，帶著對音樂的熱愛，成為華語樂壇的驕傲，太多太多的經典永遠住在我們心中。

但除了那些音樂成績與紀錄，CoCo對我們而言，更是一道光芒！她用她的音樂照亮許多人的生命，CoCo與歌迷的關係，從不只是單向的支持，更像家人朋友般的雙向交流。她的成長、努力與堅持，我們都有目共睹，CoCo在很多人生命是一種精神代表。她陪伴了無數人的青春，也在我們低潮時，用音樂帶給我們力量。CoCo總是用最正面的能量以及以身作則的態度告訴我們要勇敢跟堅強。

而我永遠忘不了，當CoCo來到我的節目時，那段美好的回憶。
她一進攝影棚，就像是一道陽光灑進房間，溫暖了每一個人。CoCo用她最真摯的語言和燦爛的笑容回應了我所有的問題，那一刻，我更明白為什麼那麼多的人愛她，甚至是越認識越愛她，CoCo是楷模是直得我們的學習對象。我相信，曾見過CoCo的你們，也一定感受過她的溫暖和真誠以及種種的貼心。

今天，我們特別感謝CoCo的家人——她的媽咪和兩位姊姊，選擇在台灣為她設立一座紀念雕像，並在CoCo的五十歲生日這一天，帶來這份感動的消息。這份心意讓我們這些思念CoCo的歌迷，能在這片土地上，繼續傳遞對她的愛與懷念。

雖然到現在，我們還是覺得這一切不真實，這段時間以來，許多朋友向我表達了對CoCo的思念，我想跟大家說，不要害怕想念CoCo，因為她就是那麼好的人，雖然想他的時候可能會有些難過，但我深深相信，只要我們繼續唱她的歌、想著她的 好，他的愛就永遠不會消失。

CoCo，我們祝妳生日快樂。
妳的光芒，會永遠閃耀，也永遠活在我們的心中。
我們會繼續唱你的歌，聊你的音樂，你的愛會永遠傳遞下去。
就如同『好心情』開頭的笑聲
我們只要想起CoCo就一定會擁有好心情
親愛的CoCo
我們會愛妳一輩子，而且用心愛！❤️ 
#CoCo #生日快樂",94.78,"{'0': '639188245310306', '1': '1091617223058955'}",2025-01-17 19:24:53+08:00,2025-05-02 09:25:03+08:00,DE7MXiBzdKM,Yes,Instaloader
2025-01-20 11:00:00+00:00,2025-02-17 02:12:52+00:00,那那大師,tinana_master,2338996533264468,2338996533264468,80,1242.0,78516.0,"撞菜請發聲！菜小眾不可恥！
每次我的菜都被說怪，真心不懂，有人撞菜嗎？請發聲！🎤 王耀慶、全聯先生、順風婦產科的五中、金醫師，還有這次因為看了電影《更好的人》，才想起我國中也超迷羅比威廉斯。同溫層在哪？站出來！（笑）

►撞菜歸撞菜，還是要說：音樂電影不能亡！
這次的傳記式電影《更好的人》真的太棒了，即便你不熟羅比威廉斯，也能從中獲得滿滿的娛樂和感動。更何況，這部片的導演是拍出《大娛樂家》的麥可葛雷希！

►如果你愛《大娛樂家》，又是音樂愛好者，這部電影絕對對你胃口。
加上如果你是千禧世代前後的樂迷，看到劇中穿插的音樂和故事，保證能讓你瞬間拾回過去熱愛的旋律與回憶。

►推給大家：傳記式電影《更好的人》
這是一部值得走進戲院，用心感受的好作品。新的一年，我也期許自己能成為更好的人——我們一起努力GOGOGO！

撞菜請留言！愛音樂電影請去看！❤️

《更好的人》 1月17日 拒絕平庸 
@arhfilm 
#BetterMan  #更好的人 #羅比威廉斯 #RobbieWilliams #麥可格雷希 #MichaelGracey #接招合唱團 #TakeThat",100.22,{'0': '897282999688460'},2025-01-20 19:00:00+08:00,2025-02-17 10:12:52+08:00,DFC4FaMzMX3,Yes,Instaloader
2025-01-23 11:00:00+00:00,2025-07-25 12:27:49+00:00,那那大師,tinana_master,902804346002872,902804346002872,225,10497.0,351737.0,"【#你最近好嗎？】春節女神 #中國娃娃 25年後獻唱神曲全場瘋狂，沒有她們的歌還像過年嗎？聽她們唱歌肯定會福氣一整年。

中國娃娃（娃娃＋貝兒）的音樂早已成為華人地區每年春節的固定配方，請稱呼她們《春節女神》，沒有她們的歌還像過年嗎？

2000年，她們憑藉《單眼皮女生》在台灣初登場即爆紅，而2001年更是乘勝追擊推出賀歲專輯《賀歲喔！喔！喔！》。其中的《發財發福中國年》不僅讓她們的地位從爆紅邁向傳奇，更徹底改變了農曆春節的音樂風貌，將傳統賀歲歌曲注入了充滿電音魅力的新生命！

今天，那那我本人太榮幸能夠邀請到中國娃娃來到《你最近好嗎？》！雖然她們好久沒在台灣公開活動，但她們的音樂早已打破地域與時代的界限。每到春節，不聽到春節女神的音樂，真的會渾身不對勁！

這次能和原唱面對面聊到這些經典音樂、造型背後的故事，以及她們當年的音樂起源，真的讓我太興奮、太快樂了！（爽到發否）

我相信，看到這支影片的你，今年一定會有超級無敵好彩頭！謝謝中國娃娃，謝謝這些年來她們的陪伴，也感謝每一位支持《你最近好嗎？》的觀眾朋友。

新年快樂，祝大家平安、健康、快樂、富貴！愛你們喔！❤️
@hwahwa_chinadolls  @bell_chinadolls",119.42,"{'0': '804633645577726', '1': '2624050327761805'}",2025-01-23 19:00:00+08:00,2025-07-25 20:27:49+08:00,DFKmfWfTNEv,Yes,Instaloader
2025-02-02 12:14:40+00:00,2025-02-17 02:12:52+00:00,那那大師,tinana_master,1887037219366352,1887037219366352,5,474.0,52620.0,"假期結束的精神狀態！
#開工",34.58,,2025-02-02 20:14:40+08:00,2025-02-17 10:12:52+08:00,DFketSgT6qA,Yes,Instaloader
2025-02-08 14:32:23+00:00,2025-02-17 02:12:52+00:00,那那大師,tinana_master,934610585731081,934610585731081,39,1442.0,70353.0,"這幾年每個週末的晚上我都是很開心的，因為每個六日晚上9點，八大娛樂百分百的YT約7成機率會上傳Asos時期的內容，有些時候娛百YT沒上姐妹的影片時，我們粉絲很愛在留言區討拍，甚至有點耍賴，一直說可不可以上傳Asos的⋯。

八大還會上傳吧？還會吧⋯也許會邊哭邊看
但我還是很想要用力感受。

去年我演唱會開歌單的時候，第一首歌決定要唱的歌，就是大S的《鑽石》，這首歌超虐、超好聽，是一首很自溺又灰暗的歌曲，好想分享給很多人知道，讓大家認識大S有一首那麼美的歌。

演唱會前天最後一次彩排，這首歌我一直唱不好，於是與音樂總監溝通把這首歌拉掉，最後，大S的《鑽石》成為演唱會的遺珠選曲。

前幾天演唱會的Keyboad老師Kiyo傳訊息給我：「好可惜最後沒唱到這首歌」。是的，我滿滿遺憾⋯

這一週我過得不好，沒有一天不是哭著入睡，但我正在努力回到軌道上，努力想著這世界上還有很多很美好的事。",157.04,,2025-02-08 22:32:23+08:00,2025-02-17 10:12:52+08:00,DF0LMoxzBQW,Yes,Instaloader
2025-02-13 14:04:27+00:00,2025-07-04 13:42:49+00:00,那那大師,tinana_master,25453828494296080,25453828494296082,96,3621.0,132621.0,"「她們雖然不在歌壇，卻留下最動人的冬季戀歌 ❄️」
冬天即將結束，但這些歌聲，仍然溫暖著我們的回憶。 她們雖然不再活躍於歌壇，卻留下了一首首令人深刻的冬季戀歌，陪伴我們走過許多個冷冽卻充滿故事的季節。🎶

🪽 黃湘怡｜第一個冬季
2001年以《等》專輯出道，當年以「神似廣末涼子」的形象驚艷樂壇，並入圍金曲獎最佳新人。這首《第一個冬季》收錄在她的首張專輯，旋律輕柔細膩，像是冬日午後的微風，面對孤單又同時自我療傷的情緒。
雖然她在2004年發行完《Stella狂想曲》後便沒有個人音樂作品，但仍留下許多經典旋律，至今仍讓人懷念。
✨ 經典歌曲推薦：《西班牙狂想曲》《吻雨》《分手第七天》《等》

🪽 侯湘婷｜兩個冬天
提到侯湘婷，無法不想起她清新的嗓音與青春洋溢的形象。她在出道前以「安琪」的廣告角色打響名號，而《秋天別來》更是讓她成為一代人心中的清新女聲代表。
對許多玩家來說，《明星志願》更讓她的音樂深植人心，成為無可取代的回憶。雖然在歌壇的時間不長，四年內發行了三張專輯與一張精選，但她的歌曲至今仍讓人回味無窮。
✨ 經典歌曲推薦：《為你流的淚》《曖昧》《秋天別來》《一起去巴黎》

🪽 許慧欣｜兩個人的下雪天
「雪白歌姬」的許慧欣擁有無數陪伴我們青春的情歌。《兩個人的下雪天》來自她2002年的首張專輯《快樂為主》，這張專輯不僅讓她一舉奪下金曲獎最佳新人獎，更讓她成為當年華語樂壇的耀眼新星。
她的歌聲清澈透亮，像冬日的初雪般純淨，讓人一聽就沉醉其中。雖然已經淡出演藝圈多年，但這些歌依舊是一代人的冬季回憶。
✨ 經典歌曲推薦：《孤單芭蕾》《愛情抗體》《七月七日晴》《快樂為主》

這個冬天快要結束了，但她們的歌聲，還在我們心裡流轉。 如果你也曾被她們的音樂觸動，留言分享你的回憶吧！💙❄️

#冬季戀歌 #黃湘怡 #侯湘婷 #許慧欣 #經典華語女聲 #懷念的歌聲",133.0,"{'0': 'non_public_1441386100854564', '1': '566851489152248'}",2025-02-13 22:04:27+08:00,2025-07-04 21:42:49+08:00,DGA_5SLTixa,Yes,Instaloader
