creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 11:01:54+00:00,2025-02-17 00:18:30+00:00,阿慈車庫,tzu_888,917188744251829,917188744251829,2,2691.0,203407.0,"又一台撞出藝術點的車 正港V8野馬! 非野驢
#阿慈車庫 #阿慈",222.56,,2025-01-02 19:01:54+08:00,2025-02-17 08:18:30+08:00,,Yes,MetaTool
2025-01-10 11:02:39+00:00,2025-02-10 13:34:39+00:00,阿慈車庫,tzu_888,2432468140532308,2432468140532308,6,2365.0,187076.0,這牌子的車主 都是最難議價的 .....#阿慈車庫 #阿慈,215.27,,2025-01-10 19:02:39+08:00,2025-02-10 21:34:39+08:00,,Yes,MetaTool
2025-01-12 09:53:25+00:00,2025-02-10 13:34:39+00:00,阿慈車庫,tzu_888,1439285814135427,1439285814135427,33,4256.0,242715.0,"結婚10年的心得⋯ 想要自由一點就要學會巴結。
#阿慈",56.49,,2025-01-12 17:53:25+08:00,2025-02-10 21:34:39+08:00,,Yes,MetaTool
2025-01-18 11:02:03+00:00,2025-07-14 03:57:47+00:00,阿慈車庫,tzu_888,844220132007030,844220132007030,13,5664.0,272404.0,年關就是如此 總會有意想不到的事情發生... #阿慈 #阿慈車庫,104.37,,2025-01-18 19:02:03+08:00,2025-07-14 11:57:47+08:00,,Yes,MetaTool
2025-01-20 11:01:48+00:00,2025-04-30 03:33:16+00:00,阿慈車庫,tzu_888,1961641237783303,1961641237783303,6,2348.0,171103.0,"差點要來這邊打工...待交車整備
#阿慈 #阿慈車庫",140.47,,2025-01-20 19:01:48+08:00,2025-04-30 11:33:16+08:00,,Yes,MetaTool
2025-01-22 11:02:07+00:00,2025-04-08 15:07:56+00:00,阿慈車庫,tzu_888,867095006333322,867095006333322,20,10223.0,328504.0,"這種i8你一定沒看過..... 玩車人的不歸路
#阿慈車庫 #阿慈 #i8",144.8,,2025-01-22 19:02:07+08:00,2025-04-08 23:07:56+08:00,,Yes,MetaTool
2025-01-25 12:01:54+00:00,2025-07-24 10:01:17+00:00,阿慈車庫,tzu_888,917952497282167,917952497282167,29,8881.0,375863.0,"特例男人才懂的困擾...這車我真的不合適
#阿慈車庫 #阿慈 #m4c #g82",176.33,,2025-01-25 20:01:54+08:00,2025-07-24 18:01:17+08:00,,Yes,MetaTool
2025-02-06 12:02:03+00:00,2025-02-10 13:34:38+00:00,阿慈車庫,tzu_888,1290121776320926,1290121776320926,6,2753.0,163061.0,"就花20萬收這台回來！弟弟的最愛....雙門賓士C250
#阿慈車庫 #阿慈",154.06,,2025-02-06 20:02:03+08:00,2025-02-10 21:34:38+08:00,,Yes,MetaTool
2025-02-11 12:01:55+00:00,2025-02-13 13:32:00+00:00,阿慈車庫,tzu_888,2845479845796006,2845479845796006,2,2018.0,127273.0,"20萬收回來的賓士,光整理就...
#阿慈 #阿慈車庫",170.81,,2025-02-11 20:01:55+08:00,2025-02-13 21:32:00+08:00,,Yes,MetaTool
2025-02-15 12:02:05+00:00,2025-05-04 10:53:56+00:00,阿慈車庫,tzu_888,4341531996096135,4341531996096135,7,2266.0,139023.0,"換回來的一批車 全部都狠便宜....
#阿慈 #阿慈車庫",167.97,,2025-02-15 20:02:05+08:00,2025-05-04 18:53:56+08:00,,Yes,MetaTool
2025-02-19 11:01:43+00:00,2025-06-07 13:10:41+00:00,阿慈車庫,tzu_888,1397558818355731,1397558818355731,7,3570.0,177412.0,"單台收車太慢了 直接盤下別人的車行?
#阿慈車庫 #阿慈",129.01,,2025-02-19 19:01:43+08:00,2025-06-07 21:10:41+08:00,,Yes,MetaTool
2025-02-22 11:01:40+00:00,2025-06-21 18:47:29+00:00,阿慈車庫,tzu_888,1108471688071568,1108471688071568,33,3059.0,383723.0,突襲柔哥的工作..他老闆肯定是個？？,59.77,{'0': '2032429270564121'},2025-02-22 19:01:40+08:00,2025-06-22 02:47:29+08:00,,Yes,MetaTool
2025-02-23 12:02:39+00:00,2025-05-01 07:59:07+00:00,阿慈車庫,tzu_888,3813586795439288,3813586795439288,14,2828.0,140286.0,"這就是VV瑞典坦克 車況開盲盒
#阿慈 #阿慈車庫",215.64,,2025-02-23 20:02:39+08:00,2025-05-01 15:59:07+08:00,,Yes,MetaTool
2025-02-27 11:02:10+00:00,2025-04-30 18:50:09+00:00,阿慈車庫,tzu_888,894559469870954,894559469870954,12,1548.0,147335.0,再也不怕車被丟雞蛋了，雨天開車還你清晰的前檔！#阿慈車庫 #阿慈,216.55,{'0': '916630023405599'},2025-02-27 19:02:10+08:00,2025-05-01 02:50:09+08:00,,Yes,MetaTool
2025-03-08 12:03:27+00:00,2025-08-04 02:27:30+00:00,阿慈車庫,tzu_888,1406476790720465,1406476790720465,18,5093.0,303331.0,全新保時捷！剛交車第十天就....瞬間虧爆,170.78,,2025-03-08 20:03:27+08:00,2025-08-04 10:27:30+08:00,,Yes,MetaTool
2025-03-10 11:01:15+00:00,2025-04-29 10:04:09+00:00,阿慈車庫,tzu_888,1826714331779367,1826714331779367,10,2606.0,163273.0,"看得出來我很認真吧～～雨天實際測試!
現在仿冒的很多 要看清楚名字後方是否有（勾勾） 
#阿慈車庫 #阿慈",92.83,,2025-03-10 19:01:15+08:00,2025-04-29 18:04:09+08:00,,Yes,MetaTool
