creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 15:14:10+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,2008436330054980,2008436330054980,15,3225.0,77619.0,"我出國期間Uni是如何生存的？
（跟阿公阿嬤撒嬌的）
泥：麻麻我很好等妳回來💗
一切都好除了污泥的眼💩
傲嬌爸媽擦不掉只有等我回去了🤣",55.61,,2025-01-01 23:14:10+08:00,2025-11-10 16:46:49+08:00,DESZ0hIqxha,Yes,Instaloader
2025-01-08 11:18:51+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,1942695213307786,1942695213307786,30,3924.0,55970.0,"「泥寶寶🥺我回來了～」
辛苦媽寶泥的等待💗
每次向我衝來的那一刻都好感動✨
另外大家有聽到一句重點嗎？
「妳放他下來！」哈哈哈哈
之後再分享這段期間傲嬌爸被寵幸有多爽
P.s結果還真的胖了🤣",58.23,,2025-01-08 19:18:51+08:00,2025-11-10 16:46:49+08:00,DEj_xvgzjKP,Yes,Instaloader
2025-01-09 11:49:19+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,1141317991335517,1141317991335517,7,1116.0,40244.0,"「打擾了，抱歉」
當我還沒習慣台北的濕冷🥹
Uni就天天鑽到被窩裡跟我躺（炫耀文）
通常我起來他會跟著醒
但今天早上可能真的太冷了
竟然自己睡在裡面🤣睜眼的樣子太可愛
泥繼續睡吧～好羨慕～～～",19.27,,2025-01-09 19:49:19+08:00,2025-11-10 16:46:49+08:00,DEmoeD-zpFI,Yes,Instaloader
2025-01-11 03:14:15+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,890394313880681,890394313880681,56,14817.0,316556.0,"泥：阿公是什麼？可以吃嗎🤣
我出國回來後！傲嬌爸就失寵了
句句經典句句酸溜溜哈哈哈哈
同時顧及媽寶和傲嬌爸的心情
真是很難呀😮‍💨這幾天都在抱怨超好笑
《下集待續》
#貓跟人跟狗一樣都會變的",38.33,,2025-01-11 11:14:15+08:00,2025-11-10 16:46:49+08:00,DEq3CFFTJhF,Yes,Instaloader
2025-01-13 11:19:03+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,1448602056910852,1448602056910852,19,2829.0,62613.0,"「瞬間失寵的阿公」par2
從神壇跌入谷底的傲嬌爸
這次做了前後對比
哎呀～真是令人同情啊🤣
大家覺得呢？（投票）",55.17,,2025-01-13 19:19:03+08:00,2025-11-10 16:46:49+08:00,DEw4IjGz0Hi,Yes,Instaloader
2025-01-14 11:54:35+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,793092403834748,793092403834748,10,3288.0,55164.0,"我：你看Uni真的好愛我唷一回來就這樣黏著我
爸：妳不在的時候他對我更好😤
醋勁大發🤣彷彿聽得到傲嬌爸的聲音
我不在的期間去了🇮🇹拍攝(之後有貓咖）
我個人頻道更新了兩支VLOG和Podcast
有遇到很多義大利🐱還有帥哥🤣
連結放在限動喔 我的ig👉🏻 @isa.gallery",23.1,,2025-01-14 19:54:35+08:00,2025-11-10 16:46:49+08:00,DEzgiDhzuiG,Yes,Instaloader
2025-01-17 08:29:00+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,3399407980215588,3399407980215588,50,18923.0,668615.0,"我先聲明：感謝傲嬌爸在我出國期間幫忙鏟屎
我回來當天要鏟屎時看到大傻眼🤣
竟然一個月都這樣 而且看到最後發覺⋯
Uni根本不在意？ #資深直男",55.61,,2025-01-17 16:29:00+08:00,2025-11-10 16:46:49+08:00,DE632wnTesW,Yes,Instaloader
2025-01-20 07:56:52+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,2813550635664748,2813550635664748,11,1191.0,37897.0,"有誰家貓也會這樣呀？？？
應該不是只有媽寶泥這麼ㄎㄧㄤ吧🤣
只針對我的衣服耶（特別是丹寧系）
#媽寶貓求關注
#笑ㄧ下不行喔",29.1,,2025-01-20 15:56:52+08:00,2025-11-10 16:46:49+08:00,DFCi1i5zLsA,Yes,Instaloader
2025-01-22 15:08:44+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,1675475100299071,1675475100299071,12,1124.0,40782.0,"這種時候只有求助傲嬌爸有效💗
傲嬌媽不會鳥我🥹
泥：阿公淪為工具人？
#當貓咪在我胯下",36.34,,2025-01-22 23:08:44+08:00,2025-11-10 16:46:49+08:00,DFIdtrET_vw,Yes,Instaloader
2025-01-25 06:58:18+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,1824862111521226,1824862111521226,6,1110.0,41476.0,"睡的像個寶包👶🏼💗還叫不醒
泥的毛真的好鬆軟～
我的腿好像真的很好靠🤣
#媽寶貓日常",19.48,,2025-01-25 14:58:18+08:00,2025-11-10 16:46:49+08:00,DFPUDGqT2HL,Yes,Instaloader
2025-01-26 03:48:41+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,1437674947804570,1437674947804570,25,2531.0,72678.0,"POV:當我出國不在家時
傲嬌爸太～爽～啦！
我回家當天馬上幫Uni量體重
竟然胖了0.4公斤😳
難怪影片看起來肥滋滋
不過我一回家後泥就開始跟屁和挑食了
只能說媽寶實在太聰明了🥹",56.84,,2025-01-26 11:48:41+08:00,2025-11-10 16:46:49+08:00,DFRjJXGzgkN,Yes,Instaloader
2025-01-27 03:33:58+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,4297933857192254,4297933857192254,23,2120.0,48843.0,"傲嬌爸：妳一回來我們感情就變質了！
好吧😌如果贊助旅費的話可以考慮一下（開玩笑）
Uni表示🐱💢",31.8,,2025-01-27 11:33:58+08:00,2025-11-10 16:46:49+08:00,DFUGOKfzOkz,Yes,Instaloader
2025-01-29 14:11:31+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,1314082610575843,1314082610575843,18,1002.0,33689.0,"厭世年獸的拍攝現場🎬
傲嬌爸負責餵食；我負責拍照
很難拍🤣
#蛇麼都好",42.35,,2025-01-29 22:11:31+08:00,2025-11-10 16:46:49+08:00,DFaYsoyT0gx,Yes,Instaloader
2025-01-31 14:28:27+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,2132589220907772,2132589220907772,15,1318.0,37209.0,"傲嬌爸：不要搭誤時間哈😤
媽寶泥：今年我養麻麻！
（是就好了🤣）
有人跟我一樣有春節招財貓嗎？
真的很神耶～～～～",51.24,,2025-01-31 22:28:27+08:00,2025-11-10 16:46:49+08:00,DFfkYgGzu_O,Yes,Instaloader
2025-02-03 09:52:07+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,4423089427920935,4423089427920935,8,645.0,31154.0,"開工啦～～～～
小嬌子早已準備好
興奮（？）的勤快打掃🧹
Uni也很盡責的催促提醒我
「今天要工作囉！」
#不想面對
#開工日天氣太差",21.57,,2025-02-03 17:52:07+08:00,2025-11-10 16:46:49+08:00,DFmzDnFToJX,Yes,Instaloader
2025-02-05 12:20:30+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,926856843384850,926856843384850,3,835.0,33852.0,"春節期間發生的事⋯
傲嬌爸現在越來越好cue了🤣
泥：紅包呢？🧧",16.14,,2025-02-05 20:20:30+08:00,2025-11-10 16:46:49+08:00,DFsN2p7zKvJ,Yes,Instaloader
2025-02-08 06:14:07+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,1234005858889076,1234005858889076,9,1106.0,40311.0,"我真的沒意識自己ㄍㄡˇ在泥的臉上
還ㄍㄡˇ了兩次哈哈哈哈
其實是想順便摸他啦～
不知道有沒有人跟我一樣🤣",16.88,,2025-02-08 14:14:07+08:00,2025-11-10 16:46:49+08:00,DFzR3TkTffR,Yes,Instaloader
2025-02-09 16:05:55+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,1447845540377421,1447845540377421,1,829.0,26365.0,"這麼冷的天！明天不該上班的(;´༎ຶД༎ຶ`)
泥一副嗑了什麼的臉🤣
#無法面對禮拜一",18.0,,2025-02-10 00:05:55+08:00,2025-11-10 16:46:49+08:00,DF267PLzjeR,Yes,Instaloader
2025-02-11 11:31:03+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,953144673828847,953144673828847,8,559.0,29652.0,"過年大家有長肉肉嗎？
泥當不了壯壯鮮肉只能當肥肉大叔了🤣
6歲還能賞臉逗貓棒很給面子👏🏻
#最近一直躺
#要多運動
#才有食慾",25.22,,2025-02-11 19:31:03+08:00,2025-11-10 16:46:49+08:00,DF7k2ocT39q,Yes,Instaloader
2025-02-12 14:29:06+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,1219283783520116,1219283783520116,2,703.0,28579.0,"元宵節加碼！
聞聞好可愛🤣💗",14.86,,2025-02-12 22:29:06+08:00,2025-11-10 16:46:49+08:00,DF-eGodz00a,Yes,Instaloader
2025-02-14 11:35:31+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,2544416915959697,2544416915959697,9,2325.0,39607.0,"《情人節特輯》
今天大家怎麼過呢？
我有媽寶泥心裡暖暖的啦🥰
只有無視傲嬌爸即可哈哈哈
想來點戀愛心動感可以看我個人頻道🔍ISA依莎
今晚有上線🇮🇹獨旅影片唷！連結在限動
（下週會更新貓頻道喔）
#情人節快樂
#我有小情貓",25.84,,2025-02-14 19:35:31+08:00,2025-11-10 16:46:49+08:00,DGDTltZzQHs,Yes,Instaloader
2025-02-16 10:51:09+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,1695201508525206,1695201508525206,4,876.0,31146.0,"每次換床單都很熱心參與的泥
還會在新床單上面抓抓（沒拍到）
不知道有什麼好看的
總之很可愛🤣
（最後是在累屁）",11.03,,2025-02-16 18:51:09+08:00,2025-11-10 16:46:49+08:00,DGIYTxEzzD9,Yes,Instaloader
2025-02-18 11:52:01+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,4650785741808020,4650785741808020,2,865.0,34306.0,"#開聲音
常這樣跟我玩的泥🤣
到底樂趣在哪我也是不懂
屁貓的快樂就是這麼樸實無華
傲嬌爸：露一個貓頭！",15.37,,2025-02-18 19:52:01+08:00,2025-11-10 16:46:49+08:00,DGNo1XbTr33,Yes,Instaloader
2025-02-21 11:38:30+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,662775450257203,662775450257203,17,1430.0,40254.0,"Uni到底為什麼這麼驚嚇🤣
真的是被網帥耽誤的演員（？）
這其實好適合在萬聖節發唷哈哈哈
#污泥主演驚悚劇
#配角傲嬌爸
#製片依莎",51.11,,2025-02-21 19:38:30+08:00,2025-11-10 16:46:49+08:00,DGVVovRzJWK,Yes,Instaloader
2025-02-23 11:44:07+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,1433420611493261,1433420611493261,8,1255.0,38987.0,"我在家剪片壓力都很大🤣
所以我才買筆電可以隨時逃離媽寶的視線
（這時候缺一個筆電業配哈哈哈）",13.51,,2025-02-23 19:44:07+08:00,2025-11-10 16:46:49+08:00,DGae9vLzV1k,Yes,Instaloader
2025-02-24 11:33:48+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,916281877856444,916281877856444,8,1080.0,37156.0,"偶爾我也想模仿貓掌跟泥玩一下
結果？？？？？？？
P.s 不建議常用手跟貓玩唷（容易被咬）",6.8,,2025-02-24 19:33:48+08:00,2025-11-10 16:46:49+08:00,DGdDgmOTj-I,Yes,Instaloader
2025-02-27 10:16:44+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,2067659920747423,2067659920747423,7,588.0,49923.0,"🇮🇹佛羅倫斯的唯一一家貓咪咖啡廳
本來還有另一家的 但好像疫情期間倒了
所以這家是去年2024才剛開幕的
目前有7隻貓咪
孟加拉貓Bengal、玩具虎貓Toyger
和一隻無毛貓Sphynx
他們都是繁殖場淘汰不能販售的貓貓
所以老闆把他們養下來 覺得很有愛呀💗
店員也超級熱情活潑可愛（英文還超好）
能在異國跟陌生人有共同熱愛的話題
感覺瞬間更親近了呢 貓奴power😻
因為這間比較小
所以我還找了義大利x阿拉伯混血型男
跟我一起擼貓～想看他的真面目
快到YT看完整版唷！
佛羅倫斯貓咖🐱 @catcafefirenze 
#新片上線
#佛羅倫斯貓咪咖啡廳
#佛羅倫斯",454.55,{'0': '200891569757387'},2025-02-27 18:16:44+08:00,2025-11-10 16:46:49+08:00,DGkpDGRz3Gt,Yes,Instaloader
2025-02-28 03:37:14+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,896697666435941,896697666435941,13,976.0,54073.0,"傲嬌執事限定復出🔥第一次用這台
「Roborock 石頭科技 F25 ACE 鯊物淨 零纏繞洗地機」
實在太驚艷了🤩
讚嘆科技能做出這麼方便的洗地機吸+拖地一次搞定✅
還能自動全鏈清潔和烘乾，真的幫打掃省下好多時間~
就連Uni吃到地上的食物、貓砂都能快速輕鬆的清除
還有180度躺平的遙控模式
讓平常清潔不到的沙發下、床下也能乾乾淨淨

🐱雙重鯊齒0纏繞技術：
利用像鯊魚牙齒般的梳齒把纏結梳開
毛髮達滾刷1/4處時主動截獲就不會纏繞了
🐱20000PA大吸力：
搭配20N的對地壓力，頑固污漬都能有效清除
🐱AI全向助力輪+下置水箱：
前推後拉，左右轉彎都省力！下置水箱讓重量壓在地板上
手持體感更輕、下壓力更大清潔效果更好！
🐱全鏈路銀離子除菌：水箱中加入銀離子模塊
能有效抑制機器管道以及水箱裡的細菌產生
🐱固液分離污水箱：垃圾分類超輕鬆
🐱90℃熱流自清潔：
高溫熱水加速汙漬溶解，尤其對油汙清潔能力更強
🐱5分鐘極速烘乾、靜音烘：
高溫全鏈路烘乾，不易產生發霉霉味
@roborocktw 
同款這裡買 https://roborock.vip/3TOsx
#Roborock #石頭科技 #鯊物淨 #F25_ACE #旗艦AI吸拖洗地機",57.13,{'0': '442657425479206'},2025-02-28 11:37:14+08:00,2025-11-10 16:46:49+08:00,DGmgU9jv1Ce,Yes,Instaloader
2025-03-03 14:00:47+00:00,2025-11-10 08:46:49+00:00,傲嬌爸的養貓日常,uni_catto,952211777368530,952211777368530,8,1003.0,43678.0,"爸：他在舔他的屁股！
我：那是肚子！！
UNI男團偶像當這麼久
該遮的部位還是會記得遮
即使中年了形象管理還是很好🤣",29.84,,2025-03-03 22:00:47+08:00,2025-11-10 16:46:49+08:00,DGvV34Rz-ur,Yes,Instaloader
